a21_orf19,a22_orf19,a22_id
orf19.13534,orf19.13534,C1_00010W_A
orf19.6115,orf19.6115,C1_00010W_A
orf19.13533,orf19.13533,C1_00020C_A
orf19.6114,orf19.6114,C1_00020C_A
orf19.13532,orf19.13532,C1_00030C_A
orf19.6113,orf19.6113,C1_00030C_A
orf19.13531,orf19.13531,C1_00040W_A
orf19.6112,orf19.6112,C1_00040W_A
orf19.13529,orf19.13529,C1_00050C_A
orf19.6110,orf19.6110,C1_00050C_A
orf19.13528,orf19.13528,C1_00060W_A
orf19.6109,orf19.6109,C1_00060W_A
orf19.13524,orf19.13524,C1_00070W_A
orf19.6105,orf19.6105,C1_00070W_A
orf19.13521,orf19.13521,C1_00080C_A
orf19.6102,orf19.6102,C1_00080C_A
orf19.13522,orf19.13522,C1_00090W_A
orf19.6103,orf19.6103,C1_00090W_A
orf19.13519,orf19.13519,C1_00100C_A
orf19.6100,orf19.6100,C1_00100C_A
orf19.13518,orf19.13518,C1_00110W_A
orf19.6099,orf19.6099,C1_00110W_A
orf19.6096,orf19.6096,C1_00120C_A
orf19.13513,orf19.13513,C1_00130C_A
orf19.6094,orf19.6094,C1_00130C_A
orf19.13511,orf19.13511,C1_00140W_A
orf19.6092,orf19.6092,C1_00140W_A
orf19.13510,orf19.13510,C1_00150C_A
orf19.6091,orf19.6091,C1_00150C_A
orf19.13509,orf19.13509,C1_00160C_A
orf19.6090,orf19.6090,C1_00160C_A
orf19.13505,orf19.13505,C1_00170W_A
orf19.6086,orf19.6086,C1_00170W_A
orf19.13504,orf19.13504,C1_00180W_A
orf19.6085,orf19.6085,C1_00180W_A
orf19.13503,orf19.13503,C1_00190C_A
orf19.6084,orf19.6084,C1_00190C_A
orf19.13502,orf19.13502,C1_00200C_A
orf19.6083,orf19.6083,C1_00200C_A
orf19.13501,orf19.13501,C1_00210C_A
orf19.6082,orf19.6082,C1_00210C_A
orf19.13500,orf19.13500,C1_00220W_A
orf19.6081,orf19.6081,C1_00220W_A
orf19.13499,orf19.13499,C1_00230C_A
orf19.6080,orf19.6080,C1_00230C_A
orf19.6079,orf19.6079,C1_00270W_A
orf19.6078,orf19.6078,C1_00290W_A
orf19.13498,orf19.13498,C1_00310W_A
orf19.6077,orf19.6077,C1_00310W_A
orf19.13497,orf19.13497,C1_00320W_A
orf19.6076,orf19.6076,C1_00320W_A
orf19.13496,orf19.13496,C1_00330C_A
orf19.6075,orf19.6075,C1_00330C_A
orf19.13495,orf19.13495,C1_00340W_A
orf19.6074,orf19.6074,C1_00340W_A
orf19.13494,orf19.13494,C1_00350C_A
orf19.6073,orf19.6073,C1_00350C_A
orf19.13493,orf19.13493,C1_00360W_A
orf19.6072,orf19.6072,C1_00360W_A
orf19.13492,orf19.13492,C1_00380C_A
orf19.6071,orf19.6071,C1_00380C_A
orf19.13491,orf19.13491,C1_00390W_A
orf19.6070,orf19.6070,C1_00390W_A
orf19.13489,orf19.13489,C1_00400W_A
orf19.6068,orf19.6068,C1_00400W_A
orf19.13487,orf19.13487,C1_00410C_A
orf19.6066,orf19.6066,C1_00410C_A
orf19.13486,orf19.13486,C1_00420W_A
orf19.6065,orf19.6065,C1_00420W_A
orf19.13485,orf19.13485,C1_00430W_A
orf19.6064,orf19.6064,C1_00430W_A
orf19.13484,orf19.13484,C1_00440W_A
orf19.6063,orf19.6063,C1_00440W_A
orf19.13483,orf19.13483,C1_00460W_A
orf19.6062,orf19.6062,C1_00460W_A
orf19.13482,orf19.13482,C1_00470C_A
orf19.6061,orf19.6061,C1_00470C_A
orf19.13481,orf19.13481,C1_00480C_A
orf19.6060,orf19.6060,C1_00480C_A
orf19.13480,orf19.13480,C1_00490C_A
orf19.6059,orf19.6059,C1_00490C_A
orf19.13479,orf19.13479,C1_00500C_A
orf19.6058,orf19.6058,C1_00500C_A
orf19.13478,orf19.13478,C1_00510W_A
orf19.6057,orf19.6057,C1_00510W_A
orf19.13477,orf19.13477,C1_00520W_A
orf19.6056,orf19.6056,C1_00520W_A
orf19.13476,orf19.13476,C1_00530C_A
orf19.6055,orf19.6055,C1_00530C_A
orf19.13475,orf19.13475,C1_00540C_A
orf19.6054,orf19.6054,C1_00540C_A
orf19.13474,orf19.13474,C1_00550W_A
orf19.6053,orf19.6053,C1_00550W_A
orf19.13473,orf19.13473,C1_00560W_A
orf19.6052,orf19.6052,C1_00560W_A
orf19.13470,orf19.13470,C1_00570C_A
orf19.6049,orf19.6049,C1_00570C_A
orf19.13469,orf19.13469,C1_00580W_A
orf19.6048,orf19.6048,C1_00580W_A
orf19.13468,orf19.13468,C1_00590W_A
orf19.6047,orf19.6047,C1_00590W_A
orf19.13467,orf19.13467,C1_00600W_A
orf19.6046,orf19.6046,C1_00600W_A
orf19.13466,orf19.13466,C1_00610W_A
orf19.6045,orf19.6045,C1_00610W_A
orf19.13465,orf19.13465,C1_00620W_A
orf19.6044,orf19.6044,C1_00620W_A
orf19.13464,orf19.13464,C1_00630W_A
orf19.6043,orf19.6043,C1_00630W_A
orf19.13462,orf19.13462,C1_00640C_A
orf19.6041,orf19.6041,C1_00640C_A
orf19.13461,orf19.13461,C1_00650C_A
orf19.6040,orf19.6040,C1_00650C_A
orf19.13460,orf19.13460,C1_00660C_A
orf19.6039,orf19.6039,C1_00660C_A
orf19.13459,orf19.13459,C1_00670C_A
orf19.6038,orf19.6038,C1_00670C_A
orf19.13458,orf19.13458,C1_00680W_A
orf19.6037,orf19.6037,C1_00680W_A
orf19.13457,orf19.13457,C1_00690W_A
orf19.6036,orf19.6036,C1_00690W_A
orf19.13456,orf19.13456,C1_00700W_A
orf19.6035,orf19.6035,C1_00700W_A
orf19.13455,orf19.13455,C1_00710C_A
orf19.6034,orf19.6034,C1_00710C_A
orf19.13454,orf19.13454,C1_00730C_A
orf19.6033,orf19.6033,C1_00730C_A
orf19.13453,orf19.13453,C1_00740C_A
orf19.6032,orf19.6032,C1_00740C_A
orf19.13452,orf19.13452,C1_00750C_A
orf19.6031,orf19.6031,C1_00750C_A
orf19.13451,orf19.13451,C1_00760W_A
orf19.6030,orf19.6030,C1_00760W_A
orf19.13450,orf19.13450,C1_00770C_A
orf19.6029,orf19.6029,C1_00770C_A
orf19.13449,orf19.13449,C1_00780C_A
orf19.6028,orf19.6028,C1_00780C_A
orf19.13448,orf19.13448,C1_00790W_A
orf19.6027,orf19.6027,C1_00790W_A
orf19.13447,orf19.13447,C1_00800C_A
orf19.6026,orf19.6026,C1_00800C_A
orf19.13446,orf19.13446,C1_00810W_A
orf19.6025,orf19.6025,C1_00810W_A
orf19.13445,orf19.13445,C1_00820W_A
orf19.6024,orf19.6024,C1_00820W_A
orf19.13444,orf19.13444,C1_00830W_A
orf19.6023,orf19.6023,C1_00830W_A
orf19.13443,orf19.13443,C1_00840C_A
orf19.6022,orf19.6022,C1_00840C_A
orf19.13442,orf19.13442,C1_00850W_A
orf19.6021,orf19.6021,C1_00850W_A
orf19.13441,orf19.13441,C1_00860W_A
orf19.6020,orf19.6020,C1_00860W_A
orf19.13439,orf19.13439,C1_00870W_A
orf19.6018,orf19.6018,C1_00870W_A
orf19.6019,orf19.6019,C1_00870W_A
orf19.13438,orf19.13438,C1_00880W_A
orf19.6017,orf19.6017,C1_00880W_A
orf19.13437,orf19.13437,C1_00890W_A
orf19.6016,orf19.6016,C1_00890W_A
orf19.13435,orf19.13435,C1_00900W_A
orf19.6014,orf19.6014,C1_00900W_A
orf19.13434,orf19.13434,C1_00910W_A
orf19.6013,orf19.6013,C1_00910W_A
orf19.13433,orf19.13433,C1_00920W_A
orf19.6012,orf19.6012,C1_00920W_A
orf19.13432,orf19.13432,C1_00930C_A
orf19.6011,orf19.6011,C1_00930C_A
orf19.13431,orf19.13431,C1_00950C_A
orf19.6010,orf19.6010,C1_00950C_A
orf19.13430,orf19.13430,C1_00960C_A
orf19.6009,orf19.6009,C1_00960C_A
orf19.10798,orf19.10798,C1_00990C_A
orf19.3288,orf19.3288,C1_00990C_A
orf19.10799,orf19.10799,C1_01000C_A
orf19.3289,orf19.3289,C1_01000C_A
orf19.10800,orf19.10800,C1_01010W_A
orf19.3290,orf19.3290,C1_01010W_A
orf19.10801,orf19.10801,C1_01030W_A
orf19.3291,orf19.3291,C1_01030W_A
orf19.10802,orf19.10802,C1_01040W_A
orf19.3292,orf19.3292,C1_01040W_A
orf19.10803,orf19.10803,C1_01050C_A
orf19.3293,orf19.3293,C1_01050C_A
orf19.10804,orf19.10804,C1_01060W_A
orf19.3294,orf19.3294,C1_01060W_A
orf19.10805,orf19.10805,C1_01070C_A
orf19.3295,orf19.3295,C1_01070C_A
orf19.10806,orf19.10806,C1_01080W_A
orf19.3296,orf19.3296,C1_01080W_A
orf19.10807,orf19.10807,C1_01090C_A
orf19.3297,orf19.3297,C1_01090C_A
orf19.10808,orf19.10808,C1_01100W_A
orf19.3298,orf19.3298,C1_01100W_A
orf19.10810,orf19.10810,C1_01110C_A
orf19.3300,orf19.3300,C1_01110C_A
orf19.10811,orf19.10811,C1_01130W_A
orf19.3301,orf19.3301,C1_01130W_A
orf19.10812,orf19.10812,C1_01140C_A
orf19.3302,orf19.3302,C1_01140C_A
orf19.10813,orf19.10813,C1_01150C_A
orf19.3303,orf19.3303,C1_01150C_A
orf19.10814,orf19.10814,C1_01160C_A
orf19.3304,orf19.3304,C1_01160C_A
orf19.10815,orf19.10815,C1_01170C_A
orf19.3305,orf19.3305,C1_01170C_A
orf19.10816,orf19.10816,C1_01180C_A
orf19.3306,orf19.3306,C1_01180C_A
orf19.10817,orf19.10817,C1_01190C_A
orf19.3307,orf19.3307,C1_01190C_A
orf19.10818,orf19.10818,C1_01200W_A
orf19.3308,orf19.3308,C1_01200W_A
orf19.10819,orf19.10819,C1_01210W_A
orf19.3309,orf19.3309,C1_01210W_A
orf19.10820,orf19.10820,C1_01220C_A
orf19.3310,orf19.3310,C1_01220C_A
orf19.10821,orf19.10821,C1_01240W_A
orf19.3311,orf19.3311,C1_01240W_A
orf19.10822,orf19.10822,C1_01250W_A
orf19.3312,orf19.3312,C1_01250W_A
orf19.10824,orf19.10824,C1_01260C_A
orf19.3314,orf19.3314,C1_01260C_A
orf19.10825,orf19.10825,C1_01270W_A
orf19.3315,orf19.3315,C1_01270W_A
orf19.10827,orf19.10827,C1_01280C_A
orf19.3317,orf19.3317,C1_01280C_A
orf19.10828,orf19.10828,C1_01290C_A
orf19.3318,orf19.3318,C1_01290C_A
orf19.10829,orf19.10829,C1_01300W_A
orf19.3319,orf19.3319,C1_01300W_A
orf19.10830,orf19.10830,C1_01310W_A
orf19.3320,orf19.3320,C1_01310W_A
orf19.10831,orf19.10831,C1_01320W_A
orf19.3321,orf19.3321,C1_01320W_A
orf19.10832,orf19.10832,C1_01330C_A
orf19.3322,orf19.3322,C1_01330C_A
orf19.10833,orf19.10833,C1_01340C_A
orf19.3323,orf19.3323,C1_01340C_A
orf19.10834,orf19.10834,C1_01350C_A
orf19.3324,orf19.3324,C1_01350C_A
orf19.10835,orf19.10835,C1_01360C_A
orf19.3325,orf19.3325,C1_01360C_A
orf19.10837,orf19.10837,C1_01380C_A
orf19.3327,orf19.3327,C1_01380C_A
orf19.10838,orf19.10838,C1_01390C_A
orf19.3328,orf19.3328,C1_01390C_A
orf19.10839,orf19.10839,C1_01400C_A
orf19.3329,orf19.3329,C1_01400C_A
orf19.10840,orf19.10840,C1_01420C_A
orf19.3330,orf19.3330,C1_01420C_A
orf19.10841,orf19.10841,C1_01440C_A
orf19.10842,orf19.10842,C1_01450W_A
orf19.3331,orf19.3331,C1_01450W_A
orf19.10843,orf19.10843,C1_01460W_A
orf19.3332,orf19.3332,C1_01460W_A
orf19.10844,orf19.10844,C1_01470W_A
orf19.3333,orf19.3333,C1_01470W_A
orf19.10845,orf19.10845,C1_01480C_A
orf19.3334,orf19.3334,C1_01480C_A
orf19.10846,orf19.10846,C1_01490W_A
orf19.3335,orf19.3335,C1_01490W_A
orf19.3336,orf19.3336,C1_01500W_A
orf19.10847,orf19.10847,C1_01510W_A
orf19.3337,orf19.3337,C1_01510W_A
orf19.3338,orf19.3338,C1_01510W_A
orf19.10848,orf19.10848,C1_01520C_A
orf19.3340,orf19.3340,C1_01520C_A
orf19.10849,orf19.10849,C1_01530C_A
orf19.3341,orf19.3341,C1_01530C_A
orf19.10850,orf19.10850,C1_01540W_A
orf19.3342,orf19.3342,C1_01540W_A
orf19.10852,orf19.10852,C1_01550W_A
orf19.3344,orf19.3344,C1_01550W_A
orf19.10853,orf19.10853,C1_01560W_A
orf19.3345,orf19.3345,C1_01560W_A
orf19.10855,orf19.10855,C1_01570C_A
orf19.3347,orf19.3347,C1_01570C_A
orf19.10856,orf19.10856,C1_01580W_A
orf19.3348,orf19.3348,C1_01580W_A
orf19.10857,orf19.10857,C1_01590C_A
orf19.3349,orf19.3349,C1_01590C_A
orf19.10858,orf19.10858,C1_01600W_A
orf19.3350,orf19.3350,C1_01600W_A
orf19.10859,orf19.10859,C1_01610C_A
orf19.3351,orf19.3351,C1_01610C_A
orf19.10860,orf19.10860,C1_01620C_A
orf19.3352,orf19.3352,C1_01620C_A
orf19.10861,orf19.10861,C1_01630W_A
orf19.3353,orf19.3353,C1_01630W_A
orf19.10862,orf19.10862,C1_01640W_A
orf19.3354,orf19.3354,C1_01640W_A
orf19.10863,orf19.10863,C1_01650W_A
orf19.3355,orf19.3355,C1_01650W_A
orf19.10864,orf19.10864,C1_01670C_A
orf19.3356,orf19.3356,C1_01670C_A
orf19.10865,orf19.10865,C1_01680C_A
orf19.3357,orf19.3357,C1_01680C_A
orf19.10866,orf19.10866,C1_01690C_A
orf19.3358,orf19.3358,C1_01690C_A
orf19.10867,orf19.10867,C1_01700W_A
orf19.3359,orf19.3359,C1_01700W_A
orf19.10868,orf19.10868,C1_01710W_A
orf19.3360,orf19.3360,C1_01710W_A
orf19.10869,orf19.10869,C1_01740W_A
orf19.12026,orf19.12026,C1_01740W_A
orf19.3361,orf19.3361,C1_01740W_A
orf19.361,orf19.361,C1_01740W_A
orf19.4551,orf19.4551,C1_01740W_A
orf19.12025,orf19.12025,C1_01750W_A
orf19.4550,orf19.4550,C1_01750W_A
orf19.12024,orf19.12024,C1_01760W_A
orf19.4549,orf19.4549,C1_01760W_A
orf19.12023,orf19.12023,C1_01770W_A
orf19.4548,orf19.4548,C1_01770W_A
orf19.12021,orf19.12021,C1_01780C_A
orf19.4546,orf19.4546,C1_01780C_A
orf19.12020,orf19.12020,C1_01790W_A
orf19.4545,orf19.4545,C1_01790W_A
orf19.12019,orf19.12019,C1_01800W_A
orf19.4544,orf19.4544,C1_01800W_A
orf19.12018,orf19.12018,C1_01810C_A
orf19.4543,orf19.4543,C1_01810C_A
orf19.12017,orf19.12017,C1_01820C_A
orf19.4542,orf19.4542,C1_01820C_A
orf19.12015,orf19.12015,C1_01830C_A
orf19.4540,orf19.4540,C1_01830C_A
orf19.12014,orf19.12014,C1_01840C_A
orf19.4539,orf19.4539,C1_01840C_A
orf19.12013,orf19.12013,C1_01850C_A
orf19.4538,orf19.4538,C1_01850C_A
orf19.12012,orf19.12012,C1_01860W_A
orf19.4537,orf19.4537,C1_01860W_A
orf19.12011,orf19.12011,C1_01870C_A
orf19.4536,orf19.4536,C1_01870C_A
orf19.12010,orf19.12010,C1_01880C_A
orf19.4535,orf19.4535,C1_01880C_A
orf19.12009,orf19.12009,C1_01890C_A
orf19.4534,orf19.4534,C1_01890C_A
orf19.12008,orf19.12008,C1_01900C_A
orf19.4533,orf19.4533,C1_01900C_A
orf19.12007,orf19.12007,C1_01910W_A
orf19.4532,orf19.4532,C1_01910W_A
orf19.12006,orf19.12006,C1_01920W_A
orf19.4531,orf19.4531,C1_01920W_A
orf19.12004,orf19.12004,C1_01940C_A
orf19.4529,orf19.4529,C1_01940C_A
orf19.12003,orf19.12003,C1_01950C_A
orf19.4528,orf19.4528,C1_01950C_A
orf19.12002,orf19.12002,C1_01980W_A
orf19.4527,orf19.4527,C1_01980W_A
orf19.12001,orf19.12001,C1_01990W_A
orf19.4526,orf19.4526,C1_01990W_A
orf19.12000,orf19.12000,C1_02000W_A
orf19.4525,orf19.4525,C1_02000W_A
orf19.11999,orf19.11999,C1_02010C_A
orf19.4524,orf19.4524,C1_02010C_A
orf19.11998,orf19.11998,C1_02020W_A
orf19.4523,orf19.4523,C1_02020W_A
orf19.11997,orf19.11997,C1_02030C_A
orf19.4522,orf19.4522,C1_02030C_A
orf19.11145,orf19.11145,C1_02040C_A
orf19.3661,orf19.3661,C1_02040C_A
orf19.11147,orf19.11147,C1_02050C_A
orf19.3663,orf19.3663,C1_02050C_A
orf19.11148,orf19.11148,C1_02070W_A
orf19.3664,orf19.3664,C1_02070W_A
orf19.11149,orf19.11149,C1_02080W_A
orf19.3665,orf19.3665,C1_02080W_A
orf19.11150,orf19.11150,C1_02090C_A
orf19.3666,orf19.3666,C1_02090C_A
orf19.11151,orf19.11151,C1_02100W_A
orf19.3667,orf19.3667,C1_02100W_A
orf19.11152,orf19.11152,C1_02110C_A
orf19.3668,orf19.3668,C1_02110C_A
orf19.11153,orf19.11153,C1_02120C_A
orf19.3669,orf19.3669,C1_02120C_A
orf19.11154,orf19.11154,C1_02130C_A
orf19.3670,orf19.3670,C1_02130C_A
orf19.11155,orf19.11155,C1_02140C_A
orf19.3671,orf19.3671,C1_02140C_A
orf19.11156,orf19.11156,C1_02150W_A
orf19.3672,orf19.3672,C1_02150W_A
orf19.11157,orf19.11157,C1_02160W_A
orf19.3673,orf19.3673,C1_02160W_A
orf19.11158,orf19.11158,C1_02170C_A
orf19.3674,orf19.3674,C1_02170C_A
orf19.11159,orf19.11159,C1_02180W_A
orf19.3675,orf19.3675,C1_02180W_A
orf19.11160,orf19.11160,C1_02190W_A
orf19.3676,orf19.3676,C1_02190W_A
orf19.11161,orf19.11161,C1_02200C_A
orf19.3677,orf19.3677,C1_02200C_A
orf19.11162,orf19.11162,C1_02210W_A
orf19.3678,orf19.3678,C1_02210W_A
orf19.11163,orf19.11163,C1_02220C_A
orf19.3679,orf19.3679,C1_02220C_A
orf19.11164,orf19.11164,C1_02230W_A
orf19.3680,orf19.3680,C1_02230W_A
orf19.11165,orf19.11165,C1_02240W_A
orf19.3681,orf19.3681,C1_02240W_A
orf19.11166,orf19.11166,C1_02250W_A
orf19.3682,orf19.3682,C1_02250W_A
orf19.11167,orf19.11167,C1_02260C_A
orf19.3683,orf19.3683,C1_02260C_A
orf19.11168,orf19.11168,C1_02270C_A
orf19.3684,orf19.3684,C1_02270C_A
orf19.11169,orf19.11169,C1_02280C_A
orf19.3685,orf19.3685,C1_02280C_A
orf19.11170,orf19.11170,C1_02290C_A
orf19.3686,orf19.3686,C1_02290C_A
orf19.11171,orf19.11171,C1_02300W_A
orf19.3687,orf19.3687,C1_02300W_A
orf19.11172,orf19.11172,C1_02310C_A
orf19.3688,orf19.3688,C1_02310C_A
orf19.11173,orf19.11173,C1_02320C_A
orf19.11174,orf19.11174,C1_02320C_A
orf19.3689,orf19.3689,C1_02320C_A
orf19.3690,orf19.3690,C1_02320C_A
orf19.11175,orf19.11175,C1_02350W_A
orf19.3691,orf19.3691,C1_02350W_A
orf19.11177,orf19.11177,C1_02360C_A
orf19.3693,orf19.3693,C1_02360C_A
orf19.11178,orf19.11178,C1_02370C_A
orf19.3694,orf19.3694,C1_02370C_A
orf19.10442,orf19.10442,C1_02380C_A
orf19.2925,orf19.2925,C1_02380C_A
orf19.10443,orf19.10443,C1_02390W_A
orf19.2926,orf19.2926,C1_02390W_A
orf19.10444,orf19.10444,C1_02400C_A
orf19.2927,orf19.2927,C1_02400C_A
orf19.10445,orf19.10445,C1_02410C_A
orf19.2928,orf19.2928,C1_02410C_A
orf19.10446,orf19.10446,C1_02420C_A
orf19.2929,orf19.2929,C1_02420C_A
orf19.10447,orf19.10447,C1_02430C_A
orf19.2930,orf19.2930,C1_02430C_A
orf19.10450,orf19.10450,C1_02440C_A
orf19.2933,orf19.2933,C1_02440C_A
orf19.10451,orf19.10451,C1_02450C_A
orf19.2934,orf19.2934,C1_02450C_A
orf19.10452,orf19.10452,C1_02460W_A
orf19.2935,orf19.2935,C1_02460W_A
orf19.10453,orf19.10453,C1_02470W_A
orf19.2936,orf19.2936,C1_02470W_A
orf19.10454,orf19.10454,C1_02480W_A
orf19.2937,orf19.2937,C1_02480W_A
orf19.10455,orf19.10455,C1_02490C_A
orf19.2938,orf19.2938,C1_02490C_A
orf19.10456,orf19.10456,C1_02500W_A
orf19.2939,orf19.2939,C1_02500W_A
orf19.10457,orf19.10457,C1_02510W_A
orf19.2940,orf19.2940,C1_02510W_A
orf19.10458,orf19.10458,C1_02520W_A
orf19.2941,orf19.2941,C1_02520W_A
orf19.10459,orf19.10459,C1_02530C_A
orf19.10460,orf19.10460,C1_02530C_A
orf19.2942,orf19.2942,C1_02530C_A
orf19.2943,orf19.2943,C1_02530C_A
orf19.10462,orf19.10462,C1_02570C_A
orf19.2945,orf19.2945,C1_02570C_A
orf19.10463,orf19.10463,C1_02580W_A
orf19.2946,orf19.2946,C1_02580W_A
orf19.10464,orf19.10464,C1_02590C_A
orf19.2947,orf19.2947,C1_02590C_A
orf19.10465,orf19.10465,C1_02600W_A
orf19.2948,orf19.2948,C1_02600W_A
orf19.10466,orf19.10466,C1_02610W_A
orf19.2949,orf19.2949,C1_02610W_A
orf19.10468,orf19.10468,C1_02620C_A
orf19.2951,orf19.2951,C1_02620C_A
orf19.10469,orf19.10469,C1_02630C_A
orf19.2952,orf19.2952,C1_02630C_A
orf19.10470,orf19.10470,C1_02640C_A
orf19.2953,orf19.2953,C1_02640C_A
orf19.10471,orf19.10471,C1_02650W_A
orf19.2954,orf19.2954,C1_02650W_A
orf19.10473,orf19.10473,C1_02660C_A
orf19.2956,orf19.2956,C1_02660C_A
orf19.10474,orf19.10474,C1_02670C_A
orf19.2957,orf19.2957,C1_02670C_A
orf19.10475,orf19.10475,C1_02680C_A
orf19.2958,orf19.2958,C1_02680C_A
orf19.10476,orf19.10476,C1_02690C_A
orf19.2959,orf19.2959,C1_02690C_A
orf19.10477,orf19.10477,C1_02710W_A
orf19.2960,orf19.2960,C1_02710W_A
orf19.10478,orf19.10478,C1_02720W_A
orf19.2961,orf19.2961,C1_02720W_A
orf19.10479,orf19.10479,C1_02730W_A
orf19.2962,orf19.2962,C1_02730W_A
orf19.10480,orf19.10480,C1_02740C_A
orf19.2963,orf19.2963,C1_02740C_A
orf19.10481,orf19.10481,C1_02750C_A
orf19.2964,orf19.2964,C1_02750C_A
orf19.10482,orf19.10482,C1_02760W_A
orf19.2965,orf19.2965,C1_02760W_A
orf19.10483,orf19.10483,C1_02780W_A
orf19.2966,orf19.2966,C1_02780W_A
orf19.10484,orf19.10484,C1_02790W_A
orf19.2967,orf19.2967,C1_02790W_A
orf19.2968,orf19.2968,C1_02800W_A
orf19.10486,orf19.10486,C1_02810W_A
orf19.2969,orf19.2969,C1_02810W_A
orf19.10487,orf19.10487,C1_02820W_A
orf19.2970,orf19.2970,C1_02820W_A
orf19.10488,orf19.10488,C1_02830W_A
orf19.2971,orf19.2971,C1_02830W_A
orf19.10489,orf19.10489,C1_02840W_A
orf19.2972,orf19.2972,C1_02840W_A
orf19.10490,orf19.10490,C1_02850W_A
orf19.2973,orf19.2973,C1_02850W_A
orf19.10491,orf19.10491,C1_02860C_A
orf19.2974,orf19.2974,C1_02860C_A
orf19.10492,orf19.10492,C1_02870W_A
orf19.2975,orf19.2975,C1_02870W_A
orf19.10494,orf19.10494,C1_02880C_A
orf19.2977,orf19.2977,C1_02880C_A
orf19.10495,orf19.10495,C1_02890C_A
orf19.2978,orf19.2978,C1_02890C_A
orf19.10497,orf19.10497,C1_02900C_A
orf19.2980,orf19.2980,C1_02900C_A
orf19.10499,orf19.10499,C1_02910C_A
orf19.2982,orf19.2982,C1_02910C_A
orf19.10500,orf19.10500,C1_02920W_A
orf19.2983,orf19.2983,C1_02920W_A
orf19.10501,orf19.10501,C1_02930C_A
orf19.2984,orf19.2984,C1_02930C_A
orf19.10502,orf19.10502,C1_02940C_A
orf19.2985,orf19.2985,C1_02940C_A
orf19.10503,orf19.10503,C1_02950W_A
orf19.2986,orf19.2986,C1_02950W_A
orf19.10504,orf19.10504,C1_02960C_A
orf19.2987,orf19.2987,C1_02960C_A
orf19.10505,orf19.10505,C1_02970W_A
orf19.2988,orf19.2988,C1_02970W_A
orf19.10506,orf19.10506,C1_02980W_A
orf19.2989,orf19.2989,C1_02980W_A
orf19.10507,orf19.10507,C1_02990C_A
orf19.2990,orf19.2990,C1_02990C_A
orf19.10508,orf19.10508,C1_03000W_A
orf19.2991,orf19.2991,C1_03000W_A
orf19.10509,orf19.10509,C1_03010W_A
orf19.2992,orf19.2992,C1_03010W_A
orf19.10511,orf19.10511,C1_03020C_A
orf19.2994,orf19.2994,C1_03020C_A
orf19.10512,orf19.10512,C1_03040W_A
orf19.2995,orf19.2995,C1_03040W_A
orf19.10513,orf19.10513,C1_03050W_A
orf19.2996,orf19.2996,C1_03050W_A
orf19.10515,orf19.10515,C1_03060C_A
orf19.2998,orf19.2998,C1_03060C_A
orf19.10518,orf19.10518,C1_03070C_A
orf19.3000,orf19.3000,C1_03070C_A
orf19.10519,orf19.10519,C1_03080C_A
orf19.3001,orf19.3001,C1_03080C_A
