gene_id	gene_name	Scer.t0000.b2.L001	Scer.t0000.b2.L002	Scer.t0000.b3.L001	Scer.t0000.b3.L002	Scer.t0030.b2.L001	Scer.t0030.b2.L002	Scer.t0030.b4.L001	Scer.t0030.b4.L002	Scer.t0060.b2.L001	Scer.t0060.b2.L002	Scer.t0060.b4.L001	Scer.t0060.b4.L002	Scer.t0090.b2.L001	Scer.t0090.b2.L002	Scer.t0090.b4.L001	Scer.t0090.b4.L002	Scer.t0120.b2.L001	Scer.t0120.b2.L002	Scer.t0120.b4.L001	Scer.t0120.b4.L002	Scer.t0150.b2.L001	Scer.t0150.b2.L002	Scer.t0150.b4.L001	Scer.t0150.b4.L002	Scer.t0180.b2.L001	Scer.t0180.b2.L002	Scer.t0180.b4.L001	Scer.t0180.b4.L002	Scer.t0210.b2.L001	Scer.t0210.b2.L002	Scer.t0210.b4.L001	Scer.t0210.b4.L002	Scer.t0240.b2.L001	Scer.t0240.b2.L002	Scer.t0240.b4.L001	Scer.t0240.b4.L002	Scer.t0360.b2.L001	Scer.t0360.b2.L002	Scer.t0360.b4.L001	Scer.t0360.b4.L002	Scer.t0480.b2.L001	Scer.t0480.b2.L002	Scer.t0480.b4.L001	Scer.t0480.b4.L002
gene-Q0020	15S_RRNA	1.93248	1.015541	1.924905	2.417168	0.484108	0.630013	1.275533	1.164023	2.536837	3.288783	0.856034	0.726348	0.8498	0.597823	0.495542	1.070367	0.550977	0.501858	0.622508	0.768413	1.459963	1.555111	0.426531	0.575649	1.078255	0.512249	1.755033	0.852146	4.177298	2.951231	1.132154	0.572141	3.327964	3.653363	0.462231	0.781082	2.681076	1.478635	2.940535	3.69042	2.451036	1.862257	2.311599	2.415654
gene-Q0045	COX1	0.541171	1.067315	0.566751	0.542097	0.591669	0.629163	0.698261	0.462687	1.563504	1.567008	1.236755	1.054741	0.957973	0.899268	1.117408	2.15577	1.553727	1.583723	1.18	1.544317	2.066073	1.747858	2.169573	2.454913	3.702353	2.409426	1.330075	1.813555	2.788546	2.686024	1.521908	1.468358	4.222297	3.251935	2.478096	3.013478	3.549663	3.051824	2.091998	1.389075	2.513027	2.412098	1.703752	2.319293
gene-Q0050	AI1	0.494306	0.500986	0.193645	0.490246	0.130171	0.395558	0.521038	0.206627	0.654353	0.537983	0.268999	0.182698	0.166443	0.291997	0.445338	0.314339	0.345782	0.420122	0.478567	0.355838	1.014151	1.075163	0.490132	0.496479	0.225951	0.276192	0.391755	0.438122	0.857018	0.981881	0.6672	0.539934	1.051047	0.971892	0.290478	0.589326	1.059981	0.832381	0.396539	0.767134	0.631227	0.61231	1.21892	0.636584
gene-Q0055	AI2	0.306562	0.9765	0.802119	0.334468	0.387075	0.257002	0.469158	0.725558	0.717476	0.542029	0.349562	0.534194	0.446436	0.447191	0.65108	0.350147	0.707669	0.477682	0.720858	0.737064	0.856058	1.234449	1.042117	1.055645	0.57257	0.628116	0.620398	0.948889	1.159376	1.382272	0.780326	0.83318	1.451139	1.593165	0.333816	0.47865	2.018774	1.921386	1.030658	0.747536	1.277173	1.27294	0.902623	0.818776
gene-Q0060	AI3	0	0.100422	0	0.10779	0.197784	0	0	0	0.359688	0.604613	0	0	0.092411	0.190681	0.097807	0.098554	0.24069	0	0.095577	0.197251	0.446223	0.112932	0	0.199432	0.099385	0.101112	0.330914	0.321456	0.480957	0.120052	0.097839	0.197615	0.295972	0.196697	0.654771	0	0	0.109713	0.394304	0.099225	0.176088	0.181599	0.324506	0
gene-Q0065	AI4	0.824252	1.216408	0.521913	0.67736	0.74824	0.487891	0.323676	0.530431	1.177287	0.548885	0.532873	0.250499	0.768327	0.68278	1.073323	0.811145	0.756081	0.956045	0.515786	0.650151	0.694865	0.741592	1.200176	0.829694	0.87021	0.885296	1.567726	1.165821	0.819425	0.920983	0.599149	0.877109	2.472172	0.968375	0.318712	0.992862	1.176369	1.43495	1.183593	0.927897	0.991575	1.078648	1.284211	0.701354
gene-Q0070	AI5_ALPHA	0.12109	0.168168	0.196483	0.296307	0.621242	0.072465	0.340129	0.517545	0.407513	0.469371	0.220159	0.088186	0.313992	0.36169	0.078939	0.49885	0.217366	0.241258	0.467014	0.165512	0.54986	0.30307	0.44204	0.074991	0.35496	0.174886	0.172974	1.261117	0.382242	0.982324	0.457176	0.161686	0.734897	0.843325	0.55319	0.380135	0.096858	0.931034	0.946288	0.693022	0.966229	1.094152	1.13869	1.390228
gene-Q0075	AI5_BETA	0.360511	0.852497	0.38681	0.652887	0.581316	1.05774	0.427578	0.86603	0.326798	0.880135	0.836853	0.729644	0.439318	0.668879	1.539626	0.835129	1.481264	1.497951	0.810211	0.934758	1.545283	1.563527	1.436692	1.573296	1.204068	1.346855	1.152478	1.168741	1.000607	2.327784	1.303958	1.914265	3.478018	2.580528	1.678669	2.092778	1.025977	2.34295	2.223987	0.829814	3.060973	1.939697	2.585879	3.657377
gene-Q0080	ATP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-Q0085	ATP6	0	0	0	0.194629	0	0.351413	0.159494	0	0	0.327493	0	0.181201	0	0.166598	0.17632	0	0.277106	0	0	0	0.576312	0.388697	0	0.18134	0.359014	0.182305	0	0.193778	0.213377	1.736597	0	0	0	0.174409	0.192673	0	0.764296	0.774856	0.174118	0.528447	0.315754	0	0.386376	0
gene-Q0105	COB	0	0.219807	0	0.11791	0	0	0	0	0.098364	0	0.167506	0.109817	0	0	0	0	0.08353	0.084487	0.209069	0.211079	0.232521	0.352909	0	0	0.21744	0	0	0.117234	0.258075	0.656726	0	0	0.209434	0	0.116576	0	0.579065	0.235143	0	0	0.262432	0	0.335724	0
gene-Q0110	BI2	0	0.098163	0	0	0	0	0	0	0	0.266512	0.139658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189505	0	0.105559	0	0.105107	0	0	0	0.086879	0	0
gene-Q0115	BI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058982	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075725	0	0	0	0	0	0	0	0	0	0	0.074899	0	0
gene-Q0120	BI4	0.18111	0.183554	0.129966	0	0.116631	0.059045	0	0	0	0	0	0	0.055128	0	0.05976	0	0	0	0.058386	0	0	0	0.059918	0	0	0.061773	0	0	0	0	0.059714	0.060373	0	0	0	0	0	0	0.118223	0.119864	0.384009	0.482675	0.074091	0.4067
gene-Q0130	OLI1	4.536735	1.535793	3.263349	13.271052	7.235794	4.380145	2.636074	2.661261	5.384097	12.197668	7.270666	13.282811	4.083755	4.143505	4.243639	9.970032	16.693801	15.637099	10.176407	7.32914	67.984426	55.733789	4.56736	15.336807	23.981786	27.330089	19.416506	27.817972	12.570781	27.435191	20.66643	20.796282	48.875207	49.262761	16.456838	6.641904	60.883476	50.612341	32.979848	43.496052	35.916827	40.769872	36.732356	38.710811
