"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"orf19.10",59.8239773309959,-2.0350713710652,0.394379329243617,4.04666426832652e-08,1.03645854142294e-07
"orf19.100",234.373116974709,-1.38409219131865,0.194323142798996,3.35044686171781e-13,1.09495978497588e-12
"orf19.1027",929.772403946269,-1.37539034894179,0.106837822662501,2.06571336517042e-38,1.25903410485779e-37
"orf19.1033",3607.53144603693,-2.26071768020108,0.0739786505253636,6.01368957231793e-206,1.98197208179727e-204
"orf19.1034",505.841919811576,-1.75023953392809,0.139907694714028,1.51149163279659e-36,8.90736176034999e-36
"orf19.1067",1123.61768746501,-2.51434627626475,0.108996043811623,1.11540271108123e-118,1.78149833008333e-117
"orf19.1077",2055.67507271025,-2.18829181114813,0.0902110461794507,7.27321922085846e-131,1.32858893040256e-129
"orf19.1107",611.490634460522,-1.81743840781008,0.129914632202587,3.7978840543257e-45,2.59397146649065e-44
"orf19.1108",4217.13307871909,-2.94312828786437,0.0779974112226716,0,0
"orf19.111",889.653725882383,-1.73334452583807,0.116392254660195,7.60771619869322e-51,5.73016495787909e-50
"orf19.1113",125.702405081224,-1.36438656002556,0.257375212410084,3.56028998576049e-08,9.15650137130558e-08
"orf19.1120",88.9772093388147,-1.04046170379343,0.296016344117216,0.000197342419530471,0.000387408109440688
"orf19.113",53.8757692558023,-2.29838952775831,0.451086514851867,4.60557634351153e-08,1.17767385237e-07
"orf19.1148",17.55838054646,-2.83901503572892,0.815415971273794,5.94303121613918e-05,0.000121933930979351
"orf19.1149",1160.5239688947,-1.27946000004575,0.0981878808248021,2.98714884842297e-39,1.85328189012218e-38
"orf19.1158",263.683469060875,-1.10006892333397,0.177432612890857,2.4596944553603e-10,7.06056993660797e-10
"orf19.1159",1038.23993711955,-2.44471092518696,0.111173005627826,4.61820660302434e-108,6.64360483377335e-107
"orf19.1183",2259.4039283518,-1.06213647650963,0.0806891590172897,6.55628538574686e-40,4.125161784628e-39
"orf19.1187",2651.26271431527,-1.2766337588864,0.0829405357169627,6.50138442067381e-54,5.06214044454715e-53
"orf19.1193",13835.527130118,-1.26289900977606,0.0622859983718841,8.02679487485134e-92,9.72741347771381e-91
"orf19.1208",316.526629878056,-1.33515024556631,0.167668129944184,5.65406490352254e-16,2.0500099117603e-15
"orf19.1210",2097.11393481016,-1.70489338551767,0.081787480391818,3.72883996602799e-97,4.68285164282023e-96
"orf19.1234",391.058005773705,-1.40670804194936,0.159071996769744,2.82651891503623e-19,1.13516352815994e-18
"orf19.1275",952.046674335893,-1.59696121706503,0.112350090231107,1.87616574351395e-46,1.308693887609e-45
"orf19.1277",221.745790869627,-3.00766887276669,0.2283571897171,1.79006324050448e-40,1.13316096799821e-39
"orf19.1290",1755.07332420354,-1.55392819277482,0.088550280874289,1.60065388110633e-69,1.50839228826193e-68
"orf19.1295",25258.5738067176,-1.89895141728217,0.0577975924721954,1.77586883612124e-237,7.04578788547721e-236
"orf19.1314",634.100131715683,-1.52481243533812,0.124726682663585,6.12045581453294e-35,3.49123802827158e-34
"orf19.1325",307.667152217494,-1.23842768579896,0.16708030172295,4.56005929363427e-14,1.55301308584187e-13
"orf19.1330",235.42719449137,-2.54240493835353,0.219393265004509,5.63732676305345e-32,3.04025181013506e-31
"orf19.1331",1174.8085882181,-1.68783332603009,0.100005043949648,1.42903743177484e-64,1.29570220706339e-63
"orf19.1339",7629.86212213475,-1.7049490898139,0.0637652831700805,4.16686122871211e-158,1.00213816963891e-156
"orf19.1340",3494.10546944348,-3.32567867462717,0.0821470725603612,0,0
"orf19.1341",595.338054410731,-2.11237326700071,0.132360826936227,4.0222862438001e-58,3.34064280168411e-57
"orf19.1342",16552.4938397877,-1.32743781441615,0.0582535966211906,2.98581051348113e-115,4.64965342211849e-114
"orf19.1354",1038.31492883351,-6.46130308392428,0.465163493213534,3.65031256876059e-45,2.49591624487483e-44
"orf19.1358",12129.8937336441,-1.13955572228848,0.0587875761280956,4.25631568930444e-84,4.7598905617015e-83
"orf19.1364",1476.073040047,-1.80250342309029,0.0922507818170378,1.03541492846598e-85,1.17908584815623e-84
"orf19.1365",103.035267934077,-1.76361431352846,0.297067092087784,6.14614039992867e-10,1.72763125230847e-09
"orf19.1368",865.222102216378,-1.58643350505129,0.109613347493246,4.56118105010658e-48,3.27322543330805e-47
"orf19.1375",6894.13587796328,-2.72604664315889,0.0679117553140625,0,0
"orf19.1381",2149.61052702106,-1.58435193077008,0.0816151932402322,1.5399826123065e-84,1.73463864232499e-83
"orf19.1395",1467.41811246401,-2.29089269442895,0.0981956607451258,2.7857331817021e-121,4.57845171209033e-120
"orf19.1433",504.220218586986,-1.59170552258592,0.137321363257724,1.15273463487546e-31,6.18465464310015e-31
"orf19.1461",577.57366105015,-1.38484917641947,0.130527226747825,8.6398799559052e-27,4.214394067763e-26
"orf19.1473",526.380897861839,-2.10566295844964,0.14406154073906,3.96424066437186e-49,2.90167509969122e-48
"orf19.1497",227.482182852946,-1.19625433573534,0.191539430096173,1.64588716827572e-10,4.75741585670045e-10
"orf19.1510",1865.65420738872,-1.06714349893034,0.0873679283925413,1.17699752140452e-34,6.68934084017223e-34
"orf19.1517",21614.9887245205,-2.11951585705529,0.0590457438742986,5.32613959184422e-283,2.69727833476404e-281
"orf19.1559",18291.6465197949,-2.58049978946734,0.0615156703422322,0,0
"orf19.1562",286.880054127156,-1.60975010542831,0.183288617845072,4.0995349966503e-19,1.6348273683825e-18
"orf19.1563",1236.05161385993,-1.56764922703524,0.0969256223486425,1.96563110781333e-59,1.66131834064712e-58
"orf19.1580",93.1589180752202,-1.19546461964333,0.292036652177034,1.57423431779613e-05,3.3989274057373e-05
"orf19.1584",1788.81621665173,-2.07721077508209,0.0882978580908581,3.700137580665e-123,6.16260882084554e-122
"orf19.1589.1",4814.08897584171,-3.61632044865929,0.0762222877700974,0,0
"orf19.1596",740.175503571099,-1.72697532701686,0.118209720063702,5.38995529012869e-49,3.9359943144445e-48
"orf19.1598",3352.03422249787,-1.56476823775445,0.0723794345446041,3.12902395038016e-104,4.22791544184773e-103
"orf19.1608",78.7981623566083,-1.38614271032662,0.328818345234316,7.42744867629133e-06,1.6447059297767e-05
"orf19.1610",242.516349897745,-1.25836157638894,0.187778910674564,7.51833117125756e-12,2.31153429742169e-11
"orf19.1613",15837.2973552215,-1.72287179069807,0.0587817282055548,1.54459398993893e-189,4.60348132216727e-188
"orf19.1616",204.693816782913,-3.36272306502691,0.248776309192676,1.75549050585542e-42,1.15104740641825e-41
"orf19.1628",4180.31035186249,-1.24269214100818,0.0685310450241121,6.24387586068443e-74,6.22289643779253e-73
"orf19.1631",10341.345891943,-2.18524538619053,0.0621996190630821,3.4151421046509e-271,1.55276789561098e-269
"orf19.164",579.38040862047,-2.48144031202865,0.143155587807034,3.21322507328035e-68,3.00980135059598e-67
"orf19.1653",825.160138147708,-1.4138038680324,0.116493931432098,2.01956480931105e-34,1.14258575814701e-33
"orf19.1655",47.857457177142,-1.71099810898295,0.42863418518091,1.3814808878086e-05,2.99938809695356e-05
"orf19.1656",453.115407447929,-1.1608903184189,0.140653956687666,6.33396771821057e-17,2.37819680028533e-16
"orf19.1691",21069.5535408861,-9.41528667131435,0.14180303527066,0,0
"orf19.1724",33.0132677250779,-1.67176754746925,0.516385232608694,0.000244993011358871,0.000477192453956975
"orf19.173",1506.13339746866,-1.05674576915324,0.0953285854436403,6.82987108045607e-29,3.46161651425231e-28
"orf19.176",259.876095128765,-3.17835485785954,0.216838794983056,1.35003749020397e-49,9.95193316743261e-49
"orf19.1763",83.3319702704658,-1.55838595928152,0.321042406261816,3.00947192233155e-07,7.31123268494666e-07
"orf19.1785",1631.50747225529,-2.14195625160565,0.0902013033727924,1.90581845889446e-125,3.31601764817139e-124
"orf19.1789.1",13284.2514964916,-2.8512344685001,0.0600982761693656,0,0
"orf19.1799",2338.32652025621,-1.04527201370849,0.081234092680164,3.33376083992547e-38,2.02200547924983e-37
"orf19.1800",610.301436568644,-1.13417188210142,0.131091163848077,2.18192623358936e-18,8.52648589023096e-18
"orf19.1815",6501.51055894458,-1.41867280038092,0.0648761402605593,1.55590277113376e-106,2.18774680844067e-105
"orf19.1832",3455.49445374938,-1.88719270883778,0.0732302672925605,3.93434652901693e-147,8.69044132242783e-146
"orf19.1847",2630.67424121971,-3.06624146892293,0.0917756128682159,1.55719986358392e-245,6.42370725183062e-244
"orf19.1855",177.391880102976,-1.1609727019733,0.234462477813746,2.85226244903714e-07,6.94284595351793e-07
"orf19.1857",2218.1801889148,-2.71345540225213,0.0863957395257991,1.70927588539834e-217,5.98150533154286e-216
"orf19.1861",1008.3377842208,-1.12653664726634,0.101712688471736,7.04785038270171e-29,3.56919187267065e-28
"orf19.1862",826.436774188628,-2.69406207487393,0.121479786038756,7.03683430016044e-110,1.04362954418332e-108
"orf19.1865",3745.1016296851,-1.07276622101652,0.0695005884581105,4.37633789992637e-54,3.42464934405042e-53
"orf19.1867",388.456403095923,-2.78878112390134,0.170585964842654,5.44769925226041e-61,4.67406592869561e-60
"orf19.1868",4540.88266270828,-4.86488505247226,0.0874284326589522,0,0
"orf19.1880",8429.68354506012,-1.19459701806362,0.0611080857497262,1.64501215204154e-85,1.86305103546668e-84
"orf19.1887",1801.59573196708,-1.98038025023811,0.0870215449818213,2.20376414410322e-115,3.4404127452679e-114
"orf19.1890",1073.01196270442,-1.97298530248408,0.106803169126367,6.78556446338011e-77,6.99789421231701e-76
"orf19.1891",8942.86196934539,-1.80576256696239,0.0637236189620237,2.70512075753527e-177,7.59017891832757e-176
"orf19.1893",1658.77357520876,-1.37034576578409,0.0877677584485588,1.95079832710017e-55,1.55988739146431e-54
