"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"orf19.10",59.8239773309959,-2.03507137106519,0.39437932924357,4.04666426832664e-08,1.03645854142297e-07
"orf19.100",234.373116974709,-1.38409219131865,0.194323142798985,3.35044686171552e-13,1.09495978497513e-12
"orf19.1007",764.348586376652,1.39743677863142,0.116608948892419,1.39094672540396e-33,7.74973806130704e-33
"orf19.1010",526.666300921317,1.03686281434366,0.132428173899496,2.35973669355098e-15,8.38015955765626e-15
"orf19.1026",608.664184670093,1.12908293228956,0.125673656954281,1.13685182041482e-19,4.62839868585876e-19
"orf19.1027",929.772403946269,-1.37539034894179,0.106837822662466,2.06571336517033e-38,1.25903410485773e-37
"orf19.1029",244.541172743057,1.42632982219732,0.19524029953458,8.38531306041692e-14,2.82030858819314e-13
"orf19.1030",5273.26844033008,4.41441888973498,0.0847875853686233,0,0
"orf19.1033",3607.53144603693,-2.26071768020108,0.0739786505253701,6.01368957258057e-206,1.98197208188383e-204
"orf19.1034",505.841919811576,-1.75023953392809,0.139907694714018,1.51149163278895e-36,8.90736176030496e-36
"orf19.1042",22468.8954624789,1.18600031582,0.0585234444085365,3.59624714571023e-92,4.37519989660724e-91
"orf19.1045",478.518087145004,1.0148713322125,0.13839098290733,1.10698905723387e-13,3.6992676166898e-13
"orf19.1047",2506.46790859982,3.09118125452887,0.0862757051325705,4.81096359357843e-282,2.41673324390323e-280
"orf19.1065",50271.5178807257,3.45319989689429,0.0702826474007943,0,0
"orf19.1067",1123.61768746501,-2.51434627626475,0.108996043811626,1.11540271107838e-118,1.78149833007878e-117
"orf19.107",822.295244825135,1.79724667239606,0.11976887324035,1.56214789307182e-51,1.1881097955976e-50
"orf19.1077",2055.67507271025,-2.18829181114813,0.090211046179493,7.27321922129947e-131,1.32858893048312e-129
"orf19.1082",108.728104318644,1.99093108021859,0.291217261452357,1.50808176784428e-12,4.77814920239168e-12
"orf19.1083",267.105281993471,1.05585983016694,0.184754738768536,5.15811011173463e-09,1.38909934656269e-08
"orf19.1091",508.809743358423,2.94272256400172,0.153777196635156,1.71296333532473e-82,1.87852968586932e-81
"orf19.1107",611.490634460522,-1.81743840781008,0.129914632202591,3.79788405430773e-45,2.59397146647838e-44
"orf19.1108",4217.13307871909,-2.94312828786437,0.0779974112226629,0,0
"orf19.1109",581.628167790959,1.02441300256711,0.126303877381894,2.48137138168435e-16,9.167534007421e-16
"orf19.111",889.653725882383,-1.73334452583807,0.116392254660187,7.60771619870136e-51,5.73016495788522e-50
"orf19.1113",125.702405081224,-1.36438656002555,0.257375212410032,3.56028998576049e-08,9.15650137130558e-08
"orf19.1120",88.9772093388147,-1.04046170379342,0.296016344117242,0.000197342419530463,0.000387408109440672
"orf19.1124.2",1969.51915627927,1.8384443159128,0.0841208038826245,1.49518497262779e-106,2.10712832454718e-105
"orf19.113",53.8757692558023,-2.2983895277583,0.451086514851775,4.60557634351171e-08,1.17767385237005e-07
"orf19.1148",17.55838054646,-2.8390150357289,0.815415971273852,5.94303121613929e-05,0.000121933930979353
"orf19.1149",1160.5239688947,-1.27946000004575,0.0981878808247991,2.98714884839597e-39,1.85328189010543e-38
"orf19.1158",263.683469060875,-1.10006892333397,0.177432612890844,2.45969445535995e-10,7.06056993660696e-10
"orf19.1159",1038.23993711955,-2.44471092518696,0.111173005627829,4.61820660301671e-108,6.64360483376238e-107
"orf19.1164",5026.48612503569,2.42979682567407,0.0743311805536109,3.202242000961e-235,1.25451354867837e-233
"orf19.1168",1595.61656128843,1.06142561844374,0.0870312885652973,1.55237300552073e-34,8.80667709598234e-34
"orf19.1171",7665.12646775208,10.6846345195002,0.344103485319988,8.087078242338e-210,2.72294110116343e-208
"orf19.1183",2259.4039283518,-1.06213647650963,0.080689159017299,6.55628538585278e-40,4.12516178469464e-39
"orf19.1187",2651.26271431527,-1.2766337588864,0.0829405357169527,6.50138442059995e-54,5.06214044448963e-53
"orf19.1193",13835.527130118,-1.26289900977609,0.0622859983718978,8.02679487505061e-92,9.7274134779553e-91
"orf19.1199",6978.24052135393,2.55626028301131,0.0689059232579477,4.28188927637516e-302,2.4247171184128e-300
"orf19.1203.1",1149.4438491963,1.06462088206743,0.103516291767627,3.90870394154519e-25,1.83753334731208e-24
"orf19.1208",316.526629878056,-1.33515024556631,0.167668129944178,5.65406490351635e-16,2.05000991175805e-15
"orf19.1210",2097.11393481016,-1.70489338551767,0.0817874803917891,3.7288399660141e-97,4.68285164280279e-96
"orf19.1224",1271.12772458238,1.41927961481247,0.108101846845131,7.19316354729586e-40,4.51675561855906e-39
"orf19.1234",391.058005773705,-1.40670804194935,0.159071996769711,2.82651891503595e-19,1.13516352815983e-18
"orf19.124",989.908960722338,3.59307147493676,0.128363075807348,2.90170341599207e-173,7.89288671537757e-172
"orf19.1250",986.79797234224,1.89124211920324,0.113647518319538,7.32231251619609e-63,6.42404009343457e-62
"orf19.1253",3388.20087455051,1.49687046086766,0.074242850678774,6.14540506579907e-91,7.36148618362739e-90
"orf19.1275",952.046674335893,-1.59696121706503,0.112350090231079,1.87616574349784e-46,1.30869388759777e-45
"orf19.1277",221.745790869627,-3.00766887276669,0.228357189717094,1.79006324050448e-40,1.13316096799821e-39
"orf19.1287",1541.55116593895,1.46175948991885,0.0908353960067281,8.48125938839724e-59,7.11991438414102e-58
"orf19.1290",1755.07332420354,-1.55392819277482,0.0885502808743025,1.60065388113278e-69,1.50839228828685e-68
"orf19.1295",25258.5738067176,-1.89895141728218,0.0577975924721743,1.7758688360722e-237,7.04578788528264e-236
"orf19.1300",870.403686751838,1.08871592965541,0.107128884032934,1.3377107741755e-24,6.20909121634814e-24
"orf19.1301",303.718663726522,1.68179593084268,0.173109518926716,6.27540798176572e-23,2.78812527235511e-22
"orf19.1303",355.385330863239,1.09344070507031,0.155505379300569,9.1780880816462e-13,2.94692322992651e-12
"orf19.1304",470.000783082014,1.36548846690185,0.141600009313974,1.75497427411458e-22,7.70926287267964e-22
"orf19.1305",525.02583433645,1.5759782750589,0.134542017925954,2.90818739498077e-32,1.57385745293964e-31
"orf19.1314",634.100131715683,-1.52481243533812,0.12472668266361,6.1204558144714e-35,3.49123802823648e-34
"orf19.1325",307.667152217494,-1.23842768579895,0.167080301722971,4.56005929363147e-14,1.55301308584092e-13
"orf19.1330",235.42719449137,-2.54240493835353,0.219393265004514,5.63732676306817e-32,3.040251810143e-31
"orf19.1331",1174.8085882181,-1.68783332603009,0.100005043949642,1.4290374318306e-64,1.29570220711394e-63
