"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CaalfMp01",0.998934044987603,-0.00652764896841729,0.843851652660056,0.981181738898835,0.984818087592788
"CaalfMp02",1.49893290351104,-0.0132542552720872,0.831492174820225,0.964104388485554,0.973543230649995
"CaalfMp03",1.73904581848573,-0.363403735204516,0.931241371343845,0.263051262418009,0.329820111433531
"CaalfMp04",0,NA,NA,NA,NA
"CaalfMp05",2.31821172087095,-0.535019149256451,1.02047689925333,0.157346038683666,0.208844763469115
"CaalfMp06",2.75669992421177,-0.0716140865158152,0.783109244333245,0.848899603691039,0.876188174215655
"CaalfMp07",0,NA,NA,NA,NA
"CaalfMp08",4.38374877599654,-0.245922015169974,0.79514648541651,0.542803013782047,0.619030532155667
"CaalfMp08.1",3.47843192202633,-0.134570489499751,0.782654954287978,0.72895711166082,0.788722224862819
"CaalfMp08.2",0.979139607966241,0.136744553787422,0.866119913403273,0.597133950568244,0.66898334138302
"CaalfMp08.3",0.25918396499167,0.0755156322095932,0.891597211398143,0.77227697386026,0.815894380966004
"CaalfMp08.4",2.62929665871876,0.00762149281952492,0.87321834116742,0.971983709244688,0.979373426865927
"CaalfMp09",1.22967622536942,-0.0823186987445024,0.845252807921449,0.773814776082706,0.817015079989151
"CaalfMp10",0.979139607966241,0.136744553787422,0.866119913403273,0.597133950568244,0.66898334138302
"CaalfMp11",2.29877897735178,-0.83487471837406,1.41690186156773,0.0330411473011501,0.0502228664077267
"CaalfMp11.1",4.67717732516518,-0.0820579915227456,0.730564161065729,0.844249353937414,0.872924976731616
"CaalfMp12",0.249823934622449,-0.0792541218912782,0.892634764725349,0.764625735911806,0.812496367962238
"CaalfMp13",0.509720582394846,-0.151196604170776,0.900999332028085,0.50632209381545,0.585135495802679
"CaalfMp14",1.46871476406119,-0.00762685317276052,0.831892756005166,0.978875100430239,0.983612356925304
"CaalfMp15",0.778977260536464,-0.0705669490194861,0.86665902021634,0.750322789782581,0.805357075576657
"CaalfMr16",442.861246776843,-0.461909879279348,0.585248067407152,0.304008616311709,0.375248133196148
"CaalfMr17",136.735586823797,-0.315002713408621,0.641918375998145,0.488001605486897,0.567543316015288
"CaalfMt18",0,NA,NA,NA,NA
"CaalfMt19",0,NA,NA,NA,NA
"CaalfMt20",0,NA,NA,NA,NA
"CaalfMt21",0,NA,NA,NA,NA
"CaalfMt22",0,NA,NA,NA,NA
"CaalfMt23",0,NA,NA,NA,NA
"CaalfMt24",0,NA,NA,NA,NA
"CaalfMt25",0,NA,NA,NA,NA
"CaalfMt26",0,NA,NA,NA,NA
"CaalfMt27",0,NA,NA,NA,NA
"CaalfMt28",0,NA,NA,NA,NA
"CaalfMt29",0,NA,NA,NA,NA
"CaalfMt30",0,NA,NA,NA,NA
"CaalfMt31",0,NA,NA,NA,NA
"CaalfMt32",0,NA,NA,NA,NA
"CaalfMt33",0,NA,NA,NA,NA
"CaalfMt34",0,NA,NA,NA,NA
"CaalfMt35",0,NA,NA,NA,NA
"CaalfMt36",0,NA,NA,NA,NA
"CaalfMt37",0,NA,NA,NA,NA
"CaalfMt38",0.249823934622449,-0.0792541218912782,0.892634764725349,0.764625735911806,0.812496367962238
"CaalfMt39",0,NA,NA,NA,NA
"CaalfMt40",0,NA,NA,NA,NA
"CaalfMt41",0,NA,NA,NA,NA
"CaalfMt42",0,NA,NA,NA,NA
"CaalfMt43",0,NA,NA,NA,NA
"CaalfMt44",0,NA,NA,NA,NA
"CaalfMt45",0,NA,NA,NA,NA
"CaalfMt46",0,NA,NA,NA,NA
"CaalfMt47",0,NA,NA,NA,NA
"CD39",0,NA,NA,NA,NA
"ITS1",1.78763302939548,-0.202178868571339,0.852352546740276,0.531462101498804,0.609552095421847
"ITS2",1.74733147257203,0.209432124567583,0.847945287968393,0.533664879304281,0.610280619274163
"LSU-C2809",0,NA,NA,NA,NA
"LSU-G1431",0,NA,NA,NA,NA
"orf19.10",59.8239773309959,-2.03507137106519,0.39437932924357,4.04666426832664e-08,1.03645854142297e-07
"orf19.100",234.373116974709,-1.38409219131865,0.194323142798985,3.35044686171552e-13,1.09495978497513e-12
"orf19.1002",381.410077644292,0.0438837317529957,0.150114651312452,0.767444255606827,0.814102566106084
"orf19.1005",9.9530653377797,0.272632950741728,0.672547042163409,0.553549372769651,0.628519694309544
"orf19.1007",764.348586376652,1.39743677863142,0.116608948892419,1.39094672540396e-33,7.74973806130704e-33
"orf19.1008",3.48673898455995,-0.357480116838392,0.846916503929313,0.37997949521715,0.455950536270279
"orf19.1009",0.719955642974571,0.0554491824235871,0.866123614112664,0.799436531266491,0.836220008943572
"orf19.101",284.846631482113,-0.71004310238002,0.171049750924419,2.25125301818867e-05,4.80241611311549e-05
"orf19.1010",526.666300921317,1.03686281434366,0.132428173899496,2.35973669355098e-15,8.38015955765626e-15
"orf19.1011",1777.85140376477,-0.328074719030538,0.0865857315252277,0.000140018413504007,0.000278472125707682
"orf19.1012",684.48899536442,0.30640828195937,0.117759745303718,0.00866592256104166,0.0143678551058633
"orf19.102",734.374260017008,0.764241975135342,0.124492492216601,5.49047083350029e-10,1.54681785716297e-09
"orf19.1026",608.664184670093,1.12908293228956,0.125673656954281,1.13685182041482e-19,4.62839868585876e-19
"orf19.1026.1",51.7474338061422,0.511206791013201,0.361396719210385,0.121541596396844,0.165591120725272
