"GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","elim","weight01"
"GO:0006412","translation",281,241,175.91,11,"1.2e-18","7.5e-13","2.2e-14"
"GO:0000462","maturation of SSU-rRNA from tricistronic...",83,82,51.96,21,"4.7e-16","9.1e-09","9.1e-09"
"GO:0000447","endonucleolytic cleavage in ITS1 to sepa...",43,42,26.92,42,"4.4e-08","4.4e-08","4.4e-08"
"GO:0000027","ribosomal large subunit assembly",34,34,21.28,45,"1.1e-07","1.1e-07","1.1e-07"
"GO:0000463","maturation of LSU-rRNA from tricistronic...",41,39,25.67,49,"1.4e-06","1.4e-06","1.4e-06"
"GO:0042273","ribosomal large subunit biogenesis",98,96,61.35,14,"1.3e-17","2.4e-07","2.6e-06"
"GO:0000472","endonucleolytic cleavage to generate mat...",33,32,20.66,50,"3.8e-06","3.8e-06","3.8e-06"
"GO:0002181","cytoplasmic translation",70,64,43.82,40,"3.5e-08","1.5e-05","5.5e-06"
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tr...",32,31,20.03,52,"6.0e-06","6.0e-06","6.0e-06"
"GO:0000466","maturation of 5.8S rRNA from tricistroni...",84,83,52.58,18,"3.0e-16","1.1e-05","1.1e-05"
"GO:0006364","rRNA processing",211,204,132.09,3,"< 1e-30","4.2e-07","1.4e-05"
"GO:0170034","L-amino acid biosynthetic process",90,82,56.34,36,"5.7e-10","4.3e-06","4.7e-05"
"GO:0170038","proteinogenic amino acid biosynthetic pr...",90,82,56.34,37,"5.7e-10","4.3e-06","4.7e-05"
"GO:0009073","aromatic amino acid family biosynthetic ...",24,23,15.02,70,"0.00020","0.00020","0.00020"
"GO:0042797","tRNA transcription by RNA polymerase III",18,18,11.27,71,"0.00021","0.00021","0.00021"
"GO:0000467","exonucleolytic trimming to generate matu...",17,17,10.64,86,"0.00034","0.00034","0.00034"
"GO:0006744","ubiquinone biosynthetic process",17,17,10.64,87,"0.00034","0.00034","0.00034"
"GO:0006457","protein folding",78,66,48.83,55,"1.5e-05","0.00040","0.00040"
"GO:0030150","protein import into mitochondrial matrix",21,20,13.15,105,"0.00071","0.00071","0.00071"
"GO:0008033","tRNA processing",101,88,63.23,39,"3.0e-08","0.00072","0.00072"
"GO:0042255","ribosome assembly",49,49,30.67,33,"9.5e-11","0.00083","0.00083"
"GO:0071035","nuclear polyadenylation-dependent rRNA c...",15,15,9.39,110,"0.00088","0.00088","0.00088"
"GO:0009070","serine family amino acid biosynthetic pr...",20,19,12.52,116,"0.00109","0.00109","0.00109"
"GO:0071038","TRAMP-dependent tRNA surveillance pathwa...",14,14,8.76,120,"0.00141","0.00141","0.00141"
"GO:0097250","mitochondrial respirasome assembly",41,36,25.67,83,"0.00032","0.00032","0.00213"
"GO:0002098","tRNA wobble uridine modification",26,23,16.28,142,"0.00347","0.00347","0.00347"
"GO:0031167","rRNA methylation",12,12,7.51,144,"0.00360","0.00360","0.00360"
"GO:0009152","purine ribonucleotide biosynthetic proce...",27,25,16.9,93,"0.00045","0.00045","0.00380"
"GO:0016579","protein deubiquitination",21,19,13.15,150,"0.00467","0.00467","0.00467"
"GO:0170041","non-proteinogenic amino acid metabolic p...",29,25,18.15,154,"0.00492","0.00492","0.00492"
