gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
CaalfMp01,6,0,1,1
CaalfMp02,1,0,3,0
CaalfMp03,4,1,1,5
CaalfMp04,3,0,0,0
CaalfMp05,8,0,6,2
CaalfMp06,12,5,2,4
CaalfMp07,0,0,0,0
CaalfMp08,31,0,9,3
CaalfMp08.1,7,3,7,1
CaalfMp08.2,5,0,2,0
CaalfMp08.3,4,0,0,0
CaalfMp08.4,0,2,0,5
CaalfMp09,4,0,2,1
CaalfMp10,1,0,1,0
CaalfMp11,17,0,5,4
CaalfMp11.1,7,1,6,6
CaalfMp12,0,0,0,1
CaalfMp13,2,0,1,1
CaalfMp14,12,0,0,3
CaalfMp15,3,0,2,0
CaalfMr16,2381,141,658,418
CaalfMr17,638,28,186,135
CaalfMt18,0,0,0,0
CaalfMt19,0,0,0,0
CaalfMt20,0,0,0,0
CaalfMt21,0,0,0,0
CaalfMt22,0,0,0,0
CaalfMt23,0,0,0,0
CaalfMt24,0,0,0,0
CaalfMt25,0,0,0,0
CaalfMt26,0,0,0,0
CaalfMt27,0,0,0,0
CaalfMt28,0,0,0,0
CaalfMt29,0,0,0,0
CaalfMt30,0,0,0,0
CaalfMt31,0,0,0,0
CaalfMt32,0,0,0,0
CaalfMt33,0,0,0,0
CaalfMt34,0,0,0,0
CaalfMt35,0,0,0,0
CaalfMt36,0,0,0,0
CaalfMt37,0,0,0,0
CaalfMt38,0,0,0,1
CaalfMt39,0,0,0,0
CaalfMt40,0,0,0,0
CaalfMt41,0,0,0,0
CaalfMt42,0,0,0,0
CaalfMt43,0,0,0,0
CaalfMt44,0,0,0,0
CaalfMt45,0,0,0,0
CaalfMt46,0,0,0,0
CaalfMt47,0,0,0,0
CD39,0,0,0,0
ITS1,0,0,2,3
ITS2,8,1,1,1
LSU-C2809,0,0,0,0
LSU-G1431,0,0,0,0
orf19.10,91,57,102,89
orf19.100,232,144,306,364
orf19.1002,435,305,388,348
orf19.1005,12,14,3,13
orf19.1007,840,565,414,407
orf19.1008,1,1,1,9
orf19.1009,0,0,1,0
orf19.101,284,190,362,335
orf19.1010,628,456,329,344
orf19.1011,1581,1115,1834,2058
orf19.1012,549,431,608,590
orf19.102,1041,726,566,496
orf19.1026,2383,1521,378,367
orf19.1026.1,153,96,40,41
orf19.1027,2083,1463,1275,1365
orf19.1028,559,402,198,204
orf19.1029,1111,636,142,114
orf19.103,33,21,32,30
orf19.1030,10480,7048,430,496
orf19.1031,6236,4283,5260,5803
orf19.1032,5149,3809,967,968
orf19.1033,4385,3042,5634,6091
orf19.1034,604,416,744,791
orf19.1035,1094,857,387,430
orf19.1036,2720,1934,2162,2306
orf19.1037,1137,760,1414,1499
orf19.1039,423,276,351,319
orf19.104,100,59,86,87
orf19.1040,175,116,166,135
orf19.1041,599,355,365,387
orf19.1042,20212,14564,13106,13750
orf19.1043,450,242,241,261
orf19.1045,1199,736,318,299
orf19.1047,7825,4957,495,536
orf19.1048,440,274,141,158
orf19.1049,85,60,123,159
orf19.105,2187,1595,2220,2315
orf19.1050,159,108,154,142
orf19.1051,9717,6896,12915,12802
orf19.1052,8141,6372,10588,10274
orf19.1053,894,716,732,769
orf19.1054,1289,801,844,963
orf19.1055,2939,1972,4589,4745
