gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
orf19.1033,3494.6632985916012,-2.660142283787816,0.09151542350292348,6.973983912542686e-187,3.404778324782019e-185
orf19.1075,458.4649184603213,-1.409596890955546,0.19688367775103693,1.7641601175371195e-13,8.728809824115827e-13
orf19.1077,2129.005028482479,-2.003023267801521,0.09998273974619998,4.086156757342472e-90,7.81444946746546e-89
orf19.1097,5696.698296376425,-1.1352457081017973,0.08655043880426161,7.658546698874492e-40,7.729339987687617e-39
orf19.1107,687.5540600762546,-1.21921444319183,0.1483483166760317,6.576838624426386e-17,3.7293593899603826e-16
orf19.1108,4143.479299318611,-3.352281794853195,0.08779331366328214,0,0
orf19.111,940.5425415854373,-1.4679808969860977,0.13760026616413562,2.561343404109724e-27,2.0132025054553524e-26
orf19.1120,89.34946859580336,-1.0100757524488255,0.3771232735451356,0.0026034361895077053,0.005319372003400398
orf19.1146,69.82401990947399,-1.785033569160579,0.4485657541872195,9.96257944039271e-6,2.7838664280855383e-5
orf19.1155,503.1616561742372,-1.6914176307646573,0.1730217488239506,2.5949668407880696e-23,1.8289643050390092e-22
orf19.1159,1241.4202385665155,-1.314203150416049,0.12071988027782656,3.6207480995609736e-28,2.9106549314409167e-27
orf19.1187,2623.161755493634,-1.3835960092871085,0.09654445628440411,3.4357977344050196e-47,3.878188984041756e-46
orf19.1193,13963.840006842667,-1.2678123564368164,0.07133491910790327,1.4414685735557273e-71,2.2424919130057364e-70
orf19.1200,165.87855636082205,-2.5075453422649363,0.30321791490516115,1.4222432095311024e-17,8.243793893083272e-17
orf19.1210,1968.417563826147,-2.230055984516379,0.10566835045918159,7.299171724794468e-100,1.6055504105271347e-98
orf19.1219,132.8748626756102,-1.882511130537547,0.3261146799224813,1.1331710242270984e-9,4.497483146387129e-9
orf19.1233,2739.403036067378,-1.2337821579527586,0.0920631737586893,1.8071229679909187e-41,1.8938522552854216e-40
orf19.1235,3961.753226258273,-1.2055993746733236,0.08469291422775432,1.8474361430876676e-46,2.0620546541340973e-45
orf19.1277,216.77676963732043,-3.5127528296389,0.31079565068268955,5.568583453822286e-31,4.743169310667067e-30
orf19.1295,21562.559407362856,-3.8276512633067408,0.06766672992233036,0,0
orf19.1310,206.29144139566654,-1.1598419942530986,0.2654384068703896,3.7102044894400986e-6,1.0825936811996011e-5
orf19.1330,252.5647690414936,-2.047373627434261,0.25410774904791184,7.760065388612425e-17,4.379623370170828e-16
orf19.1340,3551.382586489923,-3.246679232964787,0.09165807630959351,6.83918956757385e-276,6.318358977427841e-274
orf19.1341,652.3146683527236,-1.5681809974864642,0.15362183583973352,3.6416403992946387e-25,2.709795613105862e-24
orf19.1342,14971.575294962136,-1.9934793182123505,0.06748974996807253,1.3094237922130256e-192,6.897447256350192e-191
orf19.1354,1046.8092913965938,-6.954506643933028,0.5354414819982156,2.10542770136844e-40,2.1612125379004246e-39
orf19.1358,10864.88760130969,-1.7964970928041972,0.07201435847610559,3.560157969542622e-138,1.1077071817152044e-136
orf19.136,548.6152366107257,-1.2751322792712136,0.1635563689641069,1.889797545567211e-15,1.0114290785321837e-14
orf19.1364,1645.8917549385283,-1.2502700057759628,0.11391642296111404,1.324968910527765e-28,1.0722962678866883e-27
orf19.1375,6806.8136861066405,-3.0099766450749375,0.07717117523430701,0,0
orf19.1394,771.8878445365172,-1.4862695438268807,0.14425553006860975,1.4943571025506393e-25,1.1231056822048296e-24
orf19.1409.1,3231.7890529791175,-2.5829423015700765,0.09220651177603055,1.0856938701621793e-173,4.591261753749216e-172
orf19.1413,375.258975962097,-1.0363027049891174,0.19221595639347902,2.6551967948456406e-8,9.50206004353282e-8
