gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
orf19.1005,85.4623285731244,4.093360244455566,0.810836045406142,2.3625539512325368e-8,1.5968557332799962e-7
orf19.1007,2742.8815604566053,3.4258527613920187,0.1676635979935473,1.771492411495578e-94,7.276833667091835e-93
orf19.1010,917.1020607263417,1.9116355052968137,0.23514973846195347,6.364078001185783e-17,7.235729398848193e-16
orf19.1029,303.2325143717119,1.5933765376580047,0.3770547327529271,4.3875410777606e-6,2.324082699010128e-5
orf19.1030,2787.814658100162,3.284360467584176,0.15792111644368823,4.0420555361442874e-97,1.7389032161236947e-95
orf19.1033,3777.325402315015,-2.6478246044177336,0.1493676638800977,1.759349594097788e-71,5.573024311254038e-70
orf19.1042,27590.908041419196,1.4186620726016324,0.10778601501911524,3.911808753898028e-40,8.139374619630308e-39
orf19.1045,607.7225487429623,1.277104396065798,0.27294067427842716,8.190348471522113e-7,4.779830313307176e-6
orf19.1047,1283.3372639007875,1.7684645882890997,0.20366539339820336,8.77944114002673e-19,1.083308173227717e-17
orf19.1048,266.6093774329644,1.0211417175399422,0.38175569419902,0.0030344663622227917,0.009842306331264653
orf19.1064,24238.009299048197,-1.2216991767073355,0.11308993183091014,1.1219893096917729e-27,1.845918846203493e-26
orf19.1065,16197.982522130205,1.3284586489090746,0.11711310563377529,2.8381053973496098e-30,4.9917726698687756e-29
orf19.107,664.0494367150145,1.1614746069897484,0.2586597337988762,2.497773873016519e-6,1.379299761448064e-5
orf19.1077,2293.2393544878464,-2.0133796436178484,0.16602666999561852,1.0846283503542144e-34,2.080068887561832e-33
orf19.1082,120.77319601218989,1.831932977414774,0.5872592099842124,2.558527207128705e-4,0.0010645911161363943
orf19.1091,300.7725283310322,1.7997602771460541,0.37272519453321035,2.3829779169809797e-7,1.4659343379147727e-6
orf19.11,76.14270092467092,2.5238390063493474,0.7635846802931219,8.161729188471192e-5,3.647016248239411e-4
orf19.1107,772.3347039804513,-1.0062457015576973,0.24168774141121843,1.3223697228580476e-5,6.593209103709623e-5
orf19.1108,4504.912591458156,-3.2381170717394903,0.1382424764317839,1.643126106127243e-122,8.369427134169725e-121
orf19.111,1049.023546453059,-1.276598029303119,0.21262527293484199,6.000578198853173e-10,4.592029013473335e-9
orf19.1124.2,1534.223511683837,1.148595659346792,0.18650869387769384,2.651377996165517e-10,2.0789807514268283e-9
orf19.1152,7148.131532165282,1.2007868333356606,0.12459108238139142,1.5243870098930223e-22,2.200855349657341e-21
orf19.1153,19551.329549032405,1.847204389342725,0.12452162506744767,1.0419420182401124e-50,2.6325574722757125e-49
orf19.1155,491.98034536333347,-2.4112631056932887,0.30193427302326614,1.558136646059408e-16,1.7527660822367934e-15
orf19.1159,1400.5618337313113,-1.0863968578665044,0.19123768814886966,5.4787641295634275e-9,3.8587711518728256e-8
orf19.1171,29008.493735552405,12.513533423107496,0.6610201837603178,1.113884152969441e-82,4.099480001130885e-81
orf19.1187,2972.0877938869244,-1.1439700570072688,0.17156712337707988,7.385147028894419e-12,6.467844722554438e-11
orf19.1193,14964.567343990026,-1.3088034056519298,0.12391251257900084,1.1985150801153122e-26,1.9318849405301752e-25
orf19.1203.1,1256.6990180708794,1.0330090179673532,0.20133855419784807,1.2698516574902982e-7,8.077068434805923e-7
orf19.1210,2077.117277016011,-2.4152523615788306,0.17045931472213163,8.255642542195934e-47,1.9540400024595358e-45
orf19.1219,152.15569986870534,-1.380814738753453,0.5331470889019039,0.001924792828173672,0.006573781467641914
orf19.1224,1167.5867448536808,1.0376109914692322,0.20873613577554337,2.9572209152681137e-7,1.7966245770526793e-6
orf19.1233,3066.210441941393,-1.0666822281664583,0.1584875030183632,9.013590591299021e-12,7.850825074528162e-11
orf19.1235,4225.203662206943,-1.25742846638478,0.13680519232221,1.2500152190677681e-20,1.6755467157483116e-19
orf19.124,411.1181219703254,1.9205164203120664,0.3229136319085028,4.3307178572959897e-10,3.342264314836796e-9
orf19.125,232.31068087323547,1.6414181072218785,0.4213966102033348,1.8146975378225526e-5,8.963676666653369e-5
orf19.1250,907.5878514146452,1.5312234866202235,0.23317080273677318,1.1363937125801855e-11,9.844107167344274e-11
orf19.1266,609.4584421622106,1.6283153233793157,0.270366809097772,3.366047686179429e-10,2.623209989951582e-9
