gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
CaalfMp01,4.22659372673986,0.7734116944904835,1.2173746079907135,0.10619911640119276,0.14522479301261815
CaalfMp02,1.007731318460782,-0.04385879066729242,0.9395681923818089,0.860322599836843,0.8890809255505191
CaalfMp03,5.918132150822146,0.5988732400776067,0.9967489563945523,0.19531154655880978,0.2516095964741121
CaalfMp04,1.0746180555317817,0.2116939081903359,0.9784512874659335,0.31606451170734473,0.3868307677076376
CaalfMp05,5.696036983267736,0.3573975034341648,0.8648455504859198,0.4299373115908209,0.5055991573159135
CaalfMp06,4.129857337473937,0.22744238581324128,0.8683406245673784,0.5689689180002696,0.6413346201814333
CaalfMp07,0,NA,NA,NA,NA
CaalfMp08,16.289305680169708,1.7301404488735272,0.978424193557429,0.01172947099913284,0.019144653814676588
CaalfMp08.1,3.666973133104786,-0.13862889996970856,0.8831789288379714,0.7092836203440571,0.7699103648209987
CaalfMp08.2,1.8452789314893527,0.22664775487645988,0.945239061321996,0.431836760812124,0.5076417839236408
CaalfMp08.3,0.5373090277658908,0.10564504749391039,0.9577724236417607,0.5886536680060805,0.6585332350406431
CaalfMp08.4,4.494981744514337,0.4932480681459881,1.003261770888022,0.2029496328523277,0.26058966421318197
CaalfMp09,3.333315159574881,0.3935510179547664,0.9584355150223456,0.3115755321172787,0.38223521002724464
CaalfMp10,0.7186485161326934,0.011911024434523906,0.9476267724631926,0.8622488693268563,0.8903207627754418
CaalfMp11,9.973369905827736,0.9785286941916008,1.013526076629495,0.09653235295984128,0.13323042661654258
CaalfMp11.1,5.960706406730681,0.05913100745372556,0.7902366501252238,0.8969435705570025,0.9193083052559304
CaalfMp12,0.22836008987541337,-0.059976530012013425,0.95326127900564706,0.8250223119558975,0.8611325434514614
CaalfMp13,1.725106670588739,0.14100589943634398,0.9157016231386003,0.62981203207142,0.6965950745941285
CaalfMp14,2.593527343875062,0.24585906477190875,0.940767391068204,0.3495195628576355,0.42346291036154876
CaalfMp15,0.4741408850064216,-0.06140698013506011,0.9547168756436034,0.7390684875028524,0.7945113403162115
CaalfMr16,1065.0743061150545,1.6425276723572357,0.36291006303885925,1.2414551334736975e-6,3.014617828971497e-6
CaalfMr17,325.3147748379778,1.7157178312530335,0.23482705075634447,4.757661601597631e-14,1.7610112373686019e-13
CaalfMt18,0,NA,NA,NA,NA
CaalfMt19,0,NA,NA,NA,NA
CaalfMt20,0,NA,NA,NA,NA
CaalfMt21,0,NA,NA,NA,NA
CaalfMt22,0,NA,NA,NA,NA
CaalfMt23,0,NA,NA,NA,NA
CaalfMt24,0,NA,NA,NA,NA
CaalfMt25,0,NA,NA,NA,NA
CaalfMt26,0,NA,NA,NA,NA
CaalfMt27,0,NA,NA,NA,NA
CaalfMt28,0,NA,NA,NA,NA
CaalfMt29,0,NA,NA,NA,NA
CaalfMt30,0,NA,NA,NA,NA
CaalfMt31,0,NA,NA,NA,NA
CaalfMt32,0,NA,NA,NA,NA
CaalfMt33,0,NA,NA,NA,NA
CaalfMt34,0,NA,NA,NA,NA
CaalfMt35,0,NA,NA,NA,NA
CaalfMt36,0,NA,NA,NA,NA
CaalfMt37,0,NA,NA,NA,NA
CaalfMt38,0.22836008987541337,-0.059976530012013425,0.95326127900564706,0.8250223119558975,0.8611325434514614
CaalfMt39,0,NA,NA,NA,NA
CaalfMt40,0,NA,NA,NA,NA
CaalfMt41,0,NA,NA,NA,NA
CaalfMt42,0,NA,NA,NA,NA
CaalfMt43,0,NA,NA,NA,NA
CaalfMt44,0,NA,NA,NA,NA
CaalfMt45,0,NA,NA,NA,NA
CaalfMt46,0,NA,NA,NA,NA
CaalfMt47,0,NA,NA,NA,NA
CD39,0,NA,NA,NA,NA
ITS1,2.586090155252001,2.485110825745137e-4,0.8809036627432731,0.994502652403008,0.9959372611338346
ITS2,2.5589356893057795,0.3471327197837574,0.9621858292646859,0.32977063331294715,0.4019521882441072
LSU-C2809,0.24078903681474134,0.05176543791271117,0.9525484125286049,0.7660016445853908,0.8135575116849709
LSU-G1431,0.24078903681474134,0.05176543791271117,0.9525484125286049,0.7660016445853908,0.8135575116849709
orf19.10,63.47610667512561,-1.081790834909141,0.46270115798806594,0.007718807005454039,0.012971249642301463
orf19.100,280.63243718688176,-0.30189784018444177,0.211102720186861,0.1436288541774819,0.1904888730420095
orf19.1002,388.6484114338642,0.33443220091021325,0.18513890446188316,0.06611915518014264,0.09472884236769806
orf19.1005,110.17640660848012,4.662286422177699,1.062606618865771,2.27733984349853e-7,5.853072538946449e-7
orf19.1007,2009.641555473621,3.2448840682638274,0.10379138726293351,1.791881583418939e-215,5.625967906131423e-214
orf19.1008,5.386838289435351,0.14011493287958512,0.8679990643725417,0.6604096427886612,0.7261949046363174
orf19.1009,3.7574446000497055,0.819898820355008,1.3609334732990952,0.06295430767668014,0.09058924789587691
