gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0150,t0180,t0210,t0240,t0360,t0480
CaalfMp08,0,0,0,0,0,0,0,0,0,0,3.2625454493137247,3.0747839399121712
CaalfMp11,0,0,0,0,0,0,0,0,0,0,2.9588209809477113,2.1581489757810903
CaalfMr16,0,-1.10487333288871,0,0,0,1.9706636531382111,0,0,1.6425276723572355,1.9091570206745987,2.257064852365488,2.507187609499537
CaalfMr17,0,-1.1464267741320189,0,0,0,1.9734372488996643,0,0,1.7157178312530337,2.008628641280796,2.6490117819178116,2.0405978761384604
RDN18,0,0,0,0,0,1.6284533389454197,1.0831561360671176,1.4409901586295415,2.08437241937213,1.9033983172201792,2.360518393536246,2.0923049063593355
RDN25,0,0,0,0,0,1.63153811965492,0,0,2.0048720721256186,1.5041282120423287,1.80136001900882,0
RDN5,0,0,0,0,0,2.261891157630035,0,0,1.6452971297349086,1.6769429841317338,0,1.5527145396851736
RDN58,0,-1.052616246148243,0,0,0,1.4512594660822735,0,0,0,1.4678060430684203,2.051856277854842,1.210973249191562
RPR1,-1.202938630688831,-2.3599983581275215,-2.185489686422914,-2.7444888132686605,-1.6009247917195368,0,0,-1.5083590878256687,0,-1.1579623258531784,0,0
TER1,-1.1702293667140842,0,0,0,0,0,0,0,0,0,0,0
orf19.10,0,-2.405019975668186,-2.7958490159619647,-1.985532526039319,-1.3623396677062314,0,0,0,0,0,0,0
orf19.100,-1.026292635115114,-1.4332782697364383,-1.1215621055681897,-1.3696934838694592,-1.118709552957031,0,0,0,0,0,0,0
orf19.1005,0,0,0,0,0,2.4841381895624224,4.093360244455566,4.572161221224544,4.662286422177699,5.104799992445322,6.2281276610430645,5.975807926747074
orf19.1007,0,0,0,1.3905818141158537,2.786121074064146,3.3685491608946574,3.4258527613920187,3.438703805707635,3.2448840682638274,3.1436116093381,3.220040519987214,3.169041721234963
orf19.1010,0,0,0,1.030341402004065,1.8829152782344944,2.057754909371183,1.9116355052968137,2.046181370655534,1.961973346478718,2.0496633161358684,1.924415184399867,1.8942140839441508
orf19.1026,2.128636348021295,2.055695781013254,1.9409396045068024,1.1231698733731144,0,0,0,1.25939404827861,1.5152159327333137,1.493454554213743,1.5519312984114473,1.5435237838734202
orf19.1026.1,1.2095744957395522,1.2923144210131077,0,0,0,0,0,1.304311959025198,1.6313559033889031,2.0100042145227506,1.9984187017325856,2.0588581596426163
orf19.1027,0,-1.0906364359525904,-1.6835591981332778,-1.371896884221117,0,0,0,0,0,0,0,0
orf19.1029,2.485596311438582,2.4483568345857196,2.3628877985974257,1.4212216740367805,0,0,1.593376537658005,2.264670075400716,2.4367721649661576,2.43592645976651,2.618433154262598,2.7002257587448772
orf19.1030,3.9976819202306113,5.291688845291114,5.333814646049126,4.413264609718032,1.632581627527404,1.4575864400986909,3.284360467584176,4.650695955910932,5.069724053922437,5.247460924775763,5.363848834887103,5.177429122797116
orf19.1031,0,0,0,0,0,0,0,0,0,0,-1.081534498901319,-1.0336850891499196
orf19.1032,1.969310970624372,0,0,0,0,0,0,0,0,0,0,0
orf19.1033,0,-2.31963055731582,-2.0522535108569557,-2.2595345413640935,-2.544237776808508,-2.660142283787816,-2.6478246044177336,-2.526124386436197,-2.468959540444322,-2.4432046179443385,-2.37029747194828,-2.556546720389694
orf19.1034,0,-2.8934997989338225,-2.214105019095355,-1.7477282322427994,-1.1606312734623554,0,0,0,0,0,0,0
orf19.1035,1.0117076556289792,0,0,0,0,0,0,0,0,0,0,0
orf19.1036,0,0,0,0,0,0,0,-1.0946947100617357,-1.3940013200731276,-1.5297266212385128,-1.4850133605688145,-1.6939537155803603
orf19.1037,0,-1.508902613363745,-1.1342852953990714,0,0,0,0,0,0,0,0,0
orf19.1042,0,0,0,1.1872311341128965,1.610980533080251,1.9066292147056385,1.4186620726016324,1.4522705680188803,1.4082210317802917,1.3980964594649838,1.3839873972472718,1.2952318052713625
orf19.1043,0,0,0,0,0,0,0,0,1.1370863031779916,1.0668976980950464,1.2803295847837903,1.106776967839554
orf19.1045,1.3722916572850057,1.4385997360282032,1.6216969589587569,1.0076244660422593,0,1.0491220718159315,1.277104396065798,2.0068704344227983,2.543011408146794,2.6040027090691567,2.650619722008759,2.538567028258781
orf19.1047,3.37728673703873,4.048917336871811,4.108831687081272,3.0914896866962884,0,0,1.7684645882890997,2.5451246002855665,2.52846514409208,2.531703403735474,2.485290017442852,2.4564971393524493
orf19.1048,0,1.8720502673485793,1.2644451556498506,0,0,1.132151992101145,1.0211417175399422,1.321143414461784,1.8362286051076049,2.066539661740102,3.6984761885300106,4.134000820088
orf19.1049,-1.0631218660609127,0,0,0,0,0,0,0,0,0,0,0
orf19.105,0,-1.2251204740230388,-1.3267654275343543,0,0,0,0,0,0,0,0,0
orf19.1050,0,0,0,0,0,0,0,0,1.2563963132625946,1.3476721645626135,1.7592520813437753,1.7895001869933036
orf19.1051,0,0,0,0,0,0,0,0,0,0,0,-1.1161923565117813
orf19.1052,0,0,0,0,0,0,0,0,0,0,0,-1.000161171984108
orf19.1055,-1.165446800755934,0,0,0,0,0,0,0,0,0,0,0
orf19.1059,0,0,0,0,0,1.0735948118351906,0,0,0,0,0,0
orf19.1061,0,0,0,0,0,1.1917367803124777,0,0,0,0,0,0
orf19.1064,0,0,0,0,0,0,-1.2216991767073355,-1.483619014126812,-1.7257972444369378,-1.8387121145550376,-2.2398032910619032,-2.532519538571956
