"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GWK60_A00319",5050.0662370719,-1.5439525103453,0.0556926418078212,1.12810417503026e-169,1.13240991615633e-168
"GWK60_A00517",321.006475482831,-2.76745850284922,0.188478525567322,1.54917352233024e-49,5.8497148079376e-49
"GWK60_A00737",176.432008196002,-2.06036134721088,0.222866735071745,5.32983256235681e-21,1.26797463943902e-20
"GWK60_A00869",4880.80423179066,-3.62630959821859,0.0685977700560038,0,0
"GWK60_A00957",3123.63750441423,-1.19535647891708,0.0627023186908976,2.37690108737254e-81,1.2540120079819e-80
"GWK60_A01045",517.821646945598,-1.35100626552497,0.126974030482392,7.9201824284339e-27,2.11151340970919e-26
"GWK60_A01067",522.418570848548,-1.35893792286346,0.128268520299955,1.27222557108254e-26,3.38145856689953e-26
"GWK60_A01111",1693.62249780408,-1.593097628881,0.0793845825071589,4.30934835274824e-90,2.46382307994084e-89
"GWK60_A01265",8253.72788991518,-1.17578256548503,0.0491769409139829,1.17832026923619e-126,8.82900942476119e-126
"GWK60_A01353",7816.73795381758,-4.35470867441392,0.0655297610992306,0,0
"GWK60_A01375",19682.8347432739,-2.35879944644473,0.121372553448081,2.35484655210063e-85,1.29025967333847e-84
"GWK60_A01595",17337.2113726405,-1.58578447344506,0.0494427770772577,3.08659971459114e-226,4.20609183905425e-225
"GWK60_A01617",2405.40912504541,-1.34840788890566,0.0694924269433375,2.91417241605313e-84,1.58516514047978e-83
"GWK60_A01771",700.379390056928,-2.02638131609157,0.119172435827037,1.55082379357203e-65,7.0382512115521e-65
"GWK60_A01903",4358.22616176216,-2.73737763342698,0.0621237757987922,0,0
"GWK60_A01925",8695.91624380916,-2.17570770101237,0.0517668891237818,0,0
"GWK60_A02013",5345.69836520022,-1.72547805909789,0.0559392504722368,1.602755416832e-209,2.02656093570584e-208
"GWK60_A02101",2537.4181608592,-3.41965006727625,0.0796748447685051,0,0
"GWK60_A02123",3787.11087053026,-1.96690431323876,0.0644714888957863,3.96548834950474e-205,4.88488728768031e-204
"GWK60_A02497",2179.95323987853,-1.60404830890247,0.0727583304221575,3.06711587510778e-108,2.02931188717823e-107
"GWK60_A02607",323.810619971054,-2.26815414640629,0.171054688448138,8.36676573129904e-41,2.7924611514361e-40
"GWK60_A02629",807.406222120611,-1.59235896293006,0.107561294642268,4.49308894200475e-50,1.71258317644529e-49
"GWK60_A03047",13995.4048036047,-2.89374950385844,0.0587845480266507,0,0
"GWK60_A03091",974.202723504701,-2.64673301758749,0.114042184977439,4.21273975014843e-120,3.04382020409076e-119
"GWK60_A03113",65171.921309713,-1.33341170329618,0.0438488354665156,1.13523613141676e-203,1.37906282938849e-202
"GWK60_A03135",310.982594503041,-1.09420477093776,0.158822701062237,2.96910243047617e-12,5.69565236480842e-12
"GWK60_A03157",27217.7638931749,-2.86921641472473,0.0536288418704279,0,0
"GWK60_A03267",24416.6810970906,-2.02213895348169,0.047356066137047,0,0
"GWK60_A03487",186.090090653391,-1.554859577195,0.210977328564501,5.41392430232336e-14,1.09233762294672e-13
"GWK60_A03531",858.250055889266,-4.49636345427947,0.152298009529632,1.80673167952219e-192,2.05701485590622e-191
"GWK60_A03553",191.87907894273,-2.93488515529545,0.248921771827588,7.92481703890948e-33,2.35240054315259e-32
"GWK60_A03861",266.791424913356,-1.10060217300586,0.172139336126776,8.4504983368138e-11,1.55418256124617e-10
"GWK60_A03905",5296.63646810111,-4.48453530849238,0.0708782690037806,0,0
"GWK60_A03927",2425.59725940664,-1.78050405434401,0.0784189084163574,9.16951562597188e-115,6.32131745643671e-114
"GWK60_A04103",1541.94939518663,-2.20684779146448,0.0862055602380973,2.60723294877733e-145,2.21194279202722e-144
"GWK60_A04147",1146.78540189764,-2.26410386634616,0.0965424594560371,2.17761632531908e-122,1.5930823186618e-121
"GWK60_A04389",47.3147834678592,-1.45420582166672,0.405640903964069,0.000113046366147294,0.000162821436455303
"GWK60_A04411",30252.819802678,-3.25277124284438,0.0458547835933305,0,0
"GWK60_A04499",625.372575074748,-1.62700063733625,0.118780503684635,3.32081998301611e-43,1.14842295270643e-42
"GWK60_B00121",4163.47143948808,-3.94676010365645,0.0743942417925032,0,0
"GWK60_B00165",1817.1688027483,-1.0591082364865,0.0791685867055908,4.51811080196136e-41,1.5127474741131e-40
"GWK60_B00187",743.083288365212,-4.27133026554929,0.15346893862607,3.66895399610326e-171,3.71843892475975e-170
"GWK60_B00209",35.9913104219778,-2.25219232310223,0.521423269318157,2.88028740624585e-06,4.41442650257959e-06
"GWK60_B00319",1620.2477328869,-3.64997436344792,0.0993183785815271,1.0367599741e-296,1.93381470346311e-295
"GWK60_B00627",1504.12324046658,-5.53168942618741,0.149391963345171,9.8779572224134e-301,1.86899478380915e-299
"GWK60_B00671",196.879779781701,-2.17311491707426,0.21260748025617,3.19830334318597e-25,8.27093194943865e-25
"GWK60_B00715",447.266291023273,-1.80666258491467,0.143320134776437,4.84416001716365e-37,1.53034724866551e-36
"GWK60_B00935",9515.26324418609,-3.52416843283618,0.0544565772233172,0,0
"GWK60_B01001",2942.47658080077,-1.56323692237348,0.0728613928788189,1.06719720602302e-102,6.81244818407896e-102
"GWK60_B01023",7433.19593279562,-2.73770508592965,0.0577953152857962,0,0
"GWK60_B01045",851.366450002681,-3.07165706632615,0.120351456309451,1.28452855783391e-144,1.08802257877719e-143
"GWK60_B01199",675.866600085921,-3.84726581659155,0.149331284646844,3.2758232142615e-147,2.82010312717111e-146
"GWK60_B01265",988.504910251601,-1.12495387651367,0.0970026520092896,2.16435058409482e-31,6.28282785449157e-31
"GWK60_B01287",442.767976480244,-1.7678367204727,0.139997440249171,4.09408427887528e-37,1.29650110216038e-36
"GWK60_B01309",410.544342585158,-1.38094049890223,0.145348386323562,8.30037374707985e-22,2.00735475446621e-21
"GWK60_B01595",678.300112627844,-2.15794916649092,0.119052926914616,3.99505366446221e-74,1.97129289634814e-73
"GWK60_B01727",805.878003256102,-3.15640546180012,0.122515664814425,3.63160372248749e-147,3.11618851228127e-146
"GWK60_B01837",699.560482075127,-1.26163283317549,0.115383153578897,3.35955411212815e-28,9.17034490388899e-28
"GWK60_B01991",1357.37899258104,-1.84557307240116,0.0863773964163301,7.05550231713524e-102,4.44454397462651e-101
"GWK60_B02123",296.30558774318,-1.2668521570019,0.178205645331842,4.92190737785867e-13,9.65295779550208e-13
"GWK60_B02365",2494.78455512989,-2.32288324045514,0.0724465459263705,2.18965355354951e-226,2.99157862121309e-225
"GWK60_B02431",7618.69721291375,-1.09112737287555,0.0531316024769396,2.9025307314881e-95,1.71929185221029e-94
"GWK60_B02453",2104.37313995961,-2.00638544465052,0.0772653038082974,2.68857687053582e-149,2.3609205908211e-148
"GWK60_B02893",20023.4438537838,-1.55592434317074,0.0472839542290816,6.331243883743e-238,9.09900077281098e-237
"GWK60_B02937",619.856817087721,-1.13722722683182,0.115630030313035,3.99978530139715e-23,9.91931668333286e-23
"GWK60_B03245",4052.11390139924,-3.01753241239863,0.0677049660327942,0,0
"GWK60_B03311",64672.4423367055,-1.78007145669997,0.0422685281596142,0,0
"GWK60_B03509",1346.0148628942,-3.01682587788509,0.189768699995222,7.30308582211919e-58,3.05117008930476e-57
"GWK60_B03553",1234.61360320545,-1.18565462555016,0.0905575538665433,1.70231564632099e-39,5.56852008684602e-39
"GWK60_B03619",2636.20263242422,-1.55547480650601,0.0704939379929591,2.26939984696723e-108,1.50340594396066e-107
"GWK60_B03707",210.819737956865,-1.92737459140181,0.213470729495949,3.78537538741475e-20,8.85330126180595e-20
"GWK60_B03795",1319.42694938359,-1.14976497593961,0.0849703773931484,4.92478905545591e-42,1.67883282123772e-41
"GWK60_B03861",4803.99421693891,-1.99477948356824,0.057435684025507,6.65913196464254e-265,1.07775489643138e-263
"GWK60_B03993",1760.06351145736,-5.25198014135153,0.128382426618704,0,0
"GWK60_B04015",2169.15960498064,-1.44212423350497,0.0729914003687855,2.65418686508565e-87,1.47735692173022e-86
