"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GWK60_A00231",418.102696305913,1.35463130428011,0.148144465278069,2.57204214853469e-20,6.02894015209112e-20
"GWK60_A00319",5050.0662370719,-1.54395251034528,0.0556926418078163,1.12810417480039e-169,1.13240991592558e-168
"GWK60_A00407",5370.34328894381,1.14842862307799,0.0674416568614628,2.6882499318384e-65,1.21793235499311e-64
"GWK60_A00517",321.006475482831,-2.76745850284922,0.188478525567338,1.54917352233421e-49,5.84971480795258e-49
"GWK60_A00583",24.636106398708,1.46385317690726,0.576999345715088,0.00340348409863445,0.00451964815925706
"GWK60_A00605",341.705745908865,1.14128366955929,0.152062628456852,3.12655308919563e-14,6.34967924678341e-14
"GWK60_A00737",176.432008196002,-2.06036134721088,0.222866735071688,5.32983256234826e-21,1.26797463943699e-20
"GWK60_A00847",2034.06470709669,1.54468467871515,0.0762109951485967,8.83633955520498e-92,5.13581724424069e-91
"GWK60_A00869",4880.80423179066,-3.62630959821858,0.0685977700559744,0,0
"GWK60_A00957",3123.63750441423,-1.19535647891708,0.0627023186909009,2.37690108732676e-81,1.25401200795775e-80
"GWK60_A01001",2071.87305113962,2.52115596663204,0.0806232328723284,2.36606949309449e-215,3.05037390531299e-214
"GWK60_A01023",2528.05977447457,1.09275758383606,0.0667375086915463,1.60574284941952e-60,6.90613850200054e-60
"GWK60_A01045",517.821646945598,-1.35100626552497,0.1269740304824,7.92018242847529e-27,2.11151340972022e-26
"GWK60_A01067",522.418570848548,-1.35893792286346,0.128268520299927,1.27222557108612e-26,3.38145856690904e-26
"GWK60_A01111",1693.62249780408,-1.593097628881,0.0793845825071524,4.30934835266608e-90,2.46382307989387e-89
"GWK60_A01133",5990.43300706084,2.62495969083361,0.0584329621447963,0,0
"GWK60_A01155",55391.1660503907,7.12962642863754,0.107449895887652,0,0
"GWK60_A01199",647.444799587359,1.44401539185135,0.118368290452012,1.15810063511003e-34,3.53546682569863e-34
"GWK60_A01221",1142.02003387696,2.26298341921072,0.202818214730575,1.14297906727439e-29,3.21157579800389e-29
"GWK60_A01265",8253.72788991518,-1.17578256548503,0.0491769409139819,1.17832026919342e-126,8.82900942444074e-126
"GWK60_A01353",7816.73795381758,-4.35470867441395,0.0655297610992187,0,0
"GWK60_A01375",19682.8347432739,-2.35879944644473,0.121372553448081,2.35484655210063e-85,1.29025967333847e-84
