"GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","elim","weight01"
"GO:0006412","translation",331,301,260.37,4,"6.9e-10","1.2e-05","8.4e-08"
"GO:0000462","maturation of SSU-rRNA from tricistronic...",80,79,62.93,12,"9.0e-08","2.3e-05","2.9e-05"
"GO:0000027","ribosomal large subunit assembly",30,30,23.6,38,"0.00073","0.00073","0.00073"
"GO:0000463","maturation of LSU-rRNA from tricistronic...",37,36,29.11,42,"0.00149","0.00149","0.00149"
"GO:0006364","rRNA processing",217,207,170.7,2,"1.5e-12","0.00337","0.00153"
"GO:0000447","endonucleolytic cleavage in ITS1 to sepa...",36,35,28.32,43,"0.00186","0.00186","0.00186"
"GO:0043604","amide biosynthetic process",34,33,26.75,47,"0.00286","0.00286","0.00286"
"GO:0000422","autophagy of mitochondrion",42,38,33.04,156,"0.03760","0.03760","0.00311"
"GO:0000466","maturation of 5.8S rRNA from tricistroni...",73,72,57.42,13,"4.5e-07","0.00013","0.00477"
"GO:0006418","tRNA aminoacylation for protein translat...",36,34,28.32,81,"0.00992","0.00992","0.00992"
"GO:0009267","cellular response to starvation",40,36,31.46,182,"0.05091","0.05091","0.01025"
"GO:0000472","endonucleolytic cleavage to generate mat...",26,25,20.45,96,"0.01552","0.01552","0.01552"
"GO:0005978","glycogen biosynthetic process",17,17,13.37,100,"0.01679","0.01679","0.01679"
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tr...",25,24,19.67,108,"0.01908","0.01908","0.01908"
"GO:0006897","endocytosis",95,80,74.73,303,"0.11147","0.11147","0.02066"
"GO:0015031","protein transport",331,269,260.37,329,"0.12913","0.12913","0.02089"
"GO:0072330","monocarboxylic acid biosynthetic process",36,32,28.32,279,"0.09094","0.09094","0.02133"
"GO:0042273","ribosomal large subunit biogenesis",93,89,73.16,18,"3.3e-06","0.08564","0.02210"
"GO:0044272","sulfur compound biosynthetic process",53,48,41.69,107,"0.01864","0.01864","0.02506"
"GO:0030490","maturation of SSU-rRNA",95,94,74.73,8,"2.7e-09","0.02558","0.02558"
"GO:0000467","exonucleolytic trimming to generate matu...",15,15,11.8,128,"0.02717","0.02717","0.02717"
"GO:0006267","pre-replicative complex assembly involve...",15,15,11.8,129,"0.02717","0.02717","0.02717"
"GO:0006576","biogenic amine metabolic process",15,15,11.8,130,"0.02717","0.02717","0.02717"
"GO:0006607","NLS-bearing protein import into nucleus",15,15,11.8,131,"0.02717","0.02717","0.02717"
"GO:0015986","proton motive force-driven ATP synthesis",15,15,11.8,132,"0.02717","0.02717","0.02717"
"GO:1902905","positive regulation of supramolecular fi...",28,23,22.03,677,"0.43026","0.43026","0.02740"
"GO:0006826","iron ion transport",23,22,18.09,139,"0.02875","0.02875","0.02875"
"GO:0044248","cellular catabolic process",277,238,217.89,40,"0.00105","0.00105","0.03248"
"GO:0044396","actin cortical patch organization",24,23,18.88,120,"0.02344","0.02344","0.03443"
"GO:0071035","nuclear polyadenylation-dependent rRNA c...",14,14,11.01,147,"0.03457","0.03457","0.03457"
