gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-GWK60_A00011,1,1,1,0
gene-GWK60_A00033,1,1,10,6
gene-GWK60_A00055,201,149,204,162
gene-GWK60_A00077,2386,1986,1945,1723
gene-GWK60_A00099,8989,7605,10174,9387
gene-GWK60_A00121,1662,1454,1392,1316
gene-GWK60_A00143,2213,1786,2123,1898
gene-GWK60_A00165,2057,1804,1863,1607
gene-GWK60_A00187,916,786,979,904
gene-GWK60_A00209,588,457,1012,912
gene-GWK60_A00231,227,174,277,192
gene-GWK60_A00253,10121,8498,10489,9287
gene-GWK60_A00275,379,367,386,415
gene-GWK60_A00297,4236,3610,4835,4089
gene-GWK60_A00319,3461,2927,7948,7082
gene-GWK60_A00341,2316,2064,5479,4875
gene-GWK60_A00363,2337,2043,2018,1980
gene-GWK60_A00385,64207,62074,67044,69102
gene-GWK60_A00407,6442,5707,3293,3343
gene-GWK60_A00429,1341,1087,1706,1502
gene-GWK60_A00451,411,363,460,432
gene-GWK60_A00473,560,409,830,698
gene-GWK60_A00495,1299,1138,1320,1143
gene-GWK60_A00517,504,408,642,485
gene-GWK60_A00539,14,18,11,6
gene-GWK60_A00561,0,0,0,0
gene-GWK60_A00583,21,25,9,14
gene-GWK60_A00605,426,381,225,198
gene-GWK60_A00627,19,12,22,19
gene-GWK60_A00649,145,160,136,165
gene-GWK60_A00671,2187,2014,1554,1381
gene-GWK60_A00693,2075,1913,1948,1687
gene-GWK60_A00715,1208,1054,1337,1155
gene-GWK60_A00737,131,147,308,264
gene-GWK60_A00759,352,330,564,509
gene-GWK60_A00781,1856,1709,2059,1851
gene-GWK60_A00803,1230,1127,1381,1336
gene-GWK60_A00825,380,361,226,219
gene-GWK60_A00847,3167,2578,1144,931
gene-GWK60_A00869,7699,6360,9898,8187
gene-GWK60_A00891,1324,957,895,821
gene-GWK60_A00913,1278,1154,1345,1145
gene-GWK60_A00935,8490,7179,8433,7547
gene-GWK60_A00957,5706,5038,4649,4049
gene-GWK60_A00979,221,184,588,532
gene-GWK60_A01001,2185,1851,681,547
gene-GWK60_A01023,2905,2631,1733,1490
gene-GWK60_A01045,509,474,808,684
gene-GWK60_A01067,359,297,777,727
gene-GWK60_A01089,771,645,836,711
gene-GWK60_A01111,1044,835,2654,2429
gene-GWK60_A01133,12367,10072,1777,1559
gene-GWK60_A01155,103025,86882,771,787
gene-GWK60_A01177,662,685,599,545
gene-GWK60_A01199,737,774,359,333
gene-GWK60_A01221,1223,986,355,415
gene-GWK60_A01243,888,693,442,442
gene-GWK60_A01265,10992,9277,12206,10674
gene-GWK60_A01287,1980,1844,1801,1563
gene-GWK60_A01309,3086,2706,3567,3301
gene-GWK60_A01331,0,0,0,0
gene-GWK60_A01353,9497,7504,16450,13412
gene-GWK60_A01375,28597,25125,38148,28210
gene-GWK60_A01397,66,54,17,15
gene-GWK60_A01419,576,490,116,130
gene-GWK60_A01441,2941,2462,1730,1563
gene-GWK60_A01463,2104,1854,640,524
gene-GWK60_A01485,4938,4288,4082,3523
gene-GWK60_A01507,896,780,895,680
gene-GWK60_A01529,6011,5173,2724,2366
gene-GWK60_A01551,9136,7492,7208,6107
gene-GWK60_A01573,1317,1210,719,597
gene-GWK60_A01595,19935,16109,27274,24668
gene-GWK60_A01617,2139,1798,3607,3292
gene-GWK60_A01639,80,70,113,126
gene-GWK60_A01661,4296,3976,3558,3092
gene-GWK60_A01683,770,647,648,586
gene-GWK60_A01705,0,0,0,0
gene-GWK60_A01727,4053,3800,3199,3142
gene-GWK60_A01749,0,0,0,0
gene-GWK60_A01771,867,699,1209,1042
gene-GWK60_A01793,1538,1368,878,720
gene-GWK60_A01815,99,105,485,372
gene-GWK60_A01837,1379,1281,1437,1280
gene-GWK60_A01859,2334,2031,1982,1752
gene-GWK60_A01881,0,0,0,0
gene-GWK60_A01903,7540,6206,8041,7106
gene-GWK60_A01925,13209,11169,15302,13180
gene-GWK60_A01947,1299,1118,556,493
gene-GWK60_A01969,138,142,120,105
gene-GWK60_A01991,0,0,0,0
gene-GWK60_A02013,9667,8256,8760,7654
gene-GWK60_A02035,13617,11197,16688,15030
gene-GWK60_A02057,3454,2786,410,434
gene-GWK60_A02079,168,129,124,125
gene-GWK60_A02101,534,446,5032,4257
gene-GWK60_A02123,2411,2063,6281,5759
gene-GWK60_A02145,3,0,1,3
gene-GWK60_A02167,8448,7387,7970,6982
gene-GWK60_A02189,4066,3461,2175,1985
gene-GWK60_A02211,5280,4431,5469,4885
gene-GWK60_A02233,2582,2159,2488,2489
gene-GWK60_A02255,0,0,0,0
gene-GWK60_A02277,1829,1514,981,827
gene-GWK60_A02299,3505,3012,2889,2640
gene-GWK60_A02321,1073,859,1052,892
gene-GWK60_A02343,4947,4108,5616,4933
gene-GWK60_A02365,3022,2570,2763,2449
gene-GWK60_A02387,11096,9378,7918,7113
gene-GWK60_A02409,2005,1807,2575,2136
gene-GWK60_A02431,699,586,567,430
gene-GWK60_A02453,11899,10198,10864,9503
gene-GWK60_A02475,2361,2164,2548,2218
gene-GWK60_A02497,3125,2574,3444,3111
gene-GWK60_A02519,2749,2481,2399,2382
gene-GWK60_A02541,1499,1483,1076,1149
gene-GWK60_A02563,2439,2098,2318,2186
gene-GWK60_A02585,8347,7074,7896,7318
gene-GWK60_A02607,290,193,575,500
gene-GWK60_A02629,687,620,1342,1091
gene-GWK60_A02651,1104,883,3282,2874
gene-GWK60_A02673,649,576,720,593
gene-GWK60_A02695,566,522,594,495
gene-GWK60_A02717,1340,1093,1220,1105
gene-GWK60_A02739,388,360,360,308
gene-GWK60_A02761,3639,2960,3609,2905
gene-GWK60_A02783,895,730,723,653
gene-GWK60_A02805,47,35,66,35
gene-GWK60_A02827,98,80,77,70
gene-GWK60_A02849,1023,882,829,683
gene-GWK60_A02871,1166,975,958,889
gene-GWK60_A02893,2132,1808,908,811
gene-GWK60_A02915,1195,1041,1375,1141
gene-GWK60_A02937,2775,2453,1690,1628
gene-GWK60_A02959,576,470,218,182
gene-GWK60_A02981,1101,957,1045,907
gene-GWK60_A03003,8074,6740,5851,4618
gene-GWK60_A03025,785,642,348,245
gene-GWK60_A03047,21743,18052,26505,22836
gene-GWK60_A03069,586,460,622,467
gene-GWK60_A03091,1605,1279,1776,1581
gene-GWK60_A03113,83828,74331,97082,89197
gene-GWK60_A03135,413,375,463,389
gene-GWK60_A03157,37581,30903,52001,43833
gene-GWK60_A03179,12,11,4,6
gene-GWK60_A03201,1014,925,907,720
gene-GWK60_A03223,2226,1905,2445,2143
gene-GWK60_A03245,18496,16496,13435,11776
gene-GWK60_A03267,31184,26697,40853,37369
gene-GWK60_A03289,48,24,12,8
gene-GWK60_A03311,1207,1150,973,865
gene-GWK60_A03333,1422,1222,1440,1313
gene-GWK60_A03355,4964,4210,1752,1520
gene-GWK60_A03377,2169,1942,625,519
gene-GWK60_A03399,0,0,0,0
gene-GWK60_A03421,2034,1766,690,556
gene-GWK60_A03443,1609,1380,1341,1121
gene-GWK60_A03465,42,24,51,30
gene-GWK60_A03487,304,226,292,265
gene-GWK60_A03509,1765,1544,1398,1209
gene-GWK60_A03531,839,698,1767,1520
gene-GWK60_A03553,186,134,397,288
gene-GWK60_A03575,5752,4966,3838,3142
gene-GWK60_A03597,16885,15782,11900,11286
gene-GWK60_A03619,794,673,255,279
gene-GWK60_A03641,0,0,0,0
gene-GWK60_A03663,404,327,250,223
gene-GWK60_A03685,20,12,11,12
gene-GWK60_A03707,671,589,923,667
gene-GWK60_A03729,0,0,0,0
gene-GWK60_A03751,8428,7564,5843,5085
gene-GWK60_A03773,1736,1546,950,892
gene-GWK60_A03795,3204,2612,511,392
gene-GWK60_A03817,5550,4782,2508,2407
gene-GWK60_A03839,1738,1560,1527,1436
gene-GWK60_A03861,424,344,410,323
gene-GWK60_A03883,576,541,765,677
gene-GWK60_A03905,8278,6831,10734,9526
gene-GWK60_A03927,3054,2562,3849,3645
gene-GWK60_A03949,4252,3605,4083,3760
gene-GWK60_A03971,5041,4436,4193,3880
gene-GWK60_A03993,2568,2227,1042,896
gene-GWK60_A04015,8039,6670,7351,6352
gene-GWK60_A04037,749,655,567,569
gene-GWK60_A04059,3476,2923,3379,3309
gene-GWK60_A04081,2337,2003,1825,1725
gene-GWK60_A04103,1773,1551,2658,2405
gene-GWK60_A04125,1652,1474,1437,1209
gene-GWK60_A04147,748,625,1997,1796
gene-GWK60_A04169,3365,2860,2132,1964
gene-GWK60_A04191,5944,4979,1584,1301
gene-GWK60_A04213,2012,1666,1157,917
gene-GWK60_A04235,4256,3825,3608,3032
gene-GWK60_A04257,481,397,328,260
gene-GWK60_A04279,249,195,121,110
gene-GWK60_A04301,1832,1599,1099,900
gene-GWK60_A04323,4684,4084,2271,1977
gene-GWK60_A04345,4347,3974,1320,1258
gene-GWK60_A04367,2123,1937,2013,1802
gene-GWK60_A04389,41,33,71,70
gene-GWK60_A04411,46099,38354,59590,50030
gene-GWK60_A04433,792,659,869,771
gene-GWK60_A04455,4397,4012,3235,2895
gene-GWK60_A04477,363,299,333,305
gene-GWK60_A04499,789,608,1001,890
gene-GWK60_A04521,1174,1057,771,696
gene-GWK60_A04543,373,306,170,119
gene-GWK60_A04565,627,576,187,130
gene-GWK60_A04587,3682,3137,4955,4150
gene-GWK60_A04609,6769,6172,6239,5399
gene-GWK60_A04631,4534,3969,3053,2600
gene-GWK60_A04653,2609,2314,2950,2657
gene-GWK60_A04675,11578,10615,13299,11340
gene-GWK60_A04697,3,0,2,1
gene-GWK60_B00011,1,1,0,2
gene-GWK60_B00033,0,0,0,0
gene-GWK60_B00055,0,0,0,0
gene-GWK60_B00077,0,0,0,0
gene-GWK60_B00099,108,76,118,126
gene-GWK60_B00121,1432,1214,8501,7149
gene-GWK60_B00143,1079,938,1133,941
gene-GWK60_B00165,1865,1812,2600,2312
gene-GWK60_B00187,686,559,1522,1305
gene-GWK60_B00209,35,36,78,45
gene-GWK60_B00231,457,410,257,254
gene-GWK60_B00253,4961,4495,5436,4672
gene-GWK60_B00275,2219,2006,2106,1896
gene-GWK60_B00297,26,28,23,8
gene-GWK60_B00319,1729,1405,3254,2752
gene-GWK60_B00341,1644,1377,1673,1454
gene-GWK60_B00363,1398,1234,986,861
gene-GWK60_B00385,4398,3797,4591,3977
gene-GWK60_B00407,4690,3937,2660,2300
gene-GWK60_B00429,274,220,477,396
gene-GWK60_B00451,435,376,326,334
gene-GWK60_B00473,3990,3407,4397,3788
gene-GWK60_B00495,1323,1180,1755,1458
gene-GWK60_B00517,17269,14840,29477,26418
gene-GWK60_B00539,3,2,14,12
gene-GWK60_B00561,49,44,28,21
gene-GWK60_B00583,3456,3118,2221,1929
gene-GWK60_B00605,2004,1658,1494,1241
gene-GWK60_B00627,711,571,3059,2817
gene-GWK60_B00649,5281,4628,3880,3461
gene-GWK60_B00671,133,111,350,297
gene-GWK60_B00693,634,561,737,668
gene-GWK60_B00715,529,404,745,648
gene-GWK60_B00737,7209,6350,7418,6758
gene-GWK60_B00759,771,654,407,379
gene-GWK60_B00781,7462,6413,3279,2789
gene-GWK60_B00803,38,41,57,35
gene-GWK60_B00825,276,223,576,521
gene-GWK60_B00847,45,29,67,44
gene-GWK60_B00869,0,0,0,0
gene-GWK60_B00891,1995,1660,528,433
gene-GWK60_B00913,2533,2265,1985,1892
gene-GWK60_B00935,19105,15217,18524,16455
gene-GWK60_B00957,1771,1465,1433,1275
gene-GWK60_B00979,3729,3273,3952,3411
gene-GWK60_B01001,2677,2179,4726,4071
gene-GWK60_B01023,10926,9426,13855,11996
gene-GWK60_B01045,956,859,1637,1408
gene-GWK60_B01067,20,19,25,0
gene-GWK60_B01089,839,747,926,795
gene-GWK60_B01111,0,0,0,0
gene-GWK60_B01133,759,642,675,492
gene-GWK60_B01155,2154,2008,1961,1744
gene-GWK60_B01177,8977,8050,6940,6150
gene-GWK60_B01199,513,453,1307,1215
gene-GWK60_B01221,3600,3039,2100,1816
gene-GWK60_B01243,5317,4320,5067,4216
gene-GWK60_B01265,1221,1009,1499,1220
gene-GWK60_B01287,535,465,747,626
gene-GWK60_B01309,478,346,673,521
gene-GWK60_B01331,519,429,368,304
gene-GWK60_B01353,3196,3118,3093,2755
gene-GWK60_B01375,317,278,368,319
gene-GWK60_B01397,435,418,338,284
gene-GWK60_B01419,359,300,126,102
gene-GWK60_B01441,1396,1272,1483,1198
gene-GWK60_B01463,2226,2073,1440,1327
gene-GWK60_B01485,0,0,0,0
gene-GWK60_B01507,2878,2630,4076,3636
gene-GWK60_B01529,862,802,876,836
gene-GWK60_B01551,596,591,652,579
gene-GWK60_B01573,361,299,458,389
gene-GWK60_B01595,572,484,1203,1017
gene-GWK60_B01617,515,419,363,281
gene-GWK60_B01639,2007,1628,1069,932
gene-GWK60_B01661,1222,1097,1595,1409
gene-GWK60_B01683,447,391,422,401
gene-GWK60_B01705,1,0,1,1
gene-GWK60_B01727,954,759,1551,1348
gene-GWK60_B01749,1685,1435,1781,1466
gene-GWK60_B01771,2509,2382,776,701
gene-GWK60_B01793,6761,5679,8888,7657
gene-GWK60_B01815,214,221,158,161
gene-GWK60_B01837,483,421,1008,963
gene-GWK60_B01859,1041,979,1019,849
