gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
GWK60_A00055,321.8667195377514,1.2857151304609,0.20331872980775104,1.0161604181130843e-10,2.06730663011865e-10
GWK60_A00121,1005.4206246000979,-1.097050504289722,0.12962299342684222,1.1858492594501032e-17,2.9824874488034875e-17
GWK60_A00231,756.7849059486414,2.4311397360007647,0.1527102672769411,5.582668412146234e-58,2.6545436871136566e-57
GWK60_A00319,4657.168722695146,-2.1527625221604376,0.07356058108825045,5.478116387185414e-189,6.94202748920677e-188
GWK60_A00341,3839.396886841754,-1.099794909409072,0.07472175105524874,2.4803839530432652e-49,1.0834168778284494e-48
GWK60_A00517,366.0324244350678,-1.7538379770292187,0.19501478519634063,6.061248188052413e-20,1.6180763563942966e-19
GWK60_A00605,361.31887203092487,1.2118398453000152,0.19824575618443455,4.424811477813954e-10,8.791115814818129e-10
GWK60_A00671,2889.8624721682854,1.527010277143651,0.08316117185000176,9.195442090074556e-76,5.367239728268822e-75
GWK60_A00825,156.10507999364722,-1.3307719939239966,0.29538836731080287,2.4139695485926827e-6,4.0650226884562655e-6
GWK60_A00847,1698.1217028569397,1.157313148031737,0.09831447180850166,2.1233603361278238e-32,7.251137667335211e-32
GWK60_A00869,4634.295310111613,-6.046748691144858,0.112398262148947,0,0
GWK60_A00957,3266.1549723541093,-1.0441180206672347,0.07840789952596314,2.018783748517193e-40,7.858463163176846e-40
GWK60_A01001,2577.6082797913928,2.868270257232892,0.0912915380181534,1.4969649643152727e-217,2.1568599307764434e-216
GWK60_A01023,2975.523245351539,1.4022573312567077,0.08192171777811148,4.283258329230558e-66,2.2480694165093317e-65
GWK60_A01045,502.6424848385344,-1.5658162865850447,0.16740352174892442,2.758485171816379e-21,7.563541980491314e-21
GWK60_A01111,1850.5552167810783,-1.1851499718117176,0.0966021260449086,5.12617068482477e-35,1.8314219858351536e-34
GWK60_A01133,2921.376229988491,1.295410325424728,0.08158252405090928,3.890246828920395e-57,1.8348706792190456e-56
GWK60_A01155,67185.41589626856,7.396298219222526,0.14528157106743242,0,0
GWK60_A01177,991.8251505018147,1.26384515115667,0.12222740076605536,1.6019122024995156e-25,4.800259984584019e-25
GWK60_A01199,594.5812877249642,1.241925568878444,0.15265573227068843,1.8722391842388315e-16,4.541561748114398e-16
GWK60_A01221,1766.5647605170368,3.0016382735050713,0.12067817315686295,6.67248873919497e-138,6.199755879757306e-137
GWK60_A01265,7940.777525091361,-1.4230826316578158,0.06288772824646091,8.923129106636132e-114,7.175341891712449e-113
GWK60_A01353,7593.257750067101,-7.005352718420136,0.11522437832771158,0,0
GWK60_A01375,16910.63468034653,-6.221158535778578,0.07554370288792513,0,0
GWK60_A01397,104.84218052642925,3.4894210918379778,0.4182282312770754,8.978197686858072e-18,2.2645727402967194e-17
GWK60_A01419,783.9110524421509,3.515320548247274,0.1711595498891814,6.0286373751107e-95,4.238583416538392e-94
GWK60_A01463,3475.510447189631,3.4336573381827136,0.08572213869497783,0,0
GWK60_A01507,1213.0702975790991,1.0341725701992106,0.12030058735820898,4.24625289216339e-18,1.081406487161611e-17
GWK60_A01529,11792.124182340614,3.023258054465122,0.06725153146932417,0,0
GWK60_A01639,1162.05209999138,4.138121488931923,0.31157742203762,1.1606047413010153e-41,4.620454454581408e-41
GWK60_A01683,3740.8679896470385,3.452596985080005,0.08349524627638757,0,0
GWK60_A01771,812.7266078723696,-1.2110335260842642,0.1328538750472811,3.5152014616995365e-20,9.451147488281115e-20
GWK60_A01815,2678.614718385247,3.509256044508399,0.09569428964893124,2.128358621326236e-295,3.886471524150929e-294
GWK60_A01903,4134.628953977673,-3.6609248053557506,0.08206154985435272,0,0
GWK60_A01925,7497.700237672966,-4.593061849514517,0.07795458625177347,0,0
GWK60_A01969,1204.1215431093012,4.325479720917047,0.1442993643476061,2.8796900394837125e-198,3.843728405493615e-197
GWK60_A02013,4902.2327892729545,-2.4640060884889783,0.07402573449738986,9.644006031654366e-244,1.5462752353801926e-242
GWK60_A02057,2836.592203693158,3.6075500562282397,0.1051990390335134,1.9421782008728364e-259,3.27369075589431e-258
GWK60_A02101,2579.7690681410513,-3.326583966508188,0.09363978941948387,1.9015778024552706e-277,3.3334658877040893e-276
GWK60_A02277,1704.9178758700457,1.443681505423821,0.09932334082583308,2.629432102664646e-48,1.1381220928323766e-47
GWK60_A02365,1911.3659400891238,-1.1488259388186863,0.09468736639395887,3.773117341612221e-34,1.3246211014378286e-33
GWK60_A02497,2404.148500195896,-1.1534984909675554,0.09104878814800434,4.990252520916322e-37,1.8403743343267138e-36
GWK60_A02563,3728.447734300791,1.1785752336348023,0.07798008747367895,9.553208468555426e-52,4.2867170082024736e-51
GWK60_A02607,392.99932098210087,-1.14315527540446,0.18345075581462172,2.3078563871908934e-10,4.625387477224432e-10
GWK60_A02629,824.8028817797197,-1.5272007790587785,0.1380475472579003,5.536015981601609e-29,1.7774058636900405e-28
GWK60_A02717,2406.3479413306336,1.6202639769857876,0.09204988461835012,7.368769179921061e-70,4.0367038663755067e-69
GWK60_A02805,99.37793086521889,1.4950858218202465,0.3759168722363774,2.0673666038135434e-5,3.320794431721266e-5
GWK60_A02871,1765.0080674199314,1.464012375291157,0.10029736473551722,1.0369715963298532e-48,4.503248245333359e-48
GWK60_A02893,2520.941611775126,2.2566629358407897,0.08912842149116547,3.6834986747644896e-142,3.541411248736097e-141
GWK60_A02915,929.7973379874053,-1.0997151647204981,0.1253023013665694,9.28341556248604e-19,2.4145144630620222e-18
GWK60_A02959,379.3127115987406,1.4378602275274301,0.18889512416247667,9.966468536643981e-15,2.3130475743252733e-14
GWK60_A03003,3565.246262971637,-1.504542469847642,0.07994286560814132,2.136033075013012e-79,1.2926810059255962e-78
GWK60_A03025,582.9147642926768,1.5307217289631674,0.15708558586516214,6.411628119938813e-23,1.8246078075085617e-22
GWK60_A03047,12659.749003490586,-6.05793567458668,0.07856433745469336,0,0
GWK60_A03091,897.539385461535,-4.13594469044782,0.16193146772444394,5.250070674287417e-145,5.160770406743463e-144
GWK60_A03113,53381.90025877858,-2.9177433784792104,0.05212597513004941,0,0
GWK60_A03135,295.71015600288575,-1.3836415960494335,0.21246049931859112,2.375405696788664e-11,4.935700734654913e-11
GWK60_A03157,24425.217507436733,-6.782663325119051,0.07278830098730839,0,0
GWK60_A03267,21207.147542810537,-3.8286077363972773,0.057125742828668176,0,0
GWK60_A03355,2864.585445149253,1.2953745641960261,0.08209430416652524,1.8555700412980204e-56,8.674171419721146e-56
GWK60_A03421,2056.148238521646,2.465327458179955,0.09659737162456328,1.8194898629238563e-144,1.7818802959248716e-143
GWK60_A03487,198.4043854904728,-1.2543824388521314,0.2563085297457778,4.240247497706854e-7,7.415850212983155e-7
GWK60_A03531,997.0896216852186,-2.3116071306746084,0.1273277485538138,2.0894440649452453e-74,1.206189499181893e-73
GWK60_A03597,17950.037315123438,1.0356470289116446,0.060866283426583,3.022255355756424e-65,1.573667417418122e-64
GWK60_A03619,1810.611289904399,3.62229961920668,0.11512287359319542,2.2554218818966275e-218,3.2675657512105683e-217
GWK60_A03707,544.8065806230061,-1.4343842218302791,0.16988936785828962,9.747632693222834e-18,2.4574688558800998e-17
GWK60_A03751,9175.196494046722,1.2124639446951968,0.061126198373566636,8.884972962004687e-88,5.870109649143549e-87
GWK60_A03795,1180.085884755394,2.0543710426709176,0.12717859218450644,1.5414224818832364e-59,7.491997072295694e-59
GWK60_A03817,3810.24948397033,1.0340550676482978,0.07537593018582618,4.365079703388498e-43,1.765842627701547e-42
GWK60_A03905,5646.0561840924065,-3.3006661225266885,0.0738768941780041,0,0
GWK60_A03993,2558.465482617456,2.0708852194742136,0.09064956711948906,3.2316834912693086e-116,2.651392118656052e-115
GWK60_A04059,2320.865811878761,-1.4410405727444136,0.09104574270313795,9.651930064034224e-57,4.528055326204816e-56
GWK60_A04103,1659.1673806882563,-1.758547262297723,0.100887777622876,1.321792923913703e-68,7.100417759818349e-68
GWK60_A04147,1177.6370169698691,-2.133940826143701,0.11752326804975272,2.201771482752626e-74,1.2696399372583398e-73
GWK60_A04323,8289.488967086729,2.74554029611333,0.06469887210729505,0,0
GWK60_A04345,3307.744550256247,2.0180215814707143,0.08372036905417456,4.5914994717579127e-129,4.058268188567204e-128
GWK60_A04411,28195.786237056953,-5.763333328500097,0.062386258388610366,0,0
GWK60_A04477,238.52211528113457,-1.035761901249525,0.2310191746072929,4.017513675366688e-6,6.683993805363306e-6
GWK60_A04499,592.3168612477682,-2.054891865510211,0.16137494591172713,5.923387828376485e-38,2.218739073321363e-37
GWK60_A04543,633.9755162213431,2.9400912012305045,0.16629201146286685,6.699077219644109e-71,3.7084681155903546e-70
GWK60_A04565,666.2039230719995,2.8699757002739683,0.1644024308223973,2.9672853722821616e-69,1.6120820013256082e-68
GWK60_B00121,4274.311238834142,-3.616556988417043,0.08239122436309251,0,0
GWK60_B00143,711.8914990434532,-1.4634556246654313,0.14197990081763676,2.6825026457146263e-25,7.97923156889888e-25
GWK60_B00187,795.4172731521513,-3.1396670796351227,0.16312752114793647,7.452478529878612e-84,4.727694160269195e-83
GWK60_B00231,495.93455632718224,1.473059862362576,0.17798569062118844,4.054651012369381e-17,1.0034545728964977e-16
GWK60_B00319,1921.1491202802722,-1.9035964816990962,0.09611827366591146,6.275475686741238e-88,4.156514689744606e-87
GWK60_B00385,2521.3293991931664,-2.6190054320867473,0.09005388085959098,8.257472280738168e-185,1.024199215198161e-183
GWK60_B00517,20803.88175184596,-1.086357601452513,0.05446071632111785,1.0243608863715833e-88,6.836438961203244e-88
GWK60_B00561,59.33985618338234,1.7660980735370972,0.4833165744540606,5.9116252355056524e-5,9.222556248449785e-5
GWK60_B00583,3191.181564738421,1.0266044746540075,0.07888149442084705,7.220288797720974e-39,2.7535532115456567e-38
GWK60_B00605,3009.7938519755735,1.7436531015172125,0.08200266765167594,6.887947339570111e-101,5.052122044462931e-100
GWK60_B00627,1570.9007385327832,-4.174209907527799,0.1260339015831389,1.6624004016761134e-241,2.63330232301647e-240
GWK60_B00649,6047.155931880427,1.1698539437780189,0.06686714282517438,7.238335812089383e-69,3.904246978028519e-68
GWK60_B00715,519.1045004153157,-1.0615123592224853,0.16107936955306992,2.45104255177662e-11,5.0908502289862734e-11
GWK60_B00781,5605.683164498646,1.4061617470074015,0.06802977564628944,2.5000351664115266e-95,1.7600649183612073e-94
GWK60_B00891,1926.9296740846307,2.790308726956284,0.10091573134993267,3.7414707872463256e-169,4.268198453390114e-168
GWK60_B00913,4609.9429070857095,1.8792037736668965,0.07315644636841814,8.465494654784297e-146,8.368427892765154e-145
GWK60_B00935,8989.924996025058,-5.990705569558059,0.09206917939231332,0,0
GWK60_B01001,2789.5069402899094,-1.9720808845158364,0.08783967749561654,2.932442301339897e-112,2.3295640578166946e-111
GWK60_B01023,6664.168138585135,-5.668573582574925,0.09035354975878034,0,0
GWK60_B01045,1012.220539188073,-1.6552231589904394,0.12267016253850603,4.844464445177703e-42,1.938891820181852e-41
GWK60_B01199,792.2254341849864,-2.049085907122072,0.1388582506683745,5.812251013714107e-50,2.5514714591921946e-49
GWK60_B01287,506.87339357364834,-1.0979544284435678,0.16307388208324036,8.942112576633356e-12,1.8893760562681726e-11
GWK60_B01331,536.873166759471,1.0965129481367992,0.15939783285299758,3.1786824418995492e-12,6.81201750690698e-12
GWK60_B01419,1038.5806331423905,4.078177752663121,0.15138363925923273,7.909603397731709e-161,8.541397180425268e-160
GWK60_B01573,716.374200482007,1.217886998981682,0.14040964632504047,1.986399913026184e-18,5.115806632029727e-18
GWK60_B01595,712.7244948440068,-1.8705598483147436,0.14627445262011668,4.332033424880838e-38,1.62613588732679e-37
GWK60_B01727,838.3370826833047,-2.7882923111518845,0.14255667137729158,4.416885608105937e-86,2.864167868437623e-85
GWK60_B01771,3628.120940305967,3.1181428764468815,0.08238183317270266,0,0
GWK60_B01793,4624.4474083293035,-3.23834954686363,0.07668795160302931,0,0
GWK60_B01837,632.6729565133568,-1.9020597987975054,0.15240271871576888,2.6580270252409215e-36,9.693872486644942e-36
GWK60_B01991,1338.9954507877615,-2.014720042161369,0.11110930760218984,3.951167418123249e-74,2.2684704641823325e-73
GWK60_B02123,297.4104553465188,-1.2900655708900182,0.21089256247216057,3.9337622027694033e-10,7.833265969089092e-10
GWK60_B02167,2512.419387140663,-1.3417374012812602,0.08577554626768406,1.770485851428645e-55,8.196289694245813e-55
GWK60_B02233,1423.9307739120713,2.507757496834944,0.11248974091378423,9.527876685939043e-111,7.52358911281583e-110
GWK60_B02277,9873.222033379818,2.6396363611263456,0.06217216662887364,0,0
GWK60_B02321,112349.6897666591,10.36522312043481,0.09432402032602577,0,0
GWK60_B02343,3095.656284650396,-1.08770638461108,0.0802489981116339,4.386420046709864e-42,1.7569065518390843e-41
GWK60_B02365,2727.9860450786014,-1.744950659203093,0.0850943723847802,5.069221007956395e-94,3.5170228602694826e-93
GWK60_B02409,39492.71908533731,5.212366678360509,0.06281594443247139,0,0
