gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0180,t0240,t0360,t0480
GWK60_A00055,0,0,0,0,0,1.2857151304609,1.6211538356387545,1.9196131265727971,2.2628794367290186,2.638431781120945
GWK60_A00099,0,0,0,0,0,0,-1.185052394118619,-1.3234534880476634,-1.4477428977418445,-1.5875987496171475
GWK60_A00121,0,0,0,0,0,-1.097050504289722,0,0,0,0
GWK60_A00231,0,-1.5979976116441346,0,1.355565319237274,2.2019791427352144,2.4311397360007647,2.617597999314296,2.4715904580104997,2.3893408557786837,2.5567205723200774
GWK60_A00253,0,0,0,0,-1.279466048808724,0,0,0,0,0
GWK60_A00319,-1.7037654566753666,-1.203211065358696,-1.3107458225840845,-1.5434022516460042,-2.0371602343574393,-2.1527625221604376,-1.9294166746856527,-1.8541275326864823,-1.9905605917124036,-2.1010200948772804
GWK60_A00341,0,-1.735586643052177,-1.317022283771362,0,0,-1.099794909409072,-1.2671989494872729,-1.4070885063180172,-1.4569845485162105,-1.3853776028672955
GWK60_A00407,0,0,0,1.1495519377600358,1.2020005251443506,0,0,0,0,0
GWK60_A00451,0,-1.0105771974698563,0,0,0,0,0,0,0,0
GWK60_A00517,0,0,0,-2.761517107071091,-3.3636430609168353,-1.7538379770292187,0,0,0,-1.086284876322412
GWK60_A00583,0,0,0,0,0,0,0,0,1.6698302292851517,0
GWK60_A00605,0,0,0,1.1299936113283535,1.4474099753039742,1.2118398453000152,1.1354406465900064,1.3234302647956515,1.559332853170671,1.4968093256589263
GWK60_A00649,0,0,0,0,0,0,0,0,0,1.166390620097568
GWK60_A00671,0,0,0,0,1.3837370342245223,1.527010277143651,1.3124655601176425,1.0240981139900671,1.044703311931769,1.123371587549603
GWK60_A00737,0,0,-1.0492797175778013,-2.045476512351124,-1.4500374320160685,0,0,0,0,0
GWK60_A00759,0,0,0,0,0,0,0,1.2123822630442271,1.2774639835556552,1.5281929883863878
