gene_id,tp,log2FC
GWK60_A00055,t0015,0
GWK60_A00055,t0030,0
GWK60_A00055,t0045,0
GWK60_A00055,t0060,0
GWK60_A00055,t0090,0
GWK60_A00055,t0120,1.2857151304609
GWK60_A00055,t0180,1.6211538356387545
GWK60_A00055,t0240,1.9196131265727971
GWK60_A00055,t0360,2.2628794367290186
GWK60_A00055,t0480,2.638431781120945
GWK60_A00099,t0015,0
GWK60_A00099,t0030,0
GWK60_A00099,t0045,0
GWK60_A00099,t0060,0
GWK60_A00099,t0090,0
GWK60_A00099,t0120,0
GWK60_A00099,t0180,-1.185052394118619
GWK60_A00099,t0240,-1.3234534880476634
GWK60_A00099,t0360,-1.4477428977418445
GWK60_A00099,t0480,-1.5875987496171475
GWK60_A00121,t0015,0
GWK60_A00121,t0030,0
GWK60_A00121,t0045,0
GWK60_A00121,t0060,0
GWK60_A00121,t0090,0
GWK60_A00121,t0120,-1.097050504289722
GWK60_A00121,t0180,0
GWK60_A00121,t0240,0
GWK60_A00121,t0360,0
GWK60_A00121,t0480,0
GWK60_A00231,t0015,0
GWK60_A00231,t0030,-1.5979976116441346
GWK60_A00231,t0045,0
GWK60_A00231,t0060,1.355565319237274
GWK60_A00231,t0090,2.2019791427352144
GWK60_A00231,t0120,2.4311397360007647
GWK60_A00231,t0180,2.617597999314296
GWK60_A00231,t0240,2.4715904580104997
GWK60_A00231,t0360,2.3893408557786837
GWK60_A00231,t0480,2.5567205723200774
GWK60_A00253,t0015,0
GWK60_A00253,t0030,0
GWK60_A00253,t0045,0
GWK60_A00253,t0060,0
GWK60_A00253,t0090,-1.279466048808724
GWK60_A00253,t0120,0
GWK60_A00253,t0180,0
GWK60_A00253,t0240,0
GWK60_A00253,t0360,0
GWK60_A00253,t0480,0
GWK60_A00319,t0015,-1.7037654566753666
GWK60_A00319,t0030,-1.203211065358696
GWK60_A00319,t0045,-1.3107458225840845
GWK60_A00319,t0060,-1.5434022516460042
GWK60_A00319,t0090,-2.0371602343574393
GWK60_A00319,t0120,-2.1527625221604376
GWK60_A00319,t0180,-1.9294166746856527
GWK60_A00319,t0240,-1.8541275326864823
GWK60_A00319,t0360,-1.9905605917124036
GWK60_A00319,t0480,-2.1010200948772804
GWK60_A00341,t0015,0
GWK60_A00341,t0030,-1.735586643052177
GWK60_A00341,t0045,-1.317022283771362
GWK60_A00341,t0060,0
GWK60_A00341,t0090,0
GWK60_A00341,t0120,-1.099794909409072
GWK60_A00341,t0180,-1.2671989494872729
GWK60_A00341,t0240,-1.4070885063180172
GWK60_A00341,t0360,-1.4569845485162105
GWK60_A00341,t0480,-1.3853776028672955
GWK60_A00407,t0015,0
GWK60_A00407,t0030,0
GWK60_A00407,t0045,0
GWK60_A00407,t0060,1.1495519377600358
GWK60_A00407,t0090,1.2020005251443506
GWK60_A00407,t0120,0
GWK60_A00407,t0180,0
GWK60_A00407,t0240,0
GWK60_A00407,t0360,0
GWK60_A00407,t0480,0
GWK60_A00451,t0015,0
GWK60_A00451,t0030,-1.0105771974698563
GWK60_A00451,t0045,0
GWK60_A00451,t0060,0
GWK60_A00451,t0090,0
GWK60_A00451,t0120,0
GWK60_A00451,t0180,0
GWK60_A00451,t0240,0
GWK60_A00451,t0360,0
GWK60_A00451,t0480,0
GWK60_A00517,t0015,0
GWK60_A00517,t0030,0
GWK60_A00517,t0045,0
GWK60_A00517,t0060,-2.761517107071091
GWK60_A00517,t0090,-3.3636430609168353
GWK60_A00517,t0120,-1.7538379770292187
GWK60_A00517,t0180,0
GWK60_A00517,t0240,0
GWK60_A00517,t0360,0
GWK60_A00517,t0480,-1.086284876322412
GWK60_A00583,t0015,0
GWK60_A00583,t0030,0
GWK60_A00583,t0045,0
GWK60_A00583,t0060,0
GWK60_A00583,t0090,0
GWK60_A00583,t0120,0
GWK60_A00583,t0180,0
GWK60_A00583,t0240,0
GWK60_A00583,t0360,1.6698302292851517
GWK60_A00583,t0480,0
GWK60_A00605,t0015,0
GWK60_A00605,t0030,0
GWK60_A00605,t0045,0
GWK60_A00605,t0060,1.1299936113283535
GWK60_A00605,t0090,1.4474099753039742
GWK60_A00605,t0120,1.2118398453000152
GWK60_A00605,t0180,1.1354406465900064
GWK60_A00605,t0240,1.3234302647956515
GWK60_A00605,t0360,1.559332853170671
GWK60_A00605,t0480,1.4968093256589263
GWK60_A00649,t0015,0
GWK60_A00649,t0030,0
GWK60_A00649,t0045,0
GWK60_A00649,t0060,0
GWK60_A00649,t0090,0
