"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"KDRO_C02880",4565.32242453968,5.21660055718254,0.108854124523174,0,0
"KLLA0_A00176g",12564.0470744071,8.58862972520156,0.362612809606817,5.9875540237179e-125,2.278818709175e-123
"KLLA0_A00352g",2621.19307963719,1.5092207694828,0.0931710424299989,1.01101085962857e-59,1.6386668128617e-58
"KLLA0_A00374g",14062.0566539024,1.58213620977016,0.0860900770983473,3.62332053237972e-76,7.59862077361918e-75
"KLLA0_A01408g",2197.71742787983,1.00034423587648,0.0994957861207937,3.25975055107509e-24,2.7914330552373e-23
"KLLA0_A01694g",18258.5402551517,4.10269164730334,0.0770946114467567,0,0
"KLLA0_A02233g",3514.16185880001,1.08899583025528,0.0927630219697758,2.56912264861349e-32,2.79664240859663e-31
"KLLA0_A04125g",4548.37229804818,2.11489117909729,0.124750185963668,2.19590600066475e-65,3.97273416599136e-64
"KLLA0_A04147g",7663.35797035949,2.92817094349013,0.088734004095662,7.98416147199618e-240,8.72821737087583e-238
"KLLA0_A05027g",2794.52976838696,1.01866554710669,0.0894484931084213,1.71786742439864e-30,1.8049903530798e-29
"KLLA0_A06468g",1846.72631056324,1.88824633938343,0.100365898896989,8.12554002245924e-80,1.78414635193998e-78
"KLLA0_A07062g",17753.8019902182,2.64860043466937,0.0744937343383258,3.30456873303349e-278,4.24471853758151e-276
"KLLA0_A07084g",736.560095823978,1.03647634319267,0.135894067219087,8.32938149800464e-15,5.08874698415551e-14
"KLLA0_A08206g",116.859313184961,1.8397006945457,0.314341238136516,6.58403922283272e-10,3.05589824091369e-09
"KLLA0_A09229g",473.592904869212,1.0966478421107,0.165020379692977,9.19148926048841e-12,4.73205128460816e-11
"KLLA0_A10791g",3092.29991413909,1.47217276347351,0.0886223742838315,1.15366638635345e-62,2.03695460243437e-61
"KLLA0_B00143g",146.760998592654,1.03811378630234,0.309765079941831,0.000243770642897245,0.000641975173350101
"KLLA0_B00286g",18245.8480317169,7.69659385240735,0.117803954090753,0,0
"KLLA0_B00308g",136.107908063677,2.83211895689488,0.304890511180263,1.62369728179143e-21,1.25830416800066e-20
"KLLA0_B00451g",495.387976887063,1.30797823273794,0.180618545843969,1.02249125060875e-13,5.87646537542255e-13
"KLLA0_B00957g",1970.31173211548,1.10800535715693,0.100347712882021,7.54596375247848e-29,7.58731149906741e-28
"KLLA0_B01628g",16503.1103148796,1.2175666435805,0.100080545407301,1.27943525702502e-34,1.47063497776164e-33
"KLLA0_B02805g",8013.72927632136,1.46179543452469,0.0784750776392036,3.72795048145127e-78,8.01431362916177e-77
"KLLA0_B03355g",7326.09347995882,1.15161410287501,0.0809912669092276,2.1229351775146e-46,2.84053149533073e-45
"KLLA0_B06952g",2849.47794307683,1.28684319572697,0.0927504716342944,2.16383162024175e-44,2.80044505410632e-43
"KLLA0_B07909g",1258.02119348594,1.42051706727657,0.109705365446016,4.97909721547604e-39,6.07662743304416e-38
"KLLA0_B09658g",553.360441217349,1.36623685855598,0.145882163933426,1.73800651906006e-21,1.34486106851364e-20
"KLLA0_B11407g",1624.07747773405,1.19725972406085,0.123202539685081,6.9476796610623e-23,5.68426402842963e-22
"KLLA0_B13321g",127.49233172027,1.48447779980536,0.276923121872988,1.538702017577e-08,6.46959980876485e-08
"KLLA0_B14234g",3458.83763090227,1.71827699702678,0.0873310082080317,5.92806484785111e-87,1.4232895882364e-85
"KLLA0_B14278g",11221.1776141205,1.0166093412281,0.082670886206499,3.40806489321287e-35,3.97066608193372e-34
"KLLA0_B14454g",14019.178957923,1.35546592802631,0.0762210773005003,2.95129969488629e-71,5.80987656410948e-70
"KLLA0_B14476g",1647.21229766546,1.52932266324886,0.103235491542979,2.18856313459415e-50,3.10630867003999e-49
"KLLA0_C00286g",1139.80245718401,1.11552825883886,0.110772297539058,2.28603699656904e-24,1.96744691597517e-23
"KLLA0_C00396g",126.875417973982,1.22052411987862,0.291655961974004,7.09363051850328e-06,2.2994999119287e-05
"KLLA0_C01562g",1310.01129525272,1.17491544503034,0.127696539805986,1.0348283864362e-20,7.8075598377521e-20
"KLLA0_C01782g",29537.8120218346,2.04942458815652,0.0733715954362338,1.34290146670502e-172,8.73395915940556e-171
"KLLA0_C02123g",1227.76716145276,2.29766978420737,0.117013470763813,8.43902573656975e-87,2.01673089462769e-85
"KLLA0_C02475g",960.292084631575,1.24000821396628,0.123818847080272,3.52291670433535e-24,3.00676844300249e-23
"KLLA0_C04928g",3708.35968822864,2.15657361975107,0.090731615953718,8.81269353376778e-126,3.37907607287305e-124
"KLLA0_C05522g",1137.37075014294,1.2392242012903,0.125046570329713,9.49227426717375e-24,8.00842449667303e-23
"KLLA0_C05544g",812.287881055986,1.23730662921374,0.129023349010681,2.36061798968789e-22,1.89809941017471e-21
"KLLA0_C06094g",1931.25186774436,1.89938086198538,0.136206858027244,4.36095270574245e-45,5.73058184197051e-44
"KLLA0_C06677g",578.714364922537,1.10235307422633,0.145665532057655,1.16733946570584e-14,7.07286577216581e-14
"KLLA0_C07799g",3285.00115389569,2.44642941904589,0.102511390918572,7.20400037850009e-127,2.80410257157072e-125
"KLLA0_C07821g",736.007270245526,1.58454919380571,0.134576541344855,9.1042893189771e-33,1.00814307157121e-31
"KLLA0_C09218g",917.465517391581,1.63182859771504,0.131270091692857,3.14727402402247e-36,3.73457134767378e-35
"KLLA0_C09372g",1917.4394418355,1.48587597742817,0.0996273191153053,5.11703995850572e-51,7.34395287899508e-50
"KLLA0_C09416g",899.894617369929,1.13167311473157,0.126594141244149,1.2027382407106e-19,8.72834615928119e-19
"KLLA0_C09966g",3175.5029286581,1.01096212088203,0.0897601199564229,7.29799513071724e-30,7.54468792386824e-29
"KLLA0_C11209g",2188.33902183395,1.06540146713725,0.103357712129342,2.12054118525945e-25,1.87850700170052e-24
"KLLA0_C11539g",1529.99057547047,2.31399444847731,0.127229113058804,5.93156990153073e-75,1.21419944836912e-73
"KLLA0_C12309g",6439.18849467576,1.86012095107369,0.0797364538643995,3.58082642067378e-121,1.26015658557684e-119
"KLLA0_C14322g",3870.28437777464,1.6871990746768,0.0849164118340619,1.33512970184121e-88,3.29802711925969e-87
"KLLA0_C14432g",10541.2175091575,1.45249643677963,0.0885852563561788,4.30638376865712e-61,7.25449173880664e-60
"KLLA0_C16225g",962.384748194246,2.72055388463006,0.15544483716728,1.20376357309828e-69,2.31645589459886e-68
"KLLA0_D00143g",146.827354249335,1.02858368319886,0.306769971979224,0.000246332018572264,0.000647825275515056
"KLLA0_D00258g",11721.8271058381,8.28227379904152,0.152646116775504,0,0
"KLLA0_D00264g",5481.03247591066,3.63989513581456,0.0984771864679547,2.43450811346716e-300,3.47458407972064e-298
"KLLA0_D00660g",124.971852999444,1.05361044290141,0.27219843495857,3.36458737891269e-05,9.96383282585211e-05
"KLLA0_D00704g",1352.05639473093,1.34360706798099,0.108076320922981,4.10600052957164e-36,4.86097482049288e-35
"KLLA0_D01155g",6716.03172329344,1.1061629699953,0.08798375239612,9.46632966599512e-37,1.12849192166782e-35
"KLLA0_D01243g",1147.1890535903,1.20487654036158,0.112082516984158,1.60770030482719e-27,1.53824286149015e-26
"KLLA0_D01287g",1261.52830777437,1.72288182069672,0.111426180062103,9.91964606318503e-55,1.52140720813865e-53
"KLLA0_D02002g",2430.99324006242,1.44175434885112,0.129199705952823,1.3626574364033e-29,1.39468802952991e-28
"KLLA0_D02640g",1753.91778352858,1.49025246969858,0.106319825412768,2.4350031214337e-45,3.20796052254521e-44
"KLLA0_D03696g",4856.97411192102,1.00771447897808,0.0953644550780744,1.57126941810512e-26,1.45462743607642e-25
"KLLA0_D04224g",48066.1026504008,3.60509849131788,0.0747143292801318,0,0
"KLLA0_D04818g",5780.45548630867,2.41676746323852,0.0838634109593562,1.46652372674201e-183,1.03219163123293e-181
"KLLA0_D06193g",155.558509128801,1.31167855790471,0.253650301230635,5.19029102964111e-08,2.09158551453302e-07
"KLLA0_D06380g",6370.8280140257,1.33933241532395,0.0808721439295839,3.08603115862483e-62,5.35676624763999e-61
"KLLA0_D06402g",2260.50193445027,2.02470609840405,0.0953877897892771,7.04079328784564e-101,1.90397873226057e-99
"KLLA0_D06479g",1965.38094205516,2.70685493011937,0.102922143292049,1.77787283925185e-153,9.22698045260203e-152
"KLLA0_D06567g",1283.48988683201,1.11288297409975,0.109003000854532,5.47530641345439e-25,4.78437488985181e-24
"KLLA0_D07117g",1857.35513179055,1.18705126073554,0.102524669138915,1.4886528857676e-31,1.6035007394285e-30
"KLLA0_D07656g",1503.02516541177,1.19073091712765,0.104176203944443,7.95680932700051e-31,8.44671205002657e-30
"KLLA0_D08646g",2918.165223276,3.08395600639714,0.101692755480656,3.4590645473002e-203,3.01231756678448e-201
"KLLA0_D09559g",16831.0806222727,2.68073876621406,0.0748662191189795,8.8656013633995e-282,1.16798614884991e-279
"KLLA0_D10175g",1539.48151938327,1.72389896603778,0.113534483569606,7.06953436178283e-53,1.05284833480696e-51
"KLLA0_D10890g",12287.0971213336,1.21164931490183,0.0767550411265967,1.11706227054846e-56,1.76057237609754e-55
"KLLA0_D11066g",5142.58872182315,4.64224966144006,0.101789661339509,0,0
"KLLA0_D11088g",2094.75762688734,4.10088966939389,0.126187008379778,1.38724442192653e-232,1.4255323679717e-230
"KLLA0_D11374g",1561.59212507287,1.03768193327327,0.107152515873616,1.22888344055991e-22,9.95899545362274e-22
