"GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","elim","weight01"
"GO:0006364","rRNA processing",125,116,65.52,1,"1.3e-23","1.1e-09","1.2e-08"
"GO:0000462","maturation of SSU-rRNA from tricistronic...",29,26,15.2,21,"2.1e-05","2.1e-05","2.1e-05"
"GO:0000466","maturation of 5.8S rRNA from tricistroni...",15,15,7.86,26,"6.0e-05","6.0e-05","6.0e-05"
"GO:0000054","ribosomal subunit export from nucleus",13,13,6.81,37,"0.00022","0.00022","0.00022"
"GO:0044283","small molecule biosynthetic process",185,124,96.98,22,"2.5e-05","0.04640","0.00036"
"GO:0016180","snRNA processing",12,12,6.29,43,"0.00042","0.00042","0.00042"
"GO:0006696","ergosterol biosynthetic process",16,15,8.39,44,"0.00049","0.00049","0.00049"
"GO:0030488","tRNA methylation",16,15,8.39,45,"0.00049","0.00049","0.00049"
"GO:0000479","endonucleolytic cleavage of tricistronic...",10,10,5.24,59,"0.00155","0.00155","0.00155"
"GO:0006006","glucose metabolic process",17,15,8.91,61,"0.00214","0.00214","0.00214"
"GO:0006099","tricarboxylic acid cycle",20,17,10.48,67,"0.00246","0.00246","0.00246"
"GO:0031123","RNA 3'-end processing",23,19,12.06,71,"0.00260","0.00260","0.00260"
"GO:0030490","maturation of SSU-rRNA",42,38,22.02,11,"1.2e-07","0.00266","0.00266"
"GO:0002098","tRNA wobble uridine modification",13,12,6.81,72,"0.00285","0.00285","0.00285"
"GO:0009311","oligosaccharide metabolic process",13,12,6.81,73,"0.00285","0.00285","0.00285"
"GO:0016051","carbohydrate biosynthetic process",34,21,17.82,244,"0.17797","0.17797","0.00288"
"GO:0019752","carboxylic acid metabolic process",204,144,106.94,10,"3.9e-08","0.01184","0.00483"
"GO:0000463","maturation of LSU-rRNA from tricistronic...",12,11,6.29,87,"0.00506","0.00506","0.00506"
"GO:0006081","cellular aldehyde metabolic process",12,11,6.29,88,"0.00506","0.00506","0.00506"
"GO:0000460","maturation of 5.8S rRNA",23,23,12.06,12,"3.3e-07","0.00548","0.00548"
"GO:0006400","tRNA modification",44,38,23.06,14,"1.9e-06","0.03590","0.00581"
"GO:0015698","inorganic anion transport",15,13,7.86,93,"0.00618","0.00618","0.00618"
"GO:0043094","cellular metabolic compound salvage",15,13,7.86,94,"0.00618","0.00618","0.00618"
"GO:0006511","ubiquitin-dependent protein catabolic pr...",95,59,49.8,170,"0.03438","0.03438","0.00804"
"GO:0015718","monocarboxylic acid transport",11,10,5.77,107,"0.00893","0.00893","0.00893"
"GO:0031167","rRNA methylation",11,10,5.77,108,"0.00893","0.00893","0.00893"
"GO:0006096","glycolytic process",14,12,7.34,111,"0.01037","0.01037","0.01037"
"GO:0015986","proton motive force-driven ATP synthesis",14,12,7.34,112,"0.01037","0.01037","0.01037"
"GO:0042026","protein refolding",14,12,7.34,113,"0.01037","0.01037","0.01037"
"GO:0000470","maturation of LSU-rRNA",19,18,9.96,31,"8.2e-05","0.01062","0.01062"
