gene_id,treated_b1,untreated_b1,untreated_b2
gene-KDRO_A02850,0,0,1
gene-KDRO_A04150,20,16,26
gene-KDRO_A04940,70,36,67
gene-KDRO_B02650,3,2,3
gene-KDRO_B05790,0,1,1
gene-KDRO_B06350,0,0,0
gene-KDRO_C01800,257,52,46
gene-KDRO_C02880,12472,193,228
gene-KDRO_D00400,26,7,18
gene-KDRO_D02850,3,0,2
gene-KDRO_D07380,18,91,157
gene-KDRO_E00600,1,0,1
gene-KDRO_E02810,0,2,5
gene-KDRO_E03520,0,3,2
gene-KDRO_E04050,1,0,0
gene-KDRO_E04190,0,0,3
gene-KDRO_E06940,0,0,0
gene-KDRO_E07690,0,0,0
gene-KDRO_E08030,19,762,636
gene-KDRO_F01520,817,370,396
gene-KDRO_F02730,4,4,4
gene-KDRO_F03810,17,5,11
gene-KDRO_F05460,1,0,3
gene-KDRO_F05680,1,0,0
gene-KDRO_F08710,0,1,0
gene-KLLA0_A00110g,88,51,0
gene-KLLA0_A00132g,574,53,61
gene-KLLA0_A00143g,23,9,7
gene-KLLA0_A00154g,10186,1161,1345
gene-KLLA0_A00176g,31869,39,75
gene-KLLA0_A00198g,438,299,374
gene-KLLA0_A00220g,3542,2085,2240
gene-KLLA0_A00242g,959,1323,1565
gene-KLLA0_A00264g,8166,4763,5569
gene-KLLA0_A00286g,2543,2083,2453
gene-KLLA0_A00308r,0,0,0
gene-KLLA0_A00352g,4205,1100,1298
gene-KLLA0_A00374g,18891,5446,6985
gene-KLLA0_A00396g,1139,1160,1247
gene-KLLA0_A00418g,4974,11786,15022
gene-KLLA0_A00440g,507,812,919
gene-KLLA0_A00462g,719,576,615
gene-KLLA0_A00484g,1865,2558,2921
gene-KLLA0_A00506g,171,168,215
gene-KLLA0_A00528g,3621,4856,4727
gene-KLLA0_A00539g,104,46,80
gene-KLLA0_A00550g,1936,775,966
gene-KLLA0_A00572g,1337,917,1008
gene-KLLA0_A00594g,3618,4260,4615
gene-KLLA0_A00616g,1150,11731,16079
gene-KLLA0_A00638g,1290,1324,1322
gene-KLLA0_A00660g,3259,1116,1128
gene-KLLA0_A00682g,6581,8554,10265
gene-KLLA0_A00715g,706,833,919
gene-KLLA0_A00737g,2818,2294,2330
gene-KLLA0_A00759g,902,599,702
gene-KLLA0_A00781g,1313,661,768
gene-KLLA0_A00803g,801,600,707
gene-KLLA0_A00825g,329,295,322
