gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
KDRO_D07380,74.382778199544,-3.3914345310414222,0.5333517242546538,1.64815938496301e-11,7.705369465816178e-11
KDRO_E08030,399.8107657298982,-6.465365114781244,1.1495795874312107,7.800874204914494e-11,3.479662675646708e-10
KLLA0_A00418g,10071.73872838709,-1.5255845505333927,0.09458167012655318,4.061474156971926e-59,8.110354595627661e-58
KLLA0_A00616g,8292.575033366882,-3.8204808757461963,0.10848226809705483,1.028507605506053e-273,6.46203802874047e-272
KLLA0_A00682g,7787.126901988935,-1.0548706469173832,0.09360659886050887,7.827587756289423e-30,8.617036777863912e-29
KLLA0_A01738g,13671.715270352426,-1.2394813426565645,0.08959888968705117,5.157009254154167e-44,8.002684240181405e-43
KLLA0_A01903g,10837.71396660511,-6.5122606302082175,0.10968407270442505,0,0
KLLA0_A02035g,1788.4022964224005,-1.2525470898662052,0.12307442483775059,7.656478820251891e-25,7.224574886801785e-24
KLLA0_A02277g,1236.590396384406,-1.450575174619671,0.1382207651359631,2.4030627320190376e-26,2.3900732037378535e-25
KLLA0_A02343g,2616.8107915631963,-1.060864926442287,0.11545960742732363,1.6734034888216608e-20,1.332515421083338e-19
KLLA0_A02673g,19659.186535719124,-2.046917007989611,0.09209180739136331,2.0977883400671616e-110,6.550185168500616e-109
KLLA0_A02915g,701.1555036863035,-1.5396948185164898,0.17184406511111466,7.6108885149453e-20,5.861180512555783e-19
KLLA0_A03047g,1793.6952626254279,-1.7010450309296208,0.12860961697567122,1.2921699561188799e-40,1.88058181184307e-39
KLLA0_A03179g,781.4854329500043,-1.2512987487875875,0.16210986469207417,3.870904161676008e-15,2.300218943593402e-14
KLLA0_A03267g,584.1737244689749,-1.9511111368138643,0.1843315756390449,4.1938745172753914e-27,4.270126781225853e-26
KLLA0_A03531g,2794.524890357418,-2.353790531815074,0.11353260650292285,1.6602387754251016e-96,4.8877429548515e-95
KLLA0_A04037g,835.2166592469473,-1.3945948005524282,0.15800027592819366,3.1012933255509377e-19,2.3089397706991955e-18
KLLA0_A04169g,6825.000547500076,-1.2851200734253139,0.10261363603297659,1.6119398119075293e-36,2.1459209072215996e-35
KLLA0_A04345g,507.013232354987,-1.0874284233302607,0.2046862842521668,4.9417070653710833e-8,1.7041281660503227e-7
KLLA0_A04730g,7450.742700591499,-1.6838490592189472,0.09480198156033844,9.979474449722025e-72,2.3055718549312946e-70
KLLA0_A05368g,1045.9216982247485,-1.9620600179543806,0.16545242750218397,2.0703444855512314e-33,2.515663865462251e-32
KLLA0_A05700g,3594.2907848486643,-5.495463465789477,0.1306946177158056,0,0
KLLA0_A05731g,18241.020612756933,-1.0030362027584754,0.08667636557772768,2.619039085297137e-31,2.9985087483224108e-30
KLLA0_A05841g,1204.794892524314,-1.45760842313986,0.1396018896866667,3.8717883169074536e-26,3.814044628815908e-25
KLLA0_A05863g,12304.031912240564,-3.161146207144617,0.092271169222323493,1.888809118602151e-258,1.093387031352616e-256
