gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-KDRO_A02850,2,0,0,1
gene-KDRO_A04150,16,16,16,26
gene-KDRO_A04940,49,53,36,67
gene-KDRO_B02650,2,1,2,3
gene-KDRO_B05790,1,0,1,1
gene-KDRO_B06350,0,0,0,0
gene-KDRO_C01800,368,336,52,46
gene-KDRO_C02880,13578,13910,193,228
gene-KDRO_D00400,9,7,7,18
gene-KDRO_D02850,1,0,0,2
gene-KDRO_D07380,9,14,91,157
gene-KDRO_E00600,0,0,0,1
gene-KDRO_E02810,0,0,2,5
gene-KDRO_E03520,1,0,3,2
gene-KDRO_E04050,0,0,0,0
gene-KDRO_E04190,0,0,0,3
gene-KDRO_E06940,0,1,0,0
gene-KDRO_E07690,0,0,0,0
gene-KDRO_E08030,14,24,762,636
gene-KDRO_F01520,733,722,370,396
gene-KDRO_F02730,1,0,4,4
gene-KDRO_F03810,12,13,5,11
gene-KDRO_F05460,0,0,0,3
gene-KDRO_F05680,3,0,0,0
gene-KDRO_F08710,0,0,1,0
gene-KLLA0_A00110g,217,75,51,0
gene-KLLA0_A00132g,853,889,53,61
gene-KLLA0_A00143g,0,12,9,7
gene-KLLA0_A00154g,7148,6592,1161,1345
gene-KLLA0_A00176g,42586,43557,39,75
gene-KLLA0_A00198g,601,620,299,374
gene-KLLA0_A00220g,3734,3795,2085,2240
gene-KLLA0_A00242g,1045,1072,1323,1565
gene-KLLA0_A00264g,10640,11053,4763,5569
gene-KLLA0_A00286g,2620,2649,2083,2453
gene-KLLA0_A00308r,0,0,0,0
gene-KLLA0_A00352g,2428,2339,1100,1298
gene-KLLA0_A00374g,8528,8377,5446,6985
gene-KLLA0_A00396g,1115,1219,1160,1247
gene-KLLA0_A00418g,5474,5833,11786,15022
gene-KLLA0_A00440g,737,764,812,919
gene-KLLA0_A00462g,736,703,576,615
gene-KLLA0_A00484g,2004,2050,2558,2921
gene-KLLA0_A00506g,198,202,168,215
gene-KLLA0_A00528g,4012,4183,4856,4727
gene-KLLA0_A00539g,114,114,46,80
gene-KLLA0_A00550g,2140,2029,775,966
gene-KLLA0_A00572g,1404,1414,917,1008
gene-KLLA0_A00594g,2758,2815,4260,4615
gene-KLLA0_A00616g,1446,1380,11731,16079
gene-KLLA0_A00638g,1229,1260,1324,1322
gene-KLLA0_A00660g,3619,3552,1116,1128
gene-KLLA0_A00682g,5320,5478,8554,10265
gene-KLLA0_A00715g,654,611,833,919
gene-KLLA0_A00737g,2338,2376,2294,2330
gene-KLLA0_A00759g,1049,910,599,702
gene-KLLA0_A00781g,1221,1250,661,768
gene-KLLA0_A00803g,774,789,600,707
gene-KLLA0_A00825g,386,448,295,322
gene-KLLA0_A00847g,586,586,389,407
gene-KLLA0_A00869g,1290,1340,1480,1598
gene-KLLA0_A00891g,571,646,364,403
gene-KLLA0_A00913g,492,474,210,275
gene-KLLA0_A00935g,690,744,658,708
gene-KLLA0_A00957g,7212,7226,6051,6653
gene-KLLA0_A00979g,902,955,1082,1227
gene-KLLA0_A01001g,4787,4953,8095,9776
gene-KLLA0_A01023g,1346,1374,972,1064
gene-KLLA0_A01045g,1228,1208,995,1117
gene-KLLA0_A01067g,1572,1516,607,648
gene-KLLA0_A01089g,578,560,176,259
gene-KLLA0_A01111g,565,568,452,505
gene-KLLA0_A01133g,707,744,550,659
gene-KLLA0_A01155g,3768,3743,2537,2864
gene-KLLA0_A01177g,3433,3539,2526,3051
gene-KLLA0_A01199g,18751,18462,17748,19487
gene-KLLA0_A01221g,3728,3920,1658,1902
gene-KLLA0_A01287g,241,245,199,241
gene-KLLA0_A01297g,250,226,207,254
gene-KLLA0_A01309g,117,125,27,35
gene-KLLA0_A01320g,982,1100,353,420
gene-KLLA0_A01342g,1921,1961,1795,1376
gene-KLLA0_A01364g,5318,5455,4706,5584
gene-KLLA0_A01386g,975,1027,577,756
gene-KLLA0_A01408g,4822,5100,1135,1447
gene-KLLA0_A01430g,1639,1653,665,795
gene-KLLA0_A01452g,5996,6263,6492,7508
gene-KLLA0_A01474g,769,808,490,365
gene-KLLA0_A01496g,388,374,215,233
gene-KLLA0_A01518g,997,960,628,798
gene-KLLA0_A01551g,73,58,79,79
gene-KLLA0_A01573g,989,1038,1311,1453
gene-KLLA0_A01606g,1007,1108,420,487
gene-KLLA0_A01628g,6474,6427,4788,5291
gene-KLLA0_A01650g,1230,1247,1005,1243
gene-KLLA0_A01672g,871,861,609,659
gene-KLLA0_A01694g,44954,47354,1659,1880
gene-KLLA0_A01738g,8428,8572,15415,18992
gene-KLLA0_A01760g,6508,6723,2009,2023
gene-KLLA0_A01782g,2155,2202,1554,1977
gene-KLLA0_A01804g,2005,2094,875,1054
gene-KLLA0_A01826g,1933,1918,1666,1631
gene-KLLA0_A01848g,1256,1372,212,289
gene-KLLA0_A01870g,683,634,474,493
gene-KLLA0_A01903g,319,361,16751,21651
gene-KLLA0_A01925g,1029,1114,1015,1158
gene-KLLA0_A01947g,1605,1635,730,891
gene-KLLA0_A01969g,1711,1756,929,1053
gene-KLLA0_A01991g,3758,3843,2816,3599
