gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
KDRO_C01800,180.10125571499543,2.369221487401545,0.321801992712892,1.919815283537117e-14,9.897543186941607e-14
KDRO_C02880,6612.570222369687,5.7480373406521865,0.1280399022319053,0,0
KDRO_D07380,75.1024811840208,-3.5709309169925767,0.5122576700893077,2.7879215920368965e-13,1.330540109848621e-12
KDRO_E08030,421.04957122100086,-4.356288228272167,0.27376525135714846,9.190478513397682e-59,1.762651476077018e-57
KLLA0_A00132g,363.5526601950112,3.3029586325940468,0.24724559661002277,9.319924867202982e-42,1.3233263485476059e-40
KLLA0_A00154g,2764.3014746606905,1.5078868544323127,0.1148494536521683,3.8021483710851425e-40,5.225412467213271e-39
KLLA0_A00176g,26172.8839445096,9.678178324683836,0.402127094934533,3.3656113608777395e-131,1.2182565066839142e-129
KLLA0_A00242g,1139.4100388472023,-1.3610190647962106,0.14029538453156495,1.1599351322627912e-22,8.97901593348004e-22
KLLA0_A00418g,9765.092931779982,-1.812600658349598,0.10012852419492003,4.9941119126785754e-74,1.166806146871267e-72
KLLA0_A00550g,1507.583936838439,1.0183062146090063,0.1294653685575249,1.4960991669524658e-15,8.268763137780296e-15
KLLA0_A00616g,8741.276390023753,-3.185907979079959,0.09914516835668635,1.3227197518406808e-227,7.232744174958615e-226
KLLA0_A00660g,2283.14310279209,1.3438077809962408,0.11816934057302823,1.7610680837069562e-30,1.8031653287358077e-29
KLLA0_A00682g,7736.658761912938,-1.1607261644552993,0.1046887194861757,5.0416673557736457e-29,4.9360324207002935e-28
KLLA0_A01001g,6812.703102130601,-1.5475054605673042,0.10134459759249415,2.969032105901968e-53,5.190756810998679e-52
KLLA0_A01089g,413.57923252888634,1.2082278237149995,0.21213813379612853,3.876101455261995e-9,1.3797203241029538e-8
KLLA0_A01309g,131.5141454241782,2.6124327978991055,0.363101483187267,7.137573410198009e-14,3.5344053302907295e-13
KLLA0_A01320g,707.7329475943368,1.1254455563820476,0.1651059238987105,3.656365867498292e-12,1.620148324046657e-11
KLLA0_A01408g,3005.6287029419027,1.6231839161664552,0.11418854679622836,1.613340319982583e-46,2.5437328971504532e-45
KLLA0_A01694g,25811.85712030846,4.616341309200402,0.0949677215416474,0,0
KLLA0_A01738g,13688.112896133214,-1.3155179033114313,0.09486773027476701,3.1956460505250834e-44,4.802813070087406e-43
KLLA0_A01760g,4423.493169529993,1.493838053217607,0.10523806760776622,2.771647458811052e-46,4.3301726256196984e-45
KLLA0_A01848g,802.6908010206697,2.1964340654031953,0.17253100674728644,3.8985220119559043e-38,5.151260447674383e-37
KLLA0_A01903g,11211.757103973358,-5.13244289834544,0.110007712205106,0,0
KLLA0_A02035g,1911.5676922673274,-1.0212109717324314,0.1231362108915774,4.4563133350622995e-17,2.663424481653514e-16
KLLA0_A02277g,1349.3972763368959,-1.109883411806491,0.13316421869619186,5.720188087299755e-17,3.3951231834550506e-16
KLLA0_A02387g,258.3876335883651,3.874642858536532,0.30741369286843967,1.852175359754746e-37,2.4005573000594562e-36
KLLA0_A02563g,294.17426683041043,2.4007022343305184,0.25374180654136896,3.3198801426071555e-22,2.502079755571962e-21
KLLA0_A02629g,4662.207051285515,1.6860462981142283,0.10737774925852898,2.838771317734722e-56,5.286697309114664e-55
KLLA0_A02673g,21076.790730187884,-1.6886509111724113,0.1073116473126264,9.565815294180441e-57,1.7944631610250904e-55
KLLA0_A02717g,7470.010635607807,2.1936455278170874,0.10715223263222262,3.734850841386051e-94,1.0433224633002337e-92
KLLA0_A02761g,2945.5226393823104,-1.0868930068659974,0.11124706270733302,6.315361822275875e-23,4.993993810230462e-22
KLLA0_A02893g,1714.403633847092,-1.5109994850253075,0.12700137269274503,2.7991176018338102e-33,3.169045038199512e-32
KLLA0_A02915g,752.3603197463161,-1.2542548056805756,0.17104698247781988,6.48796639092118e-14,3.222043212496122e-13
KLLA0_A03025g,10296.719078241194,1.0479300787763641,0.11208508154319578,3.366512425338987e-21,2.423511745972324e-20
