"GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","elim","weight01","KS"
"GO:0002181","cytoplasmic translation",168,141,61.94,1,"< 1e-30","< 1e-30","< 1e-30","< 1e-30"
"GO:0000054","ribosomal subunit export from nucleus",69,51,25.44,41,"3.4e-10","2.6e-08","2.0e-10","5.6e-12"
"GO:0000028","ribosomal small subunit assembly",25,24,9.22,42,"6.0e-10","6.0e-10","6.0e-10","7.3e-10"
"GO:0006412","translation",459,286,169.24,2,"1.1e-30","0.06270","1.0e-08","< 1e-30"
"GO:0000462","maturation of SSU-rRNA from tricistronic...",102,70,37.61,33,"5.3e-11","2.5e-08","2.5e-08","4.3e-10"
"GO:0000463","maturation of LSU-rRNA from tricistronic...",54,40,19.91,49,"2.6e-08","2.6e-08","2.6e-08","1.6e-08"
"GO:0000027","ribosomal large subunit assembly",44,34,16.22,53,"4.9e-08","4.9e-08","4.9e-08","1.6e-09"
"GO:0006418","tRNA aminoacylation for protein translat...",37,29,13.64,57,"2.9e-07","2.9e-07","4.1e-07","3.8e-07"
"GO:0010499","proteasomal ubiquitin-independent protei...",17,16,6.27,75,"1.3e-06","1.3e-06","1.3e-06","1.8e-06"
"GO:0006457","protein folding",125,70,46.09,106,"8.6e-06","0.00288","2.3e-06","4.9e-06"
"GO:0006414","translational elongation",45,29,16.59,151,"0.00015","0.00015","2.6e-06","2.8e-07"
"GO:0006096","glycolytic process",29,23,10.69,84,"3.6e-06","3.6e-06","3.6e-06","3.1e-06"
"GO:0034599","cellular response to oxidative stress",91,54,33.55,109,"9.6e-06","9.6e-06","1.9e-05","2.2e-05"
"GO:0001731","formation of translation preinitiation c...",19,16,7.01,127,"3.1e-05","3.1e-05","3.1e-05","9.5e-05"
"GO:0000466","maturation of 5.8S rRNA from tricistroni...",92,57,33.92,71,"7.6e-07","0.00067","4.7e-05","3.0e-06"
"GO:0006633","fatty acid biosynthetic process",27,20,9.96,143,"9.1e-05","9.1e-05","9.1e-05","3.0e-05"
"GO:0006415","translational termination",26,20,9.59,128,"3.6e-05","3.6e-05","0.00010","0.00023"
"GO:0043248","proteasome assembly",33,25,12.17,99,"5.9e-06","5.9e-06","0.00013","3.2e-06"
"GO:0170035","L-amino acid catabolic process",37,26,13.64,129,"3.6e-05","3.6e-05","0.00016","2.0e-05"
"GO:0043650","dicarboxylic acid biosynthetic process",24,18,8.85,153,"0.00016","0.00016","0.00016","0.00026"
"GO:0042026","protein refolding",30,21,11.06,155,"0.00023","0.00023","0.00023","3.2e-07"
"GO:0000447","endonucleolytic cleavage in ITS1 to sepa...",44,28,16.22,157,"0.00027","0.00027","0.00027","0.00077"
"GO:0000470","maturation of LSU-rRNA",70,53,25.81,32,"3.2e-11","0.00033","0.00033","9.3e-12"
"GO:0009079","pyruvate family amino acid biosynthetic ...",11,10,4.06,161,"0.00034","0.00034","0.00034","0.00017"
"GO:1990145","maintenance of translational fidelity",11,10,4.06,162,"0.00034","0.00034","0.00034","5.2e-07"
"GO:0051085","chaperone cofactor-dependent protein ref...",16,13,5.9,163,"0.00037","0.00037","0.00037","4.6e-06"
"GO:0170040","proteinogenic amino acid catabolic proce...",33,23,12.17,147,"0.00013","0.00013","0.00057","0.00010"
"GO:0006098","pentose-phosphate shunt",13,11,4.79,171,"0.00058","0.00058","0.00058","0.00048"
"GO:0043161","proteasome-mediated ubiquitin-dependent ...",125,56,46.09,353,"0.04010","0.04010","0.00076","0.04959"
"GO:0009408","response to heat",41,28,15.12,131,"4.1e-05","0.00079","0.00079","3.8e-05"
