gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-Q0020,83,24,41,56
gene-Q0045,62,41,21,14
gene-Q0050,34,27,22,14
gene-Q0055,48,37,29,24
gene-Q0060,5,3,1,1
gene-Q0065,21,21,29,16
gene-Q0070,18,11,5,7
gene-Q0075,23,27,10,8
gene-Q0080,0,0,0,0
gene-Q0085,9,0,0,1
gene-Q0105,7,0,2,1
gene-Q0110,0,0,1,0
gene-Q0115,0,1,0,0
gene-Q0120,0,2,6,2
gene-Q0130,22,28,4,10
gene-Q0140,0,1,0,0
gene-Q0158,452,293,237,231
gene-Q0160,53,55,33,26
gene-Q0250,2,1,2,1
gene-Q0255,70,107,60,58
gene-Q0275,2,0,1,0
gene-Q0285,0,0,0,0
gene-tA(UGC)Q,0,0,0,0
gene-tC(GCA)Q,0,0,0,0
gene-tD(GUC)Q,0,0,0,0
gene-tE(UUC)Q,0,0,0,0
gene-tF(GAA)Q,0,0,0,0
gene-tG(UCC)Q,0,0,0,0
gene-tH(GUG)Q,0,0,0,0
gene-tI(GAU)Q,0,0,0,0
gene-tK(UUU)Q,0,0,0,0
gene-tL(UAA)Q,0,0,0,0
gene-tM(CAU)Q1,0,0,0,0
gene-tM(CAU)Q2,0,0,0,0
gene-tN(GUU)Q,0,0,0,0
gene-tP(UGG)Q,0,0,0,0
gene-tQ(UUG)Q,0,0,0,0
gene-tR(ACG)Q2,0,0,0,0
gene-tR(UCU)Q1,0,0,0,0
gene-tS(GCU)Q1,0,0,0,0
gene-tS(UGA)Q2,0,0,0,0
gene-tT(UAG)Q2,0,0,0,0
gene-tT(UGU)Q1,0,0,0,0
gene-tV(UAC)Q,0,0,0,0
gene-tW(UCA)Q,0,0,0,0
gene-tY(GUA)Q,0,0,0,0
gene-YAL001C,1673,2026,1442,1339
gene-YAL002W,1737,1889,914,792
gene-YAL003W,13790,16818,26582,24023
gene-YAL005C,99179,120719,4987,4502
gene-YAL007C,1244,1588,1679,1590
gene-YAL008W,1494,1967,436,404
gene-YAL009W,604,750,512,477
gene-YAL010C,711,738,350,386
gene-YAL011W,774,963,701,608
gene-YAL012W,1875,2023,3066,2717
gene-YAL013W,952,1200,691,729
gene-YAL014C,584,812,563,484
gene-YAL015C,766,932,445,424
gene-YAL016W,3731,4475,2942,2719
gene-YAL017W,3048,3739,1536,1341
gene-YAL018C,6,8,0,2
gene-YAL019W,970,990,2228,2090
gene-YAL020C,660,813,473,475
gene-YAL021C,1166,1319,1302,1197
gene-YAL022C,1468,1758,1473,1286
gene-YAL023C,5518,6183,8416,7398
gene-YAL024C,527,570,718,533
gene-YAL025C,280,367,2148,1989
gene-YAL026C,2213,2550,2751,2460
gene-YAL027W,304,332,233,230
gene-YAL028W,730,846,300,248
gene-YAL029C,1733,1974,2978,2517
gene-YAL030W,781,1040,348,334
gene-YAL031C,1073,1267,714,635
gene-YAL032C,535,671,446,380
gene-YAL033W,185,215,304,297
gene-YAL034C,1263,1491,418,356
gene-YAL034W-A,267,272,161,168
gene-YAL035W,5917,7288,14573,12349
gene-YAL036C,560,636,2379,2249
gene-YAL037C-A,0,0,0,0
gene-YAL037W,134,154,68,84
gene-YAL038W,194847,227375,134932,119828
gene-YAL039C,1036,1456,464,399
gene-YAL040C,1420,1786,1285,1210
gene-YAL041W,1745,1978,1527,1397
gene-YAL042W,4682,5441,4887,4539
gene-YAL043C,1329,1474,1077,1019
gene-YAL044C,5710,7142,2167,2097
gene-YAL044W-A,425,546,295,302
gene-YAL046C,435,557,267,233
gene-YAL047C,410,491,374,355
gene-YAL048C,622,633,501,427
gene-YAL049C,1765,2104,687,626
gene-YAL051W,1066,1240,763,724
gene-YAL053W,2692,3304,1974,1807
gene-YAL054C,789,1003,246,201
gene-YAL055W,592,782,287,287
gene-YAL056W,2334,2709,1823,1663
gene-YAL058W,1032,1315,779,732
gene-YAL059W,168,153,685,648
gene-YAL060W,6117,6833,1819,1720
gene-YAL061W,8179,10782,270,297
gene-YAL062W,904,1062,215,206
gene-YAL063C,769,970,353,326
gene-YAL063C-A,1,2,0,1
gene-YAL064C-A,101,139,71,53
gene-YAL064W,0,2,0,1
gene-YAL064W-B,13,12,5,16
gene-YAL065C,24,20,7,8
gene-YAL067C,60,81,30,25
gene-YAL067W-A,0,0,0,0
gene-YAL068C,0,0,0,0
gene-YAR002C-A,2368,2833,2572,2501
gene-YAR002W,1099,1328,1731,1540
gene-YAR003W,610,676,773,770
gene-YAR007C,2526,2887,1817,1744
gene-YAR008W,339,326,405,348
gene-YAR009C,10682,11686,6305,5192
gene-YAR010C,2,0,2,0
gene-YAR014C,1787,2150,2032,1921
gene-YAR015W,2586,3120,1828,1643
gene-YAR018C,451,566,526,448
gene-YAR019C,591,782,466,397
gene-YAR020C,3,2,1,0
gene-YAR023C,135,178,49,48
gene-YAR027W,1216,1457,666,632
gene-YAR028W,236,270,363,351
gene-YAR029W,7,13,11,13
gene-YAR031W,152,160,269,248
gene-YAR033W,201,286,207,209
gene-YAR035C-A,0,0,0,0
gene-YAR035W,246,308,131,129
gene-YAR042W,2856,3302,1337,1233
gene-YAR050W,347,373,219,238
gene-YAR061W,29,50,70,57
gene-YAR064W,7,9,8,4
gene-YAR066W,8,15,23,31
gene-YAR068W,50,69,29,28
gene-YAR071W,11858,12156,84,92
gene-YBL001C,2082,2681,749,689
gene-YBL002W,3770,4000,5401,4795
gene-YBL003C,3601,4300,5204,5002
gene-YBL004W,586,674,2903,2545
gene-YBL005W,1282,1495,862,722
gene-YBL005W-A,0,0,0,0
gene-YBL005W-B,9860,10900,5549,4580
gene-YBL006C,1030,1305,740,770
gene-YBL007C,5399,6430,4814,4355
gene-YBL008W,576,648,557,526
gene-YBL008W-A,4,3,3,3
gene-YBL009W,559,671,848,750
gene-YBL010C,297,319,310,304
gene-YBL011W,1955,2508,1895,1804
gene-YBL013W,110,118,116,102
gene-YBL014C,575,679,938,937
gene-YBL015W,2035,2965,711,650
gene-YBL016W,797,920,1173,1159
gene-YBL017C,4157,4808,4657,4015
gene-YBL018C,190,257,280,262
gene-YBL019W,658,747,333,301
gene-YBL020W,731,868,1176,1190
gene-YBL021C,201,288,177,149
gene-YBL022C,3895,4825,3105,2771
gene-YBL023C,917,1038,1023,922
gene-YBL024W,916,1010,3420,2934
gene-YBL025W,161,175,142,130
gene-YBL026W,206,197,209,202
gene-YBL027W,3216,4004,23167,21588
gene-YBL028C,102,138,477,539
gene-YBL029C-A,325,405,85,88
gene-YBL029W,634,836,333,308
gene-YBL030C,7987,10047,5361,5086
gene-YBL031W,281,342,345,314
gene-YBL032W,1499,1830,2497,2194
gene-YBL033C,1060,1368,645,583
gene-YBL034C,633,760,750,649
gene-YBL035C,873,888,849,709
gene-YBL036C,1139,1343,1219,1148
gene-YBL037W,868,936,820,743
gene-YBL038W,690,926,453,385
gene-YBL039C,547,691,5359,4864
gene-YBL039W-B,17,28,7,4
gene-YBL040C,1012,1165,1053,996
gene-YBL041W,3784,4619,2604,2529
gene-YBL042C,670,683,1559,1389
gene-YBL043W,26,42,30,29
gene-YBL044W,0,4,6,6
gene-YBL045C,5160,6814,3150,2854
gene-YBL046W,787,891,776,738
gene-YBL047C,5581,6307,4445,3779
gene-YBL048W,59,81,45,31
gene-YBL049W,343,424,61,56
gene-YBL050W,2187,2717,1300,1265
gene-YBL051C,2419,2673,2237,1887
gene-YBL052C,1195,1431,1708,1604
gene-YBL054W,168,205,751,724
gene-YBL055C,512,628,701,689
gene-YBL056W,3943,4861,2845,2695
gene-YBL057C,604,790,721,823
gene-YBL058W,4943,6168,2995,2821
gene-YBL059C-A,168,208,109,96
gene-YBL059W,171,251,124,118
gene-YBL060W,632,687,507,427
gene-YBL061C,1585,1827,1742,1614
gene-YBL063W,729,842,737,665
gene-YBL064C,5970,7509,632,642
gene-YBL066C,942,1066,601,547
gene-YBL067C,936,1221,1259,1114
gene-YBL068W,620,706,1092,1073
gene-YBL069W,700,731,777,714
gene-YBL071C,39,46,105,98
gene-YBL071C-B,0,0,0,0
gene-YBL071W-A,27,36,93,79
gene-YBL072C,4918,5963,25839,24064
gene-YBL074C,227,247,177,140
gene-YBL075C,2409,2595,607,516
gene-YBL076C,5470,6291,17146,15554
gene-YBL078C,737,1088,97,73
gene-YBL079W,2053,2108,2699,2362
gene-YBL080C,645,784,322,328
gene-YBL081W,190,222,712,607
gene-YBL082C,650,720,1221,1110
gene-YBL084C,802,934,699,658
gene-YBL085W,1808,2128,2058,1841
gene-YBL086C,1101,1298,728,701
gene-YBL087C,1332,1725,8871,8296
gene-YBL088C,828,981,1166,897
gene-YBL089W,600,667,457,460
gene-YBL090W,367,494,332,300
gene-YBL091C,4523,5621,5636,4934
gene-YBL091C-A,488,603,278,262
gene-YBL092W,2560,3344,18119,17883
gene-YBL093C,664,958,762,733
gene-YBL095W,469,615,374,370
gene-YBL097W,373,452,520,447
gene-YBL098W,429,572,505,502
