gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YAL003W,21656.392414914997,-1.1102678351780768,0.09049624136595077,8.2856084793908e-35,7.131541584047082e-34
YAL012W,2407.182681055409,-1.2321484019552973,0.1136735921876117,8.5956267350924e-28,6.262231085723302e-27
YAL019W,1674.028190670473,-1.6207253592679987,0.1268096002733456,6.429648333611168e-38,5.8517569803636375e-37
YAL025C,1333.6157916480704,-3.322236190058882,0.1615591747524601,1.6124625555908487e-95,3.084154570614242e-94
YAL035W,10645.332206917126,-1.4951627005129895,0.10147862928281973,8.906618917639609e-50,9.846308069500669e-49
YAL036C,1668.6118800260376,-2.1095866848780873,0.1323563374811864,4.298444120249652e-58,5.373055150312066e-57
YAL059W,472.20703311686805,-2.234338129972343,0.1962600244398171,7.616171730894698e-31,6.0062087275707534e-30
YAR061W,50.19594588851278,-1.3011073575057583,0.5440371331073085,0.00463779737179971,0.008943817371477631
YBL004W,1927.6993720646365,-2.24486223529837,0.12210931076738418,3.327071878314187e-76,5.153112613584313e-75
YBL024W,2288.5662221934954,-2.0981312431079426,0.12079619430903955,1.9855630318760242e-68,2.7885821135321786e-67
YBL027W,14026.112975487717,-3.83602640704766,0.10702700573388853,3.5699543704370195e-283,2.4167387732452858e-281
YBL028C,358.4085435109695,-2.293322791935965,0.21977957117764305,2.5468127793612654e-26,1.7617160729795206e-25
YBL039C,3273.299778775471,-3.4215502734290855,0.13210035282766125,1.0721492340838024e-149,3.0907651365334492e-148
YBL042C,1172.1808442635925,-1.459086371957234,0.13780170303068062,7.161448558014714e-27,5.0762032425927826e-26
YBL054W,538.9612491737124,-2.0000355309872018,0.18746504482373436,2.1500806435051255e-27,1.556999504461344e-26
YBL068W,941.8197116637448,-1.0314148440216433,0.14634621139680828,8.872467693664824e-13,3.873667960458736e-12
YBL071C,80.36037833421551,-1.3753637480598722,0.4215153948210026,3.244315324091286e-4,7.401363054770919e-4
YBL071W-A,63.854753915877076,-1.7223322367530463,0.4806751102250549,6.897598254863637e-5,1.7018030092364218e-4
YBL072C,16159.975277869731,-3.23960794256122,0.097111298839271,1.9645351137388173e-245,9.104864661751057e-244
YBL076C,12065.959531651477,-1.9333780409673773,0.0967191078164688,6.64355707286839e-90,1.1912926001200016e-88
YBL081W,474.2437717806828,-2.0950138623688335,0.19742328606198473,4.146138197602861e-27,2.9703308728367706e-26
YBL082C,996.4857153697316,-1.1047921593531693,0.1459319715244515,1.6609218692506645e-14,7.923241696148262e-14
YBL087C,5506.350667309334,-3.389227616969932,0.10319008838918867,9.914965850719857e-238,4.392475680190231e-236
YBL092W,11307.237994297166,-3.808419976167873,0.09579606696905277,0,0
YBR002C,836.6773504749464,-1.001914241308697,0.15325282353781697,3.713162641586125e-11,1.5105877728262257e-10
YBR021W,519.6733541535709,-1.6590919155791284,0.184235231699815,5.967538780571379e-20,3.4209725169307855e-19
YBR025C,8752.764195147192,-1.8458415104438295,0.0944647286096065,5.0062718638369e-86,8.617939422747807e-85
YBR029C,2488.924486740862,-1.07843822043598,0.13054026363826562,5.68951125169529e-17,2.957662233948587e-16
YBR030W,875.7765349461062,-1.1621202202900704,0.15405986635077426,1.8710555874300796e-14,8.897482173848643e-14
YBR031W,30528.856583038214,-3.024984826781083,0.10544021138360767,1.712393853922745e-182,5.929409752807206e-181
YBR034C,1423.2011752045148,-2.3907359006691102,0.13871346861267095,2.2595100011417205e-67,3.1010359355077146e-66
YBR040W,48.951144619631066,-1.4096611017374252,0.5597786875872767,0.002806024443875083,0.005577795207636876
YBR048W,6259.9070327641275,-3.7244629136460508,0.10180695069098657,4.2109343931056495e-294,3.132207372649573e-292
YBR061C,583.9276040456858,-1.5716584469221115,0.17653540957007569,1.6757576040027703e-19,9.42711443895116e-19
YBR069C,492.31086412769,-2.9299268584491944,0.20992825635317747,2.0337369074983185e-45,2.0838885829383283e-44
YBR079C,6144.106869375551,-2.1882382468907333,0.09936406033382017,2.1069044357224697e-108,4.632882928915284e-107
YBR084C-A,11436.363098657828,-3.668366200501313,0.09801246564426863,0,0
YBR084W,5056.88770258982,-3.073032446759602,0.11250931771835447,1.5895395784050503e-165,5.040513663100225e-164
YBR085W,176.56690683930358,-2.3768906007687054,0.3227843741151255,1.743328522820728e-14,8.309774011071904e-14
YBR087W,706.1344455040891,-1.0560971323680575,0.16164610307214874,3.254973249710786e-11,1.327773448172477e-10
YBR092C,4177.321885716361,-3.3130413355474673,0.10673103570788675,1.3088019029031771e-212,5.05482786217413e-211
YBR104W,693.1280367794202,-2.366660004172422,0.1732793312670422,2.2878708437868794e-43,2.2709096925561693e-42
YBR118W,152637.83943427,-1.5724819810499937,0.08603276898219406,1.5311285614513379e-74,2.3354555905681797e-73
YBR121C,12182.474051482528,-1.443060326562278,0.09340825101802071,2.3594684372811234e-54,2.843159466923754e-53
YBR142W,1357.7645857110192,-2.6265472846806035,0.13900891261596185,1.5353464004814662e-80,2.50012488186509e-79
YBR143C,6287.649764077976,-1.8164818545742998,0.100019368311894,2.0536536535970413e-74,3.1245614300308525e-73
YBR154C,1327.4375181740181,-1.9174910856560639,0.13397901850797903,3.0590127767283577e-47,3.239112825973349e-46
YBR155W,686.6331412687119,-1.6194179057306766,0.168901835384673,2.1825416309065283e-22,1.3473169391610486e-21
YBR172C,1536.5444987947008,-1.5347779722971346,0.12741717556949808,6.6612108483567505e-34,5.620979742485914e-33
YBR181C,12796.528318660503,-3.870258596904492,0.098039007633892,0,0
YBR187W,2371.7625462964397,-1.3668097744684649,0.11685355688724734,4.5570055546456034e-32,3.7152853134965843e-31
YBR189W,17335.970141677324,-4.1831109789772905,0.10478834159037471,0,0
YBR191W,10278.259537090511,-4.235028165950501,0.10422555023293699,0,0
YBR192W,455.84150317882563,-1.0713411509263693,0.1917235710214879,1.0388339335798247e-8,3.6368242009404093e-8
YBR238C,348.225388113187,-2.8331809240509025,0.22898906466127894,4.2346251314629346e-36,3.746492865941877e-35
YBR247C,994.4442511289157,-2.492962687994582,0.1498401935953552,5.594603068456632e-63,7.343678319706146e-62
YBR249C,5350.0272914078305,-2.054828943756342,0.10020780323820419,3.524504152982955e-94,6.5947632055038205e-93
YBR263W,4356.863049675315,-1.039503583030502,0.1123740844715541,9.346163375059653e-21,5.493720422900918e-20
YBR267W,901.5702457250586,-2.195584361619198,0.15290735716166684,1.4838337647936337e-47,1.587939330884839e-46
YBR271W,518.5063961821858,-1.6048736861179473,0.18884988525491606,6.191635269945128e-18,3.315964666792835e-17
YBR283C,5181.633918593776,-1.0523851441403913,0.09958077312602073,2.5368444893202015e-26,1.7568377066843923e-25
YCL031C,1378.5394379100871,-1.386390235588793,0.1315580887517047,1.883146279606454e-26,1.3147110468863133e-25
YCL054W,1958.799661633131,-2.8407752488413314,0.12912078081161657,2.5305367371325077e-108,5.54417594226304e-107
YCL058C,90.53745856672322,-2.040277412639516,0.41442231586956174,1.344114843387805e-7,4.326010647121541e-7
YCL058W-A,183.3917816492494,-1.6914974467233534,0.29132021259853114,1.4316930154980288e-9,5.334539528989254e-9
YCL059C,1333.2450800295212,-2.6063452987630886,0.13974859963468017,1.4044675573966022e-78,2.2386023897657484e-77
YCR016W,749.1591226934937,-2.0807462403695274,0.16255442576033685,2.8778007421924423e-38,2.631069722565928e-37
YCR031C,11282.31012094429,-3.2210720290334676,0.09409062988016638,4.5976543362166905e-259,2.3084056146421303e-257
YCR034W,3156.6105019133615,-2.0645920522491212,0.11798061203946916,1.7830037390490166e-69,2.5456392245901243e-68
YCR047C,817.7267194948838,-1.3929676698538982,0.15614156225203016,1.4715813370574008e-19,8.317333541998912e-19
YCR057C,1725.9706230398363,-2.9761852425887967,0.129651234192977,1.3956557481981699e-117,3.3501298338223003e-116
YCR072C,580.9967926147897,-2.599590221961055,0.19897029367787727,4.44523025934924e-40,4.19131648084181e-39
YCR087C-A,459.65620398295744,-2.395204948585952,0.20620342025826627,3.922801272673221e-32,3.2025579495740048e-31
YDL014W,6530.159198690913,-3.504455303937049,0.11724191396280823,3.729717068130034e-198,1.3619118385141486e-196
YDL031W,2578.699478778343,-1.650727847709675,0.11719596542934696,1.194701311636352e-45,1.2325471579809967e-44
YDL036C,513.1673543065733,-1.041580727956267,0.18239805287763705,5.730622412313098e-9,2.0430177535021547e-8
YDL037C,37.90521570680606,-1.4855628164235475,0.6213527396476611,0.003780595814684958,0.007373936478950104
YDL039C,140.53079918058927,-1.3617719687423187,0.32234689665778793,7.549286092398667e-6,2.0797644584683112e-5
YDL040C,3525.6970287188733,-1.2150861285775547,0.10566149653420126,5.142741252481939e-31,4.076975795553116e-30
YDL051W,1964.8404043221094,-1.8070205256841958,0.12245424013896293,5.514574417348947e-50,6.118841779839301e-49
YDL060W,1711.0095012855488,-2.7572910043214915,0.13279191767607817,8.168259380648264e-97,1.587540734464703e-95
YDL061C,843.9446558378687,-3.2411892781714267,0.17172451262030802,1.2939232924621482e-80,2.1127067309171932e-79
YDL063C,841.2707543291497,-2.641096734413589,0.16092128371022177,1.9558764441453005e-61,2.517981960678512e-60
YDL074C,1925.740494629013,-1.074246551032994,0.12012560655212497,1.6531026068519737e-19,9.308358136713215e-19
YDL075W,9986.513098146217,-3.6714975671796024,0.0967824153318801,0,0
YDL081C,4025.604370078502,-3.0599860466107653,0.10754681514497162,1.4053474745687963e-178,4.73028968395363e-177
YDL082W,6394.121944442225,-4.015147947975766,0.11297459218750529,3.1480192024582805e-278,2.0177463505118234e-276
YDL083C,8541.707054242755,-4.168618905609414,0.1125630759913376,6.020683127135855e-302,4.7109890702589e-300
YDL112W,1716.18150502699,-1.781013955509161,0.1243631025446975,2.326414957057234e-47,2.476439949870995e-46
YDL121C,491.4885920423528,-1.6512485183137953,0.1941610239552452,3.678006406450987e-18,1.9856620608303943e-17
YDL122W,2467.7165397480485,-1.0334622843090362,0.11375089196896633,5.964973378699068e-20,3.4209725169307855e-19
YDL130W,5359.2571265018605,-3.48157681153396,0.10499002204021061,1.9217525765679613e-242,8.640715875986542e-241
YDL136W,5445.247222061906,-3.1671897524868022,0.1027207800039386,1.35150214540685e-209,5.121258129607717e-208
YDL143W,4779.2130541120105,-1.0790576539287302,0.10055533493251455,3.3650824234693896e-27,2.4251939714596976e-26
YDL148C,1965.9847710250315,-2.8055604678944714,0.13188523498337598,1.476959668799443e-101,3.0685110360402217e-100
YDL150W,1082.7465368053297,-2.14689094749965,0.15201180325771677,3.4197277460841966e-46,3.5708595615523893e-45
YDL153C,2087.266454832428,-2.5986893649876763,0.14485883950840017,2.381791863675642e-73,3.5965654081818903e-72
YDL167C,1091.676897559384,-2.338669714151186,0.14417044421927397,6.413028549162216e-60,8.15158164740556e-59
YDL191W,8677.644754424306,-3.3729310225355933,0.09727563181091149,9.70582242140145e-265,5.3649156044902514e-263
YDL198C,1526.3604434034437,-1.398804898435625,0.13125737059354678,5.0583766850679514e-27,3.602449116729836e-26
YDL201W,841.1856534069234,-2.227081495179393,0.15678172350799918,1.3327007880879694e-46,1.4013127832862156e-45
YDL205C,1070.909986729989,-1.4007621079523753,0.14310699134777546,5.645181504479696e-23,3.549525023206379e-22
YDL208W,2130.8211151517885,-2.4111554723710182,0.12503629409111405,9.417289744025899e-84,1.5804782926951546e-82
YDL213C,1374.8009215936263,-1.857246949981877,0.13383702335755443,1.4767773028496841e-44,1.4928830955821052e-43
YDL229W,45566.21954623811,-3.7663795448576574,0.1134822981592402,2.9883509715111455e-244,1.3640011063147462e-242
YDL241W,52.76861830444318,-2.368865466202903,0.548619982825205,1.990226213071438e-6,5.820928608619133e-6
YDR012W,14218.884536151478,-3.551615333241098,0.11223118892465286,7.369873155612844e-222,2.9800997156085496e-220
YDR020C,207.38956623990217,-1.1848999286366217,0.26820659333667995,4.027547898985301e-6,1.1430040551759981e-5
YDR021W,280.5113625525679,-2.1860449764359076,0.2664243438515734,2.4243865568495916e-17,1.2801865911497624e-16
YDR023W,9656.831324711718,-1.2420671393783675,0.09339188741204046,8.722817429937962e-41,8.289428235863758e-40
YDR025W,8022.729308004252,-3.9562455096388307,0.12133867954409176,7.285604247295032e-235,3.091251097883984e-233
YDR035W,3938.524163352299,-1.297601494707169,0.10405642722280738,4.008281693439941e-36,3.5514554710258296e-35
YDR037W,12852.652278802849,-2.3091689427898068,0.10062426997520657,2.3318500177094823e-117,5.553121089604597e-116
YDR045C,182.7925956516799,-1.1077501670101162,0.2829540434776598,3.888612447220188e-5,9.940131520789832e-5
YDR046C,2809.0201314514316,-1.8949320521508541,0.11333286144389242,1.264186251497969e-63,1.674004871489069e-62
YDR060W,3391.742351366121,-3.222777269950672,0.11964321341959615,3.5552071024356934e-161,1.0928634077640333e-159
YDR064W,13633.202406874572,-3.610539442319525,0.09444162611185482,0,0
YDR075W,407.4555593707195,-1.1592842521829305,0.20081715574626915,3.235303170801934e-9,1.1749669441881646e-8
YDR083W,1261.4513748540762,-2.882067330210006,0.1407705238323219,4.151375136093916e-94,7.719763949063533e-93
YDR087C,741.9373107965012,-2.274186580303711,0.17467119951773483,1.0745997608883805e-39,1.0069150170066085e-38
YDR091C,2846.211169622625,-2.3375749327965285,0.1117159053949425,4.009281440087035e-98,8.025222816121058e-97
YDR101C,1918.259390546894,-3.1946597662980962,0.14073872095766085,1.337839131537999e-115,3.1363738395005613e-114
YDR111C,1165.4119606970394,-1.467051868264842,0.1381561011942414,7.385858949171296e-27,5.229118703731735e-26
YDR119W,2443.366624758862,-1.7081544088963325,0.11540747435991584,3.552737678451595e-50,3.986079052638894e-49
YDR120C,1848.4259768696963,-1.9115184171867547,0.1294833038006792,3.9868812375767644e-50,4.456578748868276e-49
YDR144C,1552.6881466623013,-1.5816676999715074,0.1330935180384547,3.783434138574437e-33,3.152861782145364e-32
YDR152W,1009.7689888854111,-1.3778429673631665,0.14547221089329804,1.056368387154917e-21,6.383770845143807e-21
YDR161W,1244.4220336977128,-1.7760575992104664,0.13636613050721458,1.9760720855552667e-39,1.8487320365637394e-38
