organism,tp,old,new,b_raw,b_new,tech
Calb,t0000,Calb.t0000.b1.L001,Calb.t0000.b1.1,1,1,1
Calb,t0000,Calb.t0000.b1.L002,Calb.t0000.b1.2,1,1,2
Calb,t0000,Calb.t0000.b4.L001,Calb.t0000.b2.1,4,2,1
Calb,t0000,Calb.t0000.b4.L002,Calb.t0000.b2.2,4,2,2
Calb,t0015,Calb.t0015.b1.L001,Calb.t0015.b1.1,1,1,1
Calb,t0015,Calb.t0015.b1.L002,Calb.t0015.b1.2,1,1,2
Calb,t0015,Calb.t0015.b2.L001,Calb.t0015.b2.1,2,2,1
Calb,t0015,Calb.t0015.b2.L002,Calb.t0015.b2.2,2,2,2
Calb,t0030,Calb.t0030.b1.L001,Calb.t0030.b1.1,1,1,1
Calb,t0030,Calb.t0030.b1.L002,Calb.t0030.b1.2,1,1,2
Calb,t0030,Calb.t0030.b2.L001,Calb.t0030.b2.1,2,2,1
Calb,t0030,Calb.t0030.b2.L002,Calb.t0030.b2.2,2,2,2
Calb,t0045,Calb.t0045.b1.L001,Calb.t0045.b1.1,1,1,1
Calb,t0045,Calb.t0045.b1.L002,Calb.t0045.b1.2,1,1,2
Calb,t0045,Calb.t0045.b2.L001,Calb.t0045.b2.1,2,2,1
Calb,t0045,Calb.t0045.b2.L002,Calb.t0045.b2.2,2,2,2
Calb,t0060,Calb.t0060.b1.L001,Calb.t0060.b1.1,1,1,1
Calb,t0060,Calb.t0060.b1.L002,Calb.t0060.b1.2,1,1,2
Calb,t0060,Calb.t0060.b2.L001,Calb.t0060.b2.1,2,2,1
Calb,t0060,Calb.t0060.b2.L002,Calb.t0060.b2.2,2,2,2
Calb,t0090,Calb.t0090.b1.L001,Calb.t0090.b1.1,1,1,1
Calb,t0090,Calb.t0090.b1.L002,Calb.t0090.b1.2,1,1,2
Calb,t0090,Calb.t0090.b2.L001,Calb.t0090.b2.1,2,2,1
Calb,t0090,Calb.t0090.b2.L002,Calb.t0090.b2.2,2,2,2
Calb,t0120,Calb.t0120.b1.L001,Calb.t0120.b1.1,1,1,1
Calb,t0120,Calb.t0120.b1.L002,Calb.t0120.b1.2,1,1,2
Calb,t0120,Calb.t0120.b4.L001,Calb.t0120.b2.1,4,2,1
Calb,t0120,Calb.t0120.b4.L002,Calb.t0120.b2.2,4,2,2
Calb,t0150,Calb.t0150.b1.L001,Calb.t0150.b1.1,1,1,1
Calb,t0150,Calb.t0150.b1.L002,Calb.t0150.b1.2,1,1,2
Calb,t0150,Calb.t0150.b4.L001,Calb.t0150.b2.1,4,2,1
Calb,t0150,Calb.t0150.b4.L002,Calb.t0150.b2.2,4,2,2
Calb,t0180,Calb.t0180.b1.L001,Calb.t0180.b1.1,1,1,1
Calb,t0180,Calb.t0180.b1.L002,Calb.t0180.b1.2,1,1,2
Calb,t0180,Calb.t0180.b2.L001,Calb.t0180.b2.1,2,2,1
Calb,t0180,Calb.t0180.b2.L002,Calb.t0180.b2.2,2,2,2
Calb,t0210,Calb.t0210.b1.L001,Calb.t0210.b1.1,1,1,1
Calb,t0210,Calb.t0210.b1.L002,Calb.t0210.b1.2,1,1,2
Calb,t0210,Calb.t0210.b4.L001,Calb.t0210.b2.1,4,2,1
Calb,t0210,Calb.t0210.b4.L002,Calb.t0210.b2.2,4,2,2
Calb,t0240,Calb.t0240.b1.L001,Calb.t0240.b1.1,1,1,1
Calb,t0240,Calb.t0240.b1.L002,Calb.t0240.b1.2,1,1,2
Calb,t0240,Calb.t0240.b3.L001,Calb.t0240.b2.1,3,2,1
Calb,t0240,Calb.t0240.b3.L002,Calb.t0240.b2.2,3,2,2
Calb,t0360,Calb.t0360.b1.L001,Calb.t0360.b1.1,1,1,1
Calb,t0360,Calb.t0360.b1.L002,Calb.t0360.b1.2,1,1,2
Calb,t0360,Calb.t0360.b3.L001,Calb.t0360.b2.1,3,2,1
Calb,t0360,Calb.t0360.b3.L002,Calb.t0360.b2.2,3,2,2
Calb,t0480,Calb.t0480.b1.L001,Calb.t0480.b1.1,1,1,1
Calb,t0480,Calb.t0480.b1.L002,Calb.t0480.b1.2,1,1,2
Calb,t0480,Calb.t0480.b2.L001,Calb.t0480.b2.1,2,2,1
Calb,t0480,Calb.t0480.b2.L002,Calb.t0480.b2.2,2,2,2
Cgla,t0000,Cgla.t0000.b1.L001,Cgla.t0000.b1.1,1,1,1
Cgla,t0000,Cgla.t0000.b1.L002,Cgla.t0000.b1.2,1,1,2
Cgla,t0000,Cgla.t0000.b4.L001,Cgla.t0000.b2.1,4,2,1
Cgla,t0000,Cgla.t0000.b4.L002,Cgla.t0000.b2.2,4,2,2
Cgla,t0015,Cgla.t0015.b1.L001,Cgla.t0015.b1.1,1,1,1
Cgla,t0015,Cgla.t0015.b1.L002,Cgla.t0015.b1.2,1,1,2
Cgla,t0015,Cgla.t0015.b2.L001,Cgla.t0015.b2.1,2,2,1
Cgla,t0015,Cgla.t0015.b2.L002,Cgla.t0015.b2.2,2,2,2
Cgla,t0030,Cgla.t0030.b1.L001,Cgla.t0030.b1.1,1,1,1
Cgla,t0030,Cgla.t0030.b1.L002,Cgla.t0030.b1.2,1,1,2
Cgla,t0030,Cgla.t0030.b2.L001,Cgla.t0030.b2.1,2,2,1
Cgla,t0030,Cgla.t0030.b2.L002,Cgla.t0030.b2.2,2,2,2
Cgla,t0045,Cgla.t0045.b1.L001,Cgla.t0045.b1.1,1,1,1
Cgla,t0045,Cgla.t0045.b1.L002,Cgla.t0045.b1.2,1,1,2
Cgla,t0045,Cgla.t0045.b2.L001,Cgla.t0045.b2.1,2,2,1
Cgla,t0045,Cgla.t0045.b2.L002,Cgla.t0045.b2.2,2,2,2
Cgla,t0060,Cgla.t0060.b1.L001,Cgla.t0060.b1.1,1,1,1
Cgla,t0060,Cgla.t0060.b1.L002,Cgla.t0060.b1.2,1,1,2
Cgla,t0060,Cgla.t0060.b2.L001,Cgla.t0060.b2.1,2,2,1
Cgla,t0060,Cgla.t0060.b2.L002,Cgla.t0060.b2.2,2,2,2
Cgla,t0090,Cgla.t0090.b1.L001,Cgla.t0090.b1.1,1,1,1
Cgla,t0090,Cgla.t0090.b1.L002,Cgla.t0090.b1.2,1,1,2
Cgla,t0090,Cgla.t0090.b2.L001,Cgla.t0090.b2.1,2,2,1
Cgla,t0090,Cgla.t0090.b2.L002,Cgla.t0090.b2.2,2,2,2
Cgla,t0120,Cgla.t0120.b1.L001,Cgla.t0120.b1.1,1,1,1
Cgla,t0120,Cgla.t0120.b1.L002,Cgla.t0120.b1.2,1,1,2
Cgla,t0120,Cgla.t0120.b2.L001,Cgla.t0120.b2.1,2,2,1
Cgla,t0120,Cgla.t0120.b2.L002,Cgla.t0120.b2.2,2,2,2
Cgla,t0180,Cgla.t0180.b1.L001,Cgla.t0180.b1.1,1,1,1
Cgla,t0180,Cgla.t0180.b1.L002,Cgla.t0180.b1.2,1,1,2
Cgla,t0180,Cgla.t0180.b2.L001,Cgla.t0180.b2.1,2,2,1
Cgla,t0180,Cgla.t0180.b2.L002,Cgla.t0180.b2.2,2,2,2
Cgla,t0240,Cgla.t0240.b1.L001,Cgla.t0240.b1.1,1,1,1
Cgla,t0240,Cgla.t0240.b1.L002,Cgla.t0240.b1.2,1,1,2
Cgla,t0240,Cgla.t0240.b2.L001,Cgla.t0240.b2.1,2,2,1
Cgla,t0240,Cgla.t0240.b2.L002,Cgla.t0240.b2.2,2,2,2
Cgla,t0360,Cgla.t0360.b1.L001,Cgla.t0360.b1.1,1,1,1
Cgla,t0360,Cgla.t0360.b1.L002,Cgla.t0360.b1.2,1,1,2
Cgla,t0360,Cgla.t0360.b2.L001,Cgla.t0360.b2.1,2,2,1
Cgla,t0360,Cgla.t0360.b2.L002,Cgla.t0360.b2.2,2,2,2
Cgla,t0480,Cgla.t0480.b1.L001,Cgla.t0480.b1.1,1,1,1
Cgla,t0480,Cgla.t0480.b1.L002,Cgla.t0480.b1.2,1,1,2
Cgla,t0480,Cgla.t0480.b2.L001,Cgla.t0480.b2.1,2,2,1
Cgla,t0480,Cgla.t0480.b2.L002,Cgla.t0480.b2.2,2,2,2
Klac,t0000,Klac.t0000.b1.L001,Klac.t0000.b1.1,1,1,1
Klac,t0000,Klac.t0000.b1.L002,Klac.t0000.b1.2,1,1,2
Klac,t0000,Klac.t0000.b2.L001,Klac.t0000.b2.1,2,2,1
Klac,t0000,Klac.t0000.b2.L002,Klac.t0000.b2.2,2,2,2
Klac,t0015,Klac.t0015.b3.L001,Klac.t0015.b1.1,3,1,1
Klac,t0015,Klac.t0015.b3.L002,Klac.t0015.b1.2,3,1,2
Klac,t0015,Klac.t0015.b4.L001,Klac.t0015.b2.1,4,2,1
Klac,t0015,Klac.t0015.b4.L002,Klac.t0015.b2.2,4,2,2
Klac,t0030,Klac.t0030.b3.L001,Klac.t0030.b1.1,3,1,1
Klac,t0030,Klac.t0030.b3.L002,Klac.t0030.b1.2,3,1,2
Klac,t0030,Klac.t0030.b4.L001,Klac.t0030.b2.1,4,2,1
Klac,t0030,Klac.t0030.b4.L002,Klac.t0030.b2.2,4,2,2
Klac,t0045,Klac.t0045.b3.L001,Klac.t0045.b1.1,3,1,1
Klac,t0045,Klac.t0045.b3.L002,Klac.t0045.b1.2,3,1,2
Klac,t0045,Klac.t0045.b4.L001,Klac.t0045.b2.1,4,2,1
Klac,t0045,Klac.t0045.b4.L002,Klac.t0045.b2.2,4,2,2
Klac,t0060,Klac.t0060.b3.L001,Klac.t0060.b1.1,3,1,1
Klac,t0060,Klac.t0060.b3.L002,Klac.t0060.b1.2,3,1,2
Klac,t0060,Klac.t0060.b4.L001,Klac.t0060.b2.1,4,2,1
Klac,t0060,Klac.t0060.b4.L002,Klac.t0060.b2.2,4,2,2
Klac,t0090,Klac.t0090.b3.L001,Klac.t0090.b1.1,3,1,1
Klac,t0090,Klac.t0090.b3.L002,Klac.t0090.b1.2,3,1,2
Klac,t0090,Klac.t0090.b4.L001,Klac.t0090.b2.1,4,2,1
Klac,t0090,Klac.t0090.b4.L002,Klac.t0090.b2.2,4,2,2
Klac,t0120,Klac.t0120.b4.L001,Klac.t0120.b1.1,4,1,1
Klac,t0120,Klac.t0120.b4.L002,Klac.t0120.b1.2,4,1,2
Klac,t0150,Klac.t0150.b1.L001,Klac.t0150.b1.1,1,1,1
Klac,t0150,Klac.t0150.b1.L002,Klac.t0150.b1.2,1,1,2
Klac,t0150,Klac.t0150.b2.L001,Klac.t0150.b2.1,2,2,1
Klac,t0150,Klac.t0150.b2.L002,Klac.t0150.b2.2,2,2,2
Klac,t0180,Klac.t0180.b3.L001,Klac.t0180.b1.1,3,1,1
Klac,t0180,Klac.t0180.b3.L002,Klac.t0180.b1.2,3,1,2
Klac,t0180,Klac.t0180.b4.L001,Klac.t0180.b2.1,4,2,1
Klac,t0180,Klac.t0180.b4.L002,Klac.t0180.b2.2,4,2,2
Klac,t0210,Klac.t0210.b3.L001,Klac.t0210.b1.1,3,1,1
Klac,t0210,Klac.t0210.b3.L002,Klac.t0210.b1.2,3,1,2
Klac,t0210,Klac.t0210.b4.L001,Klac.t0210.b2.1,4,2,1
Klac,t0210,Klac.t0210.b4.L002,Klac.t0210.b2.2,4,2,2
Klac,t0240,Klac.t0240.b3.L001,Klac.t0240.b1.1,3,1,1
Klac,t0240,Klac.t0240.b3.L002,Klac.t0240.b1.2,3,1,2
Klac,t0240,Klac.t0240.b4.L001,Klac.t0240.b2.1,4,2,1
Klac,t0240,Klac.t0240.b4.L002,Klac.t0240.b2.2,4,2,2
Klac,t0360,Klac.t0360.b3.L001,Klac.t0360.b1.1,3,1,1
Klac,t0360,Klac.t0360.b3.L002,Klac.t0360.b1.2,3,1,2
Klac,t0360,Klac.t0360.b4.L001,Klac.t0360.b2.1,4,2,1
Klac,t0360,Klac.t0360.b4.L002,Klac.t0360.b2.2,4,2,2
Klac,t0480,Klac.t0480.b3.L001,Klac.t0480.b1.1,3,1,1
Klac,t0480,Klac.t0480.b3.L002,Klac.t0480.b1.2,3,1,2
Klac,t0480,Klac.t0480.b4.L001,Klac.t0480.b2.1,4,2,1
Klac,t0480,Klac.t0480.b4.L002,Klac.t0480.b2.2,4,2,2
Scer,t0000,Scer.t0000.b2.L001,Scer.t0000.b1.1,2,1,1
Scer,t0000,Scer.t0000.b2.L002,Scer.t0000.b1.2,2,1,2
Scer,t0000,Scer.t0000.b3.L001,Scer.t0000.b2.1,3,2,1
Scer,t0000,Scer.t0000.b3.L002,Scer.t0000.b2.2,3,2,2
Scer,t0030,Scer.t0030.b2.L001,Scer.t0030.b1.1,2,1,1
Scer,t0030,Scer.t0030.b2.L002,Scer.t0030.b1.2,2,1,2
Scer,t0030,Scer.t0030.b4.L001,Scer.t0030.b2.1,4,2,1
Scer,t0030,Scer.t0030.b4.L002,Scer.t0030.b2.2,4,2,2
Scer,t0060,Scer.t0060.b2.L001,Scer.t0060.b1.1,2,1,1
Scer,t0060,Scer.t0060.b2.L002,Scer.t0060.b1.2,2,1,2
Scer,t0060,Scer.t0060.b4.L001,Scer.t0060.b2.1,4,2,1
Scer,t0060,Scer.t0060.b4.L002,Scer.t0060.b2.2,4,2,2
Scer,t0090,Scer.t0090.b2.L001,Scer.t0090.b1.1,2,1,1
Scer,t0090,Scer.t0090.b2.L002,Scer.t0090.b1.2,2,1,2
Scer,t0090,Scer.t0090.b4.L001,Scer.t0090.b2.1,4,2,1
Scer,t0090,Scer.t0090.b4.L002,Scer.t0090.b2.2,4,2,2
Scer,t0120,Scer.t0120.b2.L001,Scer.t0120.b1.1,2,1,1
Scer,t0120,Scer.t0120.b2.L002,Scer.t0120.b1.2,2,1,2
Scer,t0120,Scer.t0120.b4.L001,Scer.t0120.b2.1,4,2,1
Scer,t0120,Scer.t0120.b4.L002,Scer.t0120.b2.2,4,2,2
Scer,t0150,Scer.t0150.b2.L001,Scer.t0150.b1.1,2,1,1
Scer,t0150,Scer.t0150.b2.L002,Scer.t0150.b1.2,2,1,2
Scer,t0150,Scer.t0150.b4.L001,Scer.t0150.b2.1,4,2,1
Scer,t0150,Scer.t0150.b4.L002,Scer.t0150.b2.2,4,2,2
Scer,t0180,Scer.t0180.b2.L001,Scer.t0180.b1.1,2,1,1
Scer,t0180,Scer.t0180.b2.L002,Scer.t0180.b1.2,2,1,2
Scer,t0180,Scer.t0180.b4.L001,Scer.t0180.b2.1,4,2,1
Scer,t0180,Scer.t0180.b4.L002,Scer.t0180.b2.2,4,2,2
Scer,t0210,Scer.t0210.b2.L001,Scer.t0210.b1.1,2,1,1
Scer,t0210,Scer.t0210.b2.L002,Scer.t0210.b1.2,2,1,2
Scer,t0210,Scer.t0210.b4.L001,Scer.t0210.b2.1,4,2,1
Scer,t0210,Scer.t0210.b4.L002,Scer.t0210.b2.2,4,2,2
Scer,t0240,Scer.t0240.b2.L001,Scer.t0240.b1.1,2,1,1
Scer,t0240,Scer.t0240.b2.L002,Scer.t0240.b1.2,2,1,2
Scer,t0240,Scer.t0240.b4.L001,Scer.t0240.b2.1,4,2,1
Scer,t0240,Scer.t0240.b4.L002,Scer.t0240.b2.2,4,2,2
Scer,t0360,Scer.t0360.b2.L001,Scer.t0360.b1.1,2,1,1
Scer,t0360,Scer.t0360.b2.L002,Scer.t0360.b1.2,2,1,2
Scer,t0360,Scer.t0360.b4.L001,Scer.t0360.b2.1,4,2,1
Scer,t0360,Scer.t0360.b4.L002,Scer.t0360.b2.2,4,2,2
Scer,t0480,Scer.t0480.b2.L001,Scer.t0480.b1.1,2,1,1
Scer,t0480,Scer.t0480.b2.L002,Scer.t0480.b1.2,2,1,2
