gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
CaalfMp01,11,6,1,1
CaalfMp02,5,0,3,0
CaalfMp03,10,1,1,5
CaalfMp04,2,6,0,0
CaalfMp05,15,4,6,2
CaalfMp06,16,4,2,4
CaalfMp07,0,0,0,0
CaalfMp08,40,18,9,3
CaalfMp08.1,4,2,7,1
CaalfMp08.2,18,2,2,0
CaalfMp08.3,0,2,0,0
CaalfMp08.4,8,3,0,5
CaalfMp09,6,1,2,1
CaalfMp10,3,2,1,0
CaalfMp11,40,12,5,4
CaalfMp11.1,8,2,6,6
CaalfMp12,2,0,0,1
CaalfMp13,17,4,1,1
CaalfMp14,16,5,0,3
CaalfMp15,3,2,2,0
CaalfMr16,3409,1418,658,418
CaalfMr17,1119,403,186,135
CaalfMt18,0,0,0,0
CaalfMt19,0,0,0,0
CaalfMt20,0,0,0,0
CaalfMt21,0,0,0,0
CaalfMt22,0,0,0,0
CaalfMt23,0,0,0,0
CaalfMt24,0,0,0,0
CaalfMt25,0,0,0,0
CaalfMt26,0,0,0,0
CaalfMt27,0,0,0,0
CaalfMt28,0,0,0,0
CaalfMt29,0,0,0,0
CaalfMt30,0,0,0,0
CaalfMt31,0,0,0,0
CaalfMt32,0,0,0,0
CaalfMt33,0,0,0,0
CaalfMt34,0,0,0,0
CaalfMt35,0,0,0,0
CaalfMt36,0,0,0,0
CaalfMt37,0,0,0,0
CaalfMt38,0,0,0,1
CaalfMt39,1,0,0,0
CaalfMt40,0,0,0,0
CaalfMt41,0,0,0,0
CaalfMt42,0,0,0,0
CaalfMt43,0,0,0,0
CaalfMt44,0,0,0,0
CaalfMt45,0,0,0,0
CaalfMt46,0,0,0,0
CaalfMt47,0,0,0,0
CD39,0,0,0,0
ITS1,3,2,2,3
ITS2,5,0,1,1
LSU-C2809,0,0,0,0
LSU-G1431,0,0,0,0
orf19.10,52,45,102,89
orf19.100,247,160,306,364
orf19.1002,652,543,388,348
orf19.1005,62,49,3,13
orf19.1007,5157,4008,414,407
orf19.1008,7,2,1,9
orf19.1009,8,7,1,0
orf19.101,308,237,362,335
orf19.1010,1746,1297,329,344
orf19.1011,2439,1924,1834,2058
orf19.1012,1152,804,608,590
orf19.102,475,389,566,496
orf19.1026,555,429,378,367
orf19.1026.1,76,43,40,41
orf19.1027,1353,1081,1275,1365
orf19.1028,255,183,198,204
orf19.1029,274,246,142,114
orf19.103,17,6,32,30
orf19.1030,1417,1317,430,496
orf19.1031,3949,3042,5260,5803
orf19.1032,1005,837,967,968
orf19.1033,1133,853,5634,6091
orf19.1034,622,511,744,791
orf19.1035,376,328,387,430
orf19.1036,1716,1389,2162,2306
orf19.1037,2417,1913,1414,1499
orf19.1039,329,273,351,319
orf19.104,94,72,86,87
orf19.1040,323,220,166,135
orf19.1041,360,256,365,387
orf19.1042,64498,44852,13106,13750
orf19.1043,593,400,241,261
orf19.1045,720,669,318,299
orf19.1047,1044,929,495,536
orf19.1048,407,320,141,158
orf19.1049,134,118,123,159
orf19.105,2237,1595,2220,2315
orf19.1050,357,284,154,142
orf19.1051,25501,18731,12915,12802
orf19.1052,22141,18490,10588,10274
orf19.1053,761,552,732,769
orf19.1054,1044,774,844,963
orf19.1055,4812,3991,4589,4745
orf19.1057,839,674,669,684
orf19.1058,2360,1812,1482,1418
orf19.1059,22438,16867,8854,8460
orf19.1060,15,19,9,28
orf19.1061,39760,28751,14158,13531
orf19.1062,24,20,4,11
orf19.1063,205,157,218,254
orf19.1064,25131,19219,30081,30955
orf19.1065,85840,61464,8010,8468
orf19.1066,374,293,132,165
orf19.1067,1273,1023,1883,1872
orf19.1069,1595,1405,1303,1297
