gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
orf19.1033,3217.665954892013,-2.468959540444322,0.08645337705016094,3.113114074899086e-180,8.004418411510078e-179
orf19.1036,1432.3884648484952,-1.3940013200731276,0.10857416629703404,3.7034781887331715e-38,2.696891809231335e-37
orf19.1064,18485.34967744226,-1.7257972444369378,0.05879617529828716,4.713417201587371e-190,1.2916416962946444e-188
orf19.1077,1845.5633147922151,-2.3293023070004244,0.10262904984411317,7.668733506626981e-115,1.2510247245275555e-113
orf19.1108,3993.53360374167,-2.5408742517892806,0.08107717414014652,1.8485391222329145e-216,5.922908941390384e-215
orf19.111,839.5968825581651,-1.5339937207506904,0.13529418802440674,2.5106662367786522e-30,1.55006350270682e-29
orf19.1144,2832.601390012735,-1.3128673633428465,0.10099231368996789,4.249890655059202e-39,3.157350393913186e-38
orf19.1146,56.07584140915226,-2.902462213400752,0.5635907223003357,2.5485896783947046e-8,7.030281814838903e-8
orf19.1155,381.06527602081286,-3.382485293256614,0.22153849511754656,1.3468380927173762e-53,1.2635201806754002e-52
orf19.1187,2460.946938870748,-1.1952965089213732,0.09310114090958244,3.3721859300402314e-38,2.4585084820176624e-37
orf19.1193,12979.04548194075,-1.126492037077456,0.0634252478703308,6.336276335842874e-72,7.224280026705526e-71
orf19.1200,173.40664878122365,-1.4472935668195284,0.2810620752096163,8.035974413924263e-8,2.1484282472485576e-7
orf19.1208,309.3106819652345,-1.00798553187269,0.20777850080074878,6.357166757574067e-7,1.5774256513630965e-6
orf19.1210,1704.6526137425888,-2.6161492189511533,0.10717260117689151,1.793607777938112e-132,3.2671899115327474e-131
orf19.1219,108.75371630463655,-2.7551221391933884,0.387129333634563,1.2851997673979575e-13,4.684905569838062e-13
orf19.122,1075.2686235741314,-1.4377166532915007,0.12835014594360916,1.208575078820656e-29,7.338364521352243e-29
orf19.1234,374.8052950574708,-1.15079889371801,0.19290454582748093,1.0668879818189961e-9,3.169717598861193e-9
orf19.1235,3481.5219056010874,-1.3404580964440547,0.08099281731895677,5.678552835140008e-62,5.993175357086955e-61
orf19.1244,1695.7625183146683,-1.0137260165479802,0.10107853916610066,5.885675474513069e-24,3.092825934798793e-23
orf19.1277,191.9847780058424,-3.934658601714599,0.33609692355698156,1.3373179374993146e-32,8.712786729401166e-32
orf19.1279,2023.4412435274926,-1.0540122714327778,0.09528967666504365,1.0022676378934242e-28,5.935704456453189e-28
orf19.1295,19415.267821212474,-3.8867030828424594,0.06590581551691359,0,0
orf19.1310,161.9275457421135,-1.982209973358805,0.29778662407344914,5.32040487581134e-12,1.776691056337213e-11
