gene_id,tp,log2FC
CaalfMp08,t0015,0
CaalfMp08,t0030,0
CaalfMp08,t0045,0
CaalfMp08,t0060,0
CaalfMp08,t0090,0
CaalfMp08,t0120,0
CaalfMp08,t0150,0
CaalfMp08,t0180,0
CaalfMp08,t0210,0
CaalfMp08,t0240,0
CaalfMp08,t0360,3.2625454493137247
CaalfMp08,t0480,3.0747839399121712
CaalfMp11,t0015,0
CaalfMp11,t0030,0
CaalfMp11,t0045,0
CaalfMp11,t0060,0
CaalfMp11,t0090,0
CaalfMp11,t0120,0
CaalfMp11,t0150,0
CaalfMp11,t0180,0
CaalfMp11,t0210,0
CaalfMp11,t0240,0
CaalfMp11,t0360,2.9588209809477113
CaalfMp11,t0480,2.1581489757810903
CaalfMr16,t0015,0
CaalfMr16,t0030,-1.10487333288871
CaalfMr16,t0045,0
CaalfMr16,t0060,0
CaalfMr16,t0090,0
CaalfMr16,t0120,1.9706636531382111
CaalfMr16,t0150,0
CaalfMr16,t0180,0
CaalfMr16,t0210,1.6425276723572355
CaalfMr16,t0240,1.9091570206745987
CaalfMr16,t0360,2.257064852365488
CaalfMr16,t0480,2.507187609499537
CaalfMr17,t0015,0
CaalfMr17,t0030,-1.1464267741320189
CaalfMr17,t0045,0
CaalfMr17,t0060,0
CaalfMr17,t0090,0
CaalfMr17,t0120,1.9734372488996643
CaalfMr17,t0150,0
CaalfMr17,t0180,0
CaalfMr17,t0210,1.7157178312530337
CaalfMr17,t0240,2.008628641280796
CaalfMr17,t0360,2.6490117819178116
CaalfMr17,t0480,2.0405978761384604
RDN18,t0015,0
RDN18,t0030,0
RDN18,t0045,0
RDN18,t0060,0
RDN18,t0090,0
RDN18,t0120,1.6284533389454197
RDN18,t0150,1.0831561360671176
RDN18,t0180,1.4409901586295415
RDN18,t0210,2.08437241937213
RDN18,t0240,1.9033983172201792
RDN18,t0360,2.360518393536246
RDN18,t0480,2.0923049063593355
RDN25,t0015,0
RDN25,t0030,0
RDN25,t0045,0
RDN25,t0060,0
RDN25,t0090,0
RDN25,t0120,1.63153811965492
RDN25,t0150,0
RDN25,t0180,0
RDN25,t0210,2.0048720721256186
RDN25,t0240,1.5041282120423287
RDN25,t0360,1.80136001900882
RDN25,t0480,0
RDN5,t0015,0
RDN5,t0030,0
RDN5,t0045,0
RDN5,t0060,0
RDN5,t0090,0
RDN5,t0120,2.261891157630035
RDN5,t0150,0
RDN5,t0180,0
RDN5,t0210,1.6452971297349086
RDN5,t0240,1.6769429841317338
RDN5,t0360,0
RDN5,t0480,1.5527145396851736
RDN58,t0015,0
RDN58,t0030,-1.052616246148243
RDN58,t0045,0
RDN58,t0060,0
RDN58,t0090,0
RDN58,t0120,1.4512594660822735
RDN58,t0150,0
RDN58,t0180,0
RDN58,t0210,0
RDN58,t0240,1.4678060430684203
RDN58,t0360,2.051856277854842
RDN58,t0480,1.210973249191562
RPR1,t0015,-1.202938630688831
RPR1,t0030,-2.3599983581275215
RPR1,t0045,-2.185489686422914
RPR1,t0060,-2.7444888132686605
RPR1,t0090,-1.6009247917195368
RPR1,t0120,0
RPR1,t0150,0
RPR1,t0180,-1.5083590878256687
RPR1,t0210,0
RPR1,t0240,-1.1579623258531784
RPR1,t0360,0
RPR1,t0480,0
TER1,t0015,-1.1702293667140842
TER1,t0030,0
TER1,t0045,0
TER1,t0060,0
TER1,t0090,0
TER1,t0120,0
TER1,t0150,0
TER1,t0180,0
TER1,t0210,0
TER1,t0240,0
TER1,t0360,0
TER1,t0480,0
orf19.10,t0015,0
orf19.10,t0030,-2.405019975668186
orf19.10,t0045,-2.7958490159619647
orf19.10,t0060,-1.985532526039319
orf19.10,t0090,-1.3623396677062314
orf19.10,t0120,0
orf19.10,t0150,0
orf19.10,t0180,0
orf19.10,t0210,0
orf19.10,t0240,0
orf19.10,t0360,0
orf19.10,t0480,0
orf19.100,t0015,-1.026292635115114
orf19.100,t0030,-1.4332782697364383
orf19.100,t0045,-1.1215621055681897
orf19.100,t0060,-1.3696934838694592
orf19.100,t0090,-1.118709552957031
orf19.100,t0120,0
orf19.100,t0150,0
orf19.100,t0180,0
orf19.100,t0210,0
orf19.100,t0240,0
orf19.100,t0360,0
orf19.100,t0480,0
orf19.1005,t0015,0
orf19.1005,t0030,0
orf19.1005,t0045,0
orf19.1005,t0060,0
orf19.1005,t0090,0
orf19.1005,t0120,2.4841381895624224
orf19.1005,t0150,4.093360244455566
orf19.1005,t0180,4.572161221224544
orf19.1005,t0210,4.662286422177699
orf19.1005,t0240,5.104799992445322
orf19.1005,t0360,6.2281276610430645
orf19.1005,t0480,5.975807926747074
orf19.1007,t0015,0
orf19.1007,t0030,0
orf19.1007,t0045,0
orf19.1007,t0060,1.3905818141158537
orf19.1007,t0090,2.786121074064146
orf19.1007,t0120,3.3685491608946574
orf19.1007,t0150,3.4258527613920187
orf19.1007,t0180,3.438703805707635
orf19.1007,t0210,3.2448840682638274
orf19.1007,t0240,3.1436116093381
orf19.1007,t0360,3.220040519987214
orf19.1007,t0480,3.169041721234963
orf19.1010,t0015,0
orf19.1010,t0030,0
orf19.1010,t0045,0
orf19.1010,t0060,1.030341402004065
orf19.1010,t0090,1.8829152782344944
orf19.1010,t0120,2.057754909371183
orf19.1010,t0150,1.9116355052968137
orf19.1010,t0180,2.046181370655534
orf19.1010,t0210,1.961973346478718
orf19.1010,t0240,2.0496633161358684
orf19.1010,t0360,1.924415184399867
orf19.1010,t0480,1.8942140839441508
orf19.1026,t0015,2.128636348021295
orf19.1026,t0030,2.055695781013254
orf19.1026,t0045,1.9409396045068024
orf19.1026,t0060,1.1231698733731144
orf19.1026,t0090,0
orf19.1026,t0120,0
orf19.1026,t0150,0
orf19.1026,t0180,1.25939404827861
orf19.1026,t0210,1.5152159327333137
orf19.1026,t0240,1.493454554213743
orf19.1026,t0360,1.5519312984114473
orf19.1026,t0480,1.5435237838734202
orf19.1026.1,t0015,1.2095744957395522
orf19.1026.1,t0030,1.2923144210131077
orf19.1026.1,t0045,0
orf19.1026.1,t0060,0
orf19.1026.1,t0090,0
orf19.1026.1,t0120,0
orf19.1026.1,t0150,0
orf19.1026.1,t0180,1.304311959025198
orf19.1026.1,t0210,1.6313559033889031
orf19.1026.1,t0240,2.0100042145227506
orf19.1026.1,t0360,1.9984187017325856
orf19.1026.1,t0480,2.0588581596426163
orf19.1027,t0015,0
orf19.1027,t0030,-1.0906364359525904
orf19.1027,t0045,-1.6835591981332778
orf19.1027,t0060,-1.371896884221117
orf19.1027,t0090,0
orf19.1027,t0120,0
orf19.1027,t0150,0
orf19.1027,t0180,0
orf19.1027,t0210,0
orf19.1027,t0240,0
orf19.1027,t0360,0
orf19.1027,t0480,0
orf19.1029,t0015,2.485596311438582
orf19.1029,t0030,2.4483568345857196
orf19.1029,t0045,2.3628877985974257
orf19.1029,t0060,1.4212216740367805
orf19.1029,t0090,0
orf19.1029,t0120,0
orf19.1029,t0150,1.593376537658005
orf19.1029,t0180,2.264670075400716
orf19.1029,t0210,2.4367721649661576
orf19.1029,t0240,2.43592645976651
orf19.1029,t0360,2.618433154262598
orf19.1029,t0480,2.7002257587448772
orf19.1030,t0015,3.9976819202306113
orf19.1030,t0030,5.291688845291114
orf19.1030,t0045,5.333814646049126
orf19.1030,t0060,4.413264609718032
orf19.1030,t0090,1.632581627527404
orf19.1030,t0120,1.4575864400986909
orf19.1030,t0150,3.284360467584176
orf19.1030,t0180,4.650695955910932
orf19.1030,t0210,5.069724053922437
orf19.1030,t0240,5.247460924775763
orf19.1030,t0360,5.363848834887103
orf19.1030,t0480,5.177429122797116
orf19.1031,t0015,0
orf19.1031,t0030,0
orf19.1031,t0045,0
orf19.1031,t0060,0
orf19.1031,t0090,0
orf19.1031,t0120,0
orf19.1031,t0150,0
orf19.1031,t0180,0
orf19.1031,t0210,0
orf19.1031,t0240,0
orf19.1031,t0360,-1.081534498901319
orf19.1031,t0480,-1.0336850891499196
orf19.1032,t0015,1.969310970624372
orf19.1032,t0030,0
orf19.1032,t0045,0
orf19.1032,t0060,0
orf19.1032,t0090,0
orf19.1032,t0120,0
orf19.1032,t0150,0
orf19.1032,t0180,0
orf19.1032,t0210,0
orf19.1032,t0240,0
orf19.1032,t0360,0
orf19.1032,t0480,0
orf19.1033,t0015,0
orf19.1033,t0030,-2.31963055731582
orf19.1033,t0045,-2.0522535108569557
orf19.1033,t0060,-2.2595345413640935
orf19.1033,t0090,-2.544237776808508
orf19.1033,t0120,-2.660142283787816
orf19.1033,t0150,-2.6478246044177336
orf19.1033,t0180,-2.526124386436197
orf19.1033,t0210,-2.468959540444322
orf19.1033,t0240,-2.4432046179443385
orf19.1033,t0360,-2.37029747194828
orf19.1033,t0480,-2.556546720389694
orf19.1034,t0015,0
orf19.1034,t0030,-2.8934997989338225
orf19.1034,t0045,-2.214105019095355
orf19.1034,t0060,-1.7477282322427994
orf19.1034,t0090,-1.1606312734623554
orf19.1034,t0120,0
orf19.1034,t0150,0
orf19.1034,t0180,0
orf19.1034,t0210,0
orf19.1034,t0240,0
orf19.1034,t0360,0
orf19.1034,t0480,0
orf19.1035,t0015,1.0117076556289792
orf19.1035,t0030,0
orf19.1035,t0045,0
orf19.1035,t0060,0
orf19.1035,t0090,0
orf19.1035,t0120,0
orf19.1035,t0150,0
orf19.1035,t0180,0
orf19.1035,t0210,0
orf19.1035,t0240,0
orf19.1035,t0360,0
orf19.1035,t0480,0
orf19.1036,t0015,0
orf19.1036,t0030,0
orf19.1036,t0045,0
orf19.1036,t0060,0
orf19.1036,t0090,0
orf19.1036,t0120,0
orf19.1036,t0150,0
orf19.1036,t0180,-1.0946947100617357
orf19.1036,t0210,-1.3940013200731276
orf19.1036,t0240,-1.5297266212385128
orf19.1036,t0360,-1.4850133605688145
orf19.1036,t0480,-1.6939537155803603
orf19.1037,t0015,0
orf19.1037,t0030,-1.508902613363745
orf19.1037,t0045,-1.1342852953990714
orf19.1037,t0060,0
orf19.1037,t0090,0
orf19.1037,t0120,0
orf19.1037,t0150,0
orf19.1037,t0180,0
orf19.1037,t0210,0
orf19.1037,t0240,0
orf19.1037,t0360,0
orf19.1037,t0480,0
orf19.1042,t0015,0
orf19.1042,t0030,0
orf19.1042,t0045,0
orf19.1042,t0060,1.1872311341128965
orf19.1042,t0090,1.610980533080251
orf19.1042,t0120,1.9066292147056385
orf19.1042,t0150,1.4186620726016324
orf19.1042,t0180,1.4522705680188803
orf19.1042,t0210,1.4082210317802917
orf19.1042,t0240,1.3980964594649838
