gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-GWK60_A00011,0,0,1,0
gene-GWK60_A00033,1,2,10,6
gene-GWK60_A00055,137,167,204,162
gene-GWK60_A00077,1940,1928,1945,1723
gene-GWK60_A00099,7500,6796,10174,9387
gene-GWK60_A00121,1196,1122,1392,1316
gene-GWK60_A00143,1788,1769,2123,1898
gene-GWK60_A00165,1955,1801,1863,1607
gene-GWK60_A00187,677,598,979,904
gene-GWK60_A00209,632,554,1012,912
gene-GWK60_A00231,107,112,277,192
gene-GWK60_A00253,7700,6718,10489,9287
gene-GWK60_A00275,478,332,386,415
gene-GWK60_A00297,5697,5449,4835,4089
gene-GWK60_A00319,2397,2133,7948,7082
gene-GWK60_A00341,2927,2436,5479,4875
gene-GWK60_A00363,2079,1930,2018,1980
gene-GWK60_A00385,65239,51041,67044,69102
gene-GWK60_A00407,4031,3507,3293,3343
gene-GWK60_A00429,1043,950,1706,1502
gene-GWK60_A00451,399,328,460,432
gene-GWK60_A00473,406,392,830,698
gene-GWK60_A00495,1271,1236,1320,1143
gene-GWK60_A00517,534,455,642,485
gene-GWK60_A00539,4,12,11,6
gene-GWK60_A00561,0,0,0,0
gene-GWK60_A00583,28,15,9,14
gene-GWK60_A00605,334,273,225,198
gene-GWK60_A00627,12,17,22,19
gene-GWK60_A00649,112,94,136,165
gene-GWK60_A00671,1726,1487,1554,1381
gene-GWK60_A00693,1992,1834,1948,1687
gene-GWK60_A00715,1078,957,1337,1155
gene-GWK60_A00737,349,379,308,264
gene-GWK60_A00759,403,438,564,509
gene-GWK60_A00781,2238,1970,2059,1851
gene-GWK60_A00803,1404,1175,1381,1336
gene-GWK60_A00825,393,284,226,219
gene-GWK60_A00847,1151,1074,1144,931
gene-GWK60_A00869,7749,7552,9898,8187
gene-GWK60_A00891,1481,1425,895,821
gene-GWK60_A00913,2540,2292,1345,1145
gene-GWK60_A00935,9695,9144,8433,7547
gene-GWK60_A00957,4565,4095,4649,4049
gene-GWK60_A00979,227,181,588,532
gene-GWK60_A01001,1177,972,681,547
gene-GWK60_A01023,2055,1888,1733,1490
gene-GWK60_A01045,421,414,808,684
gene-GWK60_A01067,393,344,777,727
gene-GWK60_A01089,880,907,836,711
gene-GWK60_A01111,864,742,2654,2429
gene-GWK60_A01133,3664,3472,1777,1559
gene-GWK60_A01155,18152,17906,771,787
gene-GWK60_A01177,849,728,599,545
gene-GWK60_A01199,718,601,359,333
gene-GWK60_A01221,473,434,355,415
gene-GWK60_A01243,698,519,442,442
gene-GWK60_A01265,9964,8868,12206,10674
gene-GWK60_A01287,1592,1482,1801,1563
gene-GWK60_A01309,2832,2952,3567,3301
gene-GWK60_A01331,0,0,0,0
gene-GWK60_A01353,10849,10382,16450,13412
gene-GWK60_A01375,27274,29219,38148,28210
gene-GWK60_A01397,57,47,17,15
gene-GWK60_A01419,593,565,116,130
gene-GWK60_A01441,3359,3405,1730,1563
gene-GWK60_A01463,1181,1034,640,524
gene-GWK60_A01485,4401,4117,4082,3523
gene-GWK60_A01507,675,596,895,680
gene-GWK60_A01529,18341,18396,2724,2366
gene-GWK60_A01551,8944,8668,7208,6107
gene-GWK60_A01573,590,561,719,597
gene-GWK60_A01595,24253,19690,27274,24668
gene-GWK60_A01617,2423,2110,3607,3292
gene-GWK60_A01639,90,90,113,126
gene-GWK60_A01661,3528,2983,3558,3092
gene-GWK60_A01683,914,754,648,586
gene-GWK60_A01705,1,1,0,0
gene-GWK60_A01727,2379,2074,3199,3142
gene-GWK60_A01749,0,0,0,0
gene-GWK60_A01771,1265,1154,1209,1042
gene-GWK60_A01793,656,658,878,720
gene-GWK60_A01815,963,838,485,372
gene-GWK60_A01837,854,748,1437,1280
gene-GWK60_A01859,3077,2619,1982,1752
gene-GWK60_A01881,0,0,0,0
gene-GWK60_A01903,5987,5551,8041,7106
gene-GWK60_A01925,10980,9974,15302,13180
gene-GWK60_A01947,357,400,556,493
gene-GWK60_A01969,126,100,120,105
gene-GWK60_A01991,0,0,0,0
gene-GWK60_A02013,6648,6050,8760,7654
gene-GWK60_A02035,15274,11218,16688,15030
gene-GWK60_A02057,2347,1623,410,434
gene-GWK60_A02079,102,105,124,125
gene-GWK60_A02101,1238,1152,5032,4257
gene-GWK60_A02123,2914,2323,6281,5759
gene-GWK60_A02145,1,1,1,3
gene-GWK60_A02167,8417,7880,7970,6982
gene-GWK60_A02189,2065,1900,2175,1985
gene-GWK60_A02211,5645,5459,5469,4885
gene-GWK60_A02233,2838,2657,2488,2489
gene-GWK60_A02255,1,1,0,0
gene-GWK60_A02277,1331,1218,981,827
gene-GWK60_A02299,2582,2379,2889,2640
gene-GWK60_A02321,960,983,1052,892
gene-GWK60_A02343,4596,4407,5616,4933
gene-GWK60_A02365,2460,2368,2763,2449
gene-GWK60_A02387,6404,5846,7918,7113
gene-GWK60_A02409,2066,1964,2575,2136
gene-GWK60_A02431,577,509,567,430
gene-GWK60_A02453,11221,10156,10864,9503
gene-GWK60_A02475,2318,2015,2548,2218
gene-GWK60_A02497,2464,2462,3444,3111
gene-GWK60_A02519,2477,2233,2399,2382
gene-GWK60_A02541,1456,1180,1076,1149
