gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-KDRO_A02850,0,1,0,1
gene-KDRO_A04150,31,25,16,26
gene-KDRO_A04940,50,37,36,67
gene-KDRO_B02650,0,3,2,3
gene-KDRO_B05790,1,1,1,1
gene-KDRO_B06350,0,0,0,0
gene-KDRO_C01800,272,252,52,46
gene-KDRO_C02880,11316,11798,193,228
gene-KDRO_D00400,8,12,7,18
gene-KDRO_D02850,0,2,0,2
gene-KDRO_D07380,12,13,91,157
gene-KDRO_E00600,0,1,0,1
gene-KDRO_E02810,0,0,2,5
gene-KDRO_E03520,3,1,3,2
gene-KDRO_E04050,0,0,0,0
gene-KDRO_E04190,0,0,0,3
gene-KDRO_E06940,0,1,0,0
gene-KDRO_E07690,0,0,0,0
gene-KDRO_E08030,12,12,762,636
gene-KDRO_F01520,658,759,370,396
gene-KDRO_F02730,1,1,4,4
gene-KDRO_F03810,11,7,5,11
gene-KDRO_F05460,2,0,0,3
gene-KDRO_F05680,0,2,0,0
gene-KDRO_F08710,0,2,1,0
gene-KLLA0_A00110g,71,178,51,0
gene-KLLA0_A00132g,555,656,53,61
gene-KLLA0_A00143g,9,0,9,7
gene-KLLA0_A00154g,6515,6151,1161,1345
gene-KLLA0_A00176g,32229,32451,39,75
gene-KLLA0_A00198g,403,435,299,374
gene-KLLA0_A00220g,3502,3300,2085,2240
gene-KLLA0_A00242g,723,758,1323,1565
gene-KLLA0_A00264g,7984,8212,4763,5569
gene-KLLA0_A00286g,2272,2405,2083,2453
gene-KLLA0_A00308r,0,0,0,0
gene-KLLA0_A00352g,3060,2879,1100,1298
gene-KLLA0_A00374g,12140,11669,5446,6985
gene-KLLA0_A00396g,998,1017,1160,1247
gene-KLLA0_A00418g,4668,4983,11786,15022
gene-KLLA0_A00440g,519,538,812,919
gene-KLLA0_A00462g,686,754,576,615
gene-KLLA0_A00484g,1749,1902,2558,2921
gene-KLLA0_A00506g,172,137,168,215
gene-KLLA0_A00528g,3208,3642,4856,4727
gene-KLLA0_A00539g,85,97,46,80
gene-KLLA0_A00550g,1755,2010,775,966
gene-KLLA0_A00572g,1203,1263,917,1008
gene-KLLA0_A00594g,2722,2972,4260,4615
gene-KLLA0_A00616g,847,810,11731,16079
gene-KLLA0_A00638g,1121,1163,1324,1322
gene-KLLA0_A00660g,2905,3065,1116,1128
gene-KLLA0_A00682g,5104,5448,8554,10265
gene-KLLA0_A00715g,559,630,833,919
gene-KLLA0_A00737g,2156,2421,2294,2330
gene-KLLA0_A00759g,867,842,599,702
gene-KLLA0_A00781g,1293,1179,661,768
gene-KLLA0_A00803g,717,790,600,707
gene-KLLA0_A00825g,347,354,295,322
gene-KLLA0_A00847g,591,522,389,407
gene-KLLA0_A00869g,1315,1395,1480,1598
gene-KLLA0_A00891g,502,492,364,403
gene-KLLA0_A00913g,430,414,210,275
gene-KLLA0_A00935g,653,652,658,708
gene-KLLA0_A00957g,6157,6414,6051,6653
gene-KLLA0_A00979g,657,639,1082,1227
gene-KLLA0_A01001g,5611,5827,8095,9776
gene-KLLA0_A01023g,1173,1328,972,1064
gene-KLLA0_A01045g,1001,1080,995,1117
gene-KLLA0_A01067g,1403,1331,607,648
gene-KLLA0_A01089g,445,440,176,259
gene-KLLA0_A01111g,598,589,452,505
gene-KLLA0_A01133g,718,755,550,659
gene-KLLA0_A01155g,3060,3268,2537,2864
gene-KLLA0_A01177g,3259,3583,2526,3051
gene-KLLA0_A01199g,15437,15663,17748,19487
gene-KLLA0_A01221g,3246,3398,1658,1902
gene-KLLA0_A01287g,287,221,199,241
gene-KLLA0_A01297g,180,167,207,254
gene-KLLA0_A01309g,68,77,27,35
gene-KLLA0_A01320g,789,837,353,420
gene-KLLA0_A01342g,1314,1534,1795,1376
gene-KLLA0_A01364g,5175,5356,4706,5584
gene-KLLA0_A01386g,871,795,577,756
gene-KLLA0_A01408g,4278,4338,1135,1447
gene-KLLA0_A01430g,1370,1476,665,795
gene-KLLA0_A01452g,4835,5274,6492,7508
gene-KLLA0_A01474g,612,600,490,365
gene-KLLA0_A01496g,379,361,215,233
gene-KLLA0_A01518g,844,887,628,798
gene-KLLA0_A01551g,61,67,79,79
gene-KLLA0_A01573g,726,756,1311,1453
gene-KLLA0_A01606g,843,902,420,487
gene-KLLA0_A01628g,4335,4494,4788,5291
gene-KLLA0_A01650g,1004,1113,1005,1243
gene-KLLA0_A01672g,755,778,609,659
gene-KLLA0_A01694g,33254,34847,1659,1880
gene-KLLA0_A01738g,8518,8556,15415,18992
gene-KLLA0_A01760g,4618,4840,2009,2023
gene-KLLA0_A01782g,1741,1816,1554,1977
gene-KLLA0_A01804g,1760,1794,875,1054
gene-KLLA0_A01826g,1526,1655,1666,1631
gene-KLLA0_A01848g,1094,1102,212,289
gene-KLLA0_A01870g,481,574,474,493
gene-KLLA0_A01903g,299,245,16751,21651
gene-KLLA0_A01925g,838,855,1015,1158
gene-KLLA0_A01947g,1347,1333,730,891
gene-KLLA0_A01969g,1541,1583,929,1053
gene-KLLA0_A01991g,3802,3760,2816,3599
gene-KLLA0_A02013g,1621,1667,1028,1271
gene-KLLA0_A02035g,1008,999,2064,2449
gene-KLLA0_A02042r,0,0,0,0
gene-KLLA0_A02049r,0,0,0,0
gene-KLLA0_A02057g,575,565,643,817
gene-KLLA0_A02079g,581,644,415,480
gene-KLLA0_A02101g,313,314,424,441
gene-KLLA0_A02123g,1530,1485,911,999
gene-KLLA0_A02145g,357,399,234,264
gene-KLLA0_A02167g,622,604,512,520
gene-KLLA0_A02189g,876,972,1240,1210
gene-KLLA0_A02211g,642,689,589,697
gene-KLLA0_A02233g,3747,3583,1731,2234
gene-KLLA0_A02255g,883,899,1041,1176
gene-KLLA0_A02277g,583,624,1489,1754
gene-KLLA0_A02299g,110,86,87,148
gene-KLLA0_A02321g,1405,1531,1962,2166
gene-KLLA0_A02343g,1406,1531,2906,3425
gene-KLLA0_A02365g,3829,4004,1546,1854
gene-KLLA0_A02387g,344,347,28,28
gene-KLLA0_A02409r,0,0,0,0
gene-KLLA0_A02431g,210,196,82,109
gene-KLLA0_A02453g,3122,3107,2064,2560
gene-KLLA0_A02475g,3661,3751,2678,3369
gene-KLLA0_A02497g,832,931,1007,1216
gene-KLLA0_A02519g,1396,1536,1039,1197
gene-KLLA0_A02541g,1391,1573,1545,1453
gene-KLLA0_A02563g,480,525,85,75
gene-KLLA0_A02585g,1370,1384,780,870
gene-KLLA0_A02607g,22142,22496,17439,21431
gene-KLLA0_A02629g,3222,3253,1809,2045
gene-KLLA0_A02651g,490,412,393,413
gene-KLLA0_A02673g,6880,7217,24957,31782
gene-KLLA0_A02695g,1866,2035,1050,992
gene-KLLA0_A02717g,7210,7591,2261,2407
gene-KLLA0_A02739g,843,787,630,698
gene-KLLA0_A02761g,2116,2052,3451,3571
gene-KLLA0_A02783r,0,0,0,0
gene-KLLA0_A02827g,3510,3621,2169,2651
gene-KLLA0_A02849g,287,283,284,304
gene-KLLA0_A02871g,250,269,138,191
gene-KLLA0_A02893g,2301,2422,2124,2333
gene-KLLA0_A02915g,310,349,912,952
gene-KLLA0_A02937g,529,483,390,505
gene-KLLA0_A02959g,1071,1156,1168,1402
gene-KLLA0_A02981g,489,429,327,369
gene-KLLA0_A03003g,439,420,285,278
gene-KLLA0_A03025g,11313,11445,5092,6690
gene-KLLA0_A03047g,749,801,2518,2359
gene-KLLA0_A03069g,2045,1999,1468,1863
gene-KLLA0_A03091g,4667,4894,3025,2880
gene-KLLA0_A03113g,1326,1319,1185,1407
gene-KLLA0_A03135g,746,656,508,658
gene-KLLA0_A03157g,2358,2702,2585,3255
gene-KLLA0_A03179g,366,364,941,1028
gene-KLLA0_A03201g,4638,4580,3382,3513
gene-KLLA0_A03223g,1041,1195,439,526
gene-KLLA0_A03245g,690,711,505,654
gene-KLLA0_A03267g,237,259,778,885
gene-KLLA0_A03289g,223,240,140,158
gene-KLLA0_A03311g,311,238,292,238
gene-KLLA0_A03333g,3855,4121,1696,1905
gene-KLLA0_A03355g,2740,2756,3798,3997
gene-KLLA0_A03377g,3137,3056,2377,2813
gene-KLLA0_A03399g,953,961,650,747
gene-KLLA0_A03421g,1628,1691,1003,1182
gene-KLLA0_A03443g,1878,1919,1772,1947
gene-KLLA0_A03465g,1484,1600,1151,1285
gene-KLLA0_A03487g,3770,4010,2214,2580
gene-KLLA0_A03509g,1070,1130,780,858
gene-KLLA0_A03531g,1020,1060,3823,4536
gene-KLLA0_A03553g,75,69,80,112
gene-KLLA0_A03575g,175,162,235,242
gene-KLLA0_A03597g,2681,2672,1526,1730
gene-KLLA0_A03619g,845,739,769,940
gene-KLLA0_A03641g,1444,1409,2502,2346
gene-KLLA0_A03663g,1141,1165,1371,1512
gene-KLLA0_A03696g,461,423,315,428
gene-KLLA0_A03718g,614,624,496,452
gene-KLLA0_A03740g,6861,7410,4370,5039
gene-KLLA0_A03762r,0,0,0,0
gene-KLLA0_A03784r,0,0,0,0
gene-KLLA0_A03806g,1818,1956,1839,2085
gene-KLLA0_A03883g,1010,1022,569,591
gene-KLLA0_A03905g,3618,3786,5078,5482
gene-KLLA0_A03938g,1211,1207,749,895
gene-KLLA0_A03960g,889,865,359,539
gene-KLLA0_A03982g,2055,2174,1973,2634
gene-KLLA0_A04015g,3032,3242,2672,2848
gene-KLLA0_A04037g,395,435,1006,1162
gene-KLLA0_A04059g,1157,1233,1889,1869
gene-KLLA0_A04081g,595,611,124,155
gene-KLLA0_A04103g,1285,1391,1939,1962
gene-KLLA0_A04125g,2189,2439,1384,1609
gene-KLLA0_A04147g,6788,6999,1364,1780
gene-KLLA0_A04169g,3929,3941,8539,8697
gene-KLLA0_A04191g,5302,5503,5358,6395
gene-KLLA0_A04213g,1412,1356,974,1343
gene-KLLA0_A04235g,2415,2437,2550,3189
gene-KLLA0_A04257r,0,0,0,0
gene-KLLA0_A04301g,720,776,750,730
gene-KLLA0_A04323g,2250,2189,1221,1311
gene-KLLA0_A04345g,360,432,646,584
gene-KLLA0_A04367g,238,224,206,210
gene-KLLA0_A04389g,490,458,299,246
gene-KLLA0_A04411g,939,839,655,762
gene-KLLA0_A04433g,535,587,655,813
gene-KLLA0_A04499g,5336,4997,4409,5346
gene-KLLA0_A04521g,319,314,91,106
gene-KLLA0_A04543g,2493,2363,1632,1861
gene-KLLA0_A04565g,204,191,152,181
gene-KLLA0_A04587g,2269,2451,3030,3802
gene-KLLA0_A04609g,466,428,762,719
gene-KLLA0_A04620g,11,17,12,21
gene-KLLA0_A04631g,1518,1497,1069,1346
gene-KLLA0_A04653g,746,887,1162,1312
gene-KLLA0_A04686r,0,0,0,0
gene-KLLA0_A04708g,1311,1338,970,1266
gene-KLLA0_A04730g,3270,3660,9773,10503
gene-KLLA0_A04752g,3091,3128,2112,2558
gene-KLLA0_A04774g,348,377,230,339
gene-KLLA0_A04796g,1271,1159,1382,1728
gene-KLLA0_A04818g,728,759,761,1021
gene-KLLA0_A04840g,1017,1039,717,942
gene-KLLA0_A04862g,1526,1507,1167,1437
gene-KLLA0_A04884g,1081,1117,1316,1345
gene-KLLA0_A04906g,18063,21126,95,100
gene-KLLA0_A04928g,888,924,981,1116
gene-KLLA0_A04961g,5369,5974,7704,8664
gene-KLLA0_A04983g,4627,5217,5693,5227
gene-KLLA0_A05005g,788,654,259,340
gene-KLLA0_A05027g,3278,3214,1483,1769
gene-KLLA0_A05049g,549,552,484,526
gene-KLLA0_A05071g,3923,4058,4812,5454
gene-KLLA0_A05093g,2368,2459,1592,2235
gene-KLLA0_A05115g,1319,1429,1048,1096
gene-KLLA0_A05137g,1931,1979,1370,1581
gene-KLLA0_A05159g,1722,1826,1295,1714
gene-KLLA0_A05181g,100,92,73,82
gene-KLLA0_A05203g,790,814,484,581
gene-KLLA0_A05225g,456,611,447,471
gene-KLLA0_A05247g,560,474,400,551
gene-KLLA0_A05258g,594,646,462,504
gene-KLLA0_A05280g,1894,1902,1859,1728
gene-KLLA0_A05302g,566,566,319,371
gene-KLLA0_A05324g,1688,1723,891,1045
gene-KLLA0_A05346g,3125,3389,2116,1886
gene-KLLA0_A05368g,427,397,1488,1475
gene-KLLA0_A05390g,2602,2508,3219,3586
gene-KLLA0_A05412g,606,567,593,732
gene-KLLA0_A05434g,1122,1146,936,996
gene-KLLA0_A05456g,1575,1717,1431,1587
gene-KLLA0_A05478g,4446,4855,3811,4638
gene-KLLA0_A05500g,443,506,306,412
gene-KLLA0_A05511g,22,23,23,30
gene-KLLA0_A05522g,2647,2658,2452,2155
gene-KLLA0_A05544g,31742,33880,43685,51766
gene-KLLA0_A05566g,220,177,167,224
gene-KLLA0_A05621g,1726,1816,1696,1582
gene-KLLA0_A05643g,458,430,243,298
gene-KLLA0_A05665g,594,573,836,1015
gene-KLLA0_A05687g,4,5,0,0
gene-KLLA0_A05700g,166,184,6187,6314
gene-KLLA0_A05709g,1318,1330,1012,1042
gene-KLLA0_A05731g,11101,11577,19436,24176
gene-KLLA0_A05753g,353,399,418,460
gene-KLLA0_A05775g,701,756,1015,1254
gene-KLLA0_A05797g,662,626,784,902
gene-KLLA0_A05819g,1732,1809,1679,1922
gene-KLLA0_A05841g,643,540,1391,1783
gene-KLLA0_A05852g,179,209,83,77
gene-KLLA0_A05863g,2309,2345,17410,22238
gene-KLLA0_A05885g,1003,1019,926,1275
gene-KLLA0_A05907g,1401,1425,721,933
gene-KLLA0_A05929g,892,862,451,484
gene-KLLA0_A05951g,583,658,735,951
gene-KLLA0_A05973g,366,351,411,484
gene-KLLA0_A05987r,15,9,7,5
gene-KLLA0_A06002r,1,3,5,4
gene-KLLA0_A06017g,574,633,499,677
gene-KLLA0_A06039g,781,827,704,869
gene-KLLA0_A06061g,668,663,520,538
gene-KLLA0_A06072r,1,0,0,0
gene-KLLA0_A06083g,2000,1928,1299,1582
gene-KLLA0_A06105g,928,854,770,819
gene-KLLA0_A06127g,2202,2211,1139,1340
gene-KLLA0_A06149g,1824,1653,1024,1168
gene-KLLA0_A06171g,506,466,246,327
gene-KLLA0_A06193g,908,854,937,1102
gene-KLLA0_A06215g,1390,1396,2083,2261
gene-KLLA0_A06237g,1755,1726,2811,3195
gene-KLLA0_A06259g,988,932,1570,1856
gene-KLLA0_A06281g,221,238,331,479
gene-KLLA0_A06303g,2586,2665,1774,2116
gene-KLLA0_A06336g,392,354,18783,23135
gene-KLLA0_A06402g,1313,1432,1825,2053
gene-KLLA0_A06424g,2912,3077,3583,3777
gene-KLLA0_A06446g,511,557,1055,1195
gene-KLLA0_A06468g,994,908,646,734
gene-KLLA0_A06490g,772,664,354,470
gene-KLLA0_A06512g,8253,8378,6932,7873
gene-KLLA0_A06534g,710,864,499,575
gene-KLLA0_A06556g,794,663,1210,1456
gene-KLLA0_A06578g,81,73,61,69
gene-KLLA0_A06600g,1436,1629,1754,1950
gene-KLLA0_A06622g,415,465,445,386
gene-KLLA0_A06644g,1935,2022,2011,2362
gene-KLLA0_A06666g,651,684,514,567
gene-KLLA0_A06688g,958,1013,788,939
gene-KLLA0_A06710g,1460,1606,2049,2182
gene-KLLA0_A06732g,7807,8109,8616,9933
gene-KLLA0_A06754g,2656,2319,2315,2204
gene-KLLA0_A06776g,937,1000,937,1066
gene-KLLA0_A06798g,365,283,663,700
gene-KLLA0_A06820g,1070,1106,1624,1869
gene-KLLA0_A06842g,1106,1065,725,837
gene-KLLA0_A06864r,0,0,0,0
gene-KLLA0_A06886g,2833,3023,13231,15234
gene-KLLA0_A06908r,0,0,0,0
gene-KLLA0_A06930g,841,830,520,624
gene-KLLA0_A06952g,344,357,324,309
gene-KLLA0_A06974g,561,612,486,568
gene-KLLA0_A06996g,686,684,357,514
gene-KLLA0_A07018g,543,570,444,500
gene-KLLA0_A07040g,2797,2894,4778,5671
gene-KLLA0_A07051g,0,2,0,0
gene-KLLA0_A07062g,15180,16515,4025,4568
gene-KLLA0_A07084g,1355,1445,377,470
gene-KLLA0_A07106g,393,446,472,541
gene-KLLA0_A07128g,963,981,796,851
gene-KLLA0_A07150g,139,159,100,81
gene-KLLA0_A07172g,1311,1289,1322,1476
gene-KLLA0_A07194g,239,218,16335,15959
gene-KLLA0_A07227g,102,90,12387,13805
gene-KLLA0_A07249g,1163,1176,2123,2537
gene-KLLA0_A07271g,2986,3028,1874,2397
gene-KLLA0_A07293g,839,817,534,691
gene-KLLA0_A07315g,2358,1974,2009,2563
gene-KLLA0_A07337g,561,585,514,445
gene-KLLA0_A07359g,1373,1505,1520,1673
gene-KLLA0_A07381g,774,729,338,337
gene-KLLA0_A07403g,1643,1691,2755,2651
gene-KLLA0_A07425g,2246,2350,2006,2147
gene-KLLA0_A07447g,735,721,592,704
gene-KLLA0_A07469g,1176,1180,296,317
gene-KLLA0_A07491g,1847,1965,1331,1546
gene-KLLA0_A07513g,681,680,519,603
gene-KLLA0_A07535g,148,164,70,94
gene-KLLA0_A07557g,3853,4168,1805,1880
gene-KLLA0_A07579g,2130,2132,1888,2189
gene-KLLA0_A07601g,946,938,1133,1492
gene-KLLA0_A07623g,239,276,371,387
gene-KLLA0_A07645g,95,83,6,1
gene-KLLA0_A07667g,1696,1637,872,1019
gene-KLLA0_A07689g,245,211,91,86
gene-KLLA0_A07711g,311,353,213,245
gene-KLLA0_A07733g,1399,1647,946,970
gene-KLLA0_A07755g,323,352,791,844
gene-KLLA0_A07777g,77,60,34,46
gene-KLLA0_A07799g,2477,2808,2818,3341
gene-KLLA0_A07821g,648,716,492,509
gene-KLLA0_A07843g,1543,1484,1299,1419
gene-KLLA0_A07865g,660,643,510,528
gene-KLLA0_A07887g,214,210,195,251
gene-KLLA0_A07909g,1408,1544,1968,2217
gene-KLLA0_A07931g,1511,1499,960,1226
gene-KLLA0_A07953g,3154,3328,908,1169
gene-KLLA0_A07975g,1400,1397,898,1026
gene-KLLA0_A07997g,1088,1121,511,583
gene-KLLA0_A08019g,1046,1035,622,692
gene-KLLA0_A08041g,1190,1200,822,1015
gene-KLLA0_A08063g,1083,1157,668,781
gene-KLLA0_A08085r,0,0,0,0
gene-KLLA0_A08107g,4579,4600,6276,7583
gene-KLLA0_A08129g,1794,1843,1629,1669
gene-KLLA0_A08140g,621,636,289,398
gene-KLLA0_A08162g,664,711,728,760
gene-KLLA0_A08184g,3536,3435,5220,5161
gene-KLLA0_A08206g,120,107,42,44
gene-KLLA0_A08228r,0,0,0,0
gene-KLLA0_A08294r,0,0,1,0
gene-KLLA0_A08316g,2378,2505,2281,2766
gene-KLLA0_A08338g,1031,1123,1079,1121
gene-KLLA0_A08360g,3662,4017,4828,5759
gene-KLLA0_A08382g,1788,1889,689,896
gene-KLLA0_A08404g,2062,2183,2399,2659
gene-KLLA0_A08426g,2532,2607,4567,5464
gene-KLLA0_A08448g,1840,2024,5766,6816
gene-KLLA0_A08470g,704,631,1302,1827
gene-KLLA0_A08492g,3508,3283,8845,11318
gene-KLLA0_A08514r,0,0,0,0
gene-KLLA0_A08536g,368,404,202,245
gene-KLLA0_A08558r,0,0,0,0
gene-KLLA0_A08580g,954,926,1026,1083
gene-KLLA0_A08602g,364,347,378,461
gene-KLLA0_A08624g,595,486,665,847
gene-KLLA0_A08646g,1335,1380,1227,1437
gene-KLLA0_A08690g,227,270,79,125
gene-KLLA0_A08712g,614,625,534,636
gene-KLLA0_A08734g,1274,1460,1364,1541
gene-KLLA0_A08756g,1607,1601,1855,2059
gene-KLLA0_A08778g,1915,1714,2063,2470
gene-KLLA0_A08800g,477,502,600,714
gene-KLLA0_A08822g,821,903,591,682
gene-KLLA0_A08844g,4131,4038,3381,4189
gene-KLLA0_A08866g,1244,1198,979,1130
gene-KLLA0_A08888g,418,456,399,447
gene-KLLA0_A08910g,2329,2468,3137,3237
gene-KLLA0_A08932g,313,309,408,441
gene-KLLA0_A08965r,0,0,0,0
gene-KLLA0_A08987r,0,0,0,0
gene-KLLA0_A09031g,34851,36344,25458,30436
gene-KLLA0_A09075g,22155,23390,9616,12289
gene-KLLA0_A09097g,2004,2209,3641,3745
gene-KLLA0_A09119g,1478,1519,1449,1593
gene-KLLA0_A09141g,668,659,488,461
gene-KLLA0_A09185g,319790,321421,305026,379413
gene-KLLA0_A09207g,446,442,366,411
gene-KLLA0_A09229g,634,665,280,242
gene-KLLA0_A09251g,1328,1407,797,937
gene-KLLA0_A09273r,0,0,0,0
gene-KLLA0_A09295g,1128,1139,902,1270
gene-KLLA0_A09317g,849,864,326,349
gene-KLLA0_A09339g,41822,45355,34188,40994
gene-KLLA0_A09361g,127,120,75,78
gene-KLLA0_A09383g,746,731,391,494
gene-KLLA0_A09405g,15,9,0,6
gene-KLLA0_A09427g,1933,2228,867,953
gene-KLLA0_A09449g,6041,6141,2762,3323
gene-KLLA0_A09471g,2310,2496,2474,2439
gene-KLLA0_A09493g,543,534,302,259
gene-KLLA0_A09515g,2487,2598,2110,2606
gene-KLLA0_A09537g,1177,1259,774,872
gene-KLLA0_A09559g,819,829,1082,1244
gene-KLLA0_A09581r,0,0,0,0
gene-KLLA0_A09603g,1492,1648,520,544
gene-KLLA0_A09625g,564,601,529,622
gene-KLLA0_A09647g,2914,3164,5807,6482
gene-KLLA0_A09669g,1407,1406,1596,2032
gene-KLLA0_A09691g,1336,1370,1898,2185
gene-KLLA0_A09713g,4501,4978,6542,8180
gene-KLLA0_A09735g,478,504,884,1179
gene-KLLA0_A09757g,131,141,157,101
gene-KLLA0_A09779g,663,661,185,227
gene-KLLA0_A09801g,746,709,541,730
gene-KLLA0_A09823g,2561,2770,2956,3022
gene-KLLA0_A09845g,690,642,595,740
gene-KLLA0_A09867g,455,451,244,303
gene-KLLA0_A09889g,1724,1885,1370,1457
gene-KLLA0_A09911g,2072,2261,221,316
gene-KLLA0_A09933g,2867,2974,1484,1459
gene-KLLA0_A09955g,2585,2657,2377,2385
gene-KLLA0_A09977g,23394,24724,11313,14800
gene-KLLA0_A09999g,1468,1358,1001,1187
gene-KLLA0_A10021g,1984,2066,1664,1855
gene-KLLA0_A10043g,645,682,453,497
gene-KLLA0_A10065g,1599,1707,2269,2679
gene-KLLA0_A10087g,162,190,127,134
gene-KLLA0_A10109g,2322,2434,2644,3044
gene-KLLA0_A10131g,774,853,1142,1161
gene-KLLA0_A10153g,2924,3059,1584,1934
gene-KLLA0_A10175g,2605,2652,727,804
gene-KLLA0_A10197g,870,841,516,685
gene-KLLA0_A10219g,1016,1073,1375,1692
gene-KLLA0_A10241g,799,755,653,833
gene-KLLA0_A10263g,1569,1552,930,1036
gene-KLLA0_A10285g,1292,1309,1468,1742
gene-KLLA0_A10307g,17262,17342,26843,33339
gene-KLLA0_A10329g,1197,1281,877,1026
gene-KLLA0_A10351g,632,638,433,527
gene-KLLA0_A10373g,448,425,169,190
gene-KLLA0_A10395g,382,361,168,194
gene-KLLA0_A10417g,11243,12502,27807,31246
gene-KLLA0_A10439g,1500,1689,1666,1749
gene-KLLA0_A10461g,210,267,574,659
gene-KLLA0_A10483g,72,52,8626,9327
gene-KLLA0_A10505g,3,2,10,10
gene-KLLA0_A10527g,217,199,138,193
gene-KLLA0_A10549g,2966,3010,2075,2299
gene-KLLA0_A10571g,159,153,41,60
gene-KLLA0_A10593g,4427,4616,6914,9217
gene-KLLA0_A10615r,0,0,0,0
gene-KLLA0_A10637g,244,215,119,136
gene-KLLA0_A10659g,481,521,456,561
gene-KLLA0_A10681g,536,567,534,640
gene-KLLA0_A10703g,1271,1251,1492,1407
gene-KLLA0_A10725r,0,0,0,0
gene-KLLA0_A10769g,264,268,394,457
gene-KLLA0_A10791g,4708,4948,1357,1523
gene-KLLA0_A10813g,248,253,2635,3088
gene-KLLA0_A10835g,1762,1991,2383,2675
gene-KLLA0_A10857g,1197,1220,1710,2038
gene-KLLA0_A10879r,0,0,0,0
gene-KLLA0_A10901g,1441,1467,689,870
gene-KLLA0_A10923g,388,456,498,569
gene-KLLA0_A10945g,1948,2031,1227,1426
gene-KLLA0_A10967g,454,411,294,401
gene-KLLA0_A10989g,2869,2817,1455,1536
gene-KLLA0_A11011g,141722,146419,204293,245883
gene-KLLA0_A11033g,770,791,685,815
gene-KLLA0_A11044g,125,122,134,159
gene-KLLA0_A11066g,178,165,328,392
gene-KLLA0_A11088g,220,238,267,322
gene-KLLA0_A11110g,377,382,11892,12266
gene-KLLA0_A11132g,2526,2666,3606,3916
gene-KLLA0_A11154r,0,0,0,0
gene-KLLA0_A11176g,5918,6401,3391,3814
gene-KLLA0_A11198g,886,946,751,791
gene-KLLA0_A11209g,43,37,54,54
gene-KLLA0_A11220g,44,27,27,39
gene-KLLA0_A11242g,502,533,436,474
gene-KLLA0_A11264r,0,0,0,0
