gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
KDRO_D07380,75.1024811840208,-3.5709309169925767,0.5122576700893077,2.7879215920368965e-13,1.330540109848621e-12
KDRO_E08030,421.04957122100086,-4.356288228272167,0.27376525135714846,9.190478513397682e-59,1.762651476077018e-57
KLLA0_A00242g,1139.4100388472023,-1.3610190647962106,0.14029538453156495,1.1599351322627912e-22,8.97901593348004e-22
KLLA0_A00418g,9765.092931779982,-1.812600658349598,0.10012852419492003,4.9941119126785754e-74,1.166806146871267e-72
KLLA0_A00616g,8741.276390023753,-3.185907979079959,0.09914516835668635,1.3227197518406808e-227,7.232744174958615e-226
KLLA0_A00682g,7736.658761912938,-1.1607261644552993,0.1046887194861757,5.0416673557736457e-29,4.9360324207002935e-28
KLLA0_A01001g,6812.703102130601,-1.5475054605673042,0.10134459759249415,2.969032105901968e-53,5.190756810998679e-52
KLLA0_A01738g,13688.112896133214,-1.3155179033114313,0.09486773027476701,3.1956460505250834e-44,4.802813070087406e-43
KLLA0_A01903g,11211.757103973358,-5.13244289834544,0.110007712205106,0,0
KLLA0_A02035g,1911.5676922673274,-1.0212109717324314,0.1231362108915774,4.4563133350622995e-17,2.663424481653514e-16
KLLA0_A02277g,1349.3972763368959,-1.109883411806491,0.13316421869619186,5.720188087299755e-17,3.3951231834550506e-16
KLLA0_A02673g,21076.790730187884,-1.6886509111724113,0.1073116473126264,9.565815294180441e-57,1.7944631610250904e-55
KLLA0_A02761g,2945.5226393823104,-1.0868930068659974,0.11124706270733302,6.315361822275875e-23,4.993993810230462e-22
KLLA0_A02893g,1714.403633847092,-1.5109994850253075,0.12700137269274503,2.7991176018338102e-33,3.169045038199512e-32
KLLA0_A02915g,752.3603197463161,-1.2542548056805756,0.17104698247781988,6.48796639092118e-14,3.222043212496122e-13
KLLA0_A03047g,2085.260550146182,-1.0127951145568663,0.14224808642250755,5.730736773199077e-13,2.6826946278910067e-12
KLLA0_A03267g,647.5818491642085,-1.423123745966958,0.1698105723160897,1.3088126438900882e-17,8.066303344838194e-17
KLLA0_A03531g,2809.197764487002,-2.4575881007196645,0.11823728378925538,3.6460488049093374e-97,1.035397284930055e-95
KLLA0_A04037g,832.7239631888951,-1.5012582358073703,0.15607982477464352,1.603351670376991e-22,1.2337167044517564e-21
KLLA0_A04169g,6830.6011827544735,-1.3633196085279993,0.10253129479591248,6.379537334190961e-41,8.959240955667088e-40
KLLA0_A04345g,495.56326143789244,-1.303186373970613,0.19245350087808835,3.726957321537126e-12,1.648585252383892e-11
KLLA0_A04730g,8096.194795426192,-1.3186095364765031,0.09778074708240242,5.279226544496602e-42,7.516682670003472e-41
KLLA0_A05071g,4371.9135799618725,-1.007960510083552,0.10470275732632944,2.771288487827834e-22,2.0947680628580978e-21
KLLA0_A05368g,1097.035770691916,-1.7510921240604922,0.14337839041541445,5.112600994828513e-35,6.125587205925071e-34
KLLA0_A05700g,3702.541690580779,-4.7955859707175845,0.13458172923629416,1.2849776372667061e-280,8.690506652040619e-279
KLLA0_A05731g,18039.71297714257,-1.1256945152209237,0.1015254429066825,5.118849466398847e-29,5.002069630663512e-28
KLLA0_A05863g,12835.735028034676,-2.8290154711896838,0.11251199319709872,4.855973464583261e-141,1.821876175763355e-139
KLLA0_A06237g,2424.53581363277,-1.253592876634687,0.1169376908493481,2.6483230958937954e-27,2.4526812095304698e-26
KLLA0_A06281g,338.35159924898494,-1.0233924113711141,0.21871959275952654,1.265269737386132e-6,3.509706664956675e-6
KLLA0_A06336g,12340.768495839538,-4.808292838658487,0.10062940675801656,0,0
KLLA0_A06446g,931.3691181118882,-1.1333825942287075,0.15464004629606876,8.862646228540186e-14,4.363410116350245e-13
KLLA0_A06886g,9386.63010737707,-2.6615136081975095,0.09773974985930894,4.2199868094576015e-164,1.8075610167176728e-162
KLLA0_A07040g,4355.808699989443,-1.096524145065789,0.10770871628923813,9.274335006077499e-25,7.763856992058362e-24
KLLA0_A07172g,1162.3540633897676,-1.1143289015099653,0.13870154964949674,3.6966632799938674e-16,2.1277546762786653e-15
KLLA0_A07194g,9488.563556094949,-5.250505068951551,0.12383131186572485,0,0
KLLA0_A07227g,7534.495340762119,-6.8300924312734805,0.1385853310944977,0,0
KLLA0_A07403g,2071.7350721097396,-1.5504905560577993,0.12109731384654579,3.0717554645732335e-38,4.079799247521039e-37
KLLA0_A08184g,4111.449329613396,-1.3819218564152,0.13510124494517953,4.770087864263009e-25,4.052603573935846e-24
KLLA0_A08426g,4039.9408181542017,-1.2574578861267753,0.10688178215294648,1.9007192759088196e-32,2.0965015189208866e-31
KLLA0_A08448g,4605.442084102634,-1.8034464393967131,0.10723735329363561,6.933656547330266e-64,1.4255597861311024e-62
KLLA0_A08492g,8418.723862452181,-1.0769343866748444,0.10045452544691581,3.290500757464984e-27,3.025612503286229e-26
KLLA0_A09097g,3018.5150244677343,-1.2104807928856771,0.11096331424195821,3.789963997750393e-28,3.620894971828442e-27
KLLA0_A09647g,5145.954459968375,-1.0871689734128185,0.10482615959300398,1.309083931456209e-25,1.1346865780244376e-24
KLLA0_A09735g,818.2535657542956,-1.3115094068750845,0.1574719751937059,3.861161560288947e-17,2.3157958482946546e-16
KLLA0_A10461g,481.2612856481205,-1.40464700527049,0.19115275277071112,5.299226529388207e-14,2.644468384568484e-13
KLLA0_A10483g,5209.583074654569,-5.90664171748682,0.12999296072149344,0,0
KLLA0_A10593g,6809.180793548528,-1.019432989808253,0.11281119890550396,6.252449363611693e-20,4.2622798049024006e-19
KLLA0_A10813g,1859.0672421471836,-2.820859589222209,0.127812523106378,8.995673508794e-109,2.7039626804211205e-107
KLLA0_A11066g,298.5623472122551,-1.0901540758199737,0.23254173905802494,1.0694280687922564e-6,2.9955641817941134e-6
KLLA0_A11110g,7116.857757516716,-5.031636029841971,0.11168757408049318,0,0
KLLA0_A11660g,1726.7058630292868,-1.3425134677672412,0.125125212931454,2.3210131205855612e-27,2.1612332318495987e-26
KLLA0_A11814g,2547.568327729812,-1.8916652026609957,0.12052512060338633,2.255361097816806e-56,4.215474924646685e-55
KLLA0_A12001g,334.5533410923272,-1.8998970243866309,0.22690725847417098,9.022599391917731e-18,5.600985612857142e-17
KLLA0_B00385g,6780.536226804084,-3.6765280374107623,0.10392069272691254,3.373829303776275e-275,2.223267002744879e-273
KLLA0_B00407g,3331.645031180323,-3.5311190498692238,0.11795439575527097,3.340836352707799e-198,1.6048503600858026e-196
KLLA0_B00429g,3995.643960047158,-2.039389898524845,0.10730875018455989,3.1634814641337535e-81,7.893346954197811e-80
KLLA0_B00473g,1038.742416973324,-1.8261192951474903,0.1459943971119361,1.2686968941098325e-36,1.5905126916401314e-35
KLLA0_B00847g,2680.853612434813,-1.6171434130338547,0.11409179856177971,2.8807908211214073e-46,4.4824393976023644e-45
KLLA0_B00979g,5480.279871686496,-2.019825441519042,0.11881398272315534,4.2685471410326133e-66,9.028943335352935e-65
KLLA0_B01474g,7757.215679151509,-4.7472736047025945,0.11026347062990885,0,0
KLLA0_B01540g,898.8599984148077,-1.385692870204456,0.15153535122635575,1.6572264867528712e-20,1.1526582059417805e-19
KLLA0_B01562g,8111.026643762736,-4.9666680276626725,0.10899462331092986,0,0
KLLA0_B02002g,20580.96163209816,-4.181531773725739,0.0946964183169721,0,0
KLLA0_B02222g,1131.5196520733368,-1.7112371058379379,0.14158926162965846,2.4911030519198205e-34,2.9166901336828877e-33
KLLA0_B02288g,3023.3614114414822,-1.414839796676069,0.1128164454693869,1.2303504058162994e-36,1.5500002661509263e-35
KLLA0_B02607g,16209.308016205852,-2.9068855938253892,0.0946664676986526,8.71787277935497e-208,4.480986608588454e-206
KLLA0_B02717g,26305.573793949665,-2.4394228994029006,0.10033840526766653,1.1770035380651945e-131,4.290637011102908e-130
KLLA0_B02783g,2252.8230973322457,-1.4701129113648759,0.12734980484154984,1.7566757636248755e-31,1.877196138260262e-30
KLLA0_B02937g,8272.07505145465,-4.675786187339932,0.12823071423753143,4.969637724410156e-294,3.5477691532594723e-292
KLLA0_B03476g,1291.5578721491913,-1.2586692348538626,0.14745133493001192,3.8164939509394394e-18,2.421824556522064e-17
KLLA0_B03652g,20478.972080075047,-4.773138627604741,0.09583644942003436,0,0
