gene_id,tp,log2FC
KDRO_C01800,t0015,0
KDRO_C01800,t0030,-1.869972239107144
KDRO_C01800,t0045,0
KDRO_C01800,t0060,0
KDRO_C01800,t0090,1.130135407836286
KDRO_C01800,t0120,1.9859166757767044
KDRO_C01800,t0150,2.208983908816197
KDRO_C01800,t0180,2.3537550989548977
KDRO_C01800,t0210,2.316323443726273
KDRO_C01800,t0240,2.4820354968449485
KDRO_C01800,t0360,2.369221487401545
KDRO_C01800,t0480,2.3826441716374305
KDRO_C02880,t0015,1.9915560012809608
KDRO_C02880,t0030,5.680942598262082
KDRO_C02880,t0045,5.68980503097934
KDRO_C02880,t0060,5.213098623874946
KDRO_C02880,t0090,5.383581382956168
KDRO_C02880,t0120,5.64580535512148
KDRO_C02880,t0150,5.647421089878558
KDRO_C02880,t0180,5.617652193535015
KDRO_C02880,t0210,5.6951190323207594
KDRO_C02880,t0240,5.724916931366901
KDRO_C02880,t0360,5.7480373406521865
KDRO_C02880,t0480,5.7845764351646185
KDRO_D07380,t0015,0
KDRO_D07380,t0030,0
KDRO_D07380,t0045,0
KDRO_D07380,t0060,0
KDRO_D07380,t0090,-2.0115613302630257
KDRO_D07380,t0120,-2.775758771560885
KDRO_D07380,t0150,-3.2422902720854125
KDRO_D07380,t0180,-3.3914345310414222
KDRO_D07380,t0210,-3.596656746815384
KDRO_D07380,t0240,-3.5782733060998657
KDRO_D07380,t0360,-3.5709309169925767
KDRO_D07380,t0480,-2.872070378281537
KDRO_E08030,t0015,0
KDRO_E08030,t0030,1.4564510434725055
KDRO_E08030,t0045,1.1199926550324089
KDRO_E08030,t0060,0
KDRO_E08030,t0090,-3.0031915251865176
KDRO_E08030,t0120,-5.387946823750112
KDRO_E08030,t0150,-5.951369935225264
KDRO_E08030,t0180,-6.465365114781244
KDRO_E08030,t0210,-5.454406166545024
KDRO_E08030,t0240,-5.404058551464705
KDRO_E08030,t0360,-4.356288228272167
KDRO_E08030,t0480,-4.130760278375147
KDRO_F01520,t0015,-1.3000116793185394
KDRO_F01520,t0030,-3.3633537156066513
KDRO_F01520,t0045,-1.0763196246246942
KDRO_F01520,t0060,0
KDRO_F01520,t0090,0
KDRO_F01520,t0120,0
KDRO_F01520,t0150,0
KDRO_F01520,t0180,0
KDRO_F01520,t0210,0
KDRO_F01520,t0240,0
KDRO_F01520,t0360,0
KDRO_F01520,t0480,0
KLLA0_A00132g,t0015,0
KLLA0_A00132g,t0030,0
KLLA0_A00132g,t0045,0
KLLA0_A00132g,t0060,0
KLLA0_A00132g,t0090,2.0347785947442723
KLLA0_A00132g,t0120,3.0259765408134305
KLLA0_A00132g,t0150,3.2465913526081436
KLLA0_A00132g,t0180,3.47008092727131
KLLA0_A00132g,t0210,3.5162374581310294
KLLA0_A00132g,t0240,3.6067740989544967
KLLA0_A00132g,t0360,3.3029586325940468
KLLA0_A00132g,t0480,2.9526797861364127
KLLA0_A00154g,t0015,0
KLLA0_A00154g,t0030,-4.119210006366658
KLLA0_A00154g,t0045,-4.118763578527716
KLLA0_A00154g,t0060,0
KLLA0_A00154g,t0090,2.646804846310274
KLLA0_A00154g,t0120,2.7775191039826006
KLLA0_A00154g,t0150,2.2010196156920765
KLLA0_A00154g,t0180,2.5637997532424053
KLLA0_A00154g,t0210,2.364983915357774
KLLA0_A00154g,t0240,2.1443386630506702
KLLA0_A00154g,t0360,1.5078868544323127
KLLA0_A00154g,t0480,0
KLLA0_A00176g,t0015,0
KLLA0_A00176g,t0030,3.659568672475264
KLLA0_A00176g,t0045,7.235699640648886
KLLA0_A00176g,t0060,8.611047093984928
KLLA0_A00176g,t0090,8.75550043277468
KLLA0_A00176g,t0120,8.845816118281821
KLLA0_A00176g,t0150,9.048198781839524
KLLA0_A00176g,t0180,9.263958985197396
KLLA0_A00176g,t0210,9.218792643894702
KLLA0_A00176g,t0240,9.287420004287092
KLLA0_A00176g,t0360,9.678178324683836
KLLA0_A00176g,t0480,9.697264570576314
KLLA0_A00198g,t0015,-1.249495127700512
KLLA0_A00198g,t0030,-1.204654625668575
KLLA0_A00198g,t0045,0
KLLA0_A00198g,t0060,0
KLLA0_A00198g,t0090,0
KLLA0_A00198g,t0120,0
KLLA0_A00198g,t0150,0
KLLA0_A00198g,t0180,0
KLLA0_A00198g,t0210,0
KLLA0_A00198g,t0240,0
KLLA0_A00198g,t0360,0
KLLA0_A00198g,t0480,1.1664497669753409
KLLA0_A00220g,t0015,0
KLLA0_A00220g,t0030,-4.720585081616841
KLLA0_A00220g,t0045,-2.7967602012824857
KLLA0_A00220g,t0060,0
KLLA0_A00220g,t0090,0
KLLA0_A00220g,t0120,0
KLLA0_A00220g,t0150,0
KLLA0_A00220g,t0180,0
KLLA0_A00220g,t0210,0
KLLA0_A00220g,t0240,0
KLLA0_A00220g,t0360,0
KLLA0_A00220g,t0480,0
KLLA0_A00242g,t0015,1.4165758180446022
KLLA0_A00242g,t0030,0
KLLA0_A00242g,t0045,0
KLLA0_A00242g,t0060,-2.515375476815235
KLLA0_A00242g,t0090,-1.483996311102443
KLLA0_A00242g,t0120,0
KLLA0_A00242g,t0150,-1.0708530537329397
KLLA0_A00242g,t0180,0
KLLA0_A00242g,t0210,0
KLLA0_A00242g,t0240,0
KLLA0_A00242g,t0360,-1.3610190647962106
KLLA0_A00242g,t0480,-1.8096878906301144
KLLA0_A00264g,t0015,0
KLLA0_A00264g,t0030,-1.6702476560720296
KLLA0_A00264g,t0045,-1.1907696363757938
KLLA0_A00264g,t0060,0
KLLA0_A00264g,t0090,0
KLLA0_A00264g,t0120,0
KLLA0_A00264g,t0150,0
KLLA0_A00264g,t0180,0
