gene_id,scer_gene_name,functional_category,category_order,desc_raw
YKR066C,CCP1,Stress / Redox,1,OXIDATIVE STRESS RESPONSE CYTOCHROME-C PEROXIDASE S0001774
YGR088W,CTT1,Stress / Redox,1,OXIDATIVE STRESS RESPONSE CATALASE T S0003320
YOL151W,GRE2,Stress / Redox,1,UNKNOWN UNKNOWN; INDUCED BY OSMOTIC STRESS S0005511
YHR104W,GRE3,Stress / Redox,1,UNKNOWN INDUCED BY OSMOTIC STRESS S0001146
YBR072W,HSP26,Stress / Redox,1,DIAUXIC SHIFT STRESS-INDUCED PROTEIN S0000276
YIR037W,HYR1,Stress / Redox,1,OXIDATIVE STRESS RESPONSE GLUTATHIONE PEROXIDASE S0001476
YLR142W,PUT1,Stress / Redox,1,PROLINE UTILIZATION PROLINE OXIDASE S0004132
YIL101C,XBP1,Stress / Redox,1,STRESS RESPONSE TRANSCRIPTIONAL REPRESSOR S0001363
YHR171W,APG7,Protein folding / QC,2,AUTOPHAGY UNKNOWN; SIMILAR TO UBIQUITIN-ACTIVATINGS0001214
YJL014W,CCT3,Protein folding / QC,2,PROTEIN FOLDING CYTOPLASMIC CHAPERONIN COMPLEX S0003551
YDL143W,CCT4,Protein folding / QC,2,PROTEIN FOLDING CYTOPLASMIC CHAPERONIN SUBUNIT S0002302
YJR064W,CCT5,Protein folding / QC,2,PROTEIN TARGETING CYTOPLASMIC CHAPERONIN COMPLEX S0003825
YMR173W,DDR48,Protein folding / QC,2,"UNKNOWN INDUCED BY DNA DAMAGE, HEAT SHOCK, OR OSS0004784"
YLR449W,FPR4,Protein folding / QC,2,PROTEIN FOLDING (PUTATIVE) SIMILAR TO PEPTIDYL-PROLYL CIS-TRANS ISOS0004441
YNL153C,GIM3,Protein folding / QC,2,PROTEIN FOLDING PREFOLDIN SUBUNIT 4 S0005097
YLL026W,HSP104,Protein folding / QC,2,HEAT SHOCK RESPONSE /THERMOTOLERANCE HEAT SHOCK PROTEIN S0003949
YFL014W,HSP12,Protein folding / QC,2,GLUCOSE AND LIPID UTILIZATION HEAT SHOCK PROTEIN S0001880
YDR171W,HSP42,Protein folding / QC,2,"CYTOSKELETON ASSEMBLY HEAT SHOCK PROTEIN, SIMILAR TO HSP26 S0002578"
YDR258C,HSP78,Protein folding / QC,2,PROTEIN FOLDING MITOCHONDRIAL S0002666
YKL103C,LAP4,Protein folding / QC,2,PROTEIN DEGRADATION VACUOLAR AMINOPEPTIDASE YSC1 S0001586
YMR174C,PAI3,Protein folding / QC,2,OSMOTIC STRESS RESPONSE PROTEASE A (YSCA) INHIBITOR IA3 S0004786
