Orthogroup,gene_id,original_id,cagl_id,scer_gene_name,functional_category,category_order
NA,YKR066C,NA,NA,CCP1,Stress / Redox,1
NA,YGR088W,NA,NA,CTT1,Stress / Redox,1
NA,YOL151W,NA,NA,GRE2,Stress / Redox,1
NA,YHR104W,NA,NA,GRE3,Stress / Redox,1
NA,YBR072W,NA,NA,HSP26,Stress / Redox,1
NA,YIR037W,NA,NA,HYR1,Stress / Redox,1
NA,YLR142W,NA,NA,PUT1,Stress / Redox,1
NA,YIL101C,NA,NA,XBP1,Stress / Redox,1
NA,YHR171W,NA,NA,APG7,Protein folding / QC,2
NA,YJL014W,NA,NA,CCT3,Protein folding / QC,2
NA,YDL143W,NA,NA,CCT4,Protein folding / QC,2
NA,YJR064W,NA,NA,CCT5,Protein folding / QC,2
NA,YMR173W,NA,NA,DDR48,Protein folding / QC,2
NA,YLR449W,NA,NA,FPR4,Protein folding / QC,2
NA,YNL153C,NA,NA,GIM3,Protein folding / QC,2
NA,YLL026W,NA,NA,HSP104,Protein folding / QC,2
NA,YFL014W,NA,NA,HSP12,Protein folding / QC,2
NA,YDR171W,NA,NA,HSP42,Protein folding / QC,2
NA,YDR258C,NA,NA,HSP78,Protein folding / QC,2
NA,YKL103C,NA,NA,LAP4,Protein folding / QC,2
NA,YMR174C,NA,NA,PAI3,Protein folding / QC,2
NA,YNL015W,NA,NA,PBI2,Protein folding / QC,2
NA,YHR064C,NA,NA,PDR13,Protein folding / QC,2
NA,YPL154C,NA,NA,PEP4,Protein folding / QC,2
NA,YEL060C,NA,NA,PRB1,Protein folding / QC,2
NA,YBL075C,NA,NA,SSA3,Protein folding / QC,2
NA,YER103W,NA,NA,SSA4,Protein folding / QC,2
NA,YBR169C,NA,NA,SSE2,Protein folding / QC,2
NA,YDR059C,NA,NA,UBC5,Protein folding / QC,2
NA,YEL012W,NA,NA,UBC8,Protein folding / QC,2
NA,YLL039C,NA,NA,UBI4,Protein folding / QC,2
NA,YNL186W,NA,NA,UBP10,Protein folding / QC,2
NA,YMR304W,NA,NA,UBP15,Protein folding / QC,2
NA,YJL163C,NA,NA,YJL163C,Protein folding / QC,2
NA,YIR039C,NA,NA,YPS6,Protein folding / QC,2
NA,YPL160W,NA,NA,CDC60,Translation / Ribosome,3
NA,YGL078C,NA,NA,DBP3,Translation / Ribosome,3
NA,YKR024C,NA,NA,DBP7,Translation / Ribosome,3
NA,YHR019C,NA,NA,DED81,Translation / Ribosome,3
NA,YPL266W,NA,NA,DIM1,Translation / Ribosome,3
NA,YLL008W,NA,NA,DRS1,Translation / Ribosome,3
NA,YAL003W,NA,NA,EFB1,Translation / Ribosome,3
NA,YDR385W,NA,NA,EFT2,Translation / Ribosome,3
NA,YLR060W,NA,NA,FRS1,Translation / Ribosome,3
NA,YFL022C,NA,NA,FRS2,Translation / Ribosome,3
NA,YHR089C,NA,NA,GAR1,Translation / Ribosome,3
NA,YOR260W,NA,NA,GCD1,Translation / Ribosome,3
NA,YNL062C,NA,NA,GCD10,Translation / Ribosome,3
NA,YER025W,NA,NA,GCD11,Translation / Ribosome,3
NA,YJL125C,NA,NA,GCD14,Translation / Ribosome,3
