"gene_id","genotype","replicate","col_key","gsm","delta"
"YAL001C","Wild type","Replicate1","Wild type | Replicate1 | GSM578408","GSM578408",0.139649632
"YAL001C","Wild type","Replicate1","Wild type | Replicate1 | GSM578415","GSM578415",-0.033135248
"YAL001C","Wild type","Replicate1","Wild type | Replicate1 | GSM578456","GSM578456",-0.075672951
"YAL001C","Wild type","Replicate2","Wild type | Replicate2 | GSM578424","GSM578424",0.135150903
"YAL001C","Wild type","Replicate2","Wild type | Replicate2 | GSM578457","GSM578457",-0.001357493
"YAL001C","Wild type","Replicate3","Wild type | Replicate3 | GSM578440","GSM578440",0.070937775
"YAL001C","Wild type","Replicate3","Wild type | Replicate3 | GSM578458","GSM578458",0.104948456
"YAL001C","Wild type","Replicate4","Wild type | Replicate4 | GSM578459","GSM578459",0.010984824
"YAL001C","pho2Δ","Replicate1","pho2Δ | Replicate1 | GSM578416","GSM578416",0.208947847
"YAL001C","pho2Δ","Replicate2","pho2Δ | Replicate2 | GSM578431","GSM578431",0.105712735
"YAL001C","pho2Δ","Replicate2","pho2Δ | Replicate2 | GSM578432","GSM578432",0.097311874
"YAL001C","pho2Δ","Replicate3","pho2Δ | Replicate3 | GSM578447","GSM578447",-0.092200036
"YAL001C","pho2Δ","Replicate3","pho2Δ | Replicate3 | GSM578448","GSM578448",0.036145082
"YAL001C","pho2Δ pho4Δ","Replicate1","pho2Δ pho4Δ | Replicate1 | GSM578422","GSM578422",0.007104567
"YAL001C","pho2Δ pho4Δ","Replicate2","pho2Δ pho4Δ | Replicate2 | GSM578438","GSM578438",0.113800586
"YAL001C","pho2Δ pho4Δ","Replicate3","pho2Δ pho4Δ | Replicate3 | GSM578454","GSM578454",-0.04764915
"YAL001C","pho4Δ","Replicate1","pho4Δ | Replicate1 | GSM578419","GSM578419",0.124711551
"YAL001C","pho4Δ","Replicate2","pho4Δ | Replicate2 | GSM578435","GSM578435",-0.102807974
"YAL001C","pho4Δ","Replicate2","pho4Δ | Replicate2 | GSM578439","GSM578439",0.120874046
"YAL001C","pho4Δ","Replicate3","pho4Δ | Replicate3 | GSM578451","GSM578451",-0.020405685
"YAL001C","pho4Δ","Replicate3","pho4Δ | Replicate3 | GSM578455","GSM578455",-0.058294902
"YAL002W","Wild type","Replicate1","Wild type | Replicate1 | GSM578408","GSM578408",0.135969664
"YAL002W","Wild type","Replicate1","Wild type | Replicate1 | GSM578415","GSM578415",0.129916948
"YAL002W","Wild type","Replicate1","Wild type | Replicate1 | GSM578456","GSM578456",0.117558059
"YAL002W","Wild type","Replicate2","Wild type | Replicate2 | GSM578424","GSM578424",-0.026152628
"YAL002W","Wild type","Replicate2","Wild type | Replicate2 | GSM578457","GSM578457",0.151880472
"YAL002W","Wild type","Replicate3","Wild type | Replicate3 | GSM578440","GSM578440",-0.057160956
"YAL002W","Wild type","Replicate3","Wild type | Replicate3 | GSM578458","GSM578458",0.082643788
"YAL002W","Wild type","Replicate4","Wild type | Replicate4 | GSM578459","GSM578459",0.10052833
"YAL002W","pho2Δ","Replicate1","pho2Δ | Replicate1 | GSM578416","GSM578416",-0.289622073
"YAL002W","pho2Δ","Replicate2","pho2Δ | Replicate2 | GSM578431","GSM578431",-0.135886073
"YAL002W","pho2Δ","Replicate2","pho2Δ | Replicate2 | GSM578432","GSM578432",-0.088475033
"YAL002W","pho2Δ","Replicate3","pho2Δ | Replicate3 | GSM578447","GSM578447",-0.307184813
"YAL002W","pho2Δ","Replicate3","pho2Δ | Replicate3 | GSM578448","GSM578448",-0.224652857
"YAL002W","pho2Δ pho4Δ","Replicate1","pho2Δ pho4Δ | Replicate1 | GSM578422","GSM578422",-0.362104926
"YAL002W","pho2Δ pho4Δ","Replicate2","pho2Δ pho4Δ | Replicate2 | GSM578438","GSM578438",-0.158343496
"YAL002W","pho2Δ pho4Δ","Replicate3","pho2Δ pho4Δ | Replicate3 | GSM578454","GSM578454",-0.344158164
"YAL002W","pho4Δ","Replicate1","pho4Δ | Replicate1 | GSM578419","GSM578419",-0.348095072
"YAL002W","pho4Δ","Replicate2","pho4Δ | Replicate2 | GSM578435","GSM578435",-0.129715535
"YAL002W","pho4Δ","Replicate2","pho4Δ | Replicate2 | GSM578439","GSM578439",-0.160771667
"YAL002W","pho4Δ","Replicate3","pho4Δ | Replicate3 | GSM578451","GSM578451",-0.140601804
"YAL002W","pho4Δ","Replicate3","pho4Δ | Replicate3 | GSM578455","GSM578455",-0.195331933
"YAL003W","Wild type","Replicate1","Wild type | Replicate1 | GSM578408","GSM578408",0.292997997
"YAL003W","Wild type","Replicate1","Wild type | Replicate1 | GSM578415","GSM578415",0.306448142
"YAL003W","Wild type","Replicate1","Wild type | Replicate1 | GSM578456","GSM578456",0.301499483
"YAL003W","Wild type","Replicate2","Wild type | Replicate2 | GSM578424","GSM578424",0.192074368
"YAL003W","Wild type","Replicate2","Wild type | Replicate2 | GSM578457","GSM578457",0.139141192
"YAL003W","Wild type","Replicate3","Wild type | Replicate3 | GSM578440","GSM578440",0.536752035
"YAL003W","Wild type","Replicate3","Wild type | Replicate3 | GSM578458","GSM578458",0.160543504
"YAL003W","Wild type","Replicate4","Wild type | Replicate4 | GSM578459","GSM578459",0.164455402
"YAL003W","pho2Δ","Replicate1","pho2Δ | Replicate1 | GSM578416","GSM578416",0.435233781
"YAL003W","pho2Δ","Replicate2","pho2Δ | Replicate2 | GSM578431","GSM578431",0.203094285
"YAL003W","pho2Δ","Replicate2","pho2Δ | Replicate2 | GSM578432","GSM578432",0.224378838
"YAL003W","pho2Δ","Replicate3","pho2Δ | Replicate3 | GSM578447","GSM578447",0.108886193
"YAL003W","pho2Δ","Replicate3","pho2Δ | Replicate3 | GSM578448","GSM578448",1.142370331
"YAL003W","pho2Δ pho4Δ","Replicate1","pho2Δ pho4Δ | Replicate1 | GSM578422","GSM578422",0.370081189
"YAL003W","pho2Δ pho4Δ","Replicate2","pho2Δ pho4Δ | Replicate2 | GSM578438","GSM578438",0.085190623
"YAL003W","pho2Δ pho4Δ","Replicate3","pho2Δ pho4Δ | Replicate3 | GSM578454","GSM578454",1.118332993
"YAL003W","pho4Δ","Replicate1","pho4Δ | Replicate1 | GSM578419","GSM578419",0.081986039
"YAL003W","pho4Δ","Replicate2","pho4Δ | Replicate2 | GSM578435","GSM578435",0.069401674
"YAL003W","pho4Δ","Replicate2","pho4Δ | Replicate2 | GSM578439","GSM578439",-0.062116809
"YAL003W","pho4Δ","Replicate3","pho4Δ | Replicate3 | GSM578451","GSM578451",0.599474007
"YAL003W","pho4Δ","Replicate3","pho4Δ | Replicate3 | GSM578455","GSM578455",0.727055409
"YAL004W","Wild type","Replicate1","Wild type | Replicate1 | GSM578408","GSM578408",0.286064552
