"","GSM578408","GSM578409","GSM578410","GSM578411","GSM578412","GSM578413","GSM578414","GSM578415","GSM578416","GSM578417","GSM578418","GSM578419","GSM578420","GSM578421","GSM578422","GSM578423","GSM578424","GSM578425","GSM578426","GSM578427","GSM578428","GSM578429","GSM578430","GSM578431","GSM578432","GSM578433","GSM578434","GSM578435","GSM578436","GSM578437","GSM578438","GSM578439","GSM578440","GSM578441","GSM578442","GSM578443","GSM578444","GSM578445","GSM578446","GSM578447","GSM578448","GSM578449","GSM578450","GSM578451","GSM578452","GSM578453","GSM578454","GSM578455","GSM578456","GSM578457","GSM578458","GSM578459","GSM578460","GSM578461","GSM578462","GSM578463","GSM578464","GSM578465","GSM578466","GSM578467","GSM578468","GSM578469","GSM578470","GSM578471","GSM578472","GSM578473"
"(+)E1A_r60_1",-0.322839735,-0.419553529,-0.296444121,-0.378817861,-0.410078832,-0.385486312,-0.290016987,-0.245396481,-0.356061824,-0.42062629,-0.238530347,-0.316451215,-0.352123,-0.183280385,-0.452025923,-0.231473647,-0.199775607,-0.232872466,-0.303336475,-0.25208469,-0.253893448,-0.2980285,-0.306538019,-0.264065133,-0.252028935,-0.28940806,-0.315866365,-0.171485104,-0.247329753,-0.232055127,-0.110730083,-0.157192744,-0.100414399,-0.100696534,-0.102985264,-0.08339204,-0.285288182,-0.044381823,-0.297667122,-0.142015005,-0.041297957,-0.272700087,-0.363693503,0.227053047,-0.179110881,-0.310485475,-0.135483035,0.18674653,-0.090531703,-0.205926166,-0.225450465,-0.160813503,0.02188221,-0.031162663,-0.036568281,0.016638928,0.116868923,0.124676145,0.155270386,0.109069533,0.2293658,0.152526551,-0.111666174,-0.052113167,0.113583281,0.151183499
"(+)E1A_r60_3",-1.633589127,-1.865310329,-1.715502407,-1.840279642,-1.791428867,-1.900004662,-1.655401214,-1.602229541,-1.713882314,-1.873021746,-1.539734447,-1.794304699,-1.74471063,-1.489827986,-1.881863533,-1.640990368,-1.435378554,-1.552513163,-1.536348764,-1.601937506,-1.514306469,-1.57788127,-1.557757941,-1.672044339,-1.523469612,-1.683865786,-1.527119933,-1.483267444,-1.515857813,-1.487642436,-1.432561988,-1.40050167,0.014966253,-0.040915507,0.049834364,0.043218936,0.063473696,0.009774926,0.057220224,0.008879914,0.012993365,0.003089431,0.046383747,-0.003536924,0.029094199,0.03302024,0.022041954,0.053985654,-1.400073821,-1.469686711,-1.429664686,-1.453967901,-0.156216833,-0.062004135,-0.053359387,-0.0375587,-1.156089526,-0.929732945,-1.062439261,-1.137258968,0.797263953,0.83485428,-0.044506355,0.020808961,0.021032965,-0.026997848
"(+)E1A_r60_a104",-1.572960593,-1.630148095,-1.593410364,-1.662656969,-1.693797914,-1.71679589,-1.563992804,-1.553530421,-1.573469804,-1.576821432,-1.425119833,-1.646096531,-1.619827282,-1.517169179,-1.740295188,-1.449326017,-1.32434869,-1.34059973,-1.387582382,-1.38219418,-1.319314907,-1.451334383,-1.44372909,-1.47891958,-1.39615038,-1.436508831,-1.431137971,-1.324316944,-1.421409474,-1.336014418,-1.342481448,-1.29421503,0.031657494,0.04239949,0.079583521,-0.009950629,0.077213246,-0.017278793,0.050251021,0.000757068,-0.065575167,0.036514653,0.010045296,-0.061846232,0.01916456,0.015240756,-0.064264198,-0.057318267,-1.331216877,-1.40197036,-1.406419435,-1.349181644,-0.09206515,-0.070496739,0.016366116,-0.006926078,-0.943220941,-0.770659019,-0.88589848,-0.980244393,0.779925498,0.725946885,-0.069518467,0.191907411,-0.270429194,-0.003263005
"(+)E1A_r60_a107",1.170495293,1.107828028,1.130070667,1.092734408,1.063912787,1.075592863,1.19151455,1.22330447,1.069101433,1.126685075,1.2527586,1.022559657,1.175560867,1.121235044,1.005730415,1.208511931,1.108248855,1.198285101,1.057669171,1.260218431,1.13133862,1.24397253,1.062390505,1.171166569,1.152366782,1.165816741,1.065293271,1.325277323,1.207099588,1.176603862,1.248057711,1.321812612,-0.118183063,0.120084098,0.232801807,-0.059629387,0.158813869,0.177121417,0.216013168,-0.15401242,-0.114667401,0.160032793,0.128823395,-0.077527441,0.105295972,0.132478685,-0.194711884,-0.101177473,1.391503958,1.059559086,1.176244209,1.191833029,-0.03193136,-0.075804693,0.005976194,0.012579305,1.260474896,1.449760972,1.258381721,1.183285282,-1.615045383,-1.680031096,-0.028895292,0.205936948,-0.253647853,-0.032943604
"(+)E1A_r60_a135",0.807168498,0.737799211,0.810893418,0.778192461,0.697694508,0.778547315,0.791900817,0.854512705,0.643227492,0.857072274,0.864905416,0.783462631,0.876009179,0.833141061,0.669569763,0.877290366,0.66022813,0.775064364,0.573119117,0.77188829,0.742863555,0.799683424,0.644332566,0.791343753,0.713981442,0.758219147,0.58332158,0.972990402,0.761547132,0.687516262,0.806130501,0.8808609,-0.036242752,-0.019469558,0.05546286,-0.083824101,0.005178145,-0.077675827,-0.06536257,-0.158734895,-0.159003588,-0.094188798,-0.087618201,-0.198343088,-0.088451614,-0.169140741,-0.202514567,-0.18961859,1.035754947,0.775249884,0.826831574,0.832193165,-0.036893802,-0.108372253,0.012361915,-0.064947055,0.808555411,0.867270536,0.80177563,0.73457938,-1.255475086,-1.391388132,-0.051396643,0.126444536,-0.233881902,0.001527192
"(+)E1A_r60_a20",-0.179674355,-0.372988137,-0.304138784,-0.322451824,-0.282784049,-0.383666789,-0.193576703,-0.168800632,-0.192971377,-0.274028072,-0.038826829,-0.332782727,-0.31739464,-0.231473298,-0.37349689,-0.158620845,-0.055115465,-0.046211588,-0.217561912,0.01577841,-0.100094299,-0.061199442,-0.168637445,-0.105655097,-0.070472394,-0.132437322,-0.096507581,0.032929043,-0.112506085,-0.047241122,-0.031500997,0.020078394,-0.065110346,-0.022747093,-0.004487899,-0.034622794,0.058350785,0.024837609,0.067479795,0.025280212,-0.002756309,0.002983769,0.031105526,-0.046302136,0.041459083,-0.016418044,-0.002979531,-0.018562893,0.115995383,-0.138615284,-0.073037024,-0.062522697,-0.096329865,-0.103608534,0.03241451,-0.023510648,0.164857378,0.321305788,0.31944784,0.19617394,-0.319239415,-0.437316395,-0.042750422,0.096722838,-0.223968958,-0.014802197
"(+)E1A_r60_a22",-2.991348742,-3.093726455,-3.029688101,-3.073998516,-3.128701101,-3.143397632,-2.92735891,-2.930998727,-2.950979334,-3.049275718,-2.855921095,-3.050042316,-3.100515046,-2.861096951,-3.192866656,-2.862967609,-2.554883114,-2.672186732,-2.566840744,-2.644666747,-2.506125425,-2.746356324,-2.604182714,-2.762053719,-2.675839041,-2.695415812,-2.637439648,-2.595595123,-2.682244142,-2.476830516,-2.536129635,-2.544209049,0.180778814,0.132963225,0.186176086,0.020595055,0.216497504,0.153587875,0.212084492,0.033197653,0.102858981,0.103381639,0.140854188,0.109791568,0.093090273,0.103417214,-0.008057173,0.128312679,-2.581692736,-2.618248741,-2.584577152,-2.575935599,-0.114516106,-0.070175065,0.036793845,-0.026990485,-1.901788876,-1.951255629,-1.912147887,-1.877531348,1.817834147,1.889880892,-0.057357818,0.157924577,-0.367524627,0.022275825
"(+)E1A_r60_a97",-0.905637954,-0.95696861,-0.878697638,-1.093226751,-0.917290966,-1.240927582,-0.765203152,-1.045661736,-0.939414005,-1.090239047,-0.880950246,-1.171058541,-0.959718132,-0.795340574,-1.173988103,-0.844043151,-0.762124823,-0.914231192,-0.677772054,-0.956627213,-0.665359852,-0.884115313,-0.715993765,-1.014037826,-0.787861647,-0.940422846,-0.714749808,-0.91611758,-0.665093931,-0.746030806,-0.641977114,-0.798690704,0.008140021,0.040009629,0.02144227,0.003053405,0.042082622,0.016265681,0.061776925,-0.03521799,-0.017999362,0.015140252,0.032540572,-0.030177023,0.006853926,-0.022888482,-0.039817869,0.005032407,-0.661495738,-0.89995757,-0.710555294,-0.790897504,-0.270814361,-0.165946351,-0.153705267,-0.268467887,-0.654691964,-0.629582389,-0.640006389,-0.740105523,0.196741265,0.270604546,-0.008931122,0.041007539,-0.019131455,0.021708182
"(+)E1A_r60_n11",0.114113706,0.007675071,0.229837648,0.161414934,0.120044023,0.319263669,0.241176145,0.215193371,-0.014522048,0.355165339,0.286212524,0.214620632,0.406662592,0.238265247,0.262349954,0.249197698,-0.016088505,0.139596651,0.027082542,0.100769602,0.113096279,0.016145729,-0.105168309,0.071242757,0.060325533,-0.093282047,-0.142602079,0.117225128,0.028246168,-0.051245652,0.109501049,0.105660138,0.069632157,-0.025442066,0.128818895,-0.027400993,0.124307922,-0.058250677,0.090799671,-0.061073265,-0.030805567,-0.006168963,0.067806205,-0.014643427,0.049118653,0.023241425,-0.045909834,-0.059188304,0.319660104,0.068983983,0.10226251,0.081330496,-0.172516445,-0.179281629,-0.078658769,-0.198076984,0.134798193,0.176666236,-0.010187513,-0.03366402,-0.562686077,-0.794057244,-0.086849438,0.093412336,-0.306412278,-0.083277197
"(+)E1A_r60_n9",2.791572382,2.883580831,2.676890589,2.761891026,2.66126383,2.734302342,2.723123269,2.876435167,2.817603285,2.809178433,2.838747863,2.666314156,2.792717908,2.759916126,2.540079814,2.832598876,2.84226396,2.939745183,2.785961481,2.989165083,2.814572889,2.937483829,2.754422858,2.878217222,2.771073756,2.908942901,2.762714324,3.041339077,2.89646278,2.93282111,2.843575715,2.9985973,-0.013730563,-0.005292261,0.001048643,-0.024211616,-0.017172655,-0.009706304,0.033950645,-0.127888777,-0.196441773,-0.043848969,-0.036827914,-0.201927653,-0.130246067,-0.05959216,-0.200272227,-0.185505998,3.103225602,3.012793252,3.054898356,3.092144595,-0.045110986,-0.066014357,0.089110086,0.011726523,3.34201666,3.337967906,3.331383823,3.259706101,-3.575581596,-3.55459722,-0.0377299,0.022393104,-0.027440688,-0.061829798
