"gene_id","scer_gene_name","functional_category","category_order","name_raw","desc_raw"
"YKR066C","CCP1","Stress / Redox",1,"YKR066C   CCP1       OXIDATIVE STRESS RESPONSE               CYTOCHROME-C PEROXIDASE                 S0001774","OXIDATIVE STRESS RESPONSE CYTOCHROME-C PEROXIDASE S0001774"
"YGR088W","CTT1","Stress / Redox",1,"YGR088W   CTT1       OXIDATIVE STRESS RESPONSE               CATALASE T                              S0003320","OXIDATIVE STRESS RESPONSE CATALASE T S0003320"
"YOL151W","GRE2","Stress / Redox",1,"YOL151W   GRE2       UNKNOWN                                 UNKNOWN; INDUCED BY OSMOTIC STRESS      S0005511","UNKNOWN UNKNOWN; INDUCED BY OSMOTIC STRESS S0005511"
"YHR104W","GRE3","Stress / Redox",1,"YHR104W   GRE3       UNKNOWN                                 INDUCED BY OSMOTIC STRESS               S0001146","UNKNOWN INDUCED BY OSMOTIC STRESS S0001146"
"YBR072W","HSP26","Stress / Redox",1,"YBR072W   HSP26      DIAUXIC SHIFT                           STRESS-INDUCED PROTEIN                  S0000276","DIAUXIC SHIFT STRESS-INDUCED PROTEIN S0000276"
"YIR037W","HYR1","Stress / Redox",1,"YIR037W   HYR1       OXIDATIVE STRESS RESPONSE               GLUTATHIONE PEROXIDASE                  S0001476","OXIDATIVE STRESS RESPONSE GLUTATHIONE PEROXIDASE S0001476"
"YLR142W","PUT1","Stress / Redox",1,"YLR142W   PUT1       PROLINE UTILIZATION                     PROLINE OXIDASE                         S0004132","PROLINE UTILIZATION PROLINE OXIDASE S0004132"
"YIL101C","XBP1","Stress / Redox",1,"YIL101C   XBP1       STRESS RESPONSE                         TRANSCRIPTIONAL REPRESSOR               S0001363","STRESS RESPONSE TRANSCRIPTIONAL REPRESSOR S0001363"
"YHR171W","APG7","Protein folding / QC",2,"YHR171W   APG7       AUTOPHAGY                               UNKNOWN; SIMILAR TO UBIQUITIN-ACTIVATINGS0001214","AUTOPHAGY UNKNOWN; SIMILAR TO UBIQUITIN-ACTIVATINGS0001214"
"YJL014W","CCT3","Protein folding / QC",2,"YJL014W   CCT3       PROTEIN FOLDING                         CYTOPLASMIC CHAPERONIN COMPLEX          S0003551","PROTEIN FOLDING CYTOPLASMIC CHAPERONIN COMPLEX S0003551"
"YDL143W","CCT4","Protein folding / QC",2,"YDL143W   CCT4       PROTEIN FOLDING                         CYTOPLASMIC CHAPERONIN SUBUNIT          S0002302","PROTEIN FOLDING CYTOPLASMIC CHAPERONIN SUBUNIT S0002302"
