"gene_id","name_raw","gene_name","desc_raw","scer_gene_name","functional_category","category_order"
"YKR066C","YKR066C   CCP1       OXIDATIVE STRESS RESPONSE               CYTOCHROME-C PEROXIDASE                 S0001774","CCP1","OXIDATIVE STRESS RESPONSE CYTOCHROME-C PEROXIDASE S0001774","CCP1","Stress / Redox",1
"YGR088W","YGR088W   CTT1       OXIDATIVE STRESS RESPONSE               CATALASE T                              S0003320","CTT1","OXIDATIVE STRESS RESPONSE CATALASE T S0003320","CTT1","Stress / Redox",1
"YOL151W","YOL151W   GRE2       UNKNOWN                                 UNKNOWN; INDUCED BY OSMOTIC STRESS      S0005511","GRE2","UNKNOWN UNKNOWN; INDUCED BY OSMOTIC STRESS S0005511","GRE2","Stress / Redox",1
"YHR104W","YHR104W   GRE3       UNKNOWN                                 INDUCED BY OSMOTIC STRESS               S0001146","GRE3","UNKNOWN INDUCED BY OSMOTIC STRESS S0001146","GRE3","Stress / Redox",1
"YBR072W","YBR072W   HSP26      DIAUXIC SHIFT                           STRESS-INDUCED PROTEIN                  S0000276","HSP26","DIAUXIC SHIFT STRESS-INDUCED PROTEIN S0000276","HSP26","Stress / Redox",1
"YIR037W","YIR037W   HYR1       OXIDATIVE STRESS RESPONSE               GLUTATHIONE PEROXIDASE                  S0001476","HYR1","OXIDATIVE STRESS RESPONSE GLUTATHIONE PEROXIDASE S0001476","HYR1","Stress / Redox",1
"YLR142W","YLR142W   PUT1       PROLINE UTILIZATION                     PROLINE OXIDASE                         S0004132","PUT1","PROLINE UTILIZATION PROLINE OXIDASE S0004132","PUT1","Stress / Redox",1
"YIL101C","YIL101C   XBP1       STRESS RESPONSE                         TRANSCRIPTIONAL REPRESSOR               S0001363","XBP1","STRESS RESPONSE TRANSCRIPTIONAL REPRESSOR S0001363","XBP1","Stress / Redox",1
"YHR171W","YHR171W   APG7       AUTOPHAGY                               UNKNOWN; SIMILAR TO UBIQUITIN-ACTIVATINGS0001214","APG7","AUTOPHAGY UNKNOWN; SIMILAR TO UBIQUITIN-ACTIVATINGS0001214","APG7","Protein folding / QC",2
"YJL014W","YJL014W   CCT3       PROTEIN FOLDING                         CYTOPLASMIC CHAPERONIN COMPLEX          S0003551","CCT3","PROTEIN FOLDING CYTOPLASMIC CHAPERONIN COMPLEX S0003551","CCT3","Protein folding / QC",2
