gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-Q0020,16,38,41,56
gene-Q0045,17,18,21,14
gene-Q0050,12,18,22,14
gene-Q0055,15,30,29,24
gene-Q0060,2,0,1,1
gene-Q0065,18,13,29,16
gene-Q0070,12,15,5,7
gene-Q0075,14,12,10,8
gene-Q0080,0,0,0,0
gene-Q0085,2,1,0,1
gene-Q0105,0,0,2,1
gene-Q0110,0,0,1,0
gene-Q0115,0,0,0,0
gene-Q0120,3,0,6,2
gene-Q0130,8,4,4,10
gene-Q0140,1,1,0,0
gene-Q0158,241,214,237,231
gene-Q0160,45,64,33,26
gene-Q0250,0,0,2,1
gene-Q0255,93,90,60,58
gene-Q0275,0,0,1,0
gene-Q0285,1,0,0,0
gene-tA(UGC)Q,0,0,0,0
gene-tC(GCA)Q,0,0,0,0
gene-tD(GUC)Q,0,0,0,0
gene-tE(UUC)Q,0,0,0,0
gene-tF(GAA)Q,0,0,0,0
gene-tG(UCC)Q,0,0,0,0
gene-tH(GUG)Q,0,0,0,0
gene-tI(GAU)Q,0,0,0,0
gene-tK(UUU)Q,0,0,0,0
gene-tL(UAA)Q,0,0,0,0
gene-tM(CAU)Q1,0,0,0,0
gene-tM(CAU)Q2,0,0,0,0
gene-tN(GUU)Q,0,0,0,0
gene-tP(UGG)Q,0,0,0,0
gene-tQ(UUG)Q,0,0,0,0
gene-tR(ACG)Q2,0,0,0,0
gene-tR(UCU)Q1,0,0,0,0
gene-tS(GCU)Q1,0,0,0,0
gene-tS(UGA)Q2,0,0,0,0
gene-tT(UAG)Q2,0,0,0,0
gene-tT(UGU)Q1,0,0,0,0
gene-tV(UAC)Q,0,0,0,0
gene-tW(UCA)Q,0,0,0,0
gene-tY(GUA)Q,0,0,0,0
gene-YAL001C,1847,1959,1442,1339
gene-YAL002W,1592,1539,914,792
gene-YAL003W,15067,17439,26582,24023
gene-YAL005C,84589,85701,4987,4502
gene-YAL007C,1439,1751,1679,1590
gene-YAL008W,1707,1664,436,404
gene-YAL009W,759,743,512,477
gene-YAL010C,680,572,350,386
gene-YAL011W,657,746,701,608
gene-YAL012W,3236,2862,3066,2717
gene-YAL013W,1207,1349,691,729
gene-YAL014C,777,838,563,484
gene-YAL015C,939,1023,445,424
gene-YAL016W,4977,5139,2942,2719
gene-YAL017W,4768,4525,1536,1341
gene-YAL018C,1,4,0,2
gene-YAL019W,1252,1229,2228,2090
gene-YAL020C,830,917,473,475
gene-YAL021C,1547,1604,1302,1197
gene-YAL022C,2064,2002,1473,1286
gene-YAL023C,6086,6705,8416,7398
gene-YAL024C,582,621,718,533
gene-YAL025C,383,443,2148,1989
gene-YAL026C,2664,2621,2751,2460
gene-YAL027W,301,298,233,230
gene-YAL028W,941,1014,300,248
gene-YAL029C,2267,2248,2978,2517
gene-YAL030W,964,1048,348,334
gene-YAL031C,1286,1310,714,635
gene-YAL032C,645,668,446,380
gene-YAL033W,233,290,304,297
gene-YAL034C,1321,1473,418,356
gene-YAL034W-A,152,200,161,168
gene-YAL035W,8401,9185,14573,12349
gene-YAL036C,692,748,2379,2249
gene-YAL037C-A,0,0,0,0
gene-YAL037W,49,44,68,84
gene-YAL038W,118928,130987,134932,119828
gene-YAL039C,1185,1394,464,399
gene-YAL040C,1351,1419,1285,1210
gene-YAL041W,2118,1952,1527,1397
gene-YAL042W,5687,6022,4887,4539
gene-YAL043C,1812,1948,1077,1019
gene-YAL044C,4318,4630,2167,2097
gene-YAL044W-A,437,454,295,302
gene-YAL046C,416,460,267,233
gene-YAL047C,421,381,374,355
gene-YAL048C,590,578,501,427
gene-YAL049C,1558,1550,687,626
gene-YAL051W,1231,1260,763,724
gene-YAL053W,2503,2492,1974,1807
gene-YAL054C,1885,1811,246,201
gene-YAL055W,522,621,287,287
gene-YAL056W,2036,2173,1823,1663
gene-YAL058W,980,958,779,732
gene-YAL059W,151,166,685,648
gene-YAL060W,8868,9265,1819,1720
gene-YAL061W,7831,8616,270,297
gene-YAL062W,988,984,215,206
gene-YAL063C,460,551,353,326
gene-YAL063C-A,3,1,0,1
gene-YAL064C-A,95,131,71,53
gene-YAL064W,0,2,0,1
gene-YAL064W-B,18,11,5,16
gene-YAL065C,23,9,7,8
gene-YAL067C,58,35,30,25
gene-YAL067W-A,0,0,0,0
gene-YAL068C,1,3,0,0
gene-YAR002C-A,2107,2386,2572,2501
gene-YAR002W,1641,1639,1731,1540
gene-YAR003W,759,819,773,770
gene-YAR007C,2406,2451,1817,1744
gene-YAR008W,133,149,405,348
gene-YAR009C,8728,7675,6305,5192
gene-YAR010C,0,7,2,0
gene-YAR014C,2660,2550,2032,1921
gene-YAR015W,2186,3331,1828,1643
gene-YAR018C,843,854,526,448
gene-YAR019C,911,920,466,397
gene-YAR020C,1,8,1,0
gene-YAR023C,115,108,49,48
gene-YAR027W,1749,1794,666,632
gene-YAR028W,262,279,363,351
gene-YAR029W,5,11,11,13
gene-YAR031W,206,225,269,248
gene-YAR033W,259,273,207,209
gene-YAR035C-A,0,0,0,0
gene-YAR035W,185,212,131,129
gene-YAR042W,2528,2572,1337,1233
gene-YAR050W,258,257,219,238
gene-YAR061W,70,66,70,57
gene-YAR064W,4,4,8,4
gene-YAR066W,2,10,23,31
gene-YAR068W,38,53,29,28
gene-YAR071W,146,169,84,92
gene-YBL001C,1977,2216,749,689
gene-YBL002W,3056,3347,5401,4795
gene-YBL003C,3390,3658,5204,5002
gene-YBL004W,386,423,2903,2545
gene-YBL005W,1135,1158,862,722
gene-YBL005W-A,0,0,0,0
gene-YBL005W-B,5056,4901,5549,4580
gene-YBL006C,1082,1151,740,770
gene-YBL007C,7629,8017,4814,4355
gene-YBL008W,565,568,557,526
gene-YBL008W-A,2,2,3,3
gene-YBL009W,432,447,848,750
gene-YBL010C,304,306,310,304
gene-YBL011W,3329,3511,1895,1804
gene-YBL013W,117,163,116,102
gene-YBL014C,542,520,938,937
gene-YBL015W,2071,2374,711,650
gene-YBL016W,848,785,1173,1159
gene-YBL017C,4816,4664,4657,4015
gene-YBL018C,110,107,280,262
gene-YBL019W,586,600,333,301
gene-YBL020W,779,759,1176,1190
gene-YBL021C,185,212,177,149
gene-YBL022C,6936,7042,3105,2771
gene-YBL023C,1103,1093,1023,922
gene-YBL024W,1446,1576,3420,2934
gene-YBL025W,170,145,142,130
gene-YBL026W,207,221,209,202
gene-YBL027W,13508,16459,23167,21588
gene-YBL028C,91,107,477,539
gene-YBL029C-A,153,208,85,88
gene-YBL029W,567,606,333,308
gene-YBL030C,12899,15293,5361,5086
gene-YBL031W,322,348,345,314
gene-YBL032W,2220,2394,2497,2194
gene-YBL033C,1319,1261,645,583
gene-YBL034C,651,633,750,649
gene-YBL035C,247,274,849,709
gene-YBL036C,1181,1243,1219,1148
gene-YBL037W,1198,1238,820,743
gene-YBL038W,806,1012,453,385
gene-YBL039C,355,401,5359,4864
gene-YBL039W-B,16,29,7,4
gene-YBL040C,1309,1470,1053,996
gene-YBL041W,4566,4588,2604,2529
gene-YBL042C,1313,1097,1559,1389
gene-YBL043W,41,24,30,29
gene-YBL044W,4,7,6,6
gene-YBL045C,5681,6293,3150,2854
gene-YBL046W,958,1046,776,738
gene-YBL047C,8040,8094,4445,3779
gene-YBL048W,51,51,45,31
gene-YBL049W,85,111,61,56
gene-YBL050W,2512,2536,1300,1265
gene-YBL051C,2391,2375,2237,1887
gene-YBL052C,1137,1233,1708,1604
gene-YBL054W,44,47,751,724
gene-YBL055C,514,614,701,689
gene-YBL056W,5125,5352,2845,2695
