gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YAL005C,25053.42441871615,3.05764821022618,0.0766682400323819,0,0
YAL060W,3781.27107967698,1.4747622636050464,0.08843608054107446,1.438578291660041e-63,1.1948304487210226e-61
YAL061W,1743.7828301398326,3.302574479512304,0.12869582845272423,1.2394488975516693e-146,2.9236120595448776e-144
YAR071W,4833.455003427154,6.581653381275495,0.13718138500745672,0,0
YBL004W,2280.6016284065845,-1.0116868874805922,0.10163855427176229,3.511896840075746e-24,9.004198115620292e-23
YBL039C,4277.8746368545335,-1.0213691407060652,0.08649585552786926,4.6469425723341904e-33,1.839128882486894e-31
YBL054W,613.0804141283487,-1.026951533687451,0.16695915130706088,1.112247457364578e-10,1.2034721570787003e-9
YBL064C,1565.1072913809462,1.7310739197439406,0.11799384764356352,8.197201362119363e-50,5.088304887622935e-48
YBL078C,176.65872053531257,1.3281055473765289,0.3135669448361718,2.1265021997026248e-6,1.3586114270472782e-5
YBR001C,1839.1012473467756,1.572366016808455,0.10970897572851619,1.4774868708812393e-47,8.712740077586667e-46
YBR034C,1673.341451043606,-1.109703711247237,0.11233042365749328,6.070196622241385e-24,1.5297414308272415e-22
YBR046C,812.1733516478081,1.2638099841942356,0.1561141790124455,5.965462876188414e-17,1.0050952737395164e-15
YBR050C,94.70197587504944,1.7069620202626814,0.4338101100424156,5.570078330376388e-6,3.3585635904120205e-5
YBR052C,2964.2674848425554,1.094943216339286,0.09497778673991146,2.02586484159046e-31,7.329156423839842e-30
YBR072W,534.326836586076,3.1758900869830513,0.19911858725416476,2.2768846179934465e-58,1.7213831528599172e-56
YBR085C-A,539.1067883857834,2.146642788257583,0.49424785234588053,5.770700331051941e-7,4.003508217907446e-6
YBR085W,198.4341889839557,-1.259038277249236,0.289242086329692,1.342696096545982e-6,8.887865156329943e-6
YBR093C,15971.321403063568,5.894262976193632,0.08349034030760201,0,0
YBR117C,740.6606306719722,2.5940273088456083,0.16572167788195513,1.8891354170185384e-56,1.410155892931433e-54
YBR126C,10215.819530096918,1.5662816439645522,0.07208609979308406,8.029522530161783e-106,1.1548803502527813e-103
YBR137W,572.9311334014805,1.0251558247468082,0.17912917073449788,1.388984347112895e-9,1.3516238770502877e-8
YBR139W,2892.2796140672376,1.040524894666595,0.09783715617324722,4.4684874891249466e-27,1.3375679829788782e-25
YBR147W,197.5836733443523,1.4099041807046016,0.2898233574127293,1.0660126105243831e-7,8.00799536848699e-7
YBR157C,555.2394563302826,1.2990349123622749,0.17976576157416557,5.213491690171967e-14,7.355014472953131e-13
YBR169C,2037.9036322866264,2.022489744190032,0.10733152456535701,2.5537202744167205e-80,2.738052446951891e-78
YBR214W,1111.3288063234638,1.03457698914963,0.13436478225732446,1.976749664606832e-15,3.0435751363411194e-14
YBR230C,1105.6162745186039,1.535387198495039,0.13311388915598474,8.264820284201413e-32,3.065260705404763e-30
YBR238C,393.88767844297263,-1.5128699822197689,0.21006816721317714,4.933395695605707e-14,6.976555016063994e-13
YBR269C,520.6898540376533,1.041641769428786,0.1829773602051931,1.866948689087875e-9,1.7901457592766176e-8
YBR280C,536.0333016222605,1.0140694528422907,0.17996931771086735,2.5729549232646377e-9,2.4237564189283655e-8
YBR285W,130.46099981434926,3.4369284051986417,0.42218912508043605,1.973832377056564e-17,3.4234380963242815e-16
YBR287W,2486.669393241762,1.0466824976801938,0.10064611373480033,3.677052067104335e-26,1.042479617293955e-24
YBR296C,2959.6083598315404,7.657111882965272,0.22350174621047314,9.085332413636524e-257,4.1212465571703525e-254
YCL035C,1093.8572375637996,1.2729470421557656,0.13611857541192185,9.68492375703459e-22,2.171558760275018e-20
YCL037C,598.1404916211848,-1.030458887813803,0.17472918641221655,5.008471390528074e-10,5.074734671811693e-9
YCL040W,11763.940197943968,2.1475066274314254,0.07231639805015601,5.9023033312169174e-195,2.175367671511635e-192
YCL042W,120.96367701882768,1.351759453028134,0.38427169175895654,3.5234860304141655e-5,1.8820649566442333e-4
YCL048W-A,17.712972193757395,3.1817598756430683,1.2446306340814421,5.483436517528127e-4,0.002301482216645079
YCL054W,2432.7189953611423,-1.0624930347292538,0.10105343690293428,1.0595847544231408e-26,3.0932531172441884e-25
YCL064C,3791.584064417224,1.9721050442478552,0.08922265893422683,2.223566637711984e-109,3.362146785278864e-107
YCR004C,3769.6524309127954,1.1006271126907778,0.08817935128338823,1.3642137787100524e-36,5.872093907338087e-35
YCR057C,2159.1680277249,-1.0803667849028558,0.10461146421930909,6.638157862434604e-26,1.855223550463358e-24
YCR091W,533.8584346059882,1.1793861997987576,0.17956490370316966,6.15587726612333e-12,7.34842272030957e-11
YCR098C,236.4532804394835,3.5031806348511396,0.3032381047413198,5.188795950722872e-32,1.961431392398255e-30
YDL014W,8453.012337052507,-1.0947697291642073,0.08440704864146345,2.209154602292381e-39,9.795026082494866e-38
YDL021W,653.371003044027,2.3891389132368026,0.17245189653995685,7.390017346554718e-45,4.072797410526465e-43
YDL022W,5874.75766045334,1.3337979410982497,0.08062911293141964,2.574932128368471e-62,2.0800513371217635e-60
YDL039C,134.47080044265024,-1.3238435014596004,0.35707191359895346,1.7966534109323427e-5,1.0102623329088104e-4
