gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YAL007C,1330.4734865647129,-1.421009460309875,0.19436906320329933,8.578188747628387e-14,4.963506144960433e-13
YAL012W,2208.9351666897214,-1.7744657100204322,0.17137362401200748,1.0415327247944447e-25,1.1066285200940975e-24
YAL019W,1847.152251331487,-1.1576610568801449,0.17410528907770298,1.3167799674797827e-11,6.513743527656138e-11
YAL023C,6061.180031598924,-1.761060361270139,0.17629719327391205,3.441629181821758e-24,3.444482937362241e-23
YAL025C,1701.8809953957657,-1.3499882560853855,0.17830216877595043,1.290391464696921e-14,7.970841852042905e-14
YAL029C,2391.84783658931,-1.0703719607493494,0.17318494301521245,3.327873423427071e-10,1.4909959992859964e-9
YAL035W,10815.39413608583,-1.4702505022155152,0.15655839530017696,1.960065897686217e-21,1.7421204259994578e-20
YAL036C,1938.3776074632715,-1.2611641055018532,0.17245156555353877,1.1018783856906426e-13,6.35132383729038e-13
YAR002W,1436.7365344083391,-1.033751843022395,0.18137153650209692,6.443956345795622e-9,2.5720420996611494e-8
YAR008W,322.23962495599915,-1.1782756731280162,0.29585043253171256,2.3971095024027256e-5,6.542992241972162e-5
YAR018C,379.30097902981964,-1.6278257111278536,0.23983440394182223,3.3008818561507165e-12,1.7114108249028846e-11
YAR061W,49.252065771448414,-1.4922750940509495,0.5324041522550941,0.0014767024654869382,0.003098713275109065
YBL002W,3548.549766485382,-2.5494550972435053,0.2129012325332629,1.677027810177665e-34,2.3427923227829184e-33
YBL003C,3880.7752837679263,-1.8219933558440338,0.17082413608801203,3.3703788412780805e-27,3.8161794197210534e-26
YBL004W,2256.040757957283,-1.3126962402049167,0.18192710096998002,1.6618369841321466e-13,9.461496414375004e-13
YBL009W,599.0029524347015,-1.932823670037963,0.25723683484365995,6.37968567970113e-15,4.006389498126568e-14
YBL023C,856.727877340235,-1.0365535023922807,0.2155682812650016,7.309602900090954e-7,2.394867182521656e-6
YBL024W,2473.1903192089767,-1.6514751176147038,0.17536866060830422,1.1512565577059648e-21,1.0339037687136158e-20
YBL027W,14445.889639729012,-3.4982440707295854,0.1578880547937488,7.680609656310014e-110,3.830783411225697e-108
YBL031W,266.0259704048852,-1.4337635692167952,0.2773679733767268,7.668750709599748e-8,2.761390843224014e-7
YBL032W,1638.920331612414,-2.4613418766176496,0.18044526261281424,2.5910614367343688e-43,4.585646853575342e-42
YBL039C,3720.721057316073,-2.123872874440032,0.1687298812755571,4.895705322303749e-37,7.331409831291099e-36
