gene_id,t0030,t0060,t0090,t0120,t0150,t0180,t0210,t0240,t0360,t0480
Q0045,0,0,0,0,0,0,0,1.5954572554194546,0,0
Q0130,0,0,0,0,0,0,0,0,2.3521466597626923,1.974966191959863
Q0158,0,0,0,0,0,0,0,0,1.3884961089659482,0
YAL002W,0,0,0,0,0,0,0,0,1.4379508058190418,1.6493330194467055
YAL003W,-1.0339584137108602,0,0,0,0,-1.062756584905837,-1.0891919494472186,-1.1102678351780768,-1.1116455835457362,0
YAL005C,3.764091949971791,3.246015789463234,2.1823824476509137,3.05764821022618,3.8007421803539714,4.129568141641545,4.163693271097251,4.299658337580653,4.311062010941969,3.806075204869739
YAL007C,0,0,0,0,0,0,0,0,-1.221864902608304,-1.421009460309875
YAL008W,1.5906807082156595,0,0,0,1.332074802213454,1.6995213841306636,1.654078353016233,1.7098796948106794,1.9684707858456627,1.8572474010036577
YAL012W,0,0,0,0,0,0,0,-1.2321484019552973,-1.995037768432167,-1.7744657100204322
YAL017W,1.2860450454221688,0,0,0,0,1.0484587194690225,0,0,0,0
YAL019W,-1.1891162326100124,0,0,0,-1.0372443267321814,-1.67241152564661,-1.489750212407092,-1.6207253592679989,-1.4961943292228437,-1.1576610568801449
YAL023C,0,0,0,0,0,0,0,0,-1.290534023289052,-1.761060361270139
YAL024C,0,0,0,0,0,0,0,0,-1.0063197501199672,0
YAL025C,-2.7160066972960726,0,0,0,-2.1305649341639263,-3.3171064967663755,-3.0398332206176497,-3.322236190058882,-2.3059100194422673,-1.3499882560853855
YAL028W,1.4160065878067716,0,0,0,1.1166433955683197,1.3582620594676151,1.139716680970931,1.2342344492158912,1.3321738310666384,0
YAL029C,0,0,0,0,0,0,0,0,-1.039078247969724,-1.0703719607493494
YAL030W,1.1385860487678705,0,0,0,0,1.1029369484122815,1.019172757896175,1.0980125474813145,1.281683775639171,1.0634118017104754
YAL033W,0,0,0,0,0,0,0,0,-1.170290343661708,0
YAL034C,1.4333690496625455,0,0,0,1.108639669191038,1.4949076700720598,1.4516474807027195,1.5960216406405143,2.0515273252789332,1.8114006750127676
YAL035W,-1.0063590545719752,0,0,0,-1.12156960835621,-1.4462023876171322,-1.387921657208322,-1.4951627005129895,-1.485642596818595,-1.4702505022155152
YAL036C,-2.0749538116326045,0,0,0,-1.5717631827704577,-2.5038691333697094,-2.307976836864037,-2.1095866848780873,-1.7155146186004624,-1.2611641055018532
YAL037W,0,0,0,0,0,0,0,0,1.123047789228245,1.454388922635601
YAL039C,1.158678494422885,0,0,0,0,1.225981942571402,1.131777331696364,1.1828197421079667,1.1257610338358028,1.1331368161947706
YAL044C,0,1.0932681045090191,0,0,1.0906550715927763,1.293693474949135,1.215081874358838,1.0298226890492843,0,0
YAL049C,0,0,0,0,0,1.1719371891889907,1.1800201918381426,1.3059322669411335,1.581024378859483,1.7913944885076774
YAL054C,2.640525718239592,0,0,0,0,1.4716770157047838,1.6140497352254823,1.7698735295214278,2.397853464017401,2.5349782174701763
YAL055W,0,0,0,0,0,0,0,0,1.5183537099006208,1.712165611325262
YAL059W,-2.4501874817387788,0,0,0,-2.1219013964189086,-3.0219819497634837,-2.3882994891887668,-2.234338129972343,-1.2959649795993893,0
YAL060W,1.9520281888520663,0,0,1.4747622636050464,1.763881262434353,1.9628534916705456,1.5017927501992991,1.4420515753161025,1.3886977450393465,0
YAL061W,4.4520909830868645,2.2445701607997575,2.1195422608829526,3.302574479512304,4.163178416598758,4.737785652629447,4.684389341517622,4.7698769978663504,5.142350111630858,4.385138726914431
YAL062W,1.80570856971617,0,0,0,1.5344743585527236,1.8855868200572592,1.834345203970454,2.117842956267555,2.7415455644777404,2.924355418801555
YAL063C,0,0,0,0,0,0,0,1.156071393795573,1.5047638601572015,1.6647686673508608
YAL067C,0,0,0,0,0,0,0,0,2.024432443565978,2.730052441321616
YAR002W,0,0,0,0,0,0,0,0,-1.1051922946421835,-1.033751843022395
YAR008W,-1.773731053211483,0,0,0,0,0,0,0,-1.344956605845935,-1.1782756731280162
YAR009C,0,0,0,0,0,0,0,0,1.0325685616149336,0
YAR018C,0,0,0,0,0,0,0,0,0,-1.6278257111278536
YAR023C,0,0,0,0,0,1.356474814513787,1.1927299925138992,1.2915366686152985,1.440039787163724,1.9422064197014892
YAR027W,1.035152449591859,0,0,0,0,0,0,0,0,0
YAR031W,0,0,0,0,0,0,-1.0348438903666437,0,0,0
YAR061W,0,0,0,0,0,0,0,-1.3011073575057583,0,-1.4922750940509495
YAR066W,-2.2116225116733763,0,0,0,0,0,0,0,0,0
YAR071W,0,2.536602246956904,4.302109855049843,6.581653381275495,6.518591560017015,6.829144966189888,6.7127502933526415,6.7934608282565305,6.5727262516746565,6.49890141465761
YBL001C,1.1295657957645422,1.119047705635916,0,0,1.100530410632146,1.4189813976983885,1.3446054985449791,1.3527012035695385,1.6439072353099835,1.75884514588873
YBL002W,-1.059471484415674,-1.5948197369025028,0,0,0,0,0,0,-1.825793201840897,-2.5494550972435053
YBL003C,0,-1.92419076627472,0,0,0,0,0,0,-1.508662099323756,-1.8219933558440335
YBL004W,-3.1411352553257745,0,0,-1.0116868874805922,-2.0358985765141213,-2.9808751031253133,-2.466735948300127,-2.24486223529837,-1.7248608820965516,-1.3126962402049167
YBL005W-B,0,0,0,0,0,0,0,0,1.3107596680560691,1.3633759482665295
YBL009W,-1.2396715960603195,0,0,0,0,0,0,0,-1.5450539835548904,-1.932823670037963
YBL014C,-1.200704904377102,0,0,0,0,-1.0930728728345842,0,0,0,0
YBL015W,1.292306941258903,0,0,0,1.101100187817326,1.5586471139107965,1.4813095900829183,1.5818005256697394,1.8703220215370224,1.2821299031075453
YBL018C,-1.6658492756105256,0,0,0,0,0,0,0,0,0
YBL019W,0,0,0,0,0,0,0,0,1.1288425186369473,1.2916660888821794
YBL020W,-1.0052278007221571,0,0,0,0,0,0,0,0,0
YBL023C,0,0,0,0,0,0,0,0,0,-1.0365535023922807
YBL024W,-1.4623306669936529,0,0,0,-1.3753500856875605,-2.0842914670696686,-2.0785737261868036,-2.098131243107942,-2.093283605403431,-1.6514751176147038
YBL027W,0,0,0,0,-1.2511509124939952,-2.2852377336774374,-2.9987408839897203,-3.83602640704766,-4.448890758713867,-3.4982440707295854
YBL028C,-2.733195905649272,0,0,0,-1.75746989590134,-2.6725081636645966,-2.4275701815068578,-2.293322791935965,-1.4637542993038697,0
YBL029C-A,0,0,0,0,1.0088284720947642,1.681419789079524,1.6493969878868533,1.929624394272148,2.5118628721560174,2.5105038047430477
YBL029W,0,0,0,0,0,0,0,0,1.4647987351995695,1.8461311869481296
YBL030C,1.0230287162381824,0,0,0,0,0,0,0,0,0
YBL031W,0,0,0,0,0,0,0,0,-1.0330192141739971,-1.4337635692167952
YBL032W,0,0,0,0,0,0,0,0,-1.7936317884768742,-2.4613418766176496
YBL035C,-1.9535914403257584,0,0,0,0,0,0,0,-1.1745904229488762,0
YBL039C,-4.151732549523888,0,0,-1.0213691407060652,-2.350190407703166,-4.087711114045033,-3.411021837720897,-3.4215502734290855,-3.152124402255615,-2.123872874440032
YBL039W-B,0,0,0,0,0,0,0,0,2.2177476201167172,2.3278175997182644
YBL042C,0,0,0,0,-1.2021173294906136,-1.5512586833683355,-1.4700970713776615,-1.459086371957234,-1.1820014928929468,0
YBL043W,0,0,0,0,0,0,0,0,1.5339728374011066,2.751887077790889
YBL048W,0,0,0,0,0,0,0,1.2093645284526342,2.057936974450287,2.2827667221229935
YBL049W,0,0,0,0,0,1.8153684583149872,2.289411100107836,2.8244055430141706,4.004244396819582,4.2744272136731585
YBL054W,-4.39704545142183,0,0,-1.026951533687451,-2.078045646304326,-3.207409108800793,-2.3299011554836837,-2.0000355309872018,0,0
YBL063W,0,0,0,0,0,0,0,0,0,-1.5096248789943256
YBL064C,2.874875754687651,1.4271572302871371,0,1.7310739197439406,2.510997632099658,3.071887557122575,3.025798599371616,3.060447626155476,3.4118051496245827,3.364840705793758
YBL068W,-1.388412946736791,0,0,0,0,-1.5272204544271542,-1.0671117287990528,-1.0314148440216433,0,0
YBL071C,0,0,0,0,-1.126345640924517,-1.510836816598656,-1.470447695733463,-1.3753637480598722,0,0
YBL071W-A,-1.0868632562651788,0,0,0,0,-1.4807838947555076,-1.6343888664890585,-1.7223322367530465,0,0
YBL072C,0,0,0,0,0,-1.9097452918297124,-2.562182626677064,-3.23960794256122,-4.07200664206376,-3.3584140205538744
YBL075C,1.041633158498919,0,0,0,0,1.2325313280361767,1.787092342502116,2.118045606937652,3.974242055815549,4.901648761754189
YBL076C,-1.1220228493730409,0,0,0,-1.1307149346844447,-1.7512849878085033,-1.8338801700357183,-1.9333780409673773,-2.1998165904491263,-2.1977877751261548
YBL078C,2.666690253541207,0,0,1.3281055473765289,2.2565857860163514,2.9723063480782224,3.0146186712164535,3.300789687415643,3.8206691589177177,3.9080136454534906
YBL081W,-1.3582183225697868,0,0,0,-1.4486721875824349,-2.261319002010975,-2.0139843030782463,-2.0950138623688335,-2.6478748436811723,-2.1304537280660703
YBL082C,0,0,0,0,0,-1.1938190349256492,-1.1143320555847094,-1.104792159353169,-1.0430547981885985,0
YBL085W,0,0,0,0,0,0,0,0,-1.004552707658091,-1.3134427604712895
YBL087C,-1.0428854242942505,0,0,0,-1.2190050411382682,-2.160031345035128,-2.854253640540576,-3.389227616969932,-3.71643018793209,-2.8994288976961906
YBL091C,0,0,0,0,0,0,0,0,0,-1.0218052716211248
YBL092W,0,0,0,0,-1.2537320698679324,-2.226921210669191,-2.981308422410715,-3.808419976167873,-4.796213897977431,-3.62077206300312
YBL097W,0,0,0,0,0,0,0,0,-1.1479341195265802,-1.6969312049001477
YBL100W-B,0,0,0,0,0,0,0,0,1.9038794374533896,1.891190404890814
