gene_id,tp,log2FC
Q0045,t0030,0
Q0045,t0060,0
Q0045,t0090,0
Q0045,t0120,0
Q0045,t0150,0
Q0045,t0180,0
Q0045,t0210,0
Q0045,t0240,1.5954572554194546
Q0045,t0360,0
Q0045,t0480,0
Q0130,t0030,0
Q0130,t0060,0
Q0130,t0090,0
Q0130,t0120,0
Q0130,t0150,0
Q0130,t0180,0
Q0130,t0210,0
Q0130,t0240,0
Q0130,t0360,2.3521466597626923
Q0130,t0480,1.974966191959863
Q0158,t0030,0
Q0158,t0060,0
Q0158,t0090,0
Q0158,t0120,0
Q0158,t0150,0
Q0158,t0180,0
Q0158,t0210,0
Q0158,t0240,0
Q0158,t0360,1.3884961089659482
Q0158,t0480,0
YAL002W,t0030,0
YAL002W,t0060,0
YAL002W,t0090,0
YAL002W,t0120,0
YAL002W,t0150,0
YAL002W,t0180,0
YAL002W,t0210,0
YAL002W,t0240,0
YAL002W,t0360,1.4379508058190418
YAL002W,t0480,1.6493330194467055
YAL003W,t0030,-1.0339584137108602
YAL003W,t0060,0
YAL003W,t0090,0
YAL003W,t0120,0
YAL003W,t0150,0
YAL003W,t0180,-1.062756584905837
YAL003W,t0210,-1.0891919494472186
YAL003W,t0240,-1.1102678351780768
YAL003W,t0360,-1.1116455835457362
YAL003W,t0480,0
YAL005C,t0030,3.764091949971791
YAL005C,t0060,3.246015789463234
YAL005C,t0090,2.1823824476509137
YAL005C,t0120,3.05764821022618
YAL005C,t0150,3.8007421803539714
YAL005C,t0180,4.129568141641545
YAL005C,t0210,4.163693271097251
YAL005C,t0240,4.299658337580653
YAL005C,t0360,4.311062010941969
YAL005C,t0480,3.806075204869739
YAL007C,t0030,0
YAL007C,t0060,0
YAL007C,t0090,0
YAL007C,t0120,0
YAL007C,t0150,0
YAL007C,t0180,0
YAL007C,t0210,0
YAL007C,t0240,0
YAL007C,t0360,-1.221864902608304
YAL007C,t0480,-1.421009460309875
YAL008W,t0030,1.5906807082156595
YAL008W,t0060,0
YAL008W,t0090,0
YAL008W,t0120,0
YAL008W,t0150,1.332074802213454
YAL008W,t0180,1.6995213841306636
YAL008W,t0210,1.654078353016233
YAL008W,t0240,1.7098796948106794
YAL008W,t0360,1.9684707858456627
YAL008W,t0480,1.8572474010036577
YAL012W,t0030,0
YAL012W,t0060,0
YAL012W,t0090,0
YAL012W,t0120,0
YAL012W,t0150,0
YAL012W,t0180,0
YAL012W,t0210,0
YAL012W,t0240,-1.2321484019552973
YAL012W,t0360,-1.995037768432167
YAL012W,t0480,-1.7744657100204322
YAL017W,t0030,1.2860450454221688
YAL017W,t0060,0
YAL017W,t0090,0
YAL017W,t0120,0
YAL017W,t0150,0
YAL017W,t0180,1.0484587194690225
YAL017W,t0210,0
YAL017W,t0240,0
YAL017W,t0360,0
YAL017W,t0480,0
YAL019W,t0030,-1.1891162326100124
YAL019W,t0060,0
YAL019W,t0090,0
YAL019W,t0120,0
YAL019W,t0150,-1.0372443267321814
YAL019W,t0180,-1.67241152564661
YAL019W,t0210,-1.489750212407092
YAL019W,t0240,-1.6207253592679989
YAL019W,t0360,-1.4961943292228437
YAL019W,t0480,-1.1576610568801449
YAL023C,t0030,0
YAL023C,t0060,0
YAL023C,t0090,0
YAL023C,t0120,0
YAL023C,t0150,0
YAL023C,t0180,0
YAL023C,t0210,0
YAL023C,t0240,0
YAL023C,t0360,-1.290534023289052
YAL023C,t0480,-1.761060361270139
YAL024C,t0030,0
YAL024C,t0060,0
YAL024C,t0090,0
YAL024C,t0120,0
YAL024C,t0150,0
YAL024C,t0180,0
YAL024C,t0210,0
YAL024C,t0240,0
YAL024C,t0360,-1.0063197501199672
YAL024C,t0480,0
YAL025C,t0030,-2.7160066972960726
YAL025C,t0060,0
YAL025C,t0090,0
YAL025C,t0120,0
YAL025C,t0150,-2.1305649341639263
YAL025C,t0180,-3.3171064967663755
YAL025C,t0210,-3.0398332206176497
YAL025C,t0240,-3.322236190058882
YAL025C,t0360,-2.3059100194422673
YAL025C,t0480,-1.3499882560853855
YAL028W,t0030,1.4160065878067716
YAL028W,t0060,0
YAL028W,t0090,0
YAL028W,t0120,0
YAL028W,t0150,1.1166433955683197
YAL028W,t0180,1.3582620594676151
YAL028W,t0210,1.139716680970931
YAL028W,t0240,1.2342344492158912
YAL028W,t0360,1.3321738310666384
YAL028W,t0480,0
YAL029C,t0030,0
YAL029C,t0060,0
YAL029C,t0090,0
YAL029C,t0120,0
YAL029C,t0150,0
YAL029C,t0180,0
YAL029C,t0210,0
YAL029C,t0240,0
YAL029C,t0360,-1.039078247969724
YAL029C,t0480,-1.0703719607493494
YAL030W,t0030,1.1385860487678705
YAL030W,t0060,0
YAL030W,t0090,0
YAL030W,t0120,0
YAL030W,t0150,0
YAL030W,t0180,1.1029369484122815
YAL030W,t0210,1.019172757896175
YAL030W,t0240,1.0980125474813145
YAL030W,t0360,1.281683775639171
YAL030W,t0480,1.0634118017104754
YAL033W,t0030,0
YAL033W,t0060,0
YAL033W,t0090,0
YAL033W,t0120,0
YAL033W,t0150,0
YAL033W,t0180,0
YAL033W,t0210,0
YAL033W,t0240,0
YAL033W,t0360,-1.170290343661708
YAL033W,t0480,0
YAL034C,t0030,1.4333690496625455
YAL034C,t0060,0
YAL034C,t0090,0
YAL034C,t0120,0
YAL034C,t0150,1.108639669191038
YAL034C,t0180,1.4949076700720598
YAL034C,t0210,1.4516474807027195
YAL034C,t0240,1.5960216406405143
