TXNAME	GENEID
CaalfMr16-T	CaalfMr16
CaalfMt18-T	CaalfMt18
CaalfMp01-T	CaalfMp01
CaalfMt19-T	CaalfMt19
CaalfMp02-T	CaalfMp02
CaalfMp03-T	CaalfMp03
CaalfMt21-T	CaalfMt21
CaalfMt22-T	CaalfMt22
CaalfMt23-T	CaalfMt23
CaalfMt24-T	CaalfMt24
CaalfMt25-T	CaalfMt25
CaalfMp08.1-T	CaalfMp08.1
CaalfMp08.2-T	CaalfMp08.2
CaalfMp08.3-T	CaalfMp08.3
CaalfMp08.4-T	CaalfMp08.4
CaalfMp08-T	CaalfMp08
CaalfMt30-T	CaalfMt30
CaalfMt31-T	CaalfMt31
CaalfMt32-T	CaalfMt32
CaalfMt33-T	CaalfMt33
CaalfMt34-T	CaalfMt34
CaalfMp09-T	CaalfMp09
CaalfMp10-T	CaalfMp10
CaalfMp11.1-T	CaalfMp11.1
CaalfMp11-T	CaalfMp11
CaalfMt35-T	CaalfMt35
CaalfMr17-T	CaalfMr17
CaalfMp12-T	CaalfMp12
CaalfMp13-T	CaalfMp13
CaalfMt36-T	CaalfMt36
CaalfMt37-T	CaalfMt37
CaalfMt38-T	CaalfMt38
CaalfMt39-T	CaalfMt39
CaalfMt40-T	CaalfMt40
CaalfMp14-T	CaalfMp14
CaalfMt41-T	CaalfMt41
CaalfMt47-T	CaalfMt47
CaalfMp15-T	CaalfMp15
CaalfMp04-T	CaalfMp04
CaalfMt20-T	CaalfMt20
CaalfMp05-T	CaalfMp05
CaalfMt26-T	CaalfMt26
CaalfMp06-T	CaalfMp06
CaalfMp07-T	CaalfMp07
CaalfMt27-T	CaalfMt27
CaalfMt28-T	CaalfMt28
CaalfMt29-T	CaalfMt29
CaalfMt42-T	CaalfMt42
CaalfMt43-T	CaalfMt43
CaalfMt44-T	CaalfMt44
CaalfMt45-T	CaalfMt45
CaalfMt46-T	CaalfMt46
orf19.6115-T	orf19.6115
orf19.6112-T	orf19.6112
orf19.6109-T	orf19.6109
orf19.6105-T	orf19.6105
orf19.6103-T	orf19.6103
orf19.6099-T	orf19.6099
orf19.6092-T	orf19.6092
orf19.6086-T	orf19.6086
orf19.6085-T	orf19.6085
orf19.6081-T	orf19.6081
orf19.6079-T	orf19.6079
orf19.6078-T	orf19.6078
orf19.6077-T	orf19.6077
orf19.6076-T	orf19.6076
orf19.6074-T	orf19.6074
orf19.6072-T	orf19.6072
orf19.6072.1-T	orf19.6072.1
orf19.6070-T	orf19.6070
orf19.6068-T	orf19.6068
orf19.6065-T	orf19.6065
orf19.6064-T	orf19.6064
orf19.6063-T	orf19.6063
orf19.6062-T	orf19.6062
orf19.6057-T	orf19.6057
orf19.6056-T	orf19.6056
orf19.6053-T	orf19.6053
orf19.6052-T	orf19.6052
orf19.6048-T	orf19.6048
orf19.6047-T	orf19.6047
orf19.6046-T	orf19.6046
orf19.6045-T	orf19.6045
orf19.6044-T	orf19.6044
orf19.6043-T	orf19.6043
orf19.6037-T	orf19.6037
orf19.6036-T	orf19.6036
orf19.6035-T	orf19.6035
tP(UGG)3-T	tP(UGG)3
orf19.6030-T	orf19.6030
orf19.6027-T	orf19.6027
orf19.6025-T	orf19.6025
orf19.6024-T	orf19.6024
orf19.6023-T	orf19.6023
orf19.6021-T	orf19.6021
orf19.6020-T	orf19.6020
orf19.6018-T	orf19.6018
orf19.6017-T	orf19.6017
orf19.6016-T	orf19.6016
orf19.6014-T	orf19.6014
orf19.6013-T	orf19.6013
orf19.6012-T	orf19.6012
orf19.6010.1-T	orf19.6010.1
orf19.6008.3-T	orf19.6008.3
orf19.6008.4-T	orf19.6008.4
orf19.3290-T	orf19.3290
tA(AGC)4-T	tA(AGC)4
orf19.3291-T	orf19.3291
orf19.3292-T	orf19.3292
orf19.3294-T	orf19.3294
orf19.3296-T	orf19.3296
orf19.3298-T	orf19.3298
orf19.3301-T	orf19.3301
orf19.3308-T	orf19.3308
orf19.3309-T	orf19.3309
orf19.3311-T	orf19.3311
orf19.3312-T	orf19.3312
orf19.3315-T	orf19.3315
orf19.3319-T	orf19.3319
orf19.3320-T	orf19.3320
orf19.3321-T	orf19.3321
orf19.3331-T	orf19.3331
orf19.3332-T	orf19.3332
orf19.3333-T	orf19.3333
orf19.3335-T	orf19.3335
orf19.3336-T	orf19.3336
orf19.3337-T	orf19.3337
orf19.3342-T	orf19.3342
orf19.3344-T	orf19.3344
orf19.3345-T	orf19.3345
orf19.3348-T	orf19.3348
orf19.3350-T	orf19.3350
orf19.3353-T	orf19.3353
orf19.3354-T	orf19.3354
orf19.3355-T	orf19.3355
orf19.3359-T	orf19.3359
orf19.3360-T	orf19.3360
tA(AGC)3-T	tA(AGC)3
orf19.4551-T	orf19.4551
orf19.4550-T	orf19.4550
orf19.4549-T	orf19.4549
orf19.4548-T	orf19.4548
orf19.4545-T	orf19.4545
orf19.4544-T	orf19.4544
orf19.4537-T	orf19.4537
orf19.4532-T	orf19.4532
orf19.4531-T	orf19.4531
orf19.4530.1-T	orf19.4530.1
orf19.4528.1-T	orf19.4528.1
orf19.4527-T	orf19.4527
orf19.4526-T	orf19.4526
orf19.4525-T	orf19.4525
orf19.4523-T	orf19.4523
orf19.3663.1-T	orf19.3663.1
orf19.3664-T	orf19.3664
orf19.3665-T	orf19.3665
orf19.3667-T	orf19.3667
orf19.3672-T	orf19.3672
orf19.3673-T	orf19.3673
orf19.3675-T	orf19.3675
orf19.3676-T	orf19.3676
orf19.3678-T	orf19.3678
orf19.3680-T	orf19.3680
orf19.3681-T	orf19.3681
orf19.3682-T	orf19.3682
orf19.3687-T	orf19.3687
orf19.3691-T	orf19.3691
orf19.2926-T	orf19.2926
orf19.2935-T	orf19.2935
orf19.2936-T	orf19.2936
orf19.2937-T	orf19.2937
orf19.2939-T	orf19.2939
orf19.2940-T	orf19.2940
orf19.2941-T	orf19.2941
orf19.2943.5-T	orf19.2943.5
orf19.2946-T	orf19.2946
orf19.2948-T	orf19.2948
orf19.2949-T	orf19.2949
orf19.2954-T	orf19.2954
orf19.2960-T	orf19.2960
orf19.2961-T	orf19.2961
orf19.2962-T	orf19.2962
orf19.2965-T	orf19.2965
orf19.2965.1-T	orf19.2965.1
orf19.2966-T	orf19.2966
orf19.2967-T	orf19.2967
orf19.2968-T	orf19.2968
orf19.2969-T	orf19.2969
orf19.2970-T	orf19.2970
orf19.2971-T	orf19.2971
orf19.2972-T	orf19.2972
orf19.2973-T	orf19.2973
orf19.2975-T	orf19.2975
orf19.2983-T	orf19.2983
orf19.2986-T	orf19.2986
orf19.2988-T	orf19.2988
orf19.2989-T	orf19.2989
orf19.2991-T	orf19.2991
orf19.2992-T	orf19.2992
orf19.2994.1-T	orf19.2994.1
orf19.2995-T	orf19.2995
