sample	id	path	group
Ca.14	Ca.14	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.14.salmon_quant/quant.sf	Control
Ca.15	Ca.15	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.15.salmon_quant/quant.sf	Treatment
Ca.16	Ca.16	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.16.salmon_quant/quant.sf	Treatment
Ca.17	Ca.17	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.17.salmon_quant/quant.sf	Treatment
Ca.18	Ca.18	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.18.salmon_quant/quant.sf	Treatment
Ca.19	Ca.19	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.19.salmon_quant/quant.sf	Treatment
Ca.20	Ca.20	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.20.salmon_quant/quant.sf	Treatment
Ca.21	Ca.21	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.21.salmon_quant/quant.sf	Treatment
Ca.22	Ca.22	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.22.salmon_quant/quant.sf	Treatment
Ca.23	Ca.23	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.23.salmon_quant/quant.sf	Treatment
Ca.24	Ca.24	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.24.salmon_quant/quant.sf	Treatment
Ca.25	Ca.25	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.25.salmon_quant/quant.sf	Treatment
Ca.26	Ca.26	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep2/Ca.26.salmon_quant/quant.sf	Treatment
