tx	gene_id	Calb.t0000.b1.L001	Calb.t0000.b1.L002	Calb.t0000.b4.L001	Calb.t0000.b4.L002	Calb.t0015.b1.L001	Calb.t0015.b1.L002	Calb.t0015.b2.L001	Calb.t0015.b2.L002	Calb.t0030.b1.L001	Calb.t0030.b1.L002	Calb.t0030.b2.L001	Calb.t0030.b2.L002	Calb.t0045.b1.L001	Calb.t0045.b1.L002	Calb.t0045.b2.L001	Calb.t0045.b2.L002	Calb.t0060.b1.L001	Calb.t0060.b1.L002	Calb.t0060.b2.L001	Calb.t0060.b2.L002	Calb.t0090.b1.L001	Calb.t0090.b1.L002	Calb.t0090.b2.L001	Calb.t0090.b2.L002	Calb.t0120.b1.L001	Calb.t0120.b1.L002	Calb.t0120.b4.L001	Calb.t0120.b4.L002	Calb.t0150.b1.L001	Calb.t0150.b1.L002	Calb.t0150.b4.L001	Calb.t0150.b4.L002	Calb.t0180.b1.L001	Calb.t0180.b1.L002	Calb.t0180.b2.L001	Calb.t0180.b2.L002	Calb.t0210.b1.L001	Calb.t0210.b1.L002	Calb.t0210.b4.L001	Calb.t0210.b4.L002	Calb.t0240.b1.L001	Calb.t0240.b1.L002	Calb.t0240.b3.L001	Calb.t0240.b3.L002	Calb.t0360.b1.L001	Calb.t0360.b1.L002	Calb.t0360.b3.L001	Calb.t0360.b3.L002	Calb.t0480.b1.L001	Calb.t0480.b1.L002	Calb.t0480.b2.L001	Calb.t0480.b2.L002
CaalfMr16-T	CaalfMr16	10.884558	11.747159	6.894471	7.173581	28.886994	28.171818	2.525333	2.265439	5.528785	5.399946	1.989948	1.72223	3.403694	3.174096	5.018546	5.186856	2.686709	2.379374	6.173631	6.614296	7.293183	7.753687	21.517908	20.844013	46.164117	44.077174	24.598431	25.214521	15.302157	15.694262	24.559897	22.856894	25.100011	23.736339	14.025796	13.694539	31.429385	30.463139	31.327167	32.192985	36.145717	33.768014	46.204561	51.896908	40.05891	39.466673	85.931597	86.737784	132.292783	140.005234	30.830037	28.960311
CaalfMt18-T	CaalfMt18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.108523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMp01-T	CaalfMp01	0	0.171431	0.16633	0	0	0.718359	0	0	0.252183	0.12677	0	0.122702	0	0	0	0.27406	0.115792	0	0.138802	0	0.304479	0.130011	0.496549	0.837018	0.528453	0.928897	0.518709	0.526271	0.432831	0.437042	3.492319	4.587464	0.147756	0.298808	0	0.16917	0.889923	0.672974	0.363663	0.918268	0.397518	0.402079	1.078541	1.266991	0.698283	0.705676	2.267502	1.766617	2.187433	1.663955	0.383347	0
CaalfMt19-T	CaalfMt19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.779265	10.199407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMp02-T	CaalfMp02	1.205739	0	0	0	0.28345	0	0	0	0	0	0	0	0	0.297508	0	0.325774	0.549825	0	0.334934	0	0	0.614312	0.786752	0	0.636738	0.960528	0	0	0	0	3.313846	5.013515	0.970676	0	0.780052	0	0	0.526966	0	0	0.466748	0	0.837686	0	0	0.412421	0.407783	1.029033	0.427148	0.864498	0.901098	0
CaalfMp03-T	CaalfMp03	0.132379	0	0.129984	0.52493	0.371673	0	0.130073	0	0	0	0	0.096241	0	0	0	0.535776	0	0.091517	0	0	0.101189	0.203628	0.129424	0.262051	0.515372	0.517571	0	0.137237	0.112958	0.456256	2.839277	4.621935	0.346801	0.467653	0.13054	0.398418	0.523327	0.879528	0.855544	0.432346	0.311751	0.315402	0.423565	0.568973	0.136903	0	0.684741	0.971277	1.287267	0.725379	0	0.454482
CaalfMp04-T	CaalfMp04	0	0	0	0	0	0.346815	0	0	0	0.061222	0	0	0	0	0	0	0	0	0	0	0	0	0.959084	0.161694	0	0.256209	0	1.016562	1.53296	0	1.924658	2.26144	0.57082	0	0	0	0.214949	0.216733	0	0.354919	0.76814	0	0	0	0	0.340943	0.842766	1.36567	0	0.892911	0	0
CaalfMt20-T	CaalfMt20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.951487	4.194671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt21-T	CaalfMt21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.474267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt22-T	CaalfMt22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.850358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
