tx	gene_id	Cgla.t0000.b1.L001	Cgla.t0000.b1.L002	Cgla.t0000.b4.L001	Cgla.t0000.b4.L002	Cgla.t0015.b1.L001	Cgla.t0015.b1.L002	Cgla.t0015.b2.L001	Cgla.t0015.b2.L002	Cgla.t0030.b1.L001	Cgla.t0030.b1.L002	Cgla.t0030.b2.L001	Cgla.t0030.b2.L002	Cgla.t0045.b1.L001	Cgla.t0045.b1.L002	Cgla.t0045.b2.L001	Cgla.t0045.b2.L002	Cgla.t0060.b1.L001	Cgla.t0060.b1.L002	Cgla.t0060.b2.L001	Cgla.t0060.b2.L002	Cgla.t0090.b1.L001	Cgla.t0090.b1.L002	Cgla.t0090.b2.L001	Cgla.t0090.b2.L002	Cgla.t0120.b1.L001	Cgla.t0120.b1.L002	Cgla.t0120.b2.L001	Cgla.t0120.b2.L002	Cgla.t0180.b1.L001	Cgla.t0180.b1.L002	Cgla.t0180.b2.L001	Cgla.t0180.b2.L002	Cgla.t0240.b1.L001	Cgla.t0240.b1.L002	Cgla.t0240.b2.L001	Cgla.t0240.b2.L002	Cgla.t0360.b1.L001	Cgla.t0360.b1.L002	Cgla.t0360.b2.L001	Cgla.t0360.b2.L002	Cgla.t0480.b1.L001	Cgla.t0480.b1.L002	Cgla.t0480.b2.L001	Cgla.t0480.b2.L002
rna-gnl|PRJNA600925|mrna.GWK60_A00011	gene-GWK60_A00011	0	0.005368	0	0	0	0	0	0	0	0	0	0.005715	0	0.005695	0.006669	0	0.007523	0	0	0.007672	0	0.074815	0	0	0	0	0	0	0.021416	0.009743	0	0	0	0	0	0	0	0	0	0.014151	0	0	0.009119	0
rna-gnl|PRJNA600925|mrna.GWK60_A00033	gene-GWK60_A00033	0.223172	0.152071	0.233223	0.043739	0.041785	0	0.088705	0	0	0	0	0	0.039814	0	0.04708	0	0.101429	0	0.626528	0.061413	0.283787	0	0.056045	0.227983	0.136227	0.092232	0.045137	0.229268	0.307078	0.444849	0	0.196687	0.302371	0.58282	0.226147	0.733335	0.400121	0.517363	0.385116	0.710322	0.624301	0.942389	0.727888	0.665209
rna-gnl|PRJNA600925|mrna.GWK60_A00055	gene-GWK60_A00055	10.804095	12.178124	12.299984	8.78797	8.062191	9.108692	11.369019	10.858061	13.914411	13.842011	12.704025	14.824373	11.995652	12.00826	10.91342	10.119488	18.448706	15.981661	15.302767	13.855186	22.882139	22.73762	20.777714	25.312066	30.259179	34.355996	29.677008	34.787955	46.86956	48.572489	37.768263	42.117835	58.42319	57.512216	56.578732	52.685569	66.756459	69.332188	70.000301	64.161602	76.226376	79.15365	85.706717	91.516488
rna-gnl|PRJNA600925|mrna.GWK60_A00077	gene-GWK60_A00077	33.834836	33.567085	33.852247	35.069133	35.094875	40.468708	39.698509	39.764459	26.312804	26.888797	25.773374	24.409046	43.378552	44.690654	42.622325	44.482893	63.538038	70.565287	67.094591	67.020492	80.175362	77.629235	81.6679	76.759038	80.945242	75.726193	81.473129	82.385847	64.531155	65.448694	76.31314	77.249517	73.460538	72.111085	69.528279	70.881492	67.031984	70.243749	68.775157	71.24753	73.395109	72.823543	66.358888	68.525884
rna-gnl|PRJNA600925|mrna.GWK60_A00099	gene-GWK60_A00099	185.906834	182.696864	193.247161	199.34821	150.044458	155.14914	145.575858	147.248748	141.399661	145.866976	128.99862	132.905248	171.230739	175.630198	173.910945	174.692776	173.67095	174.603916	187.553765	180.924682	155.730694	153.512449	148.514868	145.605733	126.047644	125.323687	129.714858	131.108653	104.18789	97.772301	110.113817	111.500218	108.629799	101.622297	100.302937	97.273996	83.248475	85.18969	92.272138	91.863763	76.678672	78.051516	73.84068	74.691083
rna-gnl|PRJNA600925|mrna.GWK60_A00121	gene-GWK60_A00121	23.163881	22.612266	26.362123	23.564268	22.489246	21.690213	22.662109	21.218725	27.810339	30.200963	26.546316	26.258571	30.19953	28.008125	28.386207	32.173919	25.509439	27.474175	30.157426	29.657686	25.057972	26.130589	23.923033	23.387533	13.302239	14.966086	12.362246	12.357828	25.560027	25.416684	30.593152	30.456136	32.300765	30.430841	29.325481	26.370627	24.543458	26.809086	30.632943	28.185517	20.074354	21.07083	19.585384	19.772366
rna-gnl|PRJNA600925|mrna.GWK60_A00143	gene-GWK60_A00143	170.87338	153.407716	172.402798	163.779151	145.01382	157.77212	160.427803	158.319238	165.363196	155.349945	165.690772	178.583184	188.59011	169.346099	166.337393	174.675045	199.288964	187.537707	204.640746	198.184714	180.509636	178.344655	175.231701	177.407392	175.10832	166.724286	184.040823	175.913596	131.243944	119.707097	172.730619	163.347916	167.161259	168.00996	176.378694	172.282843	164.884858	164.043946	174.099721	175.640483	152.832218	155.751966	148.198919	155.972006
rna-gnl|PRJNA600925|mrna.GWK60_A00165	gene-GWK60_A00165	112.594883	110.810323	109.962839	113.189037	131.884058	128.716207	131.608546	123.57956	127.173271	122.483363	124.235446	120.292191	131.023289	130.549853	130.169857	141.07	142.490992	137.929814	132.274252	135.343478	114.479576	117.831702	107.971489	109.615056	117.691024	109.306231	102.928287	109.650193	106.124327	108.366874	121.35694	113.260834	122.339205	116.384647	116.589447	121.335845	125.088521	118.972131	111.357944	116.480725	105.082619	104.112338	107.725832	103.311701
rna-gnl|PRJNA600925|mrna.GWK60_A00187	gene-GWK60_A00187	85.012791	92.898522	99.53662	90.908388	65.564643	70.280614	62.893415	64.954459	60.309017	57.188329	53.95959	53.023676	88.228946	87.651735	86.828873	91.056593	119.995771	140.060276	132.08195	138.602233	106.766034	114.779804	112.293466	108.398968	107.797213	111.694597	123.66288	124.107295	78.173918	74.816053	114.473746	107.666183	96.594594	95.369653	102.629192	110.011437	84.658601	98.938183	97.420946	105.607021	84.78876	89.918151	89.798785	93.900548
rna-gnl|PRJNA600925|mrna.GWK60_A00209	gene-GWK60_A00209	26.663953	28.016484	26.503558	30.422202	17.853885	20.423972	18.854411	16.68059	18.565992	17.047776	17.940531	19.921901	15.601591	18.205999	15.800228	15.362412	17.511873	19.325801	24.253453	20.093484	24.299162	21.765504	22.857955	22.493896	27.121743	25.90505	29.847188	28.087962	30.01733	34.552489	29.100939	32.962768	33.882026	37.571544	33.378629	32.565973	33.702131	33.633534	32.374027	32.70325	33.771422	31.253406	33.404449	32.431957
