tx	gene_id	Klac.t0000.b1.L001	Klac.t0000.b1.L002	Klac.t0000.b2.L001	Klac.t0000.b2.L002	Klac.t0015.b3.L001	Klac.t0015.b3.L002	Klac.t0015.b4.L001	Klac.t0015.b4.L002	Klac.t0030.b3.L001	Klac.t0030.b3.L002	Klac.t0030.b4.L001	Klac.t0030.b4.L002	Klac.t0045.b3.L001	Klac.t0045.b3.L002	Klac.t0045.b4.L001	Klac.t0045.b4.L002	Klac.t0060.b3.L001	Klac.t0060.b3.L002	Klac.t0060.b4.L001	Klac.t0060.b4.L002	Klac.t0090.b3.L001	Klac.t0090.b3.L002	Klac.t0090.b4.L001	Klac.t0090.b4.L002	Klac.t0120.b4.L001	Klac.t0120.b4.L002	Klac.t0150.b1.L001	Klac.t0150.b1.L002	Klac.t0150.b2.L001	Klac.t0150.b2.L002	Klac.t0180.b3.L001	Klac.t0180.b3.L002	Klac.t0180.b4.L001	Klac.t0180.b4.L002	Klac.t0210.b3.L001	Klac.t0210.b3.L002	Klac.t0210.b4.L001	Klac.t0210.b4.L002	Klac.t0240.b3.L001	Klac.t0240.b3.L002	Klac.t0240.b4.L001	Klac.t0240.b4.L002	Klac.t0360.b3.L001	Klac.t0360.b3.L002	Klac.t0360.b4.L001	Klac.t0360.b4.L002	Klac.t0480.b3.L001	Klac.t0480.b3.L002	Klac.t0480.b4.L001	Klac.t0480.b4.L002
rna-XM_451004.1	gene-KLLA0_A00110g	7.150028	0	0	0	0	1.812955	0	0	0	0	0	3.708203	0.811209	2.44516	0	4.642316	0	1.950477	0	1.973055	4.45938	4.452529	4.217167	3.689896	9.007977	3.593468	4.228922	7.003177	14.052383	14.185871	11.868186	6.743243	5.886588	8.575348	22.123874	10.230903	8.373418	16.33385	15.595665	15.383839	0	10.582273	15.388472	0	0	11.857826	5.504585	7.693782	0.000222	3.731765
rna-XM_451005.1	gene-KLLA0_A00132g	2.348978	2.442533	3.186513	1.485347	2.321946	1.583136	2.9535	0.612178	0.504279	0.404984	1.810892	0.468704	2.040427	0.64808	2.553372	1.992002	3.749532	4.845363	4.062996	7.392248	13.85857	9.892706	11.922414	14.209748	27.461818	25.368929	27.989802	28.816612	27.394074	38.982073	29.2099	36.577893	41.552537	35.163996	36.41869	37.289021	38.440409	35.103634	37.164982	40.40688	39.087082	39.825614	31.363049	42.355753	32.613795	22.027877	22.971563	26.267544	26.57478	23.221272
rna-XM_002999298.1	gene-KLLA0_A00143g	0	17.810694	10.66197	0	5.678299	0	10.622009	0	5.091263	1.299715	0	0	0.665757	0	5.022328	4.595725	0	0	0	8.004839	52.211122	27.836482	24.495173	23.220618	0	44.51105	0	18.47295	0	0	26.221002	25.69456	28.946777	40.485332	23.048405	26.214631	60.092977	34.543477	0	0	0	22.588644	0.002558	29.315465	0	25.339123	24.008292	0	11.835832	0
rna-XM_451006.2	gene-KLLA0_A00154g	280.960256	277.021169	267.611919	262.311066	248.578968	254.056435	257.196719	236.077535	11.846975	11.853001	11.625831	12.540101	10.092559	9.424821	20.03505	18.102103	302.202263	289.664791	307.104735	306.172205	2078.367692	2083.489344	2206.200361	2241.195942	2431.341584	2590.064924	1784.169897	1770.258248	1692.400639	1700.857733	2203.90852	2251.540325	2241.028271	2179.183898	2079.403325	1967.616644	1916.677777	1887.50249	1774.264987	1757.354998	1600.232821	1622.961913	1115.077776	1122.071771	1012.217699	1010.230212	634.101946	651.897915	685.632583	673.705837
rna-XM_451007.1	gene-KLLA0_A00176g	1.67024	2.184682	3.054746	3.194912	2.412694	2.356664	0.907668	1.949825	29.361342	23.405988	21.90667	24.905411	333.613037	330.543212	358.272724	344.162007	1082.825324	1127.850592	973.918213	962.748452	1345.906584	1327.162783	1346.482257	1353.653531	1598.046562	1612.351198	1802.865358	1806.528708	1793.597125	1802.748948	2000.99628	1984.819868	2136.429728	2169.524824	2122.777878	2114.521972	1961.906244	1919.021038	2117.344705	2120.8667	2095.226454	2135.145331	2867.349569	2865.595769	2647.751052	2673.558736	2473.608323	2495.236827	3101.888229	3085.092724
rna-XM_451008.1	gene-KLLA0_A00198g	22.821799	23.222732	23.621623	24.646479	9.072717	7.359401	11.014896	8.646282	8.031321	8.201892	7.189531	6.977025	11.766295	12.059074	12.944688	14.672681	20.065796	19.625129	23.18571	23.471693	27.367564	31.032583	29.621775	29.769702	31.649455	37.284713	35.247985	35.147894	35.803683	39.722348	40.644626	39.007877	43.976141	41.993359	41.74373	43.366117	40.656165	44.13675	43.992203	49.648186	47.172823	47.295732	57.293383	63.258542	62.044207	61.391647	72.671186	72.25769	69.920202	71.625021
rna-XM_451009.1	gene-KLLA0_A00220g	430.537246	424.18389	375.397347	380.193803	187.394703	214.288679	218.18139	213.166038	14.264805	14.790949	7.969104	10.479994	45.151863	39.303054	62.044882	62.746505	416.801222	413.354994	438.205763	444.085748	761.637604	765.817653	756.359067	737.860666	732.680295	756.405361	813.348485	816.36783	735.547164	814.137869	849.047737	804.299783	817.751839	800.700686	797.973541	838.799884	785.600765	762.978527	783.707363	786.331381	800.63684	775.606384	776.159126	765.415531	786.357278	799.9643	774.648346	765.150112	773.569209	776.895616
rna-XM_451010.1	gene-KLLA0_A00242g	124.948109	123.838871	124.421223	121.448224	316.390863	316.571565	315.498371	321.218457	48.477283	46.472765	61.486758	63.900008	63.820263	61.694467	43.844441	52.299574	23.73991	22.37365	21.558017	21.988135	52.201899	54.906131	53.037994	55.809495	87.687817	96.738584	76.36104	77.926285	79.86551	81.287851	96.153777	98.743676	83.455343	93.588883	108.019162	99.995985	96.661335	105.58282	98.258359	100.99858	101.056397	99.178855	63.132223	66.812942	61.967076	64.226963	49.891086	45.699949	48.564761	41.317628
rna-XM_451011.1	gene-KLLA0_A00264g	555.169726	567.574432	535.343653	557.361718	454.284494	464.282291	457.17143	487.209373	139.072097	142.076803	126.421735	126.931453	170.432167	169.323467	266.843794	270.740834	464.107586	454.370883	532.276785	553.073317	811.571404	838.966811	809.171663	831.241238	992.825573	976.757725	1059.813696	1076.297104	1117.826355	1078.393583	1211.246079	1198.89515	1172.655101	1159.929436	1232.360468	1225.641132	1258.036209	1219.136924	1258.217861	1292.682721	1281.688894	1320.04447	1181.165269	1187.504021	1221.503211	1218.630099	1317.883537	1354.898138	1175.803854	1167.119221
rna-XM_451012.2	gene-KLLA0_A00286g	37.1484	34.600539	36.70423	34.81229	35.388969	36.133548	32.858646	31.290205	17.473097	17.777215	17.319122	16.771216	24.950791	25.906864	24.740713	23.937516	37.476077	37.528465	38.969392	39.091269	54.181035	51.693854	54.03167	52.288006	43.416026	45.789083	45.863034	42.814994	46.871749	45.578427	45.477294	45.695389	45.522322	46.041254	47.796094	47.697053	49.611194	50.178575	44.552608	45.99491	44.42841	44.645683	46.415303	51.125719	41.391498	42.373999	32.375827	30.83517	36.257166	35.840188
