"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"orf19.10",59.8239773309959,-2.0350713710652,0.394379329243617,4.04666426832652e-08,1.03645854142294e-07
"orf19.100",234.373116974709,-1.38409219131865,0.194323142798996,3.35044686171781e-13,1.09495978497588e-12
"orf19.1007",764.348586376652,1.39743677863142,0.116608948892459,1.39094672542974e-33,7.74973806145066e-33
"orf19.1010",526.666300921317,1.03686281434367,0.132428173899504,2.35973669355163e-15,8.38015955765854e-15
"orf19.1026",608.664184670093,1.12908293228957,0.125673656954293,1.13685182041022e-19,4.62839868584004e-19
"orf19.1027",929.772403946269,-1.37539034894179,0.106837822662501,2.06571336517042e-38,1.25903410485779e-37
"orf19.1029",244.541172743057,1.42632982219732,0.195240299534567,8.38531306041607e-14,2.82030858819286e-13
"orf19.1030",5273.26844033008,4.41441888973498,0.0847875853685428,0,0
"orf19.1033",3607.53144603693,-2.26071768020108,0.0739786505253636,6.01368957231793e-206,1.98197208179727e-204
"orf19.1034",505.841919811576,-1.75023953392809,0.139907694714028,1.51149163279659e-36,8.90736176034999e-36
"orf19.1042",22468.8954624789,1.18600031582005,0.058523444408644,3.59624714527759e-92,4.37519989608088e-91
"orf19.1045",478.518087145004,1.01487133221251,0.138390982907349,1.10698905722917e-13,3.69926761667408e-13
"orf19.1047",2506.46790859982,3.09118125452887,0.0862757051325536,4.81096359194679e-282,2.41673324308359e-280
"orf19.1065",50271.5178807257,3.45319989689474,0.0702826474003639,0,0
"orf19.1067",1123.61768746501,-2.51434627626475,0.108996043811623,1.11540271108123e-118,1.78149833008333e-117
"orf19.107",822.295244825135,1.79724667239606,0.11976887324031,1.56214789307779e-51,1.18810979560215e-50
"orf19.1077",2055.67507271025,-2.18829181114813,0.0902110461794507,7.27321922085846e-131,1.32858893040256e-129
"orf19.1082",108.728104318644,1.9909310802186,0.29121726145238,1.50808176784464e-12,4.77814920239281e-12
"orf19.1083",267.105281993471,1.05585983016695,0.184754738768581,5.1581101117346e-09,1.38909934656268e-08
"orf19.1091",508.809743358423,2.94272256400172,0.153777196635077,1.71296333528611e-82,1.87852968582696e-81
"orf19.1107",611.490634460522,-1.81743840781008,0.129914632202587,3.7978840543257e-45,2.59397146649065e-44
"orf19.1108",4217.13307871909,-2.94312828786437,0.0779974112226716,0,0
"orf19.1109",581.628167790959,1.02441300256711,0.126303877381858,2.48137138168307e-16,9.16753400741626e-16
"orf19.111",889.653725882383,-1.73334452583807,0.116392254660195,7.60771619869322e-51,5.73016495787909e-50
"orf19.1113",125.702405081224,-1.36438656002556,0.257375212410084,3.56028998576049e-08,9.15650137130558e-08
"orf19.1120",88.9772093388147,-1.04046170379343,0.296016344117216,0.000197342419530471,0.000387408109440688
"orf19.1124.2",1969.51915627927,1.8384443159128,0.084120803882642,1.49518497264647e-106,2.10712832457349e-105
"orf19.113",53.8757692558023,-2.29838952775831,0.451086514851867,4.60557634351153e-08,1.17767385237e-07
"orf19.1148",17.55838054646,-2.83901503572892,0.815415971273794,5.94303121613918e-05,0.000121933930979351
"orf19.1149",1160.5239688947,-1.27946000004575,0.0981878808248021,2.98714884842297e-39,1.85328189012218e-38
"orf19.1158",263.683469060875,-1.10006892333397,0.177432612890857,2.4596944553603e-10,7.06056993660797e-10
"orf19.1159",1038.23993711955,-2.44471092518696,0.111173005627826,4.61820660302434e-108,6.64360483377335e-107
"orf19.1164",5026.48612503569,2.42979682567406,0.0743311805536041,3.20224200079095e-235,1.25451354861175e-233
"orf19.1168",1595.61656128843,1.06142561844374,0.0870312885653076,1.5523730055011e-34,8.80667709587098e-34
"orf19.1171",7665.12646775208,10.6846345194999,0.344103485320295,8.0870782424847e-210,2.72294110121282e-208
"orf19.1183",2259.4039283518,-1.06213647650963,0.0806891590172897,6.55628538574686e-40,4.125161784628e-39
"orf19.1187",2651.26271431527,-1.2766337588864,0.0829405357169627,6.50138442067381e-54,5.06214044454715e-53
"orf19.1193",13835.527130118,-1.26289900977606,0.0622859983718841,8.02679487485134e-92,9.72741347771381e-91
"orf19.1199",6978.24052135393,2.55626028301131,0.0689059232579277,4.28188927682421e-302,2.42471711866709e-300
"orf19.1203.1",1149.4438491963,1.06462088206744,0.103516291767639,3.90870394153322e-25,1.83753334730645e-24
"orf19.1208",316.526629878056,-1.33515024556631,0.167668129944184,5.65406490352254e-16,2.0500099117603e-15
"orf19.1210",2097.11393481016,-1.70489338551767,0.081787480391818,3.72883996602799e-97,4.68285164282023e-96
"orf19.1224",1271.12772458238,1.41927961481248,0.108101846845134,7.19316354732523e-40,4.51675561857751e-39
"orf19.1234",391.058005773705,-1.40670804194936,0.159071996769744,2.82651891503623e-19,1.13516352815994e-18
"orf19.124",989.908960722338,3.59307147493676,0.128363075807433,2.90170341607897e-173,7.89288671561393e-172
"orf19.1250",986.79797234224,1.89124211920324,0.113647518319559,7.32231251631711e-63,6.42404009354075e-62
"orf19.1253",3388.20087455051,1.49687046086767,0.0742428506788234,6.14540506580748e-91,7.36148618363746e-90
"orf19.1275",952.046674335893,-1.59696121706503,0.112350090231107,1.87616574351395e-46,1.308693887609e-45
"orf19.1277",221.745790869627,-3.00766887276669,0.2283571897171,1.79006324050448e-40,1.13316096799821e-39
"orf19.1287",1541.55116593895,1.46175948991885,0.0908353960067035,8.4812593883855e-59,7.11991438413117e-58
"orf19.1290",1755.07332420354,-1.55392819277482,0.088550280874289,1.60065388110633e-69,1.50839228826193e-68
"orf19.1295",25258.5738067176,-1.89895141728217,0.0577975924721954,1.77586883612124e-237,7.04578788547721e-236
"orf19.1300",870.403686751838,1.08871592965541,0.107128884032904,1.33771077417413e-24,6.20909121634176e-24
"orf19.1301",303.718663726522,1.68179593084268,0.173109518926766,6.27540798176173e-23,2.78812527235334e-22
"orf19.1303",355.385330863239,1.09344070507031,0.155505379300557,9.17808808165564e-13,2.94692322992953e-12
"orf19.1304",470.000783082014,1.36548846690186,0.141600009313969,1.75497427411237e-22,7.70926287266992e-22
"orf19.1305",525.02583433645,1.5759782750589,0.134542017925918,2.90818739494073e-32,1.57385745291797e-31
"orf19.1314",634.100131715683,-1.52481243533812,0.124726682663585,6.12045581453294e-35,3.49123802827158e-34
"orf19.1325",307.667152217494,-1.23842768579896,0.16708030172295,4.56005929363427e-14,1.55301308584187e-13
"orf19.1330",235.42719449137,-2.54240493835353,0.219393265004509,5.63732676305345e-32,3.04025181013506e-31
"orf19.1331",1174.8085882181,-1.68783332603009,0.100005043949648,1.42903743177484e-64,1.29570220706339e-63
"orf19.1335",2182.33287783846,1.81027959917428,0.0817426745063433,2.46684229970599e-109,3.59858564048445e-108
"orf19.1339",7629.86212213475,-1.7049490898139,0.0637652831700805,4.16686122871211e-158,1.00213816963891e-156
"orf19.1340",3494.10546944348,-3.32567867462717,0.0821470725603612,0,0
"orf19.1341",595.338054410731,-2.11237326700071,0.132360826936227,4.0222862438001e-58,3.34064280168411e-57
"orf19.1342",16552.4938397877,-1.32743781441615,0.0582535966211906,2.98581051348113e-115,4.64965342211849e-114
"orf19.1353",3.53782593731407,-3.16668170707544,3.35833078007816,0.00740844877488162,0.0123985027992309
"orf19.1354",1038.31492883351,-6.46130308392428,0.465163493213534,3.65031256876059e-45,2.49591624487483e-44
"orf19.1358",12129.8937336441,-1.13955572228848,0.0587875761280956,4.25631568930444e-84,4.7598905617015e-83
"orf19.1361",1400.25669668153,1.51603297337565,0.0934675084483723,1.04434193890349e-59,8.85062032303383e-59
"orf19.1362",250.041993969182,2.37805201001935,0.199149852444321,1.13162643858551e-33,6.31621961106553e-33
"orf19.1363",12.4627121296179,-1.32230512337773,0.868772191408834,0.0274084878242853,0.0421966066874625
"orf19.1364",1476.073040047,-1.80250342309029,0.0922507818170378,1.03541492846598e-85,1.17908584815623e-84
"orf19.1365",103.035267934077,-1.76361431352846,0.297067092087784,6.14614039992867e-10,1.72763125230847e-09
"orf19.1368",865.222102216378,-1.58643350505129,0.109613347493246,4.56118105010658e-48,3.27322543330805e-47
"orf19.1375",6894.13587796328,-2.72604664315889,0.0679117553140625,0,0
"orf19.1378",7888.12147926009,1.04119225133071,0.061961209223959,1.14503741053828e-63,1.020377400607e-62
"orf19.1381",2149.61052702106,-1.58435193077008,0.0816151932402322,1.5399826123065e-84,1.73463864232499e-83
"orf19.1388",652.633952167553,3.0365126891351,0.145673883109331,2.01552750949815e-97,2.5363072437705e-96
"orf19.1390",5955.51887500156,1.09074182440844,0.0636781610267837,4.25293587453577e-66,3.90730642514503e-65
"orf19.1395",1467.41811246401,-2.29089269442895,0.0981956607451258,2.7857331817021e-121,4.57845171209033e-120
"orf19.1402",4485.66305960587,1.06617332707153,0.0688643911859603,2.21556726903056e-54,1.74472421223658e-53
"orf19.1403",1111.83945658249,1.18891678750689,0.107276713993348,6.1078060086475e-29,3.10069467219766e-28
"orf19.1404",605.290239816605,1.83183135333905,0.133262139109912,1.17412834446169e-43,7.89810524584432e-43
"orf19.1409.1",10221.8472193652,1.44597878758414,0.0720886580014905,5.72840360080762e-90,6.82260535935577e-89
"orf19.1433",504.220218586986,-1.59170552258592,0.137321363257724,1.15273463487546e-31,6.18465464310015e-31
"orf19.1435",236138.523356574,1.18434822366062,0.0549472609062202,2.17136124028343e-103,2.91495887192359e-102
"orf19.1440",849.630138676578,1.01051293440658,0.109715893196224,1.63473230113569e-20,6.83864842429429e-20
"orf19.1440.2",19.8832029038986,-1.12357203357997,0.614892854324545,0.0222324524958132,0.0347256636400251
"orf19.1461",577.57366105015,-1.38484917641947,0.130527226747825,8.6398799559052e-27,4.214394067763e-26
"orf19.1465",77.4571207504489,1.00731721718052,0.322378391152763,0.000826837351885126,0.00152966137953444
"orf19.1466",329.491941677018,1.25936718625615,0.162538013088751,3.44961312543136e-15,1.21330548607069e-14
