"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-GWK60_A00517",321.006475482831,-2.76745850284922,0.188478525567322,1.54917352233024e-49,5.8497148079376e-49
"gene-GWK60_A00737",176.432008196002,-2.06036134721088,0.222866735071745,5.32983256235681e-21,1.26797463943902e-20
"gene-GWK60_A00869",4880.80423179066,-3.62630959821859,0.0685977700560038,0,0
"gene-GWK60_A01001",2071.87305113962,2.52115596663205,0.0806232328723653,2.36606949305865e-215,3.05037390526678e-214
"gene-GWK60_A01133",5990.43300706084,2.62495969083361,0.0584329621447839,0,0
"gene-GWK60_A01155",55391.1660503907,7.12962642863754,0.107449895887652,0,0
"gene-GWK60_A01221",1142.02003387696,2.26298341921072,0.202818214730575,1.14297906727439e-29,3.21157579800389e-29
"gene-GWK60_A01353",7816.73795381758,-4.35470867441392,0.0655297610992306,0,0
"gene-GWK60_A01375",19682.8347432739,-2.35879944644473,0.121372553448081,2.35484655210063e-85,1.29025967333847e-84
"gene-GWK60_A01397",45.3507548033719,2.09997081119873,0.442195043975234,4.21494829559909e-07,6.70009913413454e-07
"gene-GWK60_A01419",450.943965077415,2.63984501187681,0.156273270021348,7.05447739959475e-65,3.18511168428055e-64
"gene-GWK60_A01463",2239.16665194077,2.74048744140973,0.0786193066227184,6.10916506287476e-267,1.00106567696951e-265
"gene-GWK60_A01529",8136.25195480299,2.42889580618636,0.0565616342810494,0,0
"gene-GWK60_A01771",700.379390056928,-2.02638131609157,0.119172435827037,1.55082379357203e-65,7.0382512115521e-65
"gene-GWK60_A01903",4358.22616176216,-2.73737763342698,0.0621237757987922,0,0
"gene-GWK60_A01925",8695.91624380916,-2.17570770101237,0.0517668891237818,0,0
"gene-GWK60_A01969",300.37362076586,2.0978790725722,0.171887303147653,6.51134326908718e-35,1.99939670726203e-34
"gene-GWK60_A02057",2404.35965099459,3.37357810880022,0.0870970443315404,0,0
"gene-GWK60_A02101",2537.4181608592,-3.41965006727625,0.0796748447685051,0,0
"gene-GWK60_A02607",323.810619971054,-2.26815414640629,0.171054688448138,8.36676573129904e-41,2.7924611514361e-40
"gene-GWK60_A03047",13995.4048036047,-2.89374950385844,0.0587845480266507,0,0
"gene-GWK60_A03091",974.202723504701,-2.64673301758749,0.114042184977439,4.21273975014843e-120,3.04382020409076e-119
"gene-GWK60_A03157",27217.7638931749,-2.86921641472473,0.0536288418704279,0,0
"gene-GWK60_A03267",24416.6810970906,-2.02213895348169,0.047356066137047,0,0
"gene-GWK60_A03421",1575.66040139158,2.01783070443727,0.0871083571687133,2.55027923480045e-119,1.83007759550482e-118
"gene-GWK60_A03531",858.250055889266,-4.49636345427947,0.152298009529632,1.80673167952219e-192,2.05701485590622e-191
"gene-GWK60_A03553",191.87907894273,-2.93488515529545,0.248921771827588,7.92481703890948e-33,2.35240054315259e-32
"gene-GWK60_A03619",796.746341889458,2.29485590844861,0.121110199326731,7.34928791677802e-81,3.85416295535916e-80
"gene-GWK60_A03795",1330.82186177994,2.28993650066851,0.0947260012453265,9.89859410734116e-130,7.6120767550606e-129
"gene-GWK60_A03905",5296.63646810111,-4.48453530849238,0.0708782690037806,0,0
"gene-GWK60_A04103",1541.94939518663,-2.20684779146448,0.0862055602380973,2.60723294877733e-145,2.21194279202722e-144
"gene-GWK60_A04147",1146.78540189764,-2.26410386634616,0.0965424594560371,2.17761632531908e-122,1.5930823186618e-121
"gene-GWK60_A04323",5339.63162372926,2.00700814156515,0.055691778814945,4.62987079009289e-285,8.17218803888879e-284
"gene-GWK60_A04411",30252.819802678,-3.25277124284438,0.0458547835933305,0,0
"gene-GWK60_A04543",429.805815961715,2.2994857166912,0.153655561368801,2.79077704926179e-51,1.0809637171662e-50
"gene-GWK60_A04565",660.557641623324,2.87013409126475,0.134014959196414,1.97055079026997e-102,1.25485437733899e-101
"gene-GWK60_B00121",4163.47143948808,-3.94676010365645,0.0743942417925032,0,0
"gene-GWK60_B00187",743.083288365212,-4.27133026554929,0.15346893862607,3.66895399610326e-171,3.71843892475975e-170
"gene-GWK60_B00209",35.9913104219778,-2.25219232310223,0.521423269318157,2.88028740624585e-06,4.41442650257959e-06
"gene-GWK60_B00319",1620.2477328869,-3.64997436344792,0.0993183785815271,1.0367599741e-296,1.93381470346311e-295
"gene-GWK60_B00627",1504.12324046658,-5.53168942618741,0.149391963345171,9.8779572224134e-301,1.86899478380915e-299
