"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-KDRO_C02880",4565.32242453968,5.21660055718254,0.108854124523174,0,0
"gene-KLLA0_A00176g",12564.0470744071,8.58862972520156,0.362612809606817,5.9875540237179e-125,2.278818709175e-123
"gene-KLLA0_A00242g",958.431506410689,-2.52125749605562,0.124409296189427,2.46784515006952e-92,6.40393352578645e-91
"gene-KLLA0_A01694g",18258.5402551517,4.10269164730334,0.0770946114467567,0,0
"gene-KLLA0_A04037g",659.446517891837,-3.73586505384212,0.168144408276857,2.57924919779243e-110,7.98324239654066e-109
"gene-KLLA0_A04125g",4548.37229804818,2.11489117909729,0.124750185963668,2.19590600066475e-65,3.97273416599136e-64
"gene-KLLA0_A04147g",7663.35797035949,2.92817094349013,0.088734004095662,7.98416147199618e-240,8.72821737087583e-238
"gene-KLLA0_A04653g",734.733888310296,-4.37348338838224,0.169844978324967,3.08296654025822e-147,1.50859829369969e-145
"gene-KLLA0_A04961g",5424.21889232418,-2.55854589065335,0.0819110585018384,3.24824353893556e-215,3.09064357463905e-213
"gene-KLLA0_A05159g",920.157279571357,-3.54956053035246,0.14688018514249,4.90807137855085e-130,2.01741365943954e-128
"gene-KLLA0_A05181g",51.9799512662595,-2.30180137578368,0.448706475661234,2.96626794898595e-08,1.2202309625212e-07
"gene-KLLA0_A05203g",373.423854625753,-2.03406859517684,0.177754615581499,3.19646339238912e-31,3.42154768960319e-30
"gene-KLLA0_A05456g",907.218276958036,-4.04900854646293,0.152299141968708,7.20733406837924e-157,3.81765798384871e-155
"gene-KLLA0_A05566g",119.109994781502,-3.56153466574129,0.34233669375461,2.645010968058e-26,2.41386613745683e-25
"gene-KLLA0_A05665g",560.681660783877,-3.79223697136884,0.17275285654558,9.14278482984114e-108,2.73114118928627e-106
"gene-KLLA0_A05863g",11798.1273636763,-4.20062531320187,0.0875054134059325,0,0
"gene-KLLA0_A05973g",283.904809566059,-3.02183188460408,0.208808719834104,1.77302055444593e-48,2.46877496171902e-47
"gene-KLLA0_A06710g",1316.23490386228,-3.37445268283497,0.131785571674696,1.257203984719e-145,5.98103154952427e-144
"gene-KLLA0_A07062g",17753.8019902182,2.64860043466937,0.0744937343383258,3.30456873303349e-278,4.24471853758151e-276
"gene-KLLA0_A07623g",245.180028747545,-2.81479311969356,0.231042479513332,3.79319022156154e-35,4.40936908560706e-34
