"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-YAL005C",28311.5436373559,3.24823000693136,0.0526133277775402,0,0
"gene-YAL061W",936.215766821073,2.25322168273959,0.113764021878399,1.76098317102524e-88,1.23145962680765e-86
"gene-YAR071W",348.468010531968,2.57173570609039,0.179235206840508,8.01194345005736e-48,2.61868629938288e-46
"gene-YBR072W",391.235210415716,2.65193908597769,0.169705350799735,3.92338997852742e-56,1.54217433535058e-54
"gene-YBR117C",1416.9813086406,3.63379638135218,0.113430550226511,4.28300579290362e-226,1.11991290602271e-223
"gene-YBR285W",96.1723154633542,2.95465610870183,0.351603662610627,3.89655803374687e-18,4.55027184756382e-17
"gene-YBR296C",84.8061241940852,2.17068472672362,0.349709552169859,3.71593493286014e-11,2.95213113424319e-10
"gene-YCL048W-A",51.2566139820222,5.23161115366057,0.777309456836807,9.05388565340062e-12,7.58357497486788e-11
"gene-YDL085W",279.444022781213,2.62718289099863,0.197115202469097,1.30871140046615e-41,3.56135310515991e-40
"gene-YDL204W",1858.6114269621,3.3717331050881,0.104239200299461,1.97961383499282e-230,5.66923695411754e-228
"gene-YDL222C",1235.28612452756,4.37515634362848,0.131116617333107,6.24771041996659e-245,2.0874294703155e-242
"gene-YDL223C",1956.08832972906,2.73032914662492,0.0909412932959304,4.21558726989052e-199,9.054479228972e-197
"gene-YDL246C",50.1004258712392,3.47249194354909,0.569511912990097,9.81812257038516e-11,7.58948446507666e-10
"gene-YDR014W-A",22.2027392767013,2.5742417770652,0.740879086228605,3.38737149797394e-05,0.000149681500285197
"gene-YDR019C",3893.52069160494,2.00263130132997,0.0679052026436178,2.54711652172132e-192,4.94140605213935e-190
"gene-YDR034W-B",19.7202322611848,7.36134622759178,2.62607180893925,1.11643321427544e-06,6.1093988631961e-06
"gene-YDR070C",236.437949768082,4.15841138582066,0.274668088111287,1.34198006685073e-52,4.86184826628934e-51
"gene-YDR345C",11191.7943052716,-2.15990129898364,0.0604881992844877,1.76618723554531e-280,8.17065387274578e-278
"gene-YDR453C",894.863997164664,3.88557001529532,0.146093811219845,6.07083458658566e-157,8.90487785456735e-155
"gene-YDR502C",4746.29414325581,-2.015914412539,0.277383682996998,2.24897092625963e-14,2.2209049508252e-13
