gene_id,original_id,scer_gene_name,functional_category,category_order
NA,NA,ENA1,Transporters,1
KLLA0_F20658g,XP_456007.1,ENA2,Transporters,1
KLLA0_A01694g,XP_451074.1,GIT1,Transporters,1
KDRO_C02880,QEU59767.1,PHO84,Transporters,1
KLLA0_F04169g,XP_455268.1,PHO89,Transporters,1
KLLA0_C07799g,XP_452547.1,VTC1,Poly P Metabolism,2
KLLA0_E12101g,XP_454495.1,VTC2,Poly P Metabolism,2
NA,NA,VTC3,Poly P Metabolism,2
KLLA0_F22627g,XP_456091.1,VTC4,Poly P Metabolism,2
KLLA0_E15687g,XP_454657.1,PHO81,Regulatory,3
KLLA0_E14983g,XP_454624.1,PHO86,Regulatory,3
KLLA0_D11066g,XP_453555.1,SPL2,Regulatory,3
KLLA0_B02805g,XP_451657.1,VIP1,Regulatory,3
KLLA0_F20273g,XP_455990.1,DDP1,Phosphatases,4
KLLA0_F00660g,XP_455109.1,GDE1,Phosphatases,4
KLLA0_C08217g,XP_452565.1,HOR2,Phosphatases,4
KLLA0_A01408g,XP_451061.1,PHM8,Phosphatases,4
KLLA0_A00176g,XP_451007.1,PHO11,Phosphatases,4
NA,NA,PHO12,Phosphatases,4
NA,NA,PHO5,Phosphatases,4
KLLA0_E12827g,XP_454528.1,PHO8,Phosphatases,4
KLLA0_B13761g,XP_452143.1,CBF1,Other,5
KLLA0_D07612g,XP_453402.1,CTF19,Other,5
NA,NA,PHM6,Other,5
NA,NA,SDT1,Other,5
