Orthogroup,gene_id,original_id,cagl_id,scer_gene_name,functional_category,category_order
OG0000517,KLLA0_B07557g,XP_451865.1,NA,CCP1,Stress / Redox,1
OG0000242,KLLA0_D14685g,XP_453581.1,NA,CTT1,Stress / Redox,1
OG0000007,KLLA0_D11000g,XP_453552.1,NA,GRE2,Stress / Redox,1
OG0002361,KLLA0_E21627g,XP_454929.1,NA,GRE3,Stress / Redox,1
OG0003992,KLLA0_F18909g,XP_455928.1,NA,HSP26,Stress / Redox,1
OG0000212,KLLA0_F06732g,XP_455385.1,NA,HYR1,Stress / Redox,1
OG0000160,KLLA0_D16962g,XP_453809.1,NA,PUT1,Stress / Redox,1
OG0002957,KLLA0_F04015g,XP_455262.1,NA,XBP1,Stress / Redox,1
OG0002092,KLLA0_A05137g,XP_451226.1,NA,APG7,Protein folding / QC,2
OG0001246,KLLA0_F22583g,XP_456089.1,NA,CCT3,Protein folding / QC,2
OG0002111,KLLA0_F05005g,XP_455307.1,NA,CCT4,Protein folding / QC,2
OG0002891,KLLA0_B13882g,XP_452149.1,NA,CCT5,Protein folding / QC,2
OG0004339,KLLA0_E13069g,XP_454539.1,NA,DDR48,Protein folding / QC,2
OG0000574,KLLA0_B04664g,XP_451741.1,NA,FPR4,Protein folding / QC,2
OG0001768,KLLA0_D11132g,XP_453558.1,NA,GIM3,Protein folding / QC,2
OG0002808,KLLA0_F18194g,XP_455896.1,NA,HSP104,Protein folding / QC,2
OG0000379,KLLA0_D07634g,XP_453403.1,NA,HSP12,Protein folding / QC,2
OG0004261,KLLA0_D17446g,XP_453832.1,NA,HSP42,Protein folding / QC,2
OG0003249,KLLA0_E16897g,XP_454711.1,NA,HSP78,Protein folding / QC,2
OG0001078,KLLA0_F13574g,XP_455691.1,NA,LAP4,Protein folding / QC,2
NA,NA,NA,NA,PAI3,Protein folding / QC,2
OG0000276,KLLA0_E08867g,XP_002999372.1,NA,PBI2,Protein folding / QC,2
OG0001126,KLLA0_C14652g,XP_452856.1,NA,PDR13,Protein folding / QC,2
OG0000928,KLLA0_D05929g,XP_453326.1,NA,PEP4,Protein folding / QC,2
OG0000100,KLLA0_D00979g,XP_453114.1,NA,PRB1,Protein folding / QC,2
OG0000018,KLLA0_E20527g,XP_453252.1,NA,SSA3,Protein folding / QC,2
OG0000018,KLLA0_E20527g,XP_453252.1,NA,SSA4,Protein folding / QC,2
OG0000594,KLLA0_E24597g,XP_455059.1,NA,SSE2,Protein folding / QC,2
OG0000117,KLLA0_E04027g,XP_454125.1,NA,UBC5,Protein folding / QC,2
OG0001606,KLLA0_A11198g,XP_451487.1,NA,UBC8,Protein folding / QC,2
OG0003943,KLLA0_E00749g,XP_453980.1,NA,UBI4,Protein folding / QC,2
OG0002732,KLLA0_D08459g,XP_453439.1,NA,UBP10,Protein folding / QC,2
OG0003567,NA,NA,NA,UBP15,Protein folding / QC,2
OG0000323,KLLA0_E24883g,XP_451852.1,NA,YJL163C,Protein folding / QC,2
OG0000008,KLLA0_D15917g,XP_453761.1,NA,YPS6,Protein folding / QC,2
OG0001402,KLLA0_D06105g,XP_453334.1,NA,CDC60,Translation / Ribosome,3
OG0002275,KLLA0_C15499g,XP_452893.1,NA,DBP3,Translation / Ribosome,3
OG0002026,KLLA0_F13926g,XP_455707.1,NA,DBP7,Translation / Ribosome,3
OG0001519,KLLA0_A08426g,XP_451372.1,NA,DED81,Translation / Ribosome,3
OG0001117,KLLA0_D00594g,XP_453098.1,NA,DIM1,Translation / Ribosome,3
OG0003078,KLLA0_F15752g,XP_455788.1,NA,DRS1,Translation / Ribosome,3
OG0001201,KLLA0_C18469g,XP_453023.1,NA,EFB1,Translation / Ribosome,3
OG0000653,KLLA0_E02993g,XP_454080.1,NA,EFT2,Translation / Ribosome,3
OG0001352,KLLA0_D05137g,XP_453289.1,NA,FRS1,Translation / Ribosome,3
OG0003183,KLLA0_F25234g,XP_456205.1,NA,FRS2,Translation / Ribosome,3
OG0002091,KLLA0_F21604g,XP_456044.1,NA,GAR1,Translation / Ribosome,3
OG0002232,KLLA0_C09570g,XP_452624.1,NA,GCD1,Translation / Ribosome,3
OG0002002,KLLA0_F03377g,XP_455233.1,NA,GCD10,Translation / Ribosome,3
OG0003042,KLLA0_D10571g,XP_453532.1,NA,GCD11,Translation / Ribosome,3
OG0001110,KLLA0_E15225g,XP_454636.1,NA,GCD14,Translation / Ribosome,3
OG0003247,KLLA0_F08327g,XP_455458.1,NA,GCD2,Translation / Ribosome,3
OG0003091,KLLA0_A04235g,XP_451187.1,NA,GCD6,Translation / Ribosome,3
OG0000820,KLLA0_A04433g,XP_451194.1,NA,GCD7,Translation / Ribosome,3
OG0002028,KLLA0_F13970g,XP_455709.2,NA,GCN3,Translation / Ribosome,3
OG0001403,KLLA0_F20449g,XP_455998.1,NA,GLN4,Translation / Ribosome,3
OG0003024,KLLA0_B08932g,XP_451926.1,NA,GRS1,Translation / Ribosome,3
OG0001363,KLLA0_D09504g,XP_453485.1,NA,HCA4,Translation / Ribosome,3
OG0002807,KLLA0_E06381g,XP_454235.1,NA,HTS1,Translation / Ribosome,3
OG0002265,KLLA0_E15995g,XP_454669.1,NA,IMP3,Translation / Ribosome,3
OG0001614,KLLA0_E07833g,XP_454302.1,NA,IMP4,Translation / Ribosome,3
OG0002622,KLLA0_F18392g,XP_455904.1,NA,KRS1,Translation / Ribosome,3
OG0002861,KLLA0_E13641g,XP_454565.1,NA,LCP5,Translation / Ribosome,3
OG0003158,KLLA0_B14036g,XP_452156.1,NA,LOS1,Translation / Ribosome,3
OG0001884,KLLA0_A09647g,XP_451421.1,NA,MES1,Translation / Ribosome,3
OG0001924,KLLA0_D09757g,XP_453497.1,NA,MPP10,Translation / Ribosome,3
OG0001487,KLLA0_E13707g,XP_454568.1,NA,MRP8,Translation / Ribosome,3
OG0001823,KLLA0_B02266g,XP_451632.1,NA,NIP7,Translation / Ribosome,3
OG0001663,KLLA0_D11792g,XP_453587.1,NA,NOP4,Translation / Ribosome,3
OG0002953,KLLA0_F08613g,XP_455471.1,NA,NOP58,Translation / Ribosome,3
OG0002497,KLLA0_D07898g,XP_453415.1,NA,PROTEIN,Translation / Ribosome,3
OG0000797,KLLA0_C13948g,XP_452823.1,NA,PRP12,Translation / Ribosome,3
OG0001384,KLLA0_A03531g,XP_451155.1,NA,PRT1,Translation / Ribosome,3
OG0001580,KLLA0_B02244g,XP_451631.1,NA,PUS1,Translation / Ribosome,3
OG0002866,KLLA0_E13157g,XP_454543.1,NA,PUS4,Translation / Ribosome,3
OG0003520,KLLA0_D04884g,XP_453277.1,NA,RLP7,Translation / Ribosome,3
OG0000367,KLLA0_F24816g,XP_456185.1,NA,RNT1,Translation / Ribosome,3
OG0003047,KLLA0_C17424g,XP_452978.1,NA,ROK1,Translation / Ribosome,3
OG0002597,KLLA0_C14498g,XP_452849.1,NA,RPG1,Translation / Ribosome,3
OG0001395,KLLA0_D05643g,XP_453312.1,NA,RPL10,Translation / Ribosome,3
OG0000951,KLLA0_F08261g,XP_455455.1,NA,RPL11A,Translation / Ribosome,3
OG0000951,KLLA0_F08261g,XP_455455.1,NA,RPL11B,Translation / Ribosome,3
OG0000862,KLLA0_A01903g,XP_451084.1,NA,RPL12A,Translation / Ribosome,3
OG0000862,KLLA0_A01903g,XP_451084.1,NA,RPL12B,Translation / Ribosome,3
OG0001082,KLLA0_E22001g,XP_454947.1,NA,RPL13A,Translation / Ribosome,3
OG0001082,KLLA0_E22001g,XP_454947.1,NA,RPL13B,Translation / Ribosome,3
OG0000977,KLLA0_B13409g,XP_452128.1,NA,RPL14A,Translation / Ribosome,3
OG0000977,KLLA0_B13409g,XP_452128.1,NA,RPL14B,Translation / Ribosome,3
OG0001024,KLLA0_F17633g,XP_455872.1,NA,RPL15A,Translation / Ribosome,3
OG0001024,KLLA0_F17633g,XP_455872.1,NA,RPL15B,Translation / Ribosome,3
OG0001077,KLLA0_F04675g,XP_455291.1,NA,RPL16A,Translation / Ribosome,3
OG0001077,KLLA0_F04675g,XP_455291.1,NA,RPL16B,Translation / Ribosome,3
OG0000934,KLLA0_A06336g,XP_451283.1,NA,RPL17A,Translation / Ribosome,3
OG0000934,KLLA0_A06336g,XP_451283.1,NA,RPL17B,Translation / Ribosome,3
OG0000762,KLLA0_A07227g,XP_451321.1,NA,RPL18A,Translation / Ribosome,3
OG0000762,KLLA0_A07227g,XP_451321.1,NA,RPL18B,Translation / Ribosome,3
OG0001001,KLLA0_E12453g,XP_454510.1,NA,RPL19B,Translation / Ribosome,3
OG0001042,KLLA0_B02002g,XP_451620.1,NA,RPL1A,Translation / Ribosome,3
OG0001042,KLLA0_B02002g,XP_451620.1,NA,RPL1B,Translation / Ribosome,3
OG0000658,KLLA0_F08657g,XP_455473.2,NA,RPL20A,Translation / Ribosome,3
OG0000658,KLLA0_F08657g,XP_455473.2,NA,RPL20B,Translation / Ribosome,3
OG0000710,KLLA0_E23651g,XP_455019.1,NA,RPL21A,Translation / Ribosome,3
OG0000710,KLLA0_E23651g,XP_455019.1,NA,RPL21B,Translation / Ribosome,3
OG0000817,KLLA0_D05181g,XP_453291.1,NA,RPL22A,Translation / Ribosome,3
OG0000854,KLLA0_E06997g,XP_454264.1,NA,RPL23A,Translation / Ribosome,3
OG0000854,KLLA0_E06997g,XP_454264.1,NA,RPL23B,Translation / Ribosome,3
OG0000988,KLLA0_E10869g,XP_454440.1,NA,RPL24A,Translation / Ribosome,3
OG0000988,KLLA0_E10869g,XP_454440.1,NA,RPL24B,Translation / Ribosome,3
OG0002290,KLLA0_E07481g,XP_454286.1,NA,RPL25,Translation / Ribosome,3
OG0000913,KLLA0_B05742g,XP_451792.1,NA,RPL26A,Translation / Ribosome,3
OG0000913,KLLA0_B05742g,XP_451792.1,NA,RPL26B,Translation / Ribosome,3
OG0000864,KLLA0_E03455g,XP_454100.1,NA,RPL27A,Translation / Ribosome,3
OG0000864,KLLA0_E03455g,XP_454100.1,NA,RPL27B,Translation / Ribosome,3
OG0001927,KLLA0_F06831g,XP_455390.1,NA,RPL28,Translation / Ribosome,3
OG0000584,KLLA0_D16027g,XP_453766.1,NA,RPL2B,Translation / Ribosome,3
OG0001143,KLLA0_F16511g,XP_455822.1,NA,RPL3,Translation / Ribosome,3
OG0001529,KLLA0_E10847g,XP_454439.1,NA,RPL30,Translation / Ribosome,3
OG0000798,KLLA0_B02937g,XP_451663.1,NA,RPL31A,Translation / Ribosome,3
OG0002379,KLLA0_E06843g,XP_454257.1,NA,RPL32,Translation / Ribosome,3
OG0000529,KLLA0_D07405g,XP_453392.1,NA,RPL33A,Translation / Ribosome,3
OG0000529,KLLA0_D07405g,XP_453392.1,NA,RPL33B,Translation / Ribosome,3
OG0000932,KLLA0_C08371g,XP_452572.1,NA,RPL34B,Translation / Ribosome,3
OG0000657,KLLA0_F05247g,XP_455318.1,NA,RPL35A,Translation / Ribosome,3
OG0000657,KLLA0_F05247g,XP_455318.1,NA,RPL35B,Translation / Ribosome,3
