OG,gene_id,qng_id,cagl_id,in_orthogroup
NA,GWK60_A00121,QNG12112.1,CAGL0A00231g,FALSE
NA,GWK60_A00451,QNG12127.1,CAGL0A00561g,FALSE
NA,GWK60_A00539,QNG12131.1,CAGL0A00649g,FALSE
NA,GWK60_A00561,NA,NA,FALSE
NA,GWK60_A00583,QNG12132.1,CAGL0G07188g,FALSE
NA,GWK60_A00627,QNG12134.1,CAGL0A00715g,FALSE
NA,GWK60_A00847,QNG12144.1,CAGL0A00957g,FALSE
NA,GWK60_A01089,QNG12155.1,CAGL0A01193g,FALSE
NA,GWK60_A01331,NA,NA,FALSE
NA,GWK60_A01419,QNG12169.1,CAGL0A01606g,FALSE
NA,GWK60_A01705,QNG12182.1,CAGL0A01892g,FALSE
NA,GWK60_A01749,NA,NA,FALSE
NA,GWK60_A01881,NA,NA,FALSE
NA,GWK60_A01991,NA,NA,FALSE
NA,GWK60_A02079,QNG12196.1,CAGL0A02255g,FALSE
NA,GWK60_A02101,QNG12197.1,CAGL0A02299g,FALSE
NA,GWK60_A02145,QNG12199.1,CAGL0A02343g,FALSE
NA,GWK60_A02255,NA,NA,FALSE
NA,GWK60_A02695,QNG12223.1,CAGL0A02860g,FALSE
NA,GWK60_A02827,QNG12229.1,CAGL0A02981g,FALSE
NA,GWK60_A02959,QNG12235.1,CAGL0A03080g,FALSE
NA,GWK60_A03091,QNG12241.1,CAGL0A03212g,FALSE
NA,GWK60_A03399,NA,NA,FALSE
NA,GWK60_A03487,QNG12258.1,CAGL0A03608g,FALSE
NA,GWK60_A03641,NA,NA,FALSE
NA,GWK60_A03729,NA,NA,FALSE
NA,GWK60_A04433,QNG12299.1,CAGL0A04543g,FALSE
NA,GWK60_B00033,NA,NA,FALSE
NA,GWK60_B00055,QNG12313.1,CAGL0B00220g,FALSE
NA,GWK60_B00451,QNG12331.1,CAGL0B00638g,FALSE
NA,GWK60_B00539,QNG12335.1,CAGL0B00715g,FALSE
NA,GWK60_B00561,QNG12336.1,CAGL0B00726g,FALSE
NA,GWK60_B00869,NA,NA,FALSE
NA,GWK60_B01111,NA,NA,FALSE
NA,GWK60_B01485,NA,NA,FALSE
NA,GWK60_B01815,QNG12390.1,CAGL0B01969g,FALSE
NA,GWK60_B01991,QNG12398.1,CAGL0B02145g,FALSE
NA,GWK60_B02981,NA,NA,FALSE
NA,GWK60_B03047,QNG12445.1,CAGL0B03223g,FALSE
NA,GWK60_B03443,QNG12463.1,CAGL0B03608g,FALSE
NA,GWK60_B03575,NA,NA,FALSE
NA,GWK60_B03729,QNG12475.1,CAGL0B03883g,FALSE
NA,GWK60_B03949,NA,NA,FALSE
NA,GWK60_B04103,QNG12491.1,CAGL0B04235g,FALSE
NA,GWK60_B04675,QNG12517.1,CAGL0B04829g,FALSE
NA,GWK60_B04851,NA,NA,FALSE
NA,GWK60_B04873,NA,NA,FALSE
NA,GWK60_C00341,QNG12542.1,CAGL0C00517g,FALSE
NA,GWK60_C00605,QNG12554.1,CAGL0C00792g,FALSE
NA,GWK60_C00649,QNG12556.1,CAGL0C00836g,FALSE
NA,GWK60_C00847,QNG12565.1,CAGL0C01287g,FALSE
NA,GWK60_C01023,QNG12573.1,CAGL0C01435g,FALSE
NA,GWK60_C01221,QNG12582.1,CAGL0C01617g,FALSE
NA,GWK60_C01441,QNG12592.1,CAGL0C01848g,FALSE
NA,GWK60_C01661,QNG12602.1,CAGL0C02057g,FALSE
NA,GWK60_C01705,QNG12604.1,CAGL0C02101g,FALSE
NA,GWK60_C01969,QNG12616.1,CAGL0C02365g,FALSE
NA,GWK60_C02255,QNG12629.1,CAGL0C02629g,FALSE
NA,GWK60_C02695,NA,NA,FALSE
NA,GWK60_C02761,NA,NA,FALSE
