Orthogroup	C_albicans	C_auris	C_glabrata	C_nivariensis	C_parapsilosis	K_lactis	L_kluyveri	N_bacillisporus	S_cerevisiae	Y_lipolytica
OG0006082	orf19.4921.1 orf19.4921.1 CGDID_CAL0120803 COORDS_Ca21chr1_C_albicans_SC5314_2812003-2812167W_ translated using codon table 12 _54 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm repressed									
OG0006083	orf19.3042 orf19.3042 CGDID_CAL0001408 COORDS_Ca21chr1_C_albicans_SC5314_717757-718581W_ translated using codon table 12 _274 amino acids_ Uncharacterized ORF; Protein of unknown function; Hap43-induced; rat catheter biofilm induced									
OG0006084	orf19.7340 orf19.7340 CGDID_CAL0004627 COORDS_Ca21chrR_C_albicans_SC5314_2006764-2006432C_ translated using codon table 12 _110 amino acids_ Dubious ORF; Protein of unknown function; possibly C. albicans specific; Spider biofilm induced									
OG0006085	orf19.4057 orf19.4057 CGDID_CAL0004849 COORDS_Ca21chr1_C_albicans_SC5314_1072230-1072670W_ translated using codon table 12 _146 amino acids_ Dubious ORF; Protein of unknown function									
OG0006086	orf19.3374 ECE1 CGDID_CAL0004191 COORDS_Ca21chr4_C_albicans_SC5314_727428-726613C_ translated using codon table 12 _271 amino acids_ Verified ORF; Hypha-specific protein; regulated by Rfg1_ Nrg1_ Tup1_ Cph1_ Efg1_ Hog1_ farnesol_ phagocytosis; fluconazole-induced; rat catheter and Spider biofilm induced; flow model biofilm repressed; Bcr1-repressed in RPMI a/a biofilms									
OG0006087	orf19.4196 orf19.4196 CGDID_CAL0005893 COORDS_Ca21chr6_C_albicans_SC5314_111554-111222C_ translated using codon table 12 _110 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006088	orf19.4861.1 orf19.4861.1 CGDID_CAF0007023 COORDS_Ca21chr1_C_albicans_SC5314_2173946-2174230W_ translated using codon table 12 _94 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006089	orf19.5860 orf19.5860 CGDID_CAL0002402 COORDS_Ca21chr3_C_albicans_SC5314_869678-870082W_ translated using codon table 12 _134 amino acids_ Uncharacterized ORF; Predicted ORF from Assembly 19; removed from Assembly 20; subsequently reinstated in Assembly 21 based on comparative genome analysis									
OG0006090	orf19.1258 orf19.1258 CGDID_CAL0002959 COORDS_Ca21chr4_C_albicans_SC5314_1263995-1264708W_ translated using codon table 12 _237 amino acids_ Uncharacterized ORF; Adhesin-like protein; regulated by Tsa1_ Tsa1B in minimal media at 37 deg; clade-associated gene expression; induced by alpha pheromone in SpiderM medium; Hap43-induced; Spider biofilm repressed									
OG0006091	orf19.3277 orf19.3277 CGDID_CAL0003393 COORDS_Ca21chrR_C_albicans_SC5314_185744-185406C_ translated using codon table 12 _112 amino acids_ Dubious ORF; Protein of unknown function									
