gene_id,gene_name,xp_id,OG,in_orthogroup
KLLA0_A00220g,NA,XP_451009.1,NA,FALSE
KLLA0_A00308r,NA,NA,NA,FALSE
KLLA0_A00506g,NA,XP_451020.1,NA,FALSE
KLLA0_A00550g,NA,XP_451022.1,NA,FALSE
KLLA0_A00825g,NA,XP_451035.1,NA,FALSE
KLLA0_A01111g,NA,XP_451048.1,NA,FALSE
KLLA0_A01474g,NA,XP_451064.1,NA,FALSE
KLLA0_A02042r,NA,NA,NA,FALSE
KLLA0_A02049r,NA,NA,NA,FALSE
KLLA0_A02299g,NA,XP_451102.1,NA,FALSE
KLLA0_A02387g,NA,XP_451106.1,NA,FALSE
KLLA0_A02409r,NA,NA,NA,FALSE
KLLA0_A02431g,NA,XP_451107.1,NA,FALSE
KLLA0_A02783r,NA,NA,NA,FALSE
KLLA0_A03762r,NA,NA,NA,FALSE
KLLA0_A03784r,NA,NA,NA,FALSE
KLLA0_A04257r,NA,NA,NA,FALSE
KLLA0_A04367g,NA,XP_451191.1,NA,FALSE
KLLA0_A04521g,NA,XP_451198.1,NA,FALSE
KLLA0_A04620g,NA,XP_002999346.1,NA,FALSE
KLLA0_A04686r,NA,NA,NA,FALSE
KLLA0_A05302g,NA,XP_451234.1,NA,FALSE
KLLA0_A05511g,NA,XP_002999347.1,NA,FALSE
KLLA0_A05687g,NA,XP_451252.1,NA,FALSE
KLLA0_A05852g,NA,XP_002999348.1,NA,FALSE
KLLA0_A05987r,NA,NA,NA,FALSE
KLLA0_A06002r,NA,NA,NA,FALSE
KLLA0_A06072r,NA,NA,NA,FALSE
KLLA0_A06105g,NA,XP_451272.1,NA,FALSE
KLLA0_A06127g,NA,XP_451273.1,NA,FALSE
KLLA0_A06446g,NA,XP_451287.1,NA,FALSE
KLLA0_A06864r,NA,NA,NA,FALSE
KLLA0_A06908r,NA,NA,NA,FALSE
KLLA0_A06996g,NA,XP_451310.1,NA,FALSE
KLLA0_A07150g,NA,XP_451317.1,NA,FALSE
KLLA0_A07315g,NA,XP_451325.1,NA,FALSE
KLLA0_A07645g,NA,XP_451340.1,NA,FALSE
KLLA0_A07777g,NA,XP_451346.1,NA,FALSE
KLLA0_A07865g,NA,XP_451350.1,NA,FALSE
KLLA0_A08085r,NA,NA,NA,FALSE
KLLA0_A08162g,NA,XP_451363.1,NA,FALSE
KLLA0_A08228r,NA,NA,NA,FALSE
KLLA0_A08294r,NA,NA,NA,FALSE
KLLA0_A08316g,NA,XP_451367.1,NA,FALSE
KLLA0_A08338g,NA,XP_451368.1,NA,FALSE
KLLA0_A08514r,NA,NA,NA,FALSE
KLLA0_A08558r,NA,NA,NA,FALSE
KLLA0_A08690g,NA,XP_451381.1,NA,FALSE
KLLA0_A08866g,NA,XP_451389.1,NA,FALSE
KLLA0_A08965r,NA,NA,NA,FALSE
KLLA0_A08987r,NA,NA,NA,FALSE
KLLA0_A09273r,NA,NA,NA,FALSE
KLLA0_A09405g,NA,XP_451411.1,NA,FALSE
KLLA0_A09581r,NA,NA,NA,FALSE
KLLA0_A09779g,NA,XP_451427.1,NA,FALSE
KLLA0_A10351g,NA,XP_451453.1,NA,FALSE
KLLA0_A10505g,NA,XP_451460.1,NA,FALSE
KLLA0_A10615r,NA,NA,NA,FALSE
KLLA0_A10725r,NA,NA,NA,FALSE
KLLA0_A10879r,NA,NA,NA,FALSE
KLLA0_A10967g,NA,XP_451477.1,NA,FALSE
KLLA0_A10989g,NA,XP_451478.1,NA,FALSE
KLLA0_A11088g,NA,XP_451483.1,NA,FALSE
KLLA0_A11154r,NA,NA,NA,FALSE
KLLA0_A11220g,NA,XP_451488.1,NA,FALSE
KLLA0_A11264r,NA,NA,NA,FALSE
KLLA0_A11330g,NA,XP_451492.1,NA,FALSE
KLLA0_A11550g,NA,XP_451502.1,NA,FALSE
KLLA0_A11605g,NA,XP_002999351.1,NA,FALSE
KLLA0_A11616g,NA,XP_451505.1,NA,FALSE
KLLA0_A11748g,NA,XP_451511.1,NA,FALSE
KLLA0_A11913g,NA,XP_451519.1,NA,FALSE
KLLA0_A11979g,NA,XP_451522.1,NA,FALSE
KLLA0_A12001g,NA,XP_451523.2,NA,FALSE
KLLA0_A12045g,NA,XP_451524.1,NA,FALSE
KLLA0_A12067g,NA,XP_451525.1,NA,FALSE
