Orthogroup,gene_id,original_id,cagl_id,scer_gene_name,functional_category,category_order
OG0000517,GWK60_K07997,QNG15747.1,CAGL0K08184g,CCP1,Antioxidant,1
OG0000242,GWK60_K10615,QNG15859.1,CAGL0K10868g,CTT1,Antioxidant,1
OG0001098,GWK60_C04235,QNG12711.1,CAGL0C04741g,SOD1,Antioxidant,1
OG0000815,GWK60_E04037,QNG13224.1,CAGL0E04356g,SOD2,Antioxidant,1
OG0000585,GWK60_L00979,QNG12207.1,CAGL0A02530g,TRR1,Antioxidant,1
OG0000173,GWK60_E00363,QNG13064.1,CAGL0E00583g,TRX2,Antioxidant,1
NA,NA,NA,NA,TSA1,Antioxidant,1
OG0000176,GWK60_M11649,QNG17218.1,CAGL0M11704g,ahp1,Antioxidant,1
OG0001432,GWK60_H06281,QNG14414.1,CAGL0H06369g,cys3,Antioxidant,1
OG0001009,GWK60_H05577,QNG14383.1,CAGL0H05665g,glr1,Antioxidant,1
OG0000007,GWK60_E04873,QNG13261.1,CAGL0E05170g,gre2,Antioxidant,1
OG0000532,GWK60_K05665,QNG15646.1,CAGL0K05813g,grx1,Antioxidant,1
OG0003440,GWK60_L11605,QNG16459.1,CAGL0L03630g,gsh1,Antioxidant,1
OG0000837,GWK60_D01419,QNG12817.1,CAGL0D01298g,tkl2,Antioxidant,1
OG0000384,GWK60_K06083,QNG14009.1,CAGL0G07271g,tsa2,Antioxidant,1
OG0002808,GWK60_G03729,QNG13869.1,CAGL0G03883g,hsp104,Chaperon,2
OG0000379,GWK60_J04015,QNG15049.1,CAGL0J04202g,hsp12,Chaperon,2
OG0004261,GWK60_E00583,QNG13074.1,CAGL0E00803g,hsp42,Chaperon,2
OG0003436,GWK60_K05797,QNG15650.1,CAGL0K05973g,hsp60,Chaperon,2
OG0003249,GWK60_M08767,QNG17091.1,CAGL0M08822g,hsp78,Chaperon,2
OG0000887,GWK60_D00275,QNG12766.1,CAGL0L00495g,hsp82,Chaperon,2
OG0002474,GWK60_K11341,QNG15891.1,CAGL0K11572g,sba1,Chaperon,2
OG0000018,GWK60_G03157,QNG12893.1,CAGL0D02948g,ssa1,Chaperon,2
OG0000219,GWK60_J06237,QNG15148.1,CAGL0J06402g,lys20,Amino Acid Metabolism,3
OG0000015,GWK60_F07315,QNG13047.1,CAGL0D06688g,ald5,Carbon Metabolism,4
OG0004041,NA,NA,NA,ara1,Carbon Metabolism,4
OG0002061,GWK60_C01177,QNG12580.1,CAGL0C01573g,aro4,Carbon Metabolism,4
OG0000695,GWK60_L15345,QNG16620.1,CAGL0L11374g,dak1,Carbon Metabolism,4
OG0000539,GWK60_F00473,QNG13345.1,CAGL0F00605g,glk1,Carbon Metabolism,4
OG0000284,GWK60_M11605,QNG14663.1,CAGL0I05874g,gpp2,Carbon Metabolism,4
OG0000514,GWK60_K03267,QNG15539.1,CAGL0K03421g,pgm2,Carbon Metabolism,4
OG0000547,GWK60_K04103,QNG12440.1,CAGL0B03069g,tal1,Carbon Metabolism,4
OG0001869,GWK60_J09625,QNG15298.1,CAGL0J09812g,tps1,Carbon Metabolism,4
OG0002245,GWK60_L05819,QNG16204.1,CAGL0L01925g,ugp1,Carbon Metabolism,4
OG0001558,GWK60_J07447,QNG15201.1,CAGL0J07612g,zwf1,Carbon Metabolism,4
OG0000928,GWK60_M02123,QNG16801.1,CAGL0M02211g,pep4,Protein Degradation,5
OG0002313,GWK60_M13937,QNG17320.1,CAGL0M14003g,pre5,Protein Degradation,5
OG0001775,GWK60_L02233,QNG16052.1,CAGL0I02442g,pup2,Protein Degradation,5
OG0001702,GWK60_L13145,QNG16528.1,CAGL0L09152g,rpn11,Protein Degradation,5
OG0001911,GWK60_E06127,QNG13317.1,CAGL0E06490g,rpt1,Protein Degradation,5
OG0000883,GWK60_B00913,QNG12351.1,CAGL0B01100g,tfs1,Protein Degradation,5
OG0003350,GWK60_K00165,QNG15403.1,CAGL0K00319g,uba1,Protein Degradation,5
OG0000123,GWK60_C02189,QNG12626.1,CAGL0C02585g,cdc48,Not Classified,6
OG0003419,GWK60_C04411,QNG12719.1,CAGL0C04917g,cpa2,Not Classified,6
NA,NA,NA,NA,lsp1,Not Classified,6
OG0000014,GWK60_L13541,QNG15861.1,CAGL0K10890g,oye3,Not Classified,6
OG0000372,GWK60_B00517,QNG12334.1,CAGL0B00704g,pdi1,Not Classified,6
OG0000124,GWK60_G01595,QNG13774.1,CAGL0G01738g,pil1,Not Classified,6
OG0001800,GWK60_A01529,QNG12174.1,CAGL0A01716g,pnc1,Not Classified,6
OG0000253,GWK60_H06809,QNG14438.1,CAGL0H06853g,adh6,Unknown Function,7
OG0003394,GWK60_D05995,QNG13013.1,CAGL0D05808g,dnm1,Unknown Function,7
OG0000499,GWK60_J08129,QNG15232.1,CAGL0J08272g,gor1,Unknown Function,7
OG0000191,GWK60_B04213,QNG12496.1,CAGL0B04345g,ola1,Unknown Function,7
OG0000027,GWK60_H03773,QNG12467.1,CAGL0B03685g,pst2,Unknown Function,7
OG0000127,GWK60_K02497,QNG15505.1,CAGL0K02629g,ynl134c,Unknown Function,7
