gene_id,gene_name,OG,in_orthogroup
orf19.6115,NA,NA,FALSE
orf19.6114,NA,NA,FALSE
orf19.6110,NA,NA,FALSE
orf19.6100,NA,NA,FALSE
orf19.6083,NA,NA,FALSE
orf19.6079,NA,NA,FALSE
orf19.6072,CDC13,NA,FALSE
orf19.6055,NA,NA,FALSE
orf19.6030,NA,NA,FALSE
orf19.6027,NA,NA,FALSE
orf19.6024,NA,NA,FALSE
orf19.6021,IHD2,NA,FALSE
orf19.3309,NA,NA,FALSE
orf19.3319,NA,NA,FALSE
orf19.3320,NA,NA,FALSE
orf19.3336,NA,NA,FALSE
orf19.3337,NA,NA,FALSE
orf19.3360,NA,NA,FALSE
orf19.4539,NA,NA,FALSE
orf19.3665,SET6,NA,FALSE
orf19.3671,NA,NA,FALSE
orf19.3678,NA,NA,FALSE
orf19.2936,NA,NA,FALSE
orf19.2938,NA,NA,FALSE
orf19.2962,NA,NA,FALSE
orf19.2968,NA,NA,FALSE
orf19.2971,NA,NA,FALSE
orf19.2978,NA,NA,FALSE
orf19.3042,NA,NA,FALSE
orf19.4461,NA,NA,FALSE
orf19.4470,NA,NA,FALSE
orf19.4472,NA,NA,FALSE
orf19.4481,MFALPHA,NA,FALSE
orf19.1060,NA,NA,FALSE
orf19.1063,NA,NA,FALSE
orf19.6840,NA,NA,FALSE
orf19.6845,NA,NA,FALSE
orf19.761,TCO89,NA,FALSE
orf19.760,NA,NA,FALSE
orf19.756,SAP7,NA,FALSE
orf19.752,NA,NA,FALSE
orf19.750,NA,NA,FALSE
orf19.4064,GPI7,NA,FALSE
orf19.4057,NA,NA,FALSE
orf19.450,NA,NA,FALSE
orf19.431,ZCF2,NA,FALSE
orf19.420,NA,NA,FALSE
orf19.416,NA,NA,FALSE
orf19.411,NA,NA,FALSE
orf19.2481,NA,NA,FALSE
orf19.2449,NA,NA,FALSE
orf19.2431,NA,NA,FALSE
orf19.1822,UME6,NA,FALSE
orf19.1821,NA,NA,FALSE
orf19.6280,NA,NA,FALSE
orf19.6273,NA,NA,FALSE
orf19.6269,NA,NA,FALSE
orf19.6266,NA,NA,FALSE
orf19.6248,NA,NA,FALSE
orf19.6242,CYK3,NA,FALSE
orf19.6235,NA,NA,FALSE
orf19.6222,SPO22,NA,FALSE
orf19.6219,NA,NA,FALSE
orf19.6196,NA,NA,FALSE
orf19.4436,GPX3,NA,FALSE
orf19.2800,NA,NA,FALSE
orf19.2784,NA,NA,FALSE
orf19.2779,NA,NA,FALSE
orf19.5057,NA,NA,FALSE
orf19.5063,COI1,NA,FALSE
orf19.5070,NA,NA,FALSE
orf19.5092,NA,NA,FALSE
orf19.5104,LTP1,NA,FALSE
orf19.389,NA,NA,FALSE
orf19.4741,NA,NA,FALSE
orf19.4742,NA,NA,FALSE
orf19.4756,NA,NA,FALSE
orf19.4783,NA,NA,FALSE
orf19.4786,FGR43,NA,FALSE
orf19.4789,NA,NA,FALSE
orf19.4791,NA,NA,FALSE
orf19.4803,NA,NA,FALSE
orf19.4814,NA,NA,FALSE
orf19.4819,NA,NA,FALSE
orf19.4828,NA,NA,FALSE
orf19.4834,NA,NA,FALSE
orf19.4842,NA,NA,FALSE
orf19.4847,NA,NA,FALSE
orf19.4861,NA,NA,FALSE
orf19.4863,PDC2,NA,FALSE
orf19.4872,NA,NA,FALSE
orf19.4873,NA,NA,FALSE
orf19.4908,NA,NA,FALSE
orf19.4910,FGR41,NA,FALSE
orf19.994,NA,NA,FALSE
orf19.1830,NA,NA,FALSE
orf19.1831,NA,NA,FALSE
orf19.2344,ASR1,NA,FALSE
orf19.2317,NA,NA,FALSE
