Orthogroup,gene_id,original_id,cagl_id,scer_gene_name,functional_category,category_order
OG0000517,GWK60_K07997,QNG15747.1,CAGL0K08184g,CCP1,Stress / Redox,1
OG0000242,GWK60_K10615,QNG15859.1,CAGL0K10868g,CTT1,Stress / Redox,1
OG0000007,GWK60_E04873,QNG13261.1,CAGL0E05170g,GRE2,Stress / Redox,1
OG0002361,GWK60_L00935,QNG15997.1,CAGL0I01122g,GRE3,Stress / Redox,1
OG0003992,NA,NA,NA,HSP26,Stress / Redox,1
OG0000212,GWK60_L00055,QNG12586.1,CAGL0C01705g,HYR1,Stress / Redox,1
OG0000160,GWK60_M04411,QNG16902.1,CAGL0M04477g,PUT1,Stress / Redox,1
OG0002957,GWK60_G02607,QNG13820.1,CAGL0G02739g,XBP1,Stress / Redox,1
OG0002092,GWK60_L02211,QNG16051.1,CAGL0I02420g,APG7,Protein folding / QC,2
OG0001246,GWK60_G06633,QNG13995.1,CAGL0G06908g,CCT3,Protein folding / QC,2
OG0002111,GWK60_L03487,QNG16104.1,CAGL0I03762g,CCT4,Protein folding / QC,2
OG0002891,GWK60_F00407,QNG13342.1,CAGL0F00539g,CCT5,Protein folding / QC,2
OG0004339,GWK60_H08811,QNG14528.1,CAGL0H08844g,DDR48,Protein folding / QC,2
OG0000574,GWK60_M00539,QNG16624.1,CAGL0L11484g,FPR4,Protein folding / QC,2
OG0001768,GWK60_J05797,QNG15128.1,CAGL0J06006g,GIM3,Protein folding / QC,2
OG0002808,GWK60_G03729,QNG13869.1,CAGL0G03883g,HSP104,Protein folding / QC,2
OG0000379,GWK60_J04015,QNG15049.1,CAGL0J04202g,HSP12,Protein folding / QC,2
OG0004261,GWK60_E00583,QNG13074.1,CAGL0E00803g,HSP42,Protein folding / QC,2
OG0003249,GWK60_M08767,QNG17091.1,CAGL0M08822g,HSP78,Protein folding / QC,2
OG0001078,GWK60_K08349,QNG15762.1,CAGL0K08536g,LAP4,Protein folding / QC,2
NA,NA,NA,NA,PAI3,Protein folding / QC,2
OG0000276,GWK60_G05819,QNG13960.1,CAGL0G06006g,PBI2,Protein folding / QC,2
OG0001126,GWK60_L14531,QNG16583.1,CAGL0L10560g,PDR13,Protein folding / QC,2
OG0000928,GWK60_M02123,QNG16801.1,CAGL0M02211g,PEP4,Protein folding / QC,2
OG0000100,GWK60_E02431,QNG12464.1,CAGL0B03619g,PRB1,Protein folding / QC,2
OG0000018,GWK60_G03157,QNG12893.1,CAGL0D02948g,SSA3,Protein folding / QC,2
OG0000018,GWK60_G03157,QNG12893.1,CAGL0D02948g,SSA4,Protein folding / QC,2
OG0000594,GWK60_M06039,QNG16973.1,CAGL0M06083g,SSE2,Protein folding / QC,2
OG0000117,GWK60_E04455,QNG13242.1,CAGL0E04752g,UBC5,Protein folding / QC,2
OG0001606,GWK60_M03311,QNG16855.1,CAGL0M03399g,UBC8,Protein folding / QC,2
OG0003943,GWK60_D05269,QNG12982.1,CAGL0D05082g,UBI4,Protein folding / QC,2
OG0002732,GWK60_J11143,QNG15367.1,CAGL0J11352g,UBP10,Protein folding / QC,2
OG0003567,GWK60_M13717,QNG17310.1,CAGL0M13783g,UBP15,Protein folding / QC,2
OG0000323,GWK60_M08371,QNG17074.1,CAGL0M08426g,YJL163C,Protein folding / QC,2
OG0000008,GWK60_E01617,QNG13100.1,CAGL0E01419g,YPS6,Protein folding / QC,2
OG0001402,GWK60_J03465,QNG15025.1,CAGL0J03652g,CDC60,Translation / Ribosome,3
OG0002275,GWK60_H03179,QNG14276.1,CAGL0H03377g,DBP3,Translation / Ribosome,3
OG0002026,GWK60_L12177,QNG16485.1,CAGL0L03047g,DBP7,Translation / Ribosome,3
OG0001519,GWK60_A01925,QNG12190.1,CAGL0A02112g,DED81,Translation / Ribosome,3
OG0001117,GWK60_L07557,QNG16280.1,CAGL0L07678g,DIM1,Translation / Ribosome,3
OG0003078,GWK60_D03289,QNG12901.1,CAGL0D03124g,DRS1,Translation / Ribosome,3
OG0001201,GWK60_F08085,QNG13678.1,CAGL0F08547g,EFB1,Translation / Ribosome,3
OG0000653,GWK60_A03113,QNG12242.1,CAGL0A03234g,EFT2,Translation / Ribosome,3
OG0001352,GWK60_F01463,QNG13388.1,CAGL0F01705g,FRS1,Translation / Ribosome,3
OG0003183,GWK60_K07469,QNG15724.1,CAGL0K07656g,FRS2,Translation / Ribosome,3
OG0002091,GWK60_H01837,QNG14219.1,CAGL0H02057g,GAR1,Translation / Ribosome,3
OG0002232,GWK60_K08701,QNG15777.1,CAGL0K08888g,GCD1,Translation / Ribosome,3
OG0002002,GWK60_J09823,QNG15307.1,CAGL0J10010g,GCD10,Translation / Ribosome,3
OG0003042,GWK60_I03817,QNG14771.1,CAGL0I08327g,GCD11,Translation / Ribosome,3
OG0001110,GWK60_L09669,QNG16373.1,CAGL0L05566g,GCD14,Translation / Ribosome,3
OG0003247,GWK60_K00891,QNG15435.1,CAGL0K01045g,GCD2,Translation / Ribosome,3
OG0003091,GWK60_C00781,QNG12562.1,CAGL0C01221g,GCD6,Translation / Ribosome,3
OG0000820,GWK60_G09383,QNG14115.1,CAGL0G09669g,GCD7,Translation / Ribosome,3
OG0002028,GWK60_L12221,QNG16487.1,CAGL0L03003g,GCN3,Translation / Ribosome,3
OG0001403,GWK60_L10681,QNG16417.1,CAGL0L04532g,GLN4,Translation / Ribosome,3
OG0003024,GWK60_G01221,QNG13759.1,CAGL0G01364g,GRS1,Translation / Ribosome,3
OG0001363,GWK60_J00957,QNG14920.1,CAGL0J01045g,HCA4,Translation / Ribosome,3
OG0002807,GWK60_K05137,QNG15622.1,CAGL0K05313g,HTS1,Translation / Ribosome,3
OG0002265,GWK60_L01617,QNG16024.1,CAGL0I01826g,IMP3,Translation / Ribosome,3
OG0001614,GWK60_J10065,QNG15318.1,CAGL0J10252g,IMP4,Translation / Ribosome,3
OG0002622,GWK60_K11781,QNG15909.1,CAGL0K12012g,KRS1,Translation / Ribosome,3
OG0002861,GWK60_K02057,QNG15486.1,CAGL0K02211g,LCP5,Translation / Ribosome,3
OG0003158,GWK60_K00319,QNG15410.1,CAGL0K00473g,LOS1,Translation / Ribosome,3
OG0001884,GWK60_F07997,QNG13674.1,CAGL0F08459g,MES1,Translation / Ribosome,3
OG0001924,GWK60_D06039,QNG13015.1,CAGL0D05874g,MPP10,Translation / Ribosome,3
OG0001487,GWK60_E06149,QNG13318.1,CAGL0E06512g,MRP8,Translation / Ribosome,3
OG0001823,GWK60_M05731,QNG16959.1,CAGL0M05775g,NIP7,Translation / Ribosome,3
OG0001663,GWK60_L16599,QNG16674.1,CAGL0L12672g,NOP4,Translation / Ribosome,3
OG0002953,GWK60_I05291,QNG14834.1,CAGL0I09790g,NOP58,Translation / Ribosome,3
OG0002497,GWK60_J05907,QNG15133.1,CAGL0J06094g,PROTEIN,Translation / Ribosome,3
OG0000797,GWK60_M13695,QNG17309.1,CAGL0M13761g,PRP12,Translation / Ribosome,3
OG0001384,GWK60_K09757,QNG15823.1,CAGL0K09966g,PRT1,Translation / Ribosome,3
OG0001580,GWK60_E05423,QNG13285.1,CAGL0E05764g,PUS1,Translation / Ribosome,3
OG0002866,GWK60_M03531,QNG16863.1,CAGL0M03619g,PUS4,Translation / Ribosome,3
OG0003520,GWK60_H03553,QNG14293.1,CAGL0H03773g,RLP7,Translation / Ribosome,3
OG0000367,GWK60_M05093,QNG14827.1,CAGL0I09636g,RNT1,Translation / Ribosome,3
OG0003047,GWK60_K02233,QNG15494.1,CAGL0K02387g,ROK1,Translation / Ribosome,3
OG0002597,GWK60_M01705,QNG16782.1,CAGL0M01804g,RPG1,Translation / Ribosome,3
OG0001395,GWK60_K12573,QNG15945.1,CAGL0K12826g,RPL10,Translation / Ribosome,3
OG0000951,GWK60_G01683,QNG13778.1,CAGL0G01826g,RPL11A,Translation / Ribosome,3
OG0000951,GWK60_G01683,QNG13778.1,CAGL0G01826g,RPL11B,Translation / Ribosome,3
OG0000862,GWK60_F02651,QNG13440.1,CAGL0F02937g,RPL12A,Translation / Ribosome,3
OG0000862,GWK60_F02651,QNG13440.1,CAGL0F02937g,RPL12B,Translation / Ribosome,3
OG0001082,GWK60_L08327,QNG16314.1,CAGL0L06886g,RPL13A,Translation / Ribosome,3
OG0001082,GWK60_L08327,QNG16314.1,CAGL0L06886g,RPL13B,Translation / Ribosome,3
OG0000977,GWK60_M10219,QNG17155.1,CAGL0M10241g,RPL14A,Translation / Ribosome,3
OG0000977,GWK60_M10219,QNG17155.1,CAGL0M10241g,RPL14B,Translation / Ribosome,3
OG0001024,GWK60_A03267,QNG12249.1,CAGL0A03388g,RPL15A,Translation / Ribosome,3
OG0001024,GWK60_A03267,QNG12249.1,CAGL0A03388g,RPL15B,Translation / Ribosome,3
OG0001077,GWK60_J09955,QNG15313.1,CAGL0J10164g,RPL16A,Translation / Ribosome,3
OG0001077,GWK60_J09955,QNG15313.1,CAGL0J10164g,RPL16B,Translation / Ribosome,3
OG0000934,GWK60_M08085,QNG17061.1,CAGL0M08118g,RPL17A,Translation / Ribosome,3
OG0000934,GWK60_M08085,QNG17061.1,CAGL0M08118g,RPL17B,Translation / Ribosome,3
OG0000762,GWK60_E01793,QNG13127.1,CAGL0E02013g,RPL18A,Translation / Ribosome,3
OG0000762,GWK60_E01793,QNG13127.1,CAGL0E02013g,RPL18B,Translation / Ribosome,3
OG0001001,GWK60_A03157,QNG12244.1,CAGL0A03278g,RPL19B,Translation / Ribosome,3
OG0001042,GWK60_H08943,QNG14534.1,CAGL0H08976g,RPL1A,Translation / Ribosome,3
OG0001042,GWK60_H08943,QNG14534.1,CAGL0H08976g,RPL1B,Translation / Ribosome,3
OG0000658,GWK60_K07249,QNG15714.1,CAGL0K07414g,RPL20A,Translation / Ribosome,3
OG0000658,GWK60_K07249,QNG15714.1,CAGL0K07414g,RPL20B,Translation / Ribosome,3
OG0000710,GWK60_M06479,QNG16993.1,CAGL0M06523g,RPL21A,Translation / Ribosome,3
OG0000710,GWK60_M06479,QNG16993.1,CAGL0M06523g,RPL21B,Translation / Ribosome,3
OG0000817,GWK60_F01441,QNG13387.1,CAGL0F01683g,RPL22A,Translation / Ribosome,3
OG0000854,GWK60_G03443,QNG13857.1,CAGL0G03575g,RPL23A,Translation / Ribosome,3
OG0000854,GWK60_G03443,QNG13857.1,CAGL0G03575g,RPL23B,Translation / Ribosome,3
OG0000988,GWK60_A01375,QNG12167.1,CAGL0A01562g,RPL24A,Translation / Ribosome,3
OG0000988,GWK60_A01375,QNG12167.1,CAGL0A01562g,RPL24B,Translation / Ribosome,3
OG0002290,GWK60_M03773,QNG16874.1,CAGL0M03861g,RPL25,Translation / Ribosome,3
OG0000913,GWK60_G00935,QNG13746.1,CAGL0G01078g,RPL26A,Translation / Ribosome,3
OG0000913,GWK60_G00935,QNG13746.1,CAGL0G01078g,RPL26B,Translation / Ribosome,3
OG0000864,GWK60_K06413,QNG15678.1,CAGL0K06567g,RPL27A,Translation / Ribosome,3
OG0000864,GWK60_K06413,QNG15678.1,CAGL0K06567g,RPL27B,Translation / Ribosome,3
OG0001927,GWK60_J10197,QNG15324.1,CAGL0J10384g,RPL28,Translation / Ribosome,3
OG0000584,GWK60_J02167,QNG14969.1,CAGL0J02354g,RPL2B,Translation / Ribosome,3
OG0001143,GWK60_G01947,QNG13790.1,CAGL0G02079g,RPL3,Translation / Ribosome,3
OG0001529,GWK60_A01353,QNG12166.1,CAGL0A01540g,RPL30,Translation / Ribosome,3
OG0000798,GWK60_D00715,QNG12785.1,CAGL0D00616g,RPL31A,Translation / Ribosome,3
OG0002379,GWK60_H04411,QNG14331.1,CAGL0H04521g,RPL32,Translation / Ribosome,3
OG0000529,GWK60_M02387,QNG16813.1,CAGL0M02497g,RPL33A,Translation / Ribosome,3
OG0000529,GWK60_M02387,QNG16813.1,CAGL0M02497g,RPL33B,Translation / Ribosome,3
OG0000932,GWK60_M12353,QNG17250.1,CAGL0M12408g,RPL34B,Translation / Ribosome,3
OG0000657,GWK60_J08899,QNG15266.1,CAGL0J09086g,RPL35A,Translation / Ribosome,3
OG0000657,GWK60_J08899,QNG15266.1,CAGL0J09086g,RPL35B,Translation / Ribosome,3
OG0000890,GWK60_K10681,QNG15862.1,CAGL0K10906g,RPL36A,Translation / Ribosome,3
OG0000982,GWK60_B01023,QNG12356.1,CAGL0B01203g,RPL37A,Translation / Ribosome,3
OG0000982,GWK60_B01023,QNG12356.1,CAGL0B01203g,RPL37B,Translation / Ribosome,3
OG0001693,GWK60_A00869,QNG12145.1,CAGL0A00979g,RPL38,Translation / Ribosome,3
OG0004053,GWK60_L07073,QNG16260.1,CAGL0L08110g,RPL39,Translation / Ribosome,3
OG0002694,GWK60_G02321,QNG13807.1,CAGL0G02475g,RPL40A,Translation / Ribosome,3
OG0002694,GWK60_G02321,QNG13807.1,CAGL0G02475g,RPL40B,Translation / Ribosome,3
OG0000799,GWK60_G05753,QNG13957.1,CAGL0G05940g,RPL42A,Translation / Ribosome,3
OG0000799,GWK60_G05753,QNG13957.1,CAGL0G05940g,RPL42B,Translation / Ribosome,3
OG0001019,GWK60_H08701,QNG14523.1,CAGL0H08734g,RPL43A,Translation / Ribosome,3
OG0000855,GWK60_B04125,QNG12492.1,CAGL0B04257g,RPL4A,Translation / Ribosome,3
OG0000855,GWK60_B04125,QNG12492.1,CAGL0B04257g,RPL4B,Translation / Ribosome,3
OG0000828,GWK60_L15433,QNG16623.1,CAGL0L11462g,RPL6A,Translation / Ribosome,3
OG0000828,GWK60_L15433,QNG16623.1,CAGL0L11462g,RPL6B,Translation / Ribosome,3
OG0000809,GWK60_G08811,QNG14091.1,CAGL0G09130g,RPL7A,Translation / Ribosome,3
OG0000809,GWK60_G08811,QNG14091.1,CAGL0G09130g,RPL7B,Translation / Ribosome,3
OG0000342,GWK60_E03641,QNG13206.1,CAGL0E03938g,RPL8A,Translation / Ribosome,3
OG0000342,GWK60_E03641,QNG13206.1,CAGL0E03938g,RPL8B,Translation / Ribosome,3
OG0000340,GWK60_E04697,QNG13253.1,CAGL0E04994g,RPL9A,Translation / Ribosome,3
OG0000340,GWK60_E04697,QNG13253.1,CAGL0E04994g,RPL9B,Translation / Ribosome,3
OG0002038,GWK60_G00847,QNG13742.1,CAGL0G00990g,RPP0,Translation / Ribosome,3
OG0000189,GWK60_L00627,QNG15146.1,CAGL0J06374g,RPP1A,Translation / Ribosome,3
OG0000295,GWK60_A03047,QNG12239.1,CAGL0A03168g,RPP2A,Translation / Ribosome,3
OG0000295,GWK60_A03047,QNG12239.1,CAGL0A03168g,RPP2B,Translation / Ribosome,3
OG0000851,GWK60_M02717,QNG16828.1,CAGL0M02849g,RPS0A,Translation / Ribosome,3
OG0000851,GWK60_M02717,QNG16828.1,CAGL0M02849g,RPS0B,Translation / Ribosome,3
OG0000933,GWK60_M04807,QNG16920.1,CAGL0M04873g,RPS10A,Translation / Ribosome,3
OG0000933,GWK60_M04807,QNG16920.1,CAGL0M04873g,RPS10B,Translation / Ribosome,3
OG0000985,GWK60_K11517,QNG15898.1,CAGL0K11748g,RPS11A,Translation / Ribosome,3
OG0000985,GWK60_K11517,QNG15898.1,CAGL0K11748g,RPS11B,Translation / Ribosome,3
OG0001796,GWK60_J07073,QNG15184.1,CAGL0J07238g,RPS12,Translation / Ribosome,3
OG0002586,GWK60_G04807,QNG13915.1,CAGL0G05027g,RPS13,Translation / Ribosome,3
OG0000563,GWK60_K00517,QNG15418.1,CAGL0K00671g,RPS14A,Translation / Ribosome,3
OG0000563,GWK60_K00517,QNG15418.1,CAGL0K00671g,RPS14B,Translation / Ribosome,3
OG0002722,GWK60_F00869,QNG13363.1,CAGL0F01045g,RPS15,Translation / Ribosome,3
OG0000863,GWK60_L00605,QNG15982.1,CAGL0I00792g,RPS16A,Translation / Ribosome,3
OG0000863,GWK60_L00605,QNG15982.1,CAGL0I00792g,RPS16B,Translation / Ribosome,3
OG0000824,GWK60_K05973,QNG15658.1,CAGL0K06149g,RPS17A,Translation / Ribosome,3
OG0000824,GWK60_K05973,QNG15658.1,CAGL0K06149g,RPS17B,Translation / Ribosome,3
OG0001035,GWK60_G06919,QNG14007.1,CAGL0G07227g,RPS18A,Translation / Ribosome,3
OG0001035,GWK60_G06919,QNG14007.1,CAGL0G07227g,RPS18B,Translation / Ribosome,3
OG0000999,GWK60_E01771,QNG13126.1,CAGL0E01991g,RPS19A,Translation / Ribosome,3
OG0000999,GWK60_E01771,QNG13126.1,CAGL0E01991g,RPS19B,Translation / Ribosome,3
OG0000727,GWK60_M00715,QNG16739.1,CAGL0M00814g,RPS1A,Translation / Ribosome,3
OG0000727,GWK60_M00715,QNG16739.1,CAGL0M00814g,RPS1B,Translation / Ribosome,3
OG0001378,GWK60_F06655,QNG13615.1,CAGL0F07073g,RPS2,Translation / Ribosome,3
OG0000950,GWK60_K08195,QNG15756.1,CAGL0K08382g,RPS21A,Translation / Ribosome,3
OG0000950,GWK60_K08195,QNG15756.1,CAGL0K08382g,RPS21B,Translation / Ribosome,3
OG0000192,GWK60_L07051,QNG15592.1,CAGL0K04587g,RPS22A,Translation / Ribosome,3
OG0000192,GWK60_L07051,QNG15592.1,CAGL0K04587g,RPS22B,Translation / Ribosome,3
OG0000731,GWK60_L10351,QNG16402.1,CAGL0L04840g,RPS23A,Translation / Ribosome,3
OG0000731,GWK60_L10351,QNG16402.1,CAGL0L04840g,RPS23B,Translation / Ribosome,3
OG0000943,GWK60_J03025,QNG15006.1,CAGL0J03234g,RPS24A,Translation / Ribosome,3
OG0000843,GWK60_J00055,QNG14881.1,CAGL0J00165g,RPS25A,Translation / Ribosome,3
OG0000843,GWK60_J00055,QNG14881.1,CAGL0J00165g,RPS25B,Translation / Ribosome,3
OG0001095,GWK60_K01969,QNG15482.1,CAGL0K02123g,RPS26A,Translation / Ribosome,3
OG0001095,GWK60_K01969,QNG15482.1,CAGL0K02123g,RPS26B,Translation / Ribosome,3
OG0000714,GWK60_J00627,QNG14906.1,CAGL0J00737g,RPS27A,Translation / Ribosome,3
OG0000714,GWK60_J00627,QNG14906.1,CAGL0J00737g,RPS27B,Translation / Ribosome,3
OG0000519,GWK60_K05907,QNG15655.1,CAGL0K06061g,RPS28A,Translation / Ribosome,3
OG0000519,GWK60_K05907,QNG15655.1,CAGL0K06061g,RPS28B,Translation / Ribosome,3
OG0003712,GWK60_D00979,QNG12797.1,CAGL0D00858g,RPS29A,Translation / Ribosome,3
OG0003712,GWK60_D00979,QNG12797.1,CAGL0D00858g,RPS29B,Translation / Ribosome,3
OG0003286,GWK60_J11011,QNG15361.1,CAGL0J11220g,RPS3,Translation / Ribosome,3
OG0003590,GWK60_G09427,QNG14117.1,CAGL0G09713g,RPS30B,Translation / Ribosome,3
OG0002815,GWK60_G07909,QNG14052.1,CAGL0G08173g,RPS31,Translation / Ribosome,3
OG0000363,GWK60_F08525,QNG13697.1,CAGL0F09031g,RPS4A,Translation / Ribosome,3
OG0000363,GWK60_F08525,QNG13697.1,CAGL0F09031g,RPS4B,Translation / Ribosome,3
OG0002826,GWK60_H00275,QNG14152.1,CAGL0H00462g,RPS5,Translation / Ribosome,3
OG0000368,GWK60_H05555,QNG14382.1,CAGL0H05643g,RPS6A,Translation / Ribosome,3
OG0000368,GWK60_H05555,QNG14382.1,CAGL0H05643g,RPS6B,Translation / Ribosome,3
OG0000881,GWK60_G06259,QNG13979.1,CAGL0G06490g,RPS7A,Translation / Ribosome,3
OG0000881,GWK60_G06259,QNG13979.1,CAGL0G06490g,RPS7B,Translation / Ribosome,3
OG0000899,GWK60_A04411,QNG12298.1,CAGL0A04521g,RPS8A,Translation / Ribosome,3
OG0000899,GWK60_A04411,QNG12298.1,CAGL0A04521g,RPS8B,Translation / Ribosome,3
OG0000361,GWK60_M06457,QNG14376.1,CAGL0H05511g,RPS9A,Translation / Ribosome,3
OG0000361,GWK60_M06457,QNG14376.1,CAGL0H05511g,RPS9B,Translation / Ribosome,3
OG0002223,GWK60_M11011,QNG17190.1,CAGL0M11110g,RRP1,Translation / Ribosome,3
OG0001247,GWK60_J10703,QNG15347.1,CAGL0J10912g,RRP3,Translation / Ribosome,3
OG0002965,GWK60_H10351,QNG14595.1,CAGL0H10384g,RRP42,Translation / Ribosome,3
OG0002318,GWK60_L06941,QNG16254.1,CAGL0L08206g,RRP43,Translation / Ribosome,3
OG0003788,GWK60_J00165,QNG14885.1,CAGL0J00275g,RRP45,Translation / Ribosome,3
OG0002211,GWK60_M04763,QNG16918.1,CAGL0M04829g,RRP5,Translation / Ribosome,3
OG0002689,GWK60_E02365,QNG13152.1,CAGL0E02585g,RRP6,Translation / Ribosome,3
OG0001793,GWK60_B00715,QNG12343.1,CAGL0B00880g,RRP7,Translation / Ribosome,3
OG0001589,GWK60_G07249,QNG14022.1,CAGL0G07535g,RRS1,Translation / Ribosome,3
OG0002567,GWK60_K11495,QNG15897.1,CAGL0K11726g,SES1,Translation / Ribosome,3
OG0001292,GWK60_A03905,QNG12275.1,CAGL0A04015g,SIK1,Translation / Ribosome,3
OG0002701,GWK60_G09053,QNG14102.1,CAGL0G09317g,SKI6,Translation / Ribosome,3
OG0001969,GWK60_D05775,QNG13003.1,CAGL0D05588g,SOF1,Translation / Ribosome,3
OG0002638,GWK60_B00319,QNG12325.1,CAGL0B00484g,SPB1,Translation / Ribosome,3
OG0000900,GWK60_L12991,QNG16521.1,CAGL0L08976g,SPB4,Translation / Ribosome,3
OG0003295,GWK60_L13651,QNG16546.1,CAGL0L09647g,SQT1,Translation / Ribosome,3
OG0000715,GWK60_C04895,QNG12741.1,CAGL0C05379g,SSB2,Translation / Ribosome,3
OG0002374,GWK60_L04015,QNG16127.1,CAGL0I04290g,SUA5,Translation / Ribosome,3
OG0001954,GWK60_B03619,QNG12470.1,CAGL0B03795g,SUI2,Translation / Ribosome,3
OG0001915,GWK60_H00759,QNG14174.1,CAGL0H00957g,SUI3,Translation / Ribosome,3
OG0001704,GWK60_E00561,QNG13073.1,CAGL0E00781g,SUP35,Translation / Ribosome,3
OG0002579,GWK60_L08459,QNG16320.1,CAGL0L06754g,SUP45,Translation / Ribosome,3
OG0000311,GWK60_D01287,QNG12811.1,CAGL0D01188g,TEF1,Translation / Ribosome,3
OG0000311,GWK60_D01287,QNG12811.1,CAGL0D01188g,TEF2,Translation / Ribosome,3
OG0000094,GWK60_L16687,QNG16390.1,CAGL0L05148g,TEF4,Translation / Ribosome,3
OG0003084,GWK60_M12903,QNG17274.1,CAGL0M12991g,THS1,Translation / Ribosome,3
OG0001039,GWK60_L04103,QNG16131.1,CAGL0I04356g,TIF1,Translation / Ribosome,3
OG0001039,GWK60_L04103,QNG16131.1,CAGL0I04356g,TIF2,Translation / Ribosome,3
OG0002043,GWK60_I03883,QNG14774.1,CAGL0I08393g,TIF3,Translation / Ribosome,3
OG0000831,GWK60_L08261,QNG16311.1,CAGL0L06952g,TIF34,Translation / Ribosome,3
OG0002543,GWK60_H04565,QNG14338.1,CAGL0H04675g,TIF35,Translation / Ribosome,3
OG0002010,GWK60_D03883,QNG12926.1,CAGL0D03718g,TIF5,Translation / Ribosome,3
OG0001360,GWK60_K02343,QNG15499.1,CAGL0K02497g,TIF6,Translation / Ribosome,3
OG0003025,GWK60_B01727,QNG12386.1,CAGL0B01881g,TRM1,Translation / Ribosome,3
OG0003117,GWK60_H09339,QNG14551.1,CAGL0H09372g,TYS1,Translation / Ribosome,3
OG0002919,GWK60_G02959,QNG13835.1,CAGL0G03091g,VAS1,Translation / Ribosome,3
OG0003326,GWK60_I03069,QNG14738.1,CAGL0I07579g,WRS1,Translation / Ribosome,3
OG0001087,GWK60_B03311,QNG12457.1,CAGL0B03487g,YEF3,Translation / Ribosome,3
OG0000094,GWK60_L16687,QNG16390.1,CAGL0L05148g,YGR201C,Translation / Ribosome,3
OG0001194,GWK60_A01903,QNG12189.1,CAGL0A02090g,YHR020W,Translation / Ribosome,3
OG0000435,GWK60_M09603,QNG17127.1,CAGL0M09647g,YMR155W,Translation / Ribosome,3
OG0003227,GWK60_L14949,QNG16602.1,CAGL0L10978g,CAF20,Gene expression (RNA),4
OG0002344,GWK60_J10329,QNG15330.1,CAGL0J10516g,DOT1,Gene expression (RNA),4
OG0001053,GWK60_L16467,QNG16668.1,CAGL0L12540g,EGD1,Gene expression (RNA),4
OG0002973,GWK60_M02827,QNG16833.1,CAGL0M02959g,FCP1,Gene expression (RNA),4
OG0002284,GWK60_A03531,QNG12260.1,CAGL0A03652g,MAK5,Gene expression (RNA),4
OG0002285,GWK60_M10153,QNG17152.1,CAGL0M10197g,MRT4,Gene expression (RNA),4
OG0003392,GWK60_J04741,QNG15081.1,CAGL0J04928g,MTR4,Gene expression (RNA),4
OG0003114,GWK60_L02189,QNG16050.1,CAGL0I02398g,NMD3,Gene expression (RNA),4
OG0002907,GWK60_L15763,QNG16637.1,CAGL0L11792g,PAB1,Gene expression (RNA),4
OG0000152,GWK60_F06721,QNG13618.1,CAGL0F07139g,PRP43,Gene expression (RNA),4
OG0001456,GWK60_F00429,QNG13343.1,CAGL0F00561g,RPA12,Gene expression (RNA),4
OG0002087,GWK60_J01705,QNG14948.1,CAGL0J01848g,RPA135,Gene expression (RNA),4
OG0002755,GWK60_I01463,QNG14670.1,CAGL0I06006g,RPA34,Gene expression (RNA),4
OG0001420,GWK60_J07601,QNG15208.1,CAGL0J07766g,RPA49,Gene expression (RNA),4
OG0003648,GWK60_L12441,QNG16497.1,CAGL0L02799g,RPB10,Gene expression (RNA),4
OG0002075,GWK60_J02255,QNG14973.1,CAGL0J02420g,RPB3,Gene expression (RNA),4
OG0001244,GWK60_I03289,QNG14748.1,CAGL0I07799g,RPB5,Gene expression (RNA),4
OG0000905,GWK60_J03883,QNG15043.1,CAGL0J04070g,RPB8,Gene expression (RNA),4
OG0003783,GWK60_H03289,QNG14281.1,CAGL0H03509g,RPB9,Gene expression (RNA),4
OG0001750,GWK60_L11363,QNG16448.1,CAGL0L03872g,RPC19,Gene expression (RNA),4
OG0001256,GWK60_J00759,QNG14912.1,CAGL0J00869g,RPC25,Gene expression (RNA),4
OG0002328,GWK60_J05489,QNG15114.1,CAGL0J05698g,RPC31,Gene expression (RNA),4
OG0002962,GWK60_M03399,QNG16858.1,CAGL0M03487g,RPC34,Gene expression (RNA),4
OG0002716,GWK60_B03993,QNG12486.1,CAGL0B04125g,RPC40,Gene expression (RNA),4
OG0003257,GWK60_L03355,QNG16098.1,CAGL0I03630g,RPC53,Gene expression (RNA),4
OG0001496,GWK60_G09823,QNG14135.1,CAGL0G10109g,RPC82,Gene expression (RNA),4
OG0003097,GWK60_G09757,QNG14132.1,CAGL0G10043g,RPO26,Gene expression (RNA),4
OG0000337,GWK60_K09141,QNG12262.1,CAGL0A03696g,SIP2,Gene expression (RNA),4
OG0001885,GWK60_L02959,QNG16081.1,CAGL0I03234g,SNU13,Gene expression (RNA),4
OG0002702,GWK60_G02277,QNG13805.1,CAGL0G02409g,SRP40,Gene expression (RNA),4
OG0002339,GWK60_L08305,QNG16313.1,CAGL0L06908g,SUB2,Gene expression (RNA),4
OG0000487,GWK60_E03025,QNG13032.1,CAGL0D06314g,TIF4631,Gene expression (RNA),4
OG0002533,GWK60_J03289,QNG15017.1,CAGL0J03476g,YCR072C,Gene expression (RNA),4
OG0000164,GWK60_L11561,QNG15696.1,CAGL0K06985g,YJL103C,Gene expression (RNA),4
