Orthogroup,gene_id,original_id,cagl_id,scer_gene_name,functional_category,category_order
OG0000517,orf19.238,orf19.238,NA,CCP1,Stress / Redox,1
OG0000242,orf19.6229,orf19.6229,NA,CTT1,Stress / Redox,1
OG0000007,orf19.5611,orf19.2581,NA,GRE2,Stress / Redox,1
OG0002361,orf19.4317,orf19.4317,NA,GRE3,Stress / Redox,1
OG0003992,NA,NA,NA,HSP26,Stress / Redox,1
OG0000212,orf19.85,orf19.85,NA,HYR1,Stress / Redox,1
OG0000160,orf19.4274,orf19.4274,NA,PUT1,Stress / Redox,1
OG0002957,orf19.5210,orf19.5210,NA,XBP1,Stress / Redox,1
OG0002092,orf19.707,orf19.707,NA,APG7,Protein folding / QC,2
OG0001246,orf19.4004,orf19.4004,NA,CCT3,Protein folding / QC,2
OG0002111,orf19.2720,orf19.2720,NA,CCT4,Protein folding / QC,2
OG0002891,orf19.2288,orf19.2288,NA,CCT5,Protein folding / QC,2
OG0004339,NA,NA,NA,DDR48,Protein folding / QC,2
OG0000574,orf19.1030,orf19.1030,NA,FPR4,Protein folding / QC,2
OG0001768,orf19.1273,orf19.1273,NA,GIM3,Protein folding / QC,2
OG0002808,orf19.6387,orf19.6387,NA,HSP104,Protein folding / QC,2
OG0000379,orf19.3548.1,orf19.3160,NA,HSP12,Protein folding / QC,2
OG0004261,NA,NA,NA,HSP42,Protein folding / QC,2
OG0003249,orf19.882,orf19.882,NA,HSP78,Protein folding / QC,2
OG0001078,orf19.1628,orf19.1628,NA,LAP4,Protein folding / QC,2
NA,NA,NA,NA,PAI3,Protein folding / QC,2
OG0000276,orf19.2769,orf19.2769,NA,PBI2,Protein folding / QC,2
OG0001126,orf19.3812,orf19.3812,NA,PDR13,Protein folding / QC,2
OG0000928,orf19.1891,orf19.1891,NA,PEP4,Protein folding / QC,2
OG0000100,orf19.2242,orf19.2242,NA,PRB1,Protein folding / QC,2
OG0000018,orf19.1065,orf19.1065,NA,SSA3,Protein folding / QC,2
OG0000018,orf19.1065,orf19.1065,NA,SSA4,Protein folding / QC,2
OG0000594,orf19.2435,orf19.2435,NA,SSE2,Protein folding / QC,2
OG0000117,orf19.4041,orf19.4041,NA,UBC5,Protein folding / QC,2
